date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,FO%,wFO/C,vFO,ST_ba,ST_slg,ST_whiff
2023-09-08,7:08 PM.,PHI,MIA,away,Cloudy.,80,650911,RF,2,0,1,0,0,0,0,0,0,0,0,0.278,0.35,0.392,0.742,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.44,3.74,99.1,101.0,83.0,100.0,0.759,8.7,1.45,7.97,1.45,2.19,0.21,0.445,0.157,0.342,0.429,75.0,98.0,104.0,,,,,,,71.0,104.0,97.0,123.0,100.0,100.0,0.462,,0.211,,0.327,,0.65,0.2,,1.1,,81.8,92.1,82.7,,,,,0.148,0.274,0.43,0.25,0.456,0.297,,,,0.297,0.523,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-07,6:40 PM.,LAD,MIA,home,Roof Closed.,72,686752,LF,1,0,1,0,0,0,0,0,0,0,0,0.276,0.349,0.391,0.74,686752,ryanpepiot,Pepiot,Right,Ryan Pepiot,LAD,2.14,3.23,42.0,104.0,98.0,103.0,0.757,8.14,1.07,5.79,1.5,0.8,0.274,0.416,0.177,0.301,0.424,87.0,115.0,113.0,,,,100.0,100.0,97.0,,,,115.0,96.0,101.0,,0.506,0.147,,0.347,1.83,,0.98,,0.55,94.0,86.3,,88.8,,0.156,0.344,0.2239999999999999,0.203,0.391,0.326,0.174,0.348,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-06,6:40 PM.,LAD,MIA,home,Roof Closed.,72,458681,CF,1,0,0,0,0,0,0,0,0,0,0,0.271,0.345,0.387,0.732,458681,lancelynn,Lynn,Right,Lance Lynn,- - -,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.241,0.419,0.17,0.32,0.403,56.0,95.0,90.0,109.0,97.0,106.0,92.0,105.0,104.0,93.0,95.0,87.0,97.0,98.0,106.0,0.126,0.437,0.063,0.074,0.07,-0.4,1.21,-3.65,-2.24,-1.23,92.4,84.9,91.4,83.0,80.8,0.255,0.52,0.316,0.302,0.372,0.296,0.286,0.446,0.308,0.208,0.453,0.354,0.239,0.394,0.177,104.0,105.0,99.0,0.23,-0.35,88.7,0.273,0.512,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-05,6:41 PM.,LAD,MIA,home,Roof Closed.,72,477132,RF,3,0,0,0,0,0,0,0,1,1,3,0.273,0.347,0.39,0.737,477132,claytonkershaw,Kershaw,Left,Clayton Kershaw,LAD,2.46,3.77,131.2,100.0,101.0,101.0,0.733,9.36,2.73,6.84,1.3,1.43,0.23,0.493,0.155,0.332,0.425,34.0,98.0,91.0,94.0,100.0,106.0,96.0,97.0,96.0,90.0,115.0,107.0,112.0,102.0,104.0,0.002,0.369,0.434,0.175,0.017,0.23,14.84,2.06,0.13,-0.46,90.7,84.6,90.9,86.5,73.4,0.281,0.451,0.0969999999999999,0.2,0.2,0.6,0.167,0.338,0.362,0.212,0.338,0.3379999999999999,0.0,0.0,0.0,,,,,,,,,,,,,,,,116.0,127.0,165.0,0.002,13.51,84.4,0.0,0.0,0.0,,,,,,,,,,,,
2023-09-02,4:05 PM.,WSH,MIA,away,Sunny.,84,592866,CF,4,0,0,0,0,0,1,0,0,2,1,0.278,0.349,0.397,0.746,592866,trevorwilliams,Williams,Right,Trevor Williams,WSN,5.55,5.66,144.1,104.0,81.0,96.0,0.831,6.92,3.3,11.1,2.12,0.96,0.253,0.4,0.163,0.329,0.387,68.0,105.0,96.0,97.0,95.0,95.0,80.0,107.0,96.0,91.0,100.0,95.0,94.0,114.0,103.0,0.146,0.433,0.182,0.069,0.171,-0.77,-0.45,-1.7,-1.93,-2.25,89.7,83.3,88.2,80.9,76.7,0.283,0.563,0.1669999999999999,0.315,0.483,0.1989999999999999,0.313,0.5,0.281,0.314,0.629,0.2,0.325,0.458,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,7:05 PM.,WSH,MIA,away,Clear.,75,663623,RF,5,1,2,0,0,1,2,0,0,2,1,0.286,0.36,0.408,0.768,663623,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.61,5.1,121.0,101.0,99.0,98.0,0.839,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.427,78.0,99.0,95.0,110.0,100.0,103.0,92.0,100.0,94.0,101.0,101.0,98.0,,,,0.287,0.356,,0.306,0.051,-0.01,-0.75,,0.08,1.21,94.5,87.8,93.9,,80.9,0.208,0.376,0.192,0.25,0.5,0.156,,,,0.197,0.362,0.257,0.348,0.525,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31,7:06 PM.,WSH,MIA,away,Clear.,78,672851,3B,3,0,2,0,0,0,0,0,1,1,0,0.282,0.358,0.387,0.745,672851,joanadon,Adon,Right,Joan Adon,WSN,6.45,5.59,51.2,98.0,89.0,93.0,0.802,8.36,4.18,10.45,1.39,1.0,0.242,0.406,0.145,0.406,0.411,86.0,98.0,102.0,104.0,101.0,102.0,79.0,101.0,90.0,89.0,89.0,79.0,98.0,93.0,93.0,0.136,0.395,0.113,0.205,0.152,0.26,-1.28,-2.74,-3.51,0.68,94.5,88.1,94.2,87.3,80.8,0.288,0.411,0.221,0.148,0.222,0.3389999999999999,0.318,0.455,0.286,0.315,0.63,0.253,0.314,0.629,0.0139999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-29,6:40 PM.,TB,MIA,home,Roof Closed.,72,650644,PH,0,0,0,0,0,0,0,0,1,0,0,0.273,0.348,0.381,0.729,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,3.46,3.69,122.1,106.0,105.0,104.0,0.786,8.53,2.43,8.02,0.88,1.0,0.212,0.458,0.149,0.307,0.413,,,,153.0,113.0,120.0,76.0,101.0,91.0,75.0,101.0,89.0,128.0,111.0,116.0,0.185,0.123,0.058,0.244,,-0.65,1.59,0.15,0.77,,91.8,,92.4,82.5,78.1,0.359,0.436,0.243,,,,0.172,0.345,0.2319999999999999,0.188,0.323,0.273,0.202,0.292,0.144,96.0,104.0,103.0,0.372,1.13,87.7,0.261,0.406,0.2339999999999999,,,,,,,58.0,95.0,95.0,0.017,-6.33,85.2,0.5,0.625,0.182,,,,,,,,,,,,
2023-08-23,1:10 PM.,SD,MIA,away,Sunny.,74,607625,PH,1,0,0,0,0,0,0,0,0,1,3,0.273,0.344,0.381,0.725,607625,sethlugo,"Lugo, S",Right,Seth Lugo,SDP,3.57,4.42,146.1,102.0,103.0,103.0,0.805,8.61,2.21,8.61,1.17,1.34,0.209,0.438,0.139,0.351,0.459,85.0,96.0,97.0,122.0,100.0,105.0,87.0,108.0,103.0,97.0,102.0,97.0,114.0,96.0,108.0,0.199,0.318,0.111,0.313,0.059,0.36,1.87,-0.6,0.26,-2.89,93.4,86.3,93.2,85.2,79.6,0.246,0.464,0.214,0.303,0.576,0.3429999999999999,0.25,0.417,0.286,0.287,0.384,0.265,0.208,0.36,0.089,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.226,,,,,,,,,
2023-08-01,6:41 PM.,PHI,MIA,home,Roof Closed.,72,624133,CF,0,0,0,0,0,0,0,0,0,0,0,0.275,0.346,0.384,0.73,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,4.18,4.36,125.0,101.0,85.0,97.0,0.79,8.57,3.46,9.29,0.94,1.58,0.232,0.394,0.164,0.34,0.393,70.0,98.0,99.0,95.0,104.0,102.0,69.0,98.0,88.0,96.0,104.0,102.0,91.0,113.0,108.0,0.28,0.215,0.005,0.19,0.184,-0.65,0.52,4.65,1.95,-1.45,93.4,82.9,92.8,84.1,75.8,0.304,0.478,0.2189999999999999,0.267,0.444,0.311,0.2,0.2,0.0,0.143,0.226,0.377,0.289,0.409,0.1,97.0,97.0,94.0,0.126,-1.27,87.5,0.34,0.585,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,
