date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023-08-19,4:06 PM.,PHI,WSH,home,Sunny.,80,650911,2B,2,0,0,0,0,0,0,0,0,2,0,0.244,0.289,0.346,0.635,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.44,3.74,99.1,101.0,83.0,100.0,0.759,8.7,1.45,7.97,1.45,2.19,0.21,0.445,0.157,0.342,0.429,75.0,98.0,104.0,,,,71.0,104.0,97.0,123.0,100.0,100.0,,,,0.462,,,0.211,0.327,,,0.65,0.2,1.1,,,81.8,92.1,82.7,,,,,,,0.25,0.456,0.297,0.148,0.274,0.43,,,,,,,0.297,0.523,0.107,,,,,,,,,,,,,,,,,,
2023-08-17,4:05 PM.,BOS,WSH,home,Partly Cloudy.,90,519242,2B,4,0,0,0,0,0,0,0,0,2,2,0.25,0.296,0.355,0.651,519242,chrissale,Sale,Left,Chris Sale,BOS,4.3,3.61,102.2,100.0,94.0,99.0,0.725,10.96,2.54,7.63,1.31,0.86,0.293,0.384,0.16,0.308,0.405,81.0,103.0,99.0,99.0,102.0,100.0,98.0,94.0,96.0,92.0,98.0,100.0,,,,0.062,0.432,,0.375,0.131,0.46,,-1.13,0.7,-1.09,93.9,,86.1,93.3,77.8,0.252,0.437,0.2339999999999999,,,,0.162,0.358,0.389,0.309,0.473,0.322,,,,,,,0.267,0.5,0.1669999999999999,,,,,,,,,,,,,,,,,,
2023-08-16,7:05 PM.,BOS,WSH,home,Cloudy.,83,572020,2B,4,1,1,0,0,1,1,0,0,2,1,0.264,0.312,0.375,0.687,572020,jamespaxton,Paxton,Left,James Paxton,BOS,4.5,3.77,96.0,100.0,89.0,96.0,0.744,9.47,3.09,8.72,1.69,1.15,0.311,0.392,0.136,0.337,0.437,112.0,88.0,93.0,95.0,103.0,98.0,98.0,92.0,90.0,,,,63.0,101.0,91.0,0.007,0.566,0.165,,0.067,0.04,-0.15,-0.01,,-0.96,95.2,85.8,84.4,94.9,,0.269,0.498,0.217,0.191,0.426,0.331,,,,0.316,0.421,0.467,,,,,,,,,,0.231,0.338,0.376,87.0,93.0,94.0,0.195,-0.31,81.3,,,,,,,,,
2023-08-15,7:07 PM.,BOS,WSH,home,Partly Cloudy.,81,601713,1B,0,0,0,0,0,0,0,0,0,0,0,0.265,0.315,0.338,0.653,601713,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,4.04,3.98,142.2,102.0,119.0,107.0,0.733,11.54,3.15,6.94,1.45,0.87,0.231,0.438,0.124,0.354,0.421,,,,125.0,101.0,109.0,,,,124.0,107.0,112.0,78.0,104.0,98.0,,0.506,0.078,0.165,,0.57,0.67,,1.59,,94.6,88.4,,,85.8,0.214,0.44,0.247,0.267,0.467,0.379,0.114,0.182,0.4379999999999999,,,,117.0,102.0,106.0,0.247,-0.09,79.4,,,,0.215,0.4,0.313,,,,,,,49.0,109.0,69.0,0.005,-13.1,84.8,0.25,1.0,0.1669999999999999
2023-08-13,1:35 PM.,OAK,WSH,home,Partly Cloudy.,88,686610,2B,4,0,2,0,0,0,0,0,0,0,0,0.265,0.315,0.338,0.653,686610,kenwaldichuk,Waldichuk,Left,Ken Waldichuk,OAK,5.36,4.67,141.0,95.0,91.0,93.0,0.767,8.43,4.53,9.51,1.53,0.99,0.223,0.401,0.155,0.31,0.414,92.0,90.0,88.0,89.0,95.0,92.0,,,,96.0,99.0,100.0,,,,,0.543,,0.271,0.166,-0.52,,,-0.79,-1.4,93.3,,84.2,,81.1,0.275,0.493,0.178,,,,0.218,0.423,0.3279999999999999,0.34,0.515,0.374,93.0,77.0,85.0,0.02,-3.62,74.5,,,,0.333,0.833,0.0,,,,,,,,,,,,,,,
2023-08-08,7:24 PM.,PHI,WSH,away,Partly Cloudy.,81,624133,2B,2,0,0,0,0,0,0,0,0,1,1,0.25,0.304,0.328,0.632,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,4.18,4.36,125.0,101.0,85.0,97.0,0.79,8.57,3.46,9.29,0.94,1.58,0.232,0.394,0.164,0.34,0.393,70.0,98.0,99.0,69.0,98.0,88.0,96.0,104.0,102.0,91.0,113.0,108.0,97.0,97.0,94.0,0.28,0.215,0.126,0.005,0.184,-0.65,-1.27,0.52,4.65,-1.45,93.4,87.5,82.9,92.8,84.1,0.304,0.478,0.2189999999999999,0.34,0.585,0.179,0.2,0.2,0.0,0.267,0.444,0.311,95.0,104.0,102.0,0.19,1.95,75.8,0.289,0.409,0.1,0.143,0.226,0.377,,,,,,,,,,,,,,,
2023-08-05,4:11 PM.,CIN,WSH,away,Cloudy.,87,671096,2B,4,1,1,0,0,0,0,0,1,1,2,0.258,0.313,0.339,0.652,671096,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.87,3.93,109.1,101.0,87.0,97.0,0.765,9.88,3.62,8.23,1.32,0.55,0.255,0.381,0.133,0.347,0.404,72.0,96.0,91.0,81.0,99.0,91.0,,,,106.0,107.0,113.0,,,,,0.501,,0.165,0.163,-0.02,,,1.61,0.99,92.7,,86.6,,82.9,0.249,0.459,0.198,,,,0.174,0.304,0.29,0.203,0.27,0.3939999999999999,99.0,103.0,103.0,0.171,-2.27,80.9,,,,0.367,0.65,0.26,,,,,,,,,,,,,,,
2023-08-02,1:05 PM.,MIL,WSH,home,Partly Cloudy.,81,489119,2B,2,0,1,0,0,0,0,0,0,0,1,0.259,0.306,0.345,0.651,489119,wademiley,Miley,Left,Wade Miley,MIL,3.14,4.33,120.1,104.0,92.0,100.0,0.828,5.91,2.84,7.4,1.2,1.23,0.237,0.422,0.166,0.319,0.406,84.0,108.0,104.0,78.0,106.0,99.0,88.0,109.0,96.0,113.0,108.0,103.0,101.0,103.0,101.0,0.046,0.195,0.443,0.049,0.246,0.46,1.07,-2.53,0.62,0.6,90.4,87.1,83.7,90.7,79.1,0.198,0.453,0.134,0.232,0.446,0.172,0.192,0.308,0.349,0.219,0.281,0.239,79.0,99.0,98.0,0.022,2.01,75.8,0.333,0.375,0.125,,,,,,,,,,,,,,,,,,
2023-07-26,12:06 PM.,COL,WSH,home,Sunny.,86,663567,PR,0,1,0,0,0,0,0,0,0,0,0,0.25,0.3,0.339,0.639,663567,peterlambert,"Lambert, P",Right,Peter Lambert,COL,5.36,5.44,87.1,99.0,90.0,95.0,0.796,7.32,2.89,9.58,1.85,0.99,0.273,0.365,0.122,0.435,0.424,86.0,98.0,92.0,82.0,97.0,89.0,,,,109.0,104.0,109.0,,,,,0.446,,0.323,0.2,-0.78,,,-1.15,-1.74,93.2,,86.2,,86.2,0.271,0.586,0.1669999999999999,,,,0.308,0.641,0.198,0.235,0.459,0.325,74.0,108.0,101.0,0.032,1.04,78.0,,,,0.267,0.267,0.208,,,,,,,,,,,,,,,
2023-07-25,8:30 PM.,COL,WSH,home,Partly Cloudy.,82,596295,LF,3,0,0,0,0,0,0,0,1,2,3,0.25,0.3,0.339,0.639,596295,austingomber,Gomber,Left,Austin Gomber,COL,5.5,5.74,139.0,99.0,78.0,94.0,0.829,5.63,2.78,10.62,1.68,1.1,0.213,0.443,0.151,0.389,0.463,73.0,100.0,98.0,68.0,97.0,85.0,66.0,7.0,2.0,93.0,98.0,102.0,,,,0.012,0.439,,0.201,0.181,-1.99,,-5.34,0.96,-0.07,90.6,,81.6,90.8,84.8,0.344,0.656,0.118,,,,0.275,0.383,0.247,0.296,0.509,0.1989999999999999,,,,,,,0.4,1.0,0.1669999999999999,0.226,0.358,0.28,90.0,103.0,104.0,0.168,-0.75,77.6,,,,,,,,,
2023-07-21,7:05 PM.,SF,WSH,home,Partly Cloudy.,87,622072,1B,2,0,1,1,0,0,1,0,0,0,2,0.264,0.304,0.358,0.662,622072,alexwood,Wood,Left,Alex Wood,SFG,4.33,4.64,97.2,97.0,87.0,93.0,0.802,6.82,3.87,9.03,0.83,1.23,0.249,0.393,0.138,0.285,0.413,78.0,103.0,99.0,,,,80.0,95.0,88.0,110.0,93.0,95.0,,,,0.446,,,0.261,0.292,,,0.12,-0.8,-0.33,,,85.2,91.5,82.4,,,,,,,0.288,0.441,0.25,0.273,0.388,0.154,,,,,,,0.234,0.433,0.242,,,,,,,0.001,-5.8,83.6,,,,,,,,,
2023-07-19,7:05 PM.,CHC,WSH,away,Partly Cloudy.,77,543294,1B,0,1,0,0,0,0,0,0,0,0,0,0.255,0.296,0.333,0.629,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,3.74,4.13,137.0,105.0,60.0,93.0,0.801,6.11,1.77,9.07,0.85,1.36,0.196,0.438,0.233,0.249,0.383,43.0,107.0,90.0,67.0,100.0,93.0,72.0,110.0,99.0,,,,,,,0.349,0.205,,,0.411,-1.61,,0.04,,1.43,87.8,,80.7,87.5,,0.38,0.658,0.1119999999999999,,,,,,,0.18,0.279,0.324,97.0,79.0,84.0,0.035,0.0,73.3,0.318,0.46,0.08,0.25,0.25,0.4379999999999999,,,,,,,,,,,,,,,
2023-07-15,7:20 PM.,STL,WSH,away,Partly Cloudy.,77,571927,2B,3,1,1,1,0,0,0,0,0,2,3,0.255,0.296,0.333,0.629,571927,stevenmatz,Matz,Left,Steven Matz,STL,3.86,3.87,105.0,102.0,95.0,100.0,0.776,8.4,2.74,9.26,0.94,1.4,0.291,0.37,0.146,0.31,0.446,106.0,109.0,107.0,,,,87.0,101.0,96.0,62.0,82.0,90.0,,,,0.561,,,0.018,0.274,,,0.41,-1.27,-0.09,,,84.2,94.1,88.9,,,,,,,0.5,0.75,0.1,0.291,0.405,0.289,108.0,96.0,100.0,0.148,-0.6,78.5,0.24,0.397,0.247,0.259,0.407,0.2,,,,,,,,,,,,,,,
2023-07-05,7:06 PM.,CIN,WSH,home,Partly Cloudy.,86,668933,3B,1,0,0,0,0,0,0,0,0,1,1,0.25,0.294,0.313,0.607,668933,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.164,0.302,0.435,,,,,,,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.097,,0.529,0.373,0.0,,0.15,-1.17,-0.37,-25.75,,95.8,90.4,96.5,88.3,,,,0.292,0.436,0.171,0.221,0.461,0.3289999999999999,,,,,,,,,,0.286,0.429,0.1,,,,,,,,,,,,,,,,,,
2023-07-02,1:40 PM.,PHI,WSH,away,Partly Cloudy.,87,624133,2B,4,0,1,0,0,0,0,0,0,1,1,0.255,0.3,0.319,0.619,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,4.18,4.36,125.0,101.0,85.0,97.0,0.79,8.57,3.46,9.29,0.94,1.58,0.232,0.394,0.164,0.34,0.393,70.0,98.0,99.0,69.0,98.0,88.0,96.0,104.0,102.0,91.0,113.0,108.0,97.0,97.0,94.0,0.28,0.215,0.126,0.005,0.184,-0.65,-1.27,0.52,4.65,-1.45,93.4,87.5,82.9,92.8,84.1,0.304,0.478,0.2189999999999999,0.34,0.585,0.179,0.2,0.2,0.0,0.267,0.444,0.311,95.0,104.0,102.0,0.19,1.95,75.8,0.289,0.409,0.1,0.143,0.226,0.377,,,,,,,,,,,,,,,
2023-07-01,4:08 PM.,PHI,WSH,away,Partly Cloudy.,86,554430,3B,1,0,0,0,0,0,0,0,0,0,0,0.256,0.304,0.326,0.63,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.279,0.38,0.214,0.313,0.421,48.0,106.0,77.0,112.0,109.0,114.0,105.0,105.0,107.0,107.0,101.0,111.0,96.0,102.0,102.0,0.18,0.435,0.144,0.123,0.004,1.69,-0.63,1.62,0.36,-6.22,95.8,90.9,90.8,95.2,84.4,0.199,0.333,0.314,0.27,0.426,0.228,0.198,0.36,0.392,,,,116.0,105.0,114.0,0.115,-1.61,81.4,0.252,0.308,0.192,0.264,0.473,0.33,,,,,,,,,,,,,,,
2023-06-27,6:42 PM.,SEA,WSH,away,Partly Cloudy.,73,693433,PR,0,1,0,0,0,0,0,0,0,0,0,0.262,0.311,0.333,0.644,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,4.21,3.45,87.2,102.0,103.0,103.0,0.754,9.55,3.18,7.7,1.33,0.99,0.296,0.363,0.175,0.271,0.453,85.0,91.0,93.0,101.0,105.0,106.0,109.0,102.0,103.0,110.0,96.0,105.0,,,,0.255,0.469,,0.24,0.037,0.69,,1.34,-0.83,-2.37,95.1,,89.7,95.0,86.0,0.207,0.407,0.303,,,,0.257,0.457,0.311,0.4,0.4,0.222,,,,,,,0.213,0.372,0.208,,,,,,,,,,,,,,,,,,
2023-06-23,6:42 PM.,SD,WSH,away,Clear.,66,605397,PH,1,1,1,0,0,1,1,0,0,0,0,0.262,0.311,0.333,0.644,605397,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,3.05,3.11,97.1,104.0,106.0,102.0,0.768,8.97,1.94,8.32,0.92,1.37,0.221,0.438,0.154,0.254,0.414,101.0,102.0,100.0,80.0,105.0,98.0,109.0,98.0,78.0,117.0,110.0,111.0,102.0,99.0,98.0,0.054,0.245,0.204,0.145,0.114,1.77,1.68,3.35,-2.03,-0.63,93.1,90.1,87.1,92.8,82.2,0.205,0.273,0.222,0.302,0.429,0.13,0.281,0.594,0.3389999999999999,0.267,0.333,0.406,134.0,107.0,110.0,0.239,0.77,81.3,0.261,0.261,0.125,0.207,0.329,0.34,,,,,,,,,,,,,,,
2023-06-22,1:06 PM.,AZ,WSH,home,Overcast.,65,674072,1B,4,0,0,0,0,0,0,0,0,1,3,0.244,0.295,0.244,0.539,674072,tommyhenry,Henry,Left,Tommy Henry,ARI,4.15,4.3,89.0,96.0,83.0,91.0,0.788,6.47,3.54,8.7,1.21,0.82,0.277,0.403,0.162,0.317,0.407,91.0,102.0,99.0,72.0,91.0,83.0,,,,92.0,101.0,93.0,,,,,0.49,,0.127,0.193,-0.88,,,2.53,-0.09,90.7,,84.0,,83.1,0.292,0.523,0.155,,,,0.158,0.281,0.287,0.278,0.444,0.331,95.0,101.0,102.0,0.191,0.71,79.1,,,,0.229,0.325,0.21,,,,,,,,,,,,,,,
2023-06-18,1:36 PM.,MIA,WSH,home,Sunny.,81,666200,3B,4,0,0,0,0,0,0,0,0,3,1,0.27,0.325,0.27,0.595,666200,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.286,0.383,0.163,0.373,0.402,93.0,99.0,100.0,106.0,103.0,100.0,82.0,100.0,97.0,111.0,97.0,105.0,68.0,87.0,76.0,0.04,0.457,0.004,0.289,0.21,0.93,0.74,-0.81,-0.26,-0.09,96.7,91.4,88.3,96.5,85.1,0.232,0.384,0.1939999999999999,,,,0.233,0.389,0.518,0.248,0.429,0.361,,,,,,,0.314,0.686,0.102,,,,,,,,,,,,,,,,,,
2023-06-14,7:11 PM.,HOU,WSH,away,Roof Closed.,73,664285,1B,0,0,0,0,0,0,0,0,0,0,0,0.303,0.361,0.303,0.664,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.246,0.443,0.109,0.374,0.445,96.0,98.0,94.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,99.0,99.0,95.0,0.468,0.001,0.034,0.087,0.157,-16.35,0.45,0.93,-0.32,0.73,95.7,89.1,90.1,95.3,84.7,,,,0.182,0.182,0.435,0.189,0.405,0.4379999999999999,0.231,0.342,0.311,118.0,98.0,106.0,0.253,1.07,80.2,0.274,0.455,0.126,0.158,0.211,0.402,,,,,,,,,,,,,,,
2023-06-10,4:11 PM.,ATL,WSH,away,Partly Cloudy.,86,694363,1B,2,1,1,0,0,0,0,0,0,0,1,0.303,0.361,0.303,0.664,694363,jaredshuster,Shuster,Left,Jared Shuster,ATL,5.81,5.44,52.2,96.0,64.0,87.0,0.802,5.13,4.44,9.06,1.2,0.76,0.277,0.382,0.133,0.272,0.417,61.0,88.0,85.0,59.0,99.0,83.0,,,,75.0,98.0,95.0,,,,,0.441,,0.329,0.23,-0.83,,,1.11,-2.01,91.4,,82.2,,84.9,0.311,0.489,0.099,,,,0.197,0.311,0.286,0.26,0.5,0.3329999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-28,1:11 PM.,KC,WSH,away,Sunny.,79,663738,3B,3,0,2,0,0,0,1,0,1,1,0,0.29,0.353,0.29,0.643,663738,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293,0.537,0.166,,,,0.238,0.452,0.288,0.125,0.156,0.347,,,,,,,0.75,1.5,0.0,0.417,0.667,0.2269999999999999,,,,,,,,,,,,,,,
2023-05-21,1:35 PM.,DET,WSH,home,Sunny.,72,666214,2B,4,0,1,0,0,0,0,0,0,2,2,0.25,0.3,0.25,0.55,666214,joeywentz,Wentz,Left,Joey Wentz,DET,6.9,5.77,105.2,100.0,89.0,95.0,0.766,8.35,4.0,11.16,2.13,0.84,0.228,0.418,0.147,0.357,0.424,95.0,101.0,98.0,80.0,100.0,92.0,,,,,,,91.0,97.0,93.0,,0.416,0.251,,0.175,-2.53,-0.57,,,-0.22,93.4,86.0,85.0,,,0.374,0.682,0.19,0.271,0.5,0.291,,,,0.189,0.392,0.318,102.0,106.0,105.0,0.158,-0.86,77.5,,,,0.247,0.356,0.285,,,,,,,,,,,,,,,
