date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C
2023-04-21,7:08 PM.,TEX,OAK,away,Partly Cloudy.,73,592351,PH,1,0,0,0,0,0,0,0,0,0,0,0.235,0.286,0.333,0.619,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.12,4.48,157.1,101.0,97.0,100.0,0.758,8.12,3.09,8.52,1.26,1.1,0.288,0.348,0.157,0.324,0.437,99.0,90.0,98.0,82.0,100.0,92.0,,,,116.0,103.0,109.0,,,,,,,,0.424,,,0.398,0.062,-1.83,,,,2.33,-1.69,95.7,,,,87.2,78.2,0.105,0.211,0.324,0.346,0.551,0.179,,,,,,,,,,0.263,0.737,0.27,77.0,96.0,97.0,0.116,1.71,88.8,0.211,0.268,0.213,,,,,,,,,
2023-04-19,12:37 PM.,CHC,OAK,home,Partly Cloudy.,56,657006,1B,3,0,0,0,0,0,0,0,1,1,1,0.24,0.291,0.34,0.631,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.06,3.5,173.1,102.0,99.0,102.0,0.781,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,87.0,98.0,109.0,88.0,102.0,98.0,45.0,95.0,88.0,123.0,104.0,111.0,,,,,,,0.018,0.626,,,0.339,0.006,0.67,,,0.89,0.54,2.44,91.8,,,92.2,83.3,80.7,0.217,0.346,0.311,0.275,0.393,0.203,,,,,,,0.25,0.333,0.1669999999999999,0.0,0.0,0.3329999999999999,69.0,85.0,78.0,0.01,-1.94,87.5,0.4,0.4,0.1,,,,,,,,,
2023-04-17,6:41 PM.,CHC,OAK,home,Partly Cloudy.,56,669713,DH,4,0,1,0,0,0,0,0,0,2,1,0.255,0.294,0.362,0.656,669713,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,4.63,5.23,89.1,101.0,101.0,102.0,0.796,8.36,3.22,8.26,2.01,1.07,0.242,0.431,0.142,0.369,0.444,,,,80.0,105.0,94.0,92.0,96.0,91.0,123.0,98.0,110.0,100.0,98.0,104.0,,,,0.189,0.296,0.1,,0.366,,-1.9,-0.42,,-0.38,1.49,,94.3,88.8,,92.9,82.0,,0.14,0.231,0.376,0.327,0.636,0.165,0.308,0.654,0.2,,,,0.273,0.545,0.145,,,,77.0,102.0,103.0,0.049,0.65,84.5,0.188,0.188,0.133,,,,,,,,,
2023-04-15,1:07 PM.,NYM,OAK,home,Sunny.,58,471911,1B,3,0,1,1,0,0,0,0,0,0,3,0.256,0.298,0.372,0.67,471911,carloscarrasco,Carrasco,Right,Carlos Carrasco,NYM,6.8,6.77,90.0,98.0,93.0,96.0,0.765,6.6,3.8,11.5,1.8,1.52,0.195,0.459,0.13,0.352,0.382,88.0,103.0,104.0,75.0,95.0,85.0,91.0,90.0,87.0,104.0,98.0,108.0,86.0,88.0,95.0,,,,0.1,0.323,0.004,,0.184,0.091,-2.35,-9.5,,-3.88,-1.99,-1.25,92.7,89.5,,91.5,84.1,80.1,0.329,0.575,0.3289999999999999,0.358,0.651,0.166,,,,,,,0.45,0.725,0.129,0.25,0.594,0.217,108.0,103.0,104.0,0.299,0.12,87.2,0.22,0.314,0.311,,,,,,,,,
2023-04-13,1:05 PM.,BAL,OAK,away,Sunny.,84,608344,1B,3,0,0,0,0,0,0,0,0,2,0,0.25,0.295,0.35,0.645,608344,coleirvin,"Irvin, C",Left,Cole Irvin,BAL,4.42,5.59,77.1,104.0,80.0,97.0,0.811,7.91,2.44,9.08,1.28,1.11,0.267,0.379,0.163,0.321,0.447,92.0,94.0,91.0,68.0,110.0,99.0,75.0,103.0,97.0,,,,99.0,99.0,94.0,,,,0.207,0.28,0.159,,,0.143,0.22,2.29,,0.95,,-0.89,92.2,85.5,,91.9,,77.2,,,,0.247,0.459,0.204,0.18,0.279,0.26,,,,0.28,0.36,0.195,0.229,0.343,0.23,75.0,106.0,101.0,0.211,-2.77,84.2,0.324,0.568,0.168,,,,,,,,,
2023-04-12,6:37 PM.,BAL,OAK,away,Clear.,84,665152,DH,4,0,2,0,0,0,1,0,0,0,3,0.27,0.317,0.378,0.695,665152,deankremer,Kremer,Right,Dean Kremer,BAL,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,93.0,94.0,98.0,106.0,103.0,102.0,84.0,106.0,99.0,116.0,98.0,105.0,104.0,106.0,102.0,,,,0.145,0.371,0.239,,0.033,0.089,0.43,0.02,,1.81,-1.43,-2.29,94.6,88.8,,91.9,82.8,78.1,0.25,0.417,0.244,0.252,0.409,0.262,0.222,0.416,0.2769999999999999,,,,0.269,0.38,0.081,0.347,0.592,0.24,86.0,91.0,93.0,0.123,-1.4,85.3,0.26,0.377,0.27,,,,,,,,,
2023-04-11,6:36 PM.,BAL,OAK,away,Partly Cloudy.,76,680570,DH,5,1,1,0,0,0,0,0,0,3,3,0.242,0.306,0.364,0.67,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.372,0.44,146.0,97.0,101.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,76.0,90.0,86.0,,,,,0.496,0.052,,0.148,0.081,-0.83,-1.59,,,1.92,-0.49,97.4,90.0,,,82.4,79.9,0.153,0.169,0.34,0.342,0.535,0.241,0.333,0.889,0.143,,,,,,,0.176,0.353,0.281,110.0,102.0,115.0,0.224,1.7,83.9,0.201,0.318,0.283,,,,,,,,,
2023-04-10,6:36 PM.,BAL,OAK,away,Clear.,64,502043,1B,1,0,1,0,0,0,0,0,0,0,0,0.25,0.323,0.393,0.716,502043,kylegibson,Gibson,Right,Kyle Gibson,BAL,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.394,90.0,102.0,99.0,78.0,96.0,89.0,93.0,101.0,97.0,110.0,105.0,107.0,90.0,95.0,92.0,,,,0.261,0.134,0.166,,0.184,0.084,-0.69,-1.02,,-0.08,2.01,0.01,92.1,89.8,,91.9,81.6,79.5,0.147,0.228,0.471,0.287,0.55,0.156,0.345,0.552,0.154,,,,0.289,0.459,0.11,0.279,0.419,0.4039999999999999,88.0,99.0,96.0,0.17,-0.29,85.5,0.288,0.453,0.291,,,,,,,,,
2023-04-09,1:10 PM.,TB,OAK,away,Dome.,72,656876,DH,3,0,0,0,0,0,0,0,0,1,0,0.222,0.3,0.37,0.67,656876,drewrasmussen,Rasmussen,Right,Drew Rasmussen,TBR,2.62,2.91,44.2,109.0,121.0,113.0,0.79,9.47,2.22,7.25,0.4,1.97,0.28,0.424,0.169,0.203,0.487,71.0,106.0,103.0,131.0,111.0,122.0,98.0,109.0,99.0,115.0,121.0,130.0,133.0,104.0,106.0,,,,0.122,0.295,0.359,,0.151,0.073,0.17,1.83,,2.15,3.01,1.91,95.7,88.2,,95.1,84.5,80.0,0.129,0.161,0.245,0.275,0.333,0.208,0.204,0.327,0.275,,,,0.273,0.364,0.171,0.2,0.2,0.261,,,,,,,,,,,,,,,,,,
2023-04-08,4:10 PM.,TB,OAK,away,Dome.,72,605488,1B,2,0,0,0,0,0,0,0,1,0,1,0.25,0.333,0.417,0.75,605488,jeffreysprings,Springs,Left,Jeffrey Springs,TBR,0.56,1.66,16.0,111.0,100.0,112.0,0.637,13.5,2.25,2.25,0.56,1.44,0.308,0.5,0.192,0.308,0.479,,,,105.0,108.0,107.0,,,,115.0,114.0,117.0,,,,,,,,0.406,,,0.251,,2.63,,,,3.79,,91.7,,,,82.2,,0.0,0.0,0.286,0.143,0.286,0.176,,,,,,,,,,,,,86.0,116.0,116.0,0.343,5.88,80.4,0.048,0.048,0.5,,,,,,,,,
