date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C
2023-07-29,5:40 PM.,SD,TEX,away,Clear.,74,506433,DH,3,0,0,0,0,0,0,0,0,2,2,0.158,0.238,0.316,0.554,506433,yudarvish,Darvish,Right,Yu Darvish,SDP,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.236,0.39,0.181,0.306,0.453,180.0,50.0,53.0,122.0,110.0,114.0,101.0,106.0,102.0,125.0,98.0,108.0,0.186,0.167,0.363,0.001,-1.74,0.46,-0.68,-1.35,94.7,82.3,94.3,84.0,0.319,0.418,0.157,0.432,0.703,0.244,,,,97.0,94.0,104.0,0.051,1.37,72.3,0.253,0.538,0.159,0.13,0.203,0.391,93.0,95.0,99.0,0.089,2.4,90.9,0.2,0.32,0.196,95.0,104.0,100.0,0.077,1.21,89.2,0.167,0.217,0.4,105.0,111.0,112.0,0.066,3.06,79.3,,,
2023-07-28,7:01 PM.,SD,TEX,away,Clear.,73,605397,C,1,0,0,0,0,0,0,0,0,0,2,0.188,0.278,0.375,0.653,605397,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,3.05,3.11,97.1,104.0,106.0,102.0,0.768,8.97,1.94,8.32,0.92,1.37,0.221,0.438,0.154,0.254,0.414,101.0,102.0,100.0,80.0,105.0,98.0,109.0,98.0,78.0,117.0,110.0,111.0,0.054,0.245,0.145,0.114,1.77,3.35,-2.03,-0.63,93.1,87.1,92.8,82.2,0.261,0.261,0.125,0.281,0.594,0.3389999999999999,0.267,0.333,0.406,134.0,107.0,110.0,0.239,0.77,81.3,0.205,0.273,0.222,0.207,0.329,0.34,102.0,99.0,98.0,0.204,1.68,90.1,0.302,0.429,0.13,,,,,,,,,,,,,,,,,,
2023-07-26,7:12 PM.,HOU,TEX,away,Roof Closed.,73,664285,C,3,1,1,0,0,1,1,0,0,1,1,0.2,0.294,0.4,0.694,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.246,0.443,0.109,0.374,0.445,96.0,98.0,94.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,0.468,0.001,0.087,0.157,-16.35,0.93,-0.32,0.73,95.7,90.1,95.3,84.7,0.274,0.455,0.126,0.189,0.405,0.4379999999999999,0.231,0.342,0.311,118.0,98.0,106.0,0.253,1.07,80.2,,,,0.158,0.211,0.402,99.0,99.0,95.0,0.034,0.45,89.1,0.182,0.182,0.435,,,,,,,,,,,,,,,,,,
2023-07-22,3:07 PM.,LAD,TEX,home,Roof Closed.,72,676272,1B,0,0,0,0,0,0,0,0,0,0,0,0.167,0.286,0.167,0.453,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,3.76,3.4,124.1,102.0,123.0,110.0,0.764,8.61,2.32,7.6,0.87,1.46,0.256,0.428,0.147,0.299,0.426,105.0,100.0,117.0,130.0,102.0,105.0,107.0,99.0,100.0,153.0,110.0,121.0,0.192,0.289,0.174,0.16,1.2,1.75,-1.0,0.6,99.0,88.2,98.8,89.7,0.258,0.382,0.178,0.5,0.75,0.25,0.133,0.307,0.3989999999999999,115.0,100.0,110.0,0.185,1.25,80.6,0.258,0.367,0.206,0.184,0.303,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-28,7:08 PM.,DET,TEX,home,Roof Closed.,74,666214,C,1,0,0,0,0,0,0,0,0,0,0,0.167,0.286,0.167,0.453,666214,joeywentz,Wentz,Left,Joey Wentz,DET,6.9,5.77,105.2,100.0,89.0,95.0,0.766,8.35,4.0,11.16,2.13,0.84,0.228,0.418,0.147,0.357,0.424,95.0,101.0,98.0,80.0,100.0,92.0,,,,,,,,0.416,,0.175,-2.53,,,-0.22,93.4,85.0,,,,,,,,,0.189,0.392,0.318,102.0,106.0,105.0,0.158,-0.86,77.5,0.374,0.682,0.19,0.247,0.356,0.285,91.0,97.0,93.0,0.251,-0.57,86.0,0.271,0.5,0.291,,,,,,,,,,,,,,,,,,
2023-06-18,1:38 PM.,TOR,TEX,home,Roof Closed.,74,605135,C,1,0,0,0,0,0,0,0,1,0,0,0.182,0.308,0.182,0.49,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.459,72.0,93.0,91.0,74.0,106.0,98.0,92.0,104.0,98.0,106.0,93.0,102.0,0.393,0.093,0.136,0.065,-3.9,2.11,-0.72,1.71,92.4,84.1,91.9,75.6,0.22,0.336,0.144,0.227,0.636,0.191,0.189,0.351,0.1009999999999999,93.0,92.0,100.0,0.126,0.67,70.7,0.333,0.652,0.206,0.192,0.295,0.318,95.0,105.0,102.0,0.153,-1.13,87.8,0.274,0.496,0.253,78.0,84.0,84.0,0.033,-3.07,82.6,0.375,0.563,0.226,,,,,,,,,
2023-05-16,7:08 PM.,ATL,TEX,home,Roof Closed.,74,694363,DH,3,0,0,0,0,0,0,0,0,2,0,0.2,0.273,0.2,0.473,694363,jaredshuster,Shuster,Left,Jared Shuster,ATL,5.81,5.44,52.2,96.0,64.0,87.0,0.802,5.13,4.44,9.06,1.2,0.76,0.277,0.382,0.133,0.272,0.417,61.0,88.0,85.0,59.0,99.0,83.0,,,,75.0,98.0,95.0,,0.441,0.329,0.23,-0.83,,1.11,-2.01,91.4,82.2,,84.9,,,,0.197,0.311,0.286,0.26,0.5,0.3329999999999999,,,,,,,0.311,0.489,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-15,7:07 PM.,ATL,TEX,home,Roof Closed.,74,450203,C,1,0,1,0,0,0,0,0,0,0,0,0.286,0.375,0.286,0.661,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,3.64,4.64,163.1,96.0,106.0,98.0,0.704,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.137,0.343,0.379,100.0,91.0,88.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,0.068,0.317,,0.103,-1.26,-4.03,,0.86,94.9,86.0,94.2,,0.474,0.711,0.071,,,,0.25,0.339,0.336,139.0,100.0,111.0,0.432,1.79,82.3,0.292,0.482,0.225,0.177,0.258,0.42,89.0,92.0,87.0,0.08,0.25,89.1,0.296,0.407,0.3,,,,,,,,,,,,,,,,,,
2023-05-14,1:07 PM.,OAK,TEX,away,Sunny.,71,676664,DH,2,0,0,0,0,0,0,0,0,1,2,0.167,0.286,0.167,0.453,676664,jpsears,Sears,Left,JP Sears,OAK,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.283,0.416,0.178,0.301,0.438,83.0,100.0,102.0,93.0,102.0,96.0,,,,93.0,102.0,106.0,0.001,0.501,0.346,0.151,-0.84,0.63,-0.06,0.36,93.1,84.1,92.1,81.4,,,,0.21,0.395,0.283,0.277,0.438,0.225,,,,,,,0.256,0.478,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-12,6:41 PM.,OAK,TEX,away,Clear.,65,686610,DH,3,0,1,0,0,0,0,0,1,2,3,0.25,0.4,0.25,0.65,686610,kenwaldichuk,Waldichuk,Left,Ken Waldichuk,OAK,5.36,4.67,141.0,95.0,91.0,93.0,0.767,8.43,4.53,9.51,1.53,0.99,0.223,0.401,0.155,0.31,0.414,92.0,90.0,88.0,89.0,95.0,92.0,,,,96.0,99.0,100.0,,0.543,0.271,0.166,-0.52,,-0.79,-1.4,93.3,84.2,,81.1,,,,0.218,0.423,0.3279999999999999,0.34,0.515,0.374,93.0,77.0,85.0,0.02,-3.62,74.5,0.275,0.493,0.178,0.333,0.833,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-11,6:42 PM.,OAK,TEX,away,Clear.,60,665622,DH,1,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,665622,luismedina,Medina,Right,Luis Medina,OAK,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.352,0.416,84.0,86.0,90.0,112.0,93.0,94.0,117.0,96.0,96.0,106.0,97.0,100.0,0.142,0.415,0.238,0.087,-0.35,-0.8,-0.8,1.25,96.1,87.3,95.5,85.3,0.313,0.406,0.141,0.233,0.456,0.484,0.256,0.282,0.304,99.0,96.0,98.0,0.117,-0.73,79.6,0.272,0.494,0.121,0.146,0.366,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-28,1:08 PM.,KC,TEX,home,Roof Closed.,74,663903,C,1,1,0,0,0,0,0,0,1,0,1,0.286,0.353,0.643,0.996,663903,bradysinger,Singer,Right,Brady Singer,KCR,5.52,4.93,159.2,100.0,84.0,95.0,0.789,7.5,2.76,10.26,1.13,1.62,0.23,0.439,0.119,0.387,0.443,53.0,96.0,88.0,89.0,-304.0,-276.0,86.0,99.0,90.0,86.0,101.0,104.0,0.51,0.002,0.426,0.063,-2.24,-1.24,0.01,-0.3,90.9,87.7,92.1,84.0,0.339,0.555,0.113,0.0,0.0,0.6,0.265,0.353,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17,7:08 PM.,NYM,TEX,home,Roof Closed.,74,656849,C,3,0,0,0,0,0,0,0,1,2,2,0.0,0.25,0.0,0.25,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,2.9,4.59,121.0,98.0,94.0,96.0,0.77,7.51,3.42,8.18,0.6,1.72,0.247,0.362,0.138,0.306,0.412,97.0,90.0,93.0,70.0,103.0,94.0,102.0,98.0,95.0,115.0,99.0,104.0,0.31,0.265,0.184,0.164,0.39,1.83,-1.81,0.03,93.1,84.7,91.9,85.1,0.253,0.36,0.16,0.287,0.447,0.339,0.211,0.324,0.271,83.0,102.0,100.0,0.076,0.11,79.1,0.22,0.266,0.287,0.207,0.345,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15,4:16 PM.,SEA,TEX,away,Partly Cloudy.,59,669923,PR,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,,,,102.0,107.0,101.0,106.0,108.0,108.0,110.0,104.0,110.0,0.236,0.339,0.237,,0.46,1.5,1.28,,96.0,,96.0,87.2,0.263,0.354,0.105,0.226,0.316,0.271,,,,,,,,,,0.221,0.458,0.291,0.333,0.439,0.286,97.0,99.0,93.0,0.004,0.79,92.3,,,,109.0,100.0,108.0,0.102,-2.05,86.0,0.253,0.413,0.295,114.0,110.0,113.0,0.082,-1.95,83.4,73.9,0.0,-3.5
2024-04-20,7:20 PM.,ATL,TEX,away,Partly Cloudy.,69,450203,C,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.19,4.49,165.1,98.0,95.0,97.0,0.753,9.09,3.54,8.38,1.25,1.42,0.235,0.437,0.144,0.327,0.408,86.0,97.0,93.0,72.0,99.0,90.0,79.0,96.0,88.0,,,,0.099,0.289,,0.11,-1.4,0.39,,-1.38,94.1,85.0,93.5,,0.333,0.433,0.07,,,,0.292,0.6,0.333,122.0,98.0,108.0,0.424,0.78,81.5,0.281,0.517,0.193,0.2,0.309,0.342,73.0,92.0,86.0,0.078,-0.75,88.5,0.286,0.571,0.149,,,,,,,,,,,,,,,,,,
