date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,KC%,CH%,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFC,vCH,vSI,vSL,vKC,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,FA%,CU%,wFA/C,wCU/C,vFA,vCU,FF_ba,FF_slg,FF_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023/05/23,6:41 PM.,MIN,SF,away,Clear.,83,543243,CF,1,0,0,0,0,0,1,0,1,1,1,.176,.216,.294,.510,543243,sonnygray,"Gray, So",Right,Sonny Gray,MIN,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.143,0.3,0.422,84.0,95.0,89.0,82.0,99.0,94.0,122.0,108.0,121.0,,,,118.0,102.0,102.0,0.157,0.131,0.205,0.001,0.067,1.3,-0.46,3.25,-0.41,-0.63,87.6,87.9,92.8,84.3,72.9,0.265,0.368,0.278,0.275,0.413,0.177,0.096,0.117,0.413,0.257,0.371,0.282,0.27,0.405,0.174,91.0,98.0,101.0,105.0,99.0,100.0,0.271,0.168,0.61,0.87,92.9,79.6,0.301,0.422,0.16399999999999998,,,,,,,,,,,,
2023/05/22,6:41 PM.,MIN,SF,away,Clear.,81,641927,LF,0,0,0,0,0,0,0,0,0,0,0,.182,.200,.303,.503,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.43,3.63,144.1,105.0,83.0,101.0,0.739,9.1,1.81,7.79,1.37,0.69,0.22,0.435,0.152,0.324,0.411,94.0,106.0,105.0,,,,83.0,99.0,96.0,,,,,,,,,0.196,,0.28,,,-0.7,,1.08,,83.7,,81.0,,,,,,,,0.255,0.48,0.32899999999999996,0.194,0.306,0.161,0.226,0.35,0.298,100.0,108.0,106.0,73.0,107.0,99.0,0.457,0.067,0.75,1.44,91.3,77.5,0.232,0.425,0.27699999999999997,,,,,,,,,,,,
2023/05/21,1:05 PM.,MIA,SF,home,Sunny.,63,666200,CF,3,1,1,1,0,0,0,0,0,0,2,.182,.200,.303,.503,666200,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.286,0.383,0.163,0.373,0.402,93.0,99.0,100.0,82.0,100.0,97.0,111.0,97.0,105.0,,,,68.0,87.0,76.0,0.04,0.004,0.289,,0.21,0.74,-0.81,-0.26,,-0.09,91.4,88.3,96.5,85.1,,,,,0.314,0.686,0.102,0.233,0.389,0.518,,,,0.248,0.429,0.361,,,,106.0,103.0,100.0,0.457,,0.93,,96.7,,0.232,0.384,0.19399999999999998,,,,,,,,,,,,
2023/05/20,1:05 PM.,MIA,SF,home,Cloudy.,58,666129,CF,3,0,1,0,0,0,0,0,0,1,0,.167,.188,.267,.455,666129,braxtongarrett,"Garrett, B",Left,Braxton Garrett,MIA,3.66,4.58,159.2,101.0,91.0,97.0,0.762,8.79,1.63,8.68,1.13,1.72,0.184,0.501,0.13,0.413,0.434,85.0,95.0,86.0,91.0,102.0,97.0,100.0,102.0,102.0,,,,95.0,100.0,97.0,0.317,0.177,0.258,,0.088,1.53,1.06,0.45,,0.73,87.5,84.1,90.5,82.8,,0.243,0.477,0.247,0.256,0.377,0.107,0.169,0.302,0.408,0.5,1.059,0.2,0.286,0.327,0.327,80.0,97.0,95.0,79.0,101.0,93.0,0.075,0.084,-1.84,-4.44,90.8,77.7,0.325,0.575,0.159,,,,,,,,,,,,
2023/05/19,7:18 PM.,MIA,SF,home,Partly Cloudy.,57,645261,CF,0,0,0,0,0,0,0,0,0,0,0,.148,.172,.259,.431,645261,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,MIA,4.14,4.33,184.2,105.0,113.0,108.0,0.771,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.343,0.452,108.0,104.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,,,,0.29,,0.201,,0.273,,1.72,0.72,,-0.43,,91.1,97.6,89.9,,,,,0.237,0.366,0.124,0.227,0.364,0.35200000000000004,0.308,0.308,0.182,0.282,0.401,0.299,134.0,99.0,105.0,111.0,111.0,107.0,0.213,0.022,-0.27,-0.52,98.0,86.1,0.253,0.448,0.267,,,,,,,,,,,,
2023/05/17,12:46 PM.,PHI,SF,home,Sunny.,60,592836,CF,0,0,0,0,0,0,0,0,0,0,0,.148,.172,.259,.431,592836,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,4.38,4.36,172.2,99.0,94.0,97.0,0.808,7.19,3.7,8.08,1.04,1.21,0.217,0.43,0.167,0.326,0.382,,,,81.0,100.0,93.0,124.0,109.0,114.0,,,,99.0,103.0,100.0,0.233,0.176,0.026,,,-0.44,0.53,-1.43,,,87.1,,92.4,82.5,,0.284,0.441,0.158,0.273,0.429,0.1,0.158,0.632,0.342,0.212,0.485,0.36,,,,92.0,91.0,94.0,79.0,98.0,90.0,0.176,0.057,-0.82,-1.07,92.8,74.8,0.257,0.541,0.254,,,,104.0,97.0,100.0,0.332,0.48,87.9,0.205,0.295,0.244
2023/05/16,6:46 PM.,PHI,SF,home,Clear.,64,554430,CF,0,0,0,0,0,0,0,0,0,0,0,.148,.172,.259,.431,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.279,0.38,0.214,0.313,0.421,48.0,106.0,77.0,105.0,105.0,107.0,107.0,101.0,111.0,,,,96.0,102.0,102.0,0.18,0.144,0.123,,0.004,-0.63,1.62,0.36,,-6.22,90.9,90.8,95.2,84.4,,0.27,0.426,0.228,0.252,0.308,0.192,0.198,0.36,0.392,0.264,0.473,0.33,,,,116.0,105.0,114.0,112.0,109.0,114.0,0.435,0.115,1.69,-1.61,95.8,81.4,0.199,0.333,0.314,,,,,,,,,,,,
2023/05/15,6:46 PM.,PHI,SF,home,Clear.,60,641401,CF,4,1,1,0,0,0,0,0,0,0,1,.148,.172,.259,.431,641401,connorbrogdon,Brogdon,Right,Connor Brogdon,PHI,4.03,4.67,29.0,102.0,101.0,101.0,0.737,8.07,4.03,9.0,1.55,0.82,0.31,0.356,0.195,0.241,0.384,101.0,108.0,109.0,,,,,,,,,,99.0,97.0,91.0,,0.244,,,0.43,-2.32,,,,0.46,87.5,83.2,,,,0.4,0.52,0.273,,,,,,,,,,0.188,0.271,0.316,,,,104.0,96.0,97.0,0.325,,-1.73,,94.7,,0.278,0.722,0.233,,,,,,,,,,,,
2023/05/12,6:40 PM.,AZ,SF,away,Clear.,93,669194,CF,1,0,0,0,0,0,0,0,0,1,2,.130,.160,.261,.421,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,5.31,5.27,144.0,104.0,101.0,103.0,0.823,6.0,2.88,9.94,1.5,0.83,0.229,0.413,0.131,0.362,0.463,96.0,96.0,98.0,,,,106.0,105.0,113.0,,,,101.0,111.0,105.0,,0.135,0.134,,0.133,-1.72,,0.52,,-0.16,85.6,83.3,,81.7,,0.326,0.539,0.218,,,,0.174,0.565,0.257,0.429,0.714,0.182,0.203,0.407,0.312,99.0,94.0,98.0,102.0,104.0,103.0,0.546,0.052,-0.72,-2.44,94.4,76.4,0.308,0.553,0.16699999999999998,,,,,,,,,,,,
2023/05/11,6:40 PM.,AZ,SF,away,Clear.,88,674072,CF,2,0,0,0,0,0,1,0,1,0,2,.136,.167,.273,.440,674072,tommyhenry,Henry,Left,Tommy Henry,ARI,4.15,4.3,89.0,96.0,83.0,91.0,0.788,6.47,3.54,8.7,1.21,0.82,0.277,0.403,0.162,0.317,0.407,91.0,102.0,99.0,,,,92.0,101.0,93.0,,,,,,,,,0.127,,0.193,,,2.53,,-0.09,,84.0,,83.1,,,,,,,,0.158,0.281,0.287,0.229,0.325,0.21,0.278,0.444,0.331,95.0,101.0,102.0,72.0,91.0,83.0,0.49,0.191,-0.88,0.71,90.7,79.1,0.292,0.523,0.155,,,,,,,,,,,,
2023/04/12,6:45 PM.,LAD,SF,home,Clear.,55,477132,CF,0,0,0,0,0,0,0,0,0,0,0,.150,.150,.300,.450,477132,claytonkershaw,Kershaw,Left,Clayton Kershaw,LAD,2.46,3.77,131.2,100.0,101.0,101.0,0.733,9.36,2.73,6.84,1.3,1.43,0.23,0.493,0.155,0.332,0.425,34.0,98.0,91.0,90.0,115.0,107.0,112.0,102.0,104.0,,,,,,,0.002,,0.434,,0.017,,14.84,2.06,,-0.46,,84.6,90.9,86.5,,,,,0.0,0.0,0.0,0.167,0.338,0.36200000000000004,0.212,0.338,0.33799999999999997,0.2,0.2,0.6,94.0,100.0,106.0,96.0,97.0,96.0,0.369,0.175,0.23,0.13,90.7,73.4,0.281,0.451,0.09699999999999999,,,,116.0,127.0,165.0,0.002,13.51,84.4,0.0,0.0,0.0
2023/04/11,6:46 PM.,LAD,SF,home,Partly Cloudy.,56,669160,CF,4,0,0,0,0,0,0,0,0,3,1,.150,.150,.300,.450,669160,dustinmay,May,Right,Dustin May,LAD,2.63,3.4,48.0,103.0,120.0,109.0,0.872,6.38,3.0,5.44,0.19,1.3,0.252,0.43,0.156,0.244,0.459,66.0,93.0,97.0,117.0,102.0,108.0,,,,,,,113.0,111.0,107.0,0.335,0.148,,,0.045,3.03,3.59,,,2.6,93.0,90.9,96.6,,,0.161,0.226,0.14300000000000002,0.161,0.25,0.125,,,,0.167,0.2,0.226,0.1,0.1,0.077,149.0,102.0,118.0,117.0,103.0,106.0,0.269,0.203,0.48,0.6,97.3,86.3,0.22,0.341,0.17800000000000002,,,,,,,,,,,,
2023/04/10,6:45 PM.,LAD,SF,home,Cloudy.,55,628711,CF,4,0,0,0,0,0,0,0,0,3,3,.188,.188,.375,.563,628711,juliourias,"Urías, J",Left,Julio Urías,LAD,4.6,4.16,117.1,105.0,105.0,107.0,0.788,8.97,1.84,8.59,1.84,0.82,0.234,0.471,0.192,0.312,0.453,91.0,109.0,108.0,,,,,,,,,,109.0,124.0,127.0,,0.092,,,0.157,-0.42,,,,-3.03,87.1,86.1,,,,0.186,0.322,0.278,,,,,,,,,,0.296,0.593,0.299,132.0,103.0,112.0,90.0,101.0,98.0,0.451,0.3,0.02,0.84,92.7,79.2,0.267,0.503,0.218,0.233,0.457,0.22899999999999998,,,,,,,,,
2023/04/09,1:07 PM.,KC,SF,home,Partly Cloudy.,65,663460,CF,3,1,1,0,0,0,0,0,0,1,2,.250,.250,.500,.750,663460,krisbubic,Bubic,Left,Kris Bubic,KCR,3.94,4.04,16.0,102.0,84.0,97.0,0.725,9.0,1.13,10.69,0.56,1.47,0.224,0.306,0.082,0.429,0.458,84.0,102.0,105.0,,,,85.0,119.0,101.0,,,,,,,,,0.148,,0.246,,,3.15,,1.25,,82.2,,83.6,,,,,,,,0.182,0.182,0.26899999999999996,0.143,0.357,0.25,0.263,0.263,0.41700000000000004,75.0,104.0,99.0,85.0,100.0,93.0,0.424,0.182,-1.95,1.97,91.7,80.9,0.476,0.619,0.228,,,,,,,,,,,,
2023/04/08,1:05 PM.,KC,SF,home,Overcast.,59,663903,CF,3,0,0,0,0,0,0,0,0,2,0,.222,.222,.556,.778,663903,bradysinger,Singer,Right,Brady Singer,KCR,5.52,4.93,159.2,100.0,84.0,95.0,0.789,7.5,2.76,10.26,1.13,1.62,0.23,0.439,0.119,0.387,0.443,53.0,96.0,88.0,86.0,99.0,90.0,86.0,101.0,104.0,,,,,,,0.51,,0.426,,0.063,,-1.24,0.01,,-0.3,,87.7,92.1,84.0,,,,,0.339,0.555,0.113,0.0,0.0,0.6,,,,0.265,0.353,0.10400000000000001,,,,89.0,-304.0,-276.0,0.002,,-2.24,,90.9,,,,,,,,,,,,,,,,
2023/04/07,1:37 PM.,KC,SF,home,Cloudy.,57,641745,CF,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.833,1.166,641745,bradkeller,"Keller, B",Right,Brad Keller,KCR,4.57,5.66,45.1,87.0,100.0,89.0,0.789,6.15,8.93,8.34,0.6,2.08,0.22,0.439,0.106,0.242,0.382,91.0,90.0,78.0,66.0,74.0,70.0,135.0,84.0,78.0,,,,,,,0.104,,0.265,,0.123,,0.62,0.26,,1.66,,90.8,92.5,84.3,,,,,0.143,0.143,0.08,0.5,0.5,0.0,0.267,0.378,0.27899999999999997,0.125,0.125,0.273,120.0,90.0,92.0,94.0,88.0,90.0,0.311,0.197,-2.21,-0.24,93.3,85.1,0.359,0.564,0.165,,,,,,,,,,,,
2023/04/06,1:11 PM.,CWS,SF,away,Sunny.,46,458681,CF,2,0,0,0,0,0,0,0,0,1,3,.333,.333,.833,1.166,458681,lancelynn,Lynn,Right,Lance Lynn,- - -,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.241,0.419,0.17,0.32,0.403,56.0,95.0,90.0,93.0,95.0,87.0,97.0,98.0,106.0,,,,104.0,105.0,99.0,0.126,0.23,0.063,,0.07,-0.35,1.21,-3.65,,-1.23,88.7,84.9,91.4,83.0,,0.273,0.512,0.267,0.239,0.394,0.177,0.286,0.446,0.308,0.208,0.453,0.354,0.302,0.372,0.29600000000000004,109.0,97.0,106.0,92.0,105.0,104.0,0.437,0.074,-0.4,-2.24,92.4,80.8,0.255,0.52,0.316,,,,,,,,,,,,
2023/04/05,1:10 PM.,CWS,SF,away,Overcast.,67,656302,CF,2,0,1,0,0,0,0,0,0,0,1,.500,.500,1.250,1.750,656302,dylancease,Cease,Right,Dylan Cease,CHW,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.432,0.173,0.341,0.376,60.0,90.0,78.0,,,,120.0,101.0,108.0,83.0,94.0,99.0,,,,,,0.386,0.152,0.03,,,0.4,-1.83,1.0,,74.6,,86.3,80.2,,,,,,,0.216,0.339,0.433,0.298,0.538,0.249,0.111,0.111,0.5379999999999999,,,,125.0,95.0,103.0,0.432,,-0.15,,95.6,,0.273,0.436,0.205,,,,,,,,,,,,
2023/04/03,2:12 PM.,CWS,SF,away,Cloudy.,57,656629,CF,1,1,1,0,0,1,1,0,0,0,0,.500,.500,2.000,2.500,656629,michaelkopech,Kopech,Right,Michael Kopech,CHW,5.43,5.77,129.1,91.0,108.0,94.0,0.755,9.32,6.33,8.0,2.02,0.75,0.243,0.41,0.155,0.347,0.384,73.0,82.0,76.0,,,,102.0,97.0,99.0,,,,,,,,,0.272,,0.074,,,-1.5,,0.15,,88.7,,84.8,,,,,,,,0.258,0.516,0.27399999999999997,0.158,0.474,0.19399999999999998,0.133,0.3,0.33899999999999997,96.0,97.0,97.0,116.0,89.0,94.0,0.614,0.04,-0.71,-0.94,95.2,80.6,0.244,0.462,0.264,,,,,,,,,,,,
2023/04/01,4:09 PM.,NYY,SF,away,Sunny.,68,657376,CF,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,4.64,4.33,159.0,102.0,102.0,104.0,0.783,8.43,2.6,9.57,1.36,1.16,0.232,0.447,0.154,0.309,0.439,31.0,95.0,88.0,68.0,103.0,88.0,109.0,99.0,107.0,146.0,100.0,118.0,96.0,106.0,105.0,0.241,0.279,0.274,0.191,0.015,0.27,-0.2,-0.59,-0.46,-7.35,91.3,89.4,93.4,86.0,83.7,0.28,0.457,0.222,0.288,0.447,0.11,0.276,0.559,0.263,0.198,0.314,0.345,0.5,0.5,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,
