date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FO%,wFO/C,vFO
2023/08/19,6:12 PM.,HOU,SEA,away,Roof Closed.,73,664285,LF,5,0,1,0,1,0,1,0,0,2,4,.269,.364,.463,.827,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.246,0.443,0.109,0.374,0.445,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,0.468,0.001,0.087,0.253,0.157,-16.35,0.93,-0.32,1.07,0.73,95.7,90.1,95.3,84.7,80.2,,,,0.231,0.342,0.311,0.189,0.405,0.43799999999999994,0.158,0.211,0.402,0.274,0.455,0.126,,,,,,,,,,99.0,99.0,95.0,0.034,0.45,89.1,0.182,0.182,0.435,,,,,,,,,
2023/08/18,7:10 PM.,HOU,SEA,away,Roof Closed.,73,641585,LF,4,0,0,0,0,0,0,0,0,0,3,.274,.375,.452,.827,641585,jpfrance,"France, J",Right,J.P. France,HOU,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.454,75.0,102.0,112.0,116.0,98.0,100.0,101.0,97.0,98.0,,,,109.0,99.0,105.0,,0.431,0.091,0.137,0.152,-0.26,,-2.09,0.16,2.51,93.0,81.8,,80.1,76.0,0.308,0.481,0.106,0.183,0.237,0.308,0.25,0.533,0.298,0.145,0.273,0.42200000000000004,,,,,,,,,,,,,116.0,108.0,103.0,0.189,0.33,86.8,0.317,0.446,0.22,,,,,,,,,
2023/08/17,1:11 PM.,KC,SEA,away,Sunny.,82,672582,LF,3,2,2,1,0,0,0,1,1,1,2,.293,.397,.483,.880,672582,angelzerpa,Zerpa,Left,Angel Zerpa,KCR,4.85,4.36,42.2,101.0,77.0,96.0,0.822,7.59,1.69,9.7,1.48,1.6,0.224,0.418,0.164,0.381,0.46,67.0,97.0,93.0,,,,59.0,100.0,88.0,80.0,106.0,98.0,106.0,102.0,107.0,0.232,0.335,0.239,,0.194,0.43,0.96,-0.82,,-2.48,94.5,86.9,94.6,86.2,,0.222,0.407,0.21600000000000003,0.379,0.552,0.313,0.244,0.463,0.231,,,,0.289,0.467,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/16,7:11 PM.,KC,SEA,away,Clear.,82,663704,LF,4,0,0,0,0,0,0,0,1,1,0,.273,.375,.455,.830,663704,jamesmcarthur,McArthur,Right,James McArthur,KCR,4.63,2.97,23.1,103.0,114.0,106.0,0.764,8.87,0.77,7.71,0.77,2.31,0.313,0.469,0.203,0.344,0.478,,,,142.0,106.0,119.0,64.0,122.0,91.0,94.0,100.0,96.0,103.0,101.0,102.0,0.349,0.018,0.243,0.387,,3.38,-1.25,2.66,1.52,,92.8,,94.1,86.4,82.2,,,,,,,0.263,0.368,0.302,0.194,0.25,0.353,0.286,0.679,0.064,,,,,,,,,,104.0,61.0,62.0,0.003,-3.87,90.4,,,,,,,,,,,,
2023/08/15,7:10 PM.,KC,SEA,away,Partly Cloudy.,76,543475,DH,1,1,0,0,0,0,0,0,0,1,2,.294,.390,.490,.880,543475,jordanlyles,Lyles,Right,Jordan Lyles,KCR,6.28,4.93,177.2,101.0,85.0,97.0,0.817,6.08,2.28,8.92,1.98,0.69,0.217,0.463,0.139,0.332,0.402,73.0,95.0,90.0,95.0,97.0,99.0,75.0,101.0,92.0,76.0,103.0,88.0,99.0,107.0,110.0,0.131,0.306,0.247,0.131,0.109,1.11,-0.01,-1.31,-1.6,-1.66,91.2,85.5,90.5,80.2,79.4,0.227,0.444,0.154,0.26,0.481,0.257,0.28,0.543,0.249,0.238,0.476,0.21899999999999997,0.248,0.457,0.158,,,,,,,,,,96.0,99.0,98.0,0.076,-0.94,86.8,0.314,0.725,0.19,,,,,,,,,
2023/08/14,7:10 PM.,KC,SEA,away,Clear.,76,663903,LF,2,0,0,0,0,0,0,0,1,1,0,.300,.397,.500,.897,663903,bradysinger,Singer,Right,Brady Singer,KCR,5.52,4.93,159.2,100.0,84.0,95.0,0.789,7.5,2.76,10.26,1.13,1.62,0.23,0.439,0.119,0.387,0.443,53.0,96.0,88.0,,,,89.0,-304.0,-276.0,86.0,99.0,90.0,86.0,101.0,104.0,0.51,0.002,0.426,,0.063,-2.24,-1.24,0.01,,-0.3,90.9,87.7,92.1,84.0,,,,,0.265,0.353,0.10400000000000001,0.0,0.0,0.6,,,,0.339,0.555,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/13,1:11 PM.,BAL,SEA,home,Sunny.,82,680694,LF,3,0,0,0,0,0,0,0,0,3,1,.313,.400,.521,.921,680694,kylebradish,Bradish,Right,Kyle Bradish,BAL,2.83,3.77,168.2,103.0,126.0,105.0,0.759,8.96,2.35,7.04,0.75,1.61,0.258,0.336,0.116,0.269,0.432,97.0,100.0,98.0,135.0,105.0,109.0,101.0,96.0,96.0,88.0,104.0,98.0,171.0,105.0,116.0,0.207,0.224,0.313,0.173,0.083,-1.0,1.53,1.77,3.99,-0.36,94.5,90.8,95.0,88.1,84.8,0.366,0.602,0.15,0.259,0.37,0.114,0.168,0.272,0.364,0.142,0.165,0.35600000000000004,0.23,0.367,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/12,6:52 PM.,BAL,SEA,home,Clear.,78,608344,LF,2,0,1,0,0,0,0,0,0,1,1,.333,.423,.556,.979,608344,coleirvin,"Irvin, C",Left,Cole Irvin,BAL,4.42,5.59,77.1,104.0,80.0,97.0,0.811,7.91,2.44,9.08,1.28,1.11,0.267,0.379,0.163,0.321,0.447,75.0,106.0,101.0,92.0,94.0,91.0,68.0,110.0,99.0,75.0,103.0,97.0,,,,0.207,0.28,,0.143,0.211,0.22,0.95,,-0.89,-2.77,92.2,84.2,91.9,,77.2,0.247,0.459,0.204,0.324,0.568,0.168,,,,0.229,0.343,0.23,0.28,0.36,0.195,,,,,,,,,,99.0,99.0,94.0,0.159,2.29,85.5,0.18,0.279,0.26,,,,,,,,,
2023/08/11,7:11 PM.,BAL,SEA,home,Clear.,75,502043,LF,4,1,2,0,0,0,0,0,0,1,1,.326,.420,.558,.978,502043,kylegibson,Gibson,Right,Kyle Gibson,BAL,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.394,88.0,99.0,96.0,90.0,102.0,99.0,78.0,96.0,89.0,93.0,101.0,97.0,110.0,105.0,107.0,0.261,0.134,0.184,0.084,0.17,-0.69,-0.08,2.01,0.01,-0.29,92.1,85.5,91.9,81.6,79.5,0.287,0.55,0.156,0.288,0.453,0.29100000000000004,0.147,0.228,0.47100000000000003,0.279,0.419,0.40399999999999997,0.289,0.459,0.11,,,,,,,,,,90.0,95.0,92.0,0.166,-1.02,89.8,0.345,0.552,0.154,,,,,,,,,
2023/08/09,6:40 PM.,SD,SEA,home,Partly Cloudy.,75,506433,LF,3,2,2,0,0,0,1,0,1,1,2,.308,.413,.564,.977,506433,yudarvish,Darvish,Right,Yu Darvish,SDP,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.236,0.39,0.181,0.306,0.453,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,101.0,106.0,102.0,125.0,98.0,108.0,0.186,0.167,0.363,0.051,0.001,-1.74,0.46,-0.68,1.37,-1.35,94.7,82.3,94.3,84.0,72.3,0.253,0.538,0.159,,,,0.432,0.703,0.244,0.13,0.203,0.391,0.319,0.418,0.157,95.0,104.0,100.0,0.077,1.21,89.2,0.167,0.217,0.4,93.0,95.0,99.0,0.089,2.4,90.9,0.2,0.32,0.196,105.0,111.0,112.0,0.066,3.06,79.3,,,
2023/08/06,1:07 PM.,LAA,SEA,away,Sunny.,90,681217,LF,4,0,0,0,0,0,0,0,0,2,2,.278,.381,.556,.937,681217,chasesilseth,Silseth,Right,Chase Silseth,LAA,3.96,4.27,52.1,97.0,93.0,97.0,0.741,9.63,4.47,7.05,1.55,1.68,0.153,0.496,0.117,0.401,0.411,,,,107.0,93.0,97.0,93.0,90.0,85.0,82.0,105.0,97.0,102.0,94.0,102.0,0.148,0.349,0.229,0.024,,-1.53,1.39,1.7,-5.15,,95.0,,94.3,82.0,79.4,0.255,0.553,0.248,,,,0.143,0.571,0.14300000000000002,0.333,1.333,0.0,0.344,0.469,0.14,84.0,108.0,116.0,0.167,1.35,87.2,0.137,0.294,0.345,99.0,92.0,92.0,0.084,3.24,90.3,0.167,0.167,0.268,,,,,,,,,
2023/08/04,6:38 PM.,LAA,SEA,away,Clear.,82,672282,LF,2,0,0,0,0,0,0,0,1,0,2,.313,.421,.625,1.046,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,4.48,4.55,148.2,99.0,101.0,99.0,0.749,10.17,3.63,8.54,1.15,0.91,0.223,0.444,0.139,0.362,0.438,92.0,101.0,97.0,93.0,94.0,105.0,87.0,101.0,95.0,,,,124.0,100.0,102.0,,0.432,0.319,0.194,0.054,-0.38,,0.91,0.14,-2.03,94.3,84.8,,88.7,74.7,0.291,0.505,0.212,0.242,0.424,0.24600000000000002,0.0,0.0,0.267,0.191,0.326,0.28600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/03,6:37 PM.,LAA,SEA,away,Clear.,79,660271,LF,4,1,2,0,0,1,4,0,0,1,1,.333,.429,.667,1.096,660271,shoheiohtani,Ohtani,Right,Shohei Ohtani,LAA,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.343,0.457,,,,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,0.06,0.33,0.356,0.036,,1.64,-0.53,1.81,1.15,,96.8,,94.5,83.7,75.7,0.164,0.236,0.27,,,,0.146,0.339,0.365,0.111,0.167,0.41700000000000004,0.273,0.409,0.225,129.0,93.0,108.0,0.062,-0.25,88.6,0.179,0.205,0.41100000000000003,96.0,89.0,88.0,0.156,-0.82,88.6,0.31,0.606,0.228,,,,,,,,,
2023/08/02,1:10 PM.,BOS,SEA,home,Sunny.,77,676710,PH,1,0,1,0,0,0,1,0,0,0,0,.308,.419,.577,.996,676710,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.04,3.25,129.1,102.0,105.0,104.0,0.761,9.39,2.51,7.45,1.18,0.71,0.219,0.427,0.188,0.319,0.418,,,,,,,111.0,107.0,108.0,,,,113.0,110.0,113.0,,0.391,0.132,,,1.44,,1.5,,,93.6,,,82.5,,0.163,0.326,0.258,,,,0.15,0.25,0.376,0.34,0.642,0.2,,,,88.0,95.0,103.0,0.077,-0.82,82.4,0.214,0.357,0.214,108.0,94.0,95.0,0.281,0.35,88.6,0.289,0.43,0.244,92.0,101.0,103.0,0.119,-1.47,79.4,,,
2023/08/01,6:41 PM.,BOS,SEA,home,Clear.,77,678394,LF,4,1,2,0,0,0,0,0,0,0,1,.280,.400,.560,.960,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.194,0.48,0.144,0.351,0.408,80.0,103.0,99.0,,,,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,0.364,0.207,0.175,,0.239,-1.91,0.52,-1.86,,1.38,95.5,86.2,95.0,85.3,,0.31,0.646,0.19899999999999998,0.196,0.291,0.387,0.3,0.456,0.259,,,,0.278,0.435,0.16,,,,,,,,,,88.0,100.0,88.0,0.015,-6.73,89.1,0.462,1.077,0.20800000000000002,,,,,,,,,
2023/07/31,6:41 PM.,BOS,SEA,home,Clear.,74,601713,LF,3,1,1,1,0,0,0,0,0,1,1,.238,.385,.571,.956,601713,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,4.04,3.98,142.2,102.0,119.0,107.0,0.733,11.54,3.15,6.94,1.45,0.87,0.231,0.438,0.124,0.354,0.421,,,,117.0,102.0,106.0,125.0,101.0,109.0,,,,124.0,107.0,112.0,,0.506,0.165,0.247,,0.57,,1.59,-0.09,,94.6,,,85.8,79.4,0.214,0.44,0.247,,,,0.114,0.182,0.43799999999999994,0.215,0.4,0.313,,,,49.0,109.0,69.0,0.005,-13.1,84.8,0.25,1.0,0.16699999999999998,78.0,104.0,98.0,0.078,0.67,88.4,0.267,0.467,0.379,,,,,,,,,
2023/07/30,1:11 PM.,AZ,SEA,away,Roof Closed.,78,518876,LF,3,0,0,0,0,0,0,0,1,1,5,.222,.391,.556,.947,518876,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,99.0,108.0,114.0,121.0,105.0,111.0,78.0,104.0,97.0,85.0,105.0,95.0,104.0,112.0,110.0,0.122,0.301,0.055,0.11,0.231,0.04,0.83,-0.64,-0.45,2.43,92.2,88.7,92.4,85.5,82.1,0.224,0.489,0.259,0.18,0.234,0.32,0.217,0.391,0.413,0.268,0.411,0.256,0.261,0.378,0.163,,,,,,,,,,87.0,101.0,99.0,0.181,0.88,90.8,0.22,0.352,0.244,,,,,,,,,
2023/07/29,5:10 PM.,AZ,SEA,away,Roof Closed.,78,694297,LF,4,0,1,0,1,0,0,0,0,1,2,.267,.421,.667,1.088,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,5.72,4.48,96.0,104.0,103.0,105.0,0.769,8.81,2.44,10.22,2.06,0.73,0.201,0.443,0.148,0.386,0.466,90.0,100.0,97.0,106.0,89.0,97.0,97.0,105.0,102.0,97.0,108.0,100.0,119.0,106.0,117.0,0.099,0.454,0.27,0.055,0.122,-1.63,-0.03,1.21,-1.24,-3.66,93.6,86.7,93.1,83.8,78.8,0.327,0.654,0.17600000000000002,0.4,0.711,0.33,0.18,0.323,0.337,0.294,0.529,0.294,0.313,0.563,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/28,6:40 PM.,AZ,SEA,away,Roof Closed.,78,674072,LF,0,0,0,0,0,0,0,0,0,0,0,.273,.467,.636,1.103,674072,tommyhenry,Henry,Left,Tommy Henry,ARI,4.15,4.3,89.0,96.0,83.0,91.0,0.788,6.47,3.54,8.7,1.21,0.82,0.277,0.403,0.162,0.317,0.407,91.0,102.0,99.0,95.0,101.0,102.0,72.0,91.0,83.0,,,,92.0,101.0,93.0,,0.49,0.127,0.191,0.193,-0.88,,2.53,0.71,-0.09,90.7,84.0,,83.1,79.1,0.292,0.523,0.155,0.278,0.444,0.331,0.158,0.281,0.287,0.229,0.325,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/26,12:11 PM.,MIN,SEA,away,Partly Cloudy.,83,657746,LF,2,1,0,0,0,0,0,0,2,0,0,.273,.467,.636,1.103,657746,joeryan,Ryan,Right,Joe Ryan,MIN,4.51,3.53,161.2,107.0,99.0,105.0,0.749,10.97,1.89,8.63,1.78,0.63,0.232,0.423,0.147,0.326,0.455,,,,,,,102.0,112.0,108.0,,,,102.0,88.0,94.0,,0.569,0.159,,,0.89,,-2.12,,,92.3,,,80.3,,0.24,0.457,0.287,,,,0.32,0.56,0.24100000000000002,,,,,,,91.0,104.0,102.0,0.272,-0.3,83.9,0.242,0.415,0.213,,,,,,,,,,,,,,,,,,
2023/07/25,6:41 PM.,MIN,SEA,away,Cloudy.,90,641154,LF,3,2,2,1,0,1,1,1,1,0,0,.333,.455,.778,1.233,641154,pablolopez,"López, P",Right,Pablo López,MIN,3.66,3.0,194.0,107.0,99.0,109.0,0.717,10.86,2.23,8.16,1.11,1.25,0.208,0.438,0.175,0.295,0.428,90.0,108.0,109.0,93.0,110.0,114.0,100.0,108.0,105.0,98.0,105.0,104.0,111.0,106.0,114.0,0.106,0.345,0.214,0.125,0.211,0.1,2.08,1.34,0.25,-0.17,94.9,88.4,94.5,84.4,82.5,0.268,0.468,0.315,0.257,0.41,0.284,0.173,0.287,0.366,0.202,0.33,0.364,0.278,0.342,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/24,6:41 PM.,MIN,SEA,away,Partly Cloudy.,83,628317,LF,2,0,1,0,0,0,0,1,0,0,0,.167,.286,.167,.453,628317,kentamaeda,Maeda,Right,Kenta Maeda,MIN,4.23,3.74,104.1,103.0,105.0,102.0,0.735,10.09,2.42,8.11,1.47,0.69,0.225,0.389,0.1,0.336,0.399,,,,94.0,96.0,95.0,76.0,102.0,91.0,73.0,107.0,96.0,105.0,99.0,103.0,0.064,0.274,0.306,0.036,,0.35,-0.88,-0.07,-2.4,,91.0,,90.3,81.6,76.4,0.275,0.451,0.251,,,,0.206,0.471,0.28800000000000003,0.333,0.667,0.063,0.385,0.538,0.128,138.0,107.0,112.0,0.319,1.6,84.1,0.182,0.263,0.35,,,,,,,,,,,,,,,,,,
2023/07/21,7:10 PM.,TOR,SEA,home,Clear.,79,579328,RF,1,0,0,0,0,0,0,0,0,0,1,.000,.200,.000,.200,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,,,,101.0,105.0,108.0,,0.451,0.259,0.193,0.097,0.05,,1.11,0.24,-1.83,95.1,88.7,,88.7,83.1,0.27,0.412,0.268,0.254,0.508,0.193,0.225,0.396,0.302,0.284,0.463,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
