date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,KC%,wFC/C,wSI/C,wKC/C,vFC,vSI,vKC,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SL,Loc+ SL,Pit+ SL,FF_ba,FF_slg,FF_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2023/06/02,7:10 PM.,DET,CWS,home,Clear.,76,681857,2B,3,1,1,0,0,0,0,0,0,0,1,.216,.224,.432,.656,681857,reeseolson,Olson,Right,Reese Olson,DET,3.99,4.73,103.2,100.0,104.0,101.0,0.743,8.94,2.86,7.21,1.22,1.17,0.189,0.4,0.13,0.354,0.4,82.0,108.0,100.0,,,,,,,0.2,,,,1.25,,,94.8,,0.167,0.222,0.311,0.278,0.367,0.121,,,,98.0,94.0,97.0,95.0,93.0,95.0,93.0,103.0,101.0,0.285,0.306,0.058,0.151,0.85,-0.14,0.83,0.98,94.8,87.8,84.8,78.8,0.208,0.283,0.359,0.217,0.433,0.41600000000000004,132.0,98.0,104.0,0.171,0.381,0.158,,,,,,,,,,,,
2023/05/31,1:11 PM.,LAA,CWS,home,Partly Cloudy.,84,642545,SS,4,0,0,0,0,0,0,0,0,2,2,.211,.219,.437,.656,642545,jaimebarria,Barria,Right,Jaime Barria,LAA,5.68,5.41,82.1,100.0,96.0,99.0,0.787,6.78,3.28,9.95,2.19,0.81,0.213,0.463,0.175,0.302,0.424,85.0,72.0,71.0,,,,,,,0.047,,,,-6.47,,,92.2,,,,,0.389,0.889,0.11800000000000001,,,,87.0,100.0,98.0,,,,84.0,101.0,97.0,0.306,0.507,,0.141,-2.05,0.32,,0.67,93.0,84.6,85.9,,0.227,0.25,0.349,0.242,0.452,0.26,107.0,101.0,103.0,0.362,0.713,0.146,,,,,,,,,,,,
2023/05/30,7:10 PM.,LAA,CWS,home,Clear.,73,542881,2B,4,2,2,1,0,1,2,1,0,1,2,.224,.232,.463,.695,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.246,0.401,0.182,0.289,0.406,92.0,93.0,81.0,,,,104.0,103.0,98.0,0.055,0.224,,0.48,-3.61,,85.1,88.5,,,,,0.36,0.68,0.102,0.239,0.366,0.268,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,0.374,0.007,0.002,0.338,-1.25,-1.06,-0.33,0.08,90.1,80.0,78.1,72.9,0.238,0.381,0.39799999999999996,0.2,0.2,0.33299999999999996,105.0,76.0,95.0,0.301,0.566,0.193,,,,0.001,-4.72,90.1,,,,,,
2023/05/29,7:12 PM.,LAA,CWS,home,Cloudy.,74,656288,2B,3,1,1,0,0,1,1,0,0,1,1,.206,.215,.397,.612,656288,griffincanning,Canning,Right,Griffin Canning,LAA,4.32,4.01,127.0,102.0,96.0,101.0,0.734,9.85,2.55,8.57,1.56,1.1,0.239,0.41,0.129,0.382,0.442,81.0,95.0,86.0,,,,,,,0.006,,,,-8.61,,,95.0,,0.271,0.667,0.252,0.333,1.333,0.0,,,,89.0,101.0,101.0,91.0,98.0,103.0,78.0,101.0,93.0,0.348,0.299,0.134,0.213,-0.21,0.1,-0.53,1.6,94.7,90.2,88.4,81.8,0.213,0.339,0.248,0.261,0.344,0.34,124.0,105.0,110.0,0.235,0.5,0.28300000000000003,,,,,,,,,,,,
2023/05/28,1:41 PM.,DET,CWS,away,Sunny.,78,593958,2B,4,1,1,0,0,1,1,0,0,2,2,.200,.210,.350,.560,593958,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,DET,3.3,4.04,152.2,103.0,83.0,97.0,0.781,8.43,2.83,7.55,0.88,1.1,0.279,0.407,0.152,0.311,0.429,84.0,117.0,107.0,,,,90.0,101.0,98.0,0.093,0.192,,0.51,1.11,,88.8,92.4,,,,,0.165,0.228,0.135,0.2,0.471,0.19399999999999998,91.0,102.0,103.0,,,,73.0,101.0,91.0,0.454,0.072,,0.189,0.65,3.12,,0.71,92.2,85.9,84.5,,0.233,0.292,0.317,0.089,0.178,0.395,103.0,107.0,106.0,0.278,0.431,0.222,,,,,,,,,,,,
2023/05/27,1:10 PM.,DET,CWS,away,Partly Cloudy.,72,547179,2B,3,0,1,0,0,0,0,0,0,0,0,.196,.207,.304,.511,547179,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,4.18,4.51,153.0,101.0,101.0,101.0,0.809,6.53,2.76,8.12,1.18,1.06,0.246,0.417,0.097,0.352,0.447,82.0,108.0,100.0,,,,89.0,75.0,71.0,0.12,0.009,,-7.35,0.73,,90.8,93.7,,0.667,1.667,0.182,0.333,0.4,0.038,0.6,1.2,0.16699999999999998,95.0,101.0,102.0,103.0,112.0,110.0,98.0,100.0,97.0,0.347,0.297,0.011,0.216,1.17,0.34,-4.26,0.26,94.3,84.5,84.7,82.3,0.186,0.403,0.314,0.293,0.61,0.214,116.0,102.0,106.0,0.211,0.333,0.171,,,,,,,,,,,,
2023/05/26,6:41 PM.,DET,CWS,away,Clear.,71,666214,2B,0,0,0,0,0,0,0,0,0,0,0,.189,.200,.302,.502,666214,joeywentz,Wentz,Left,Joey Wentz,DET,6.9,5.77,105.2,100.0,89.0,95.0,0.766,8.35,4.0,11.16,2.13,0.84,0.228,0.418,0.147,0.357,0.424,,,,,,,91.0,97.0,93.0,,0.251,,-0.57,,,86.0,,,0.247,0.356,0.285,,,,0.271,0.5,0.29100000000000004,95.0,101.0,98.0,102.0,106.0,105.0,80.0,100.0,92.0,0.416,,0.158,0.175,-2.53,,-0.86,-0.22,93.4,85.0,,77.5,0.189,0.392,0.318,,,,,,,0.374,0.682,0.19,,,,,,,,,,,,
2023/05/25,6:41 PM.,DET,CWS,away,Clear.,62,656412,2B,3,0,0,0,0,0,0,0,0,2,1,.189,.200,.302,.502,656412,alexfaedo,Faedo,Right,Alex Faedo,DET,4.45,3.82,64.2,104.0,92.0,101.0,0.781,8.07,2.78,6.68,1.67,0.79,0.235,0.459,0.18,0.339,0.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,101.0,97.0,,,,87.0,104.0,96.0,0.485,0.381,,0.133,0.89,0.65,,-0.75,92.9,85.9,82.3,,0.222,0.417,0.16899999999999998,0.192,0.364,0.413,103.0,105.0,108.0,0.2,0.438,0.124,,,,,,,,,,,,
2023/05/24,1:10 PM.,CLE,CWS,away,Partly Cloudy.,67,615698,2B,3,1,1,1,0,0,2,0,0,0,1,.200,.212,.320,.532,615698,calquantrill,Quantrill,Right,Cal Quantrill,CLE,5.24,5.85,99.2,98.0,95.0,95.0,0.83,5.24,3.16,10.02,0.99,1.12,0.224,0.451,0.186,0.311,0.384,86.0,96.0,90.0,,,,103.0,94.0,93.0,0.416,0.241,,-0.89,0.18,,88.1,93.7,,0.188,0.313,0.158,0.277,0.428,0.16899999999999998,0.33,0.495,0.221,85.0,94.0,91.0,103.0,110.0,111.0,75.0,77.0,73.0,0.01,,0.109,0.101,-2.44,,1.28,-2.42,93.8,86.1,,82.0,0.344,0.625,0.182,,,,,,,0.333,0.667,0.2,113.0,104.0,104.0,0.123,-1.13,86.8,0.241,0.362,0.225,,,
2023/05/23,6:10 PM.,CLE,CWS,away,Partly Cloudy.,69,671106,CF,3,0,1,1,0,0,2,0,1,0,0,.191,.204,.298,.502,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.432,0.155,0.337,0.414,,,,,,,110.0,97.0,98.0,,0.089,,-2.1,,,86.3,,,,,,,,,0.462,0.692,0.17,60.0,104.0,105.0,,,,82.0,101.0,95.0,0.451,0.247,,0.213,-0.12,-0.74,,1.49,91.4,82.7,79.3,,0.191,0.223,0.33,0.3,0.3,0.368,108.0,98.0,101.0,0.257,0.482,0.177,,,,,,,,,,,,
2023/05/22,6:09 PM.,CLE,CWS,away,Cloudy.,66,683769,2B,3,0,0,0,0,0,0,0,0,3,0,.182,.178,.273,.451,683769,huntergaddis,Gaddis,Right,Hunter Gaddis,CLE,4.5,3.9,42.0,101.0,88.0,96.0,0.848,5.14,3.0,8.79,1.29,0.48,0.3,0.393,0.214,0.329,0.452,,,,,,,90.0,98.0,86.0,,0.036,,-1.86,,,89.0,,,0.0,0.0,0.444,,,,0.333,0.333,0.231,57.0,98.0,93.0,93.0,75.0,88.0,87.0,101.0,93.0,0.399,0.317,0.066,0.182,-0.22,0.44,-0.85,-1.29,93.4,81.2,85.3,75.5,0.156,0.469,0.16699999999999998,0.268,0.446,0.16399999999999998,102.0,104.0,104.0,0.302,0.476,0.155,,,,,,,,,,,,
2023/05/21,1:11 PM.,KC,CWS,home,Sunny.,75,672578,2B,3,1,3,0,1,0,2,1,0,0,0,.195,.190,.293,.483,672578,carloshernandez,"Hernández, C",Right,Carlos Hernández,KCR,5.27,4.7,70.0,100.0,124.0,106.0,0.726,9.9,3.99,7.97,1.29,0.75,0.241,0.45,0.105,0.403,0.43,145.0,87.0,126.0,117.0,95.0,103.0,,,,0.007,0.001,0.093,-10.95,-3.63,-0.29,83.8,98.1,84.0,0.208,0.5,0.37799999999999995,,,,,,,,,,,,,134.0,99.0,105.0,0.552,0.235,0.001,0.001,0.09,0.71,-3.64,-5.8,99.1,77.7,88.6,70.1,,,,0.173,0.307,0.379,118.0,103.0,112.0,0.272,0.507,0.254,93.0,100.0,104.0,0.111,0.44,89.0,0.2,0.267,0.36200000000000004,,,
2023/05/19,7:11 PM.,KC,CWS,home,Cloudy.,61,425844,2B,2,0,0,0,0,0,1,0,0,1,0,.132,.128,.184,.312,425844,zackgreinke,Greinke,Right,Zack Greinke,KCR,5.06,5.06,142.1,104.0,85.0,100.0,0.848,6.13,1.45,9.99,1.58,1.19,0.26,0.39,0.147,0.29,0.425,76.0,106.0,93.0,,,,100.0,113.0,103.0,0.157,0.07,0.0,-0.94,-0.92,-3.64,85.2,89.8,57.9,0.386,0.729,0.155,0.333,0.609,0.081,0.32,0.5,0.18600000000000003,84.0,109.0,109.0,96.0,97.0,104.0,72.0,103.0,92.0,0.265,0.2,0.141,0.166,0.25,1.12,-2.99,0.06,89.5,86.5,79.2,72.5,0.241,0.37,0.207,0.214,0.282,0.231,94.0,103.0,106.0,0.276,0.472,0.159,,,,,,,,,,,,
2023/04/30,1:11 PM.,TB,CWS,home,Rain.,46,656876,LF,1,0,0,0,0,0,0,0,0,0,0,.139,.139,.194,.333,656876,drewrasmussen,Rasmussen,Right,Drew Rasmussen,TBR,2.62,2.91,44.2,109.0,121.0,113.0,0.79,9.47,2.22,7.25,0.4,1.97,0.28,0.424,0.169,0.203,0.487,98.0,109.0,99.0,,,,133.0,104.0,106.0,0.122,0.359,,1.83,2.15,,88.2,95.1,,0.2,0.2,0.261,0.273,0.364,0.171,0.204,0.327,0.275,,,,71.0,106.0,103.0,131.0,111.0,122.0,0.295,0.151,0.073,,0.17,3.01,1.91,,95.7,,84.5,80.0,,,,0.129,0.161,0.245,115.0,121.0,130.0,0.275,0.333,0.20800000000000002,,,,,,,,,,,,
2023/04/29,6:10 PM.,TB,CWS,home,Cloudy.,56,676534,2B,3,0,0,0,0,0,0,0,0,2,3,.143,.143,.200,.343,676534,calvinfaucher,Faucher,Right,Calvin Faucher,TBR,7.01,6.61,25.2,102.0,113.0,104.0,0.777,8.77,4.21,10.87,1.4,1.64,0.268,0.366,0.159,0.329,0.444,93.0,97.0,98.0,,,,109.0,102.0,100.0,0.288,0.315,,-0.08,-2.24,,91.1,95.0,,0.333,0.333,0.294,0.364,0.864,0.182,0.258,0.29,0.213,,,,90.0,101.0,105.0,,,,,0.296,0.101,,,0.16,-2.81,,,,87.2,84.6,,,,0.267,0.4,0.26,132.0,104.0,108.0,,,,,,,,,,,,,,,
2023/04/28,6:10 PM.,TB,CWS,home,Partly Cloudy.,55,621107,PR,0,0,0,0,0,0,0,0,0,0,0,.156,.156,.219,.375,621107,zacheflin,Eflin,Right,Zach Eflin,TBR,3.5,3.02,177.2,108.0,98.0,106.0,0.775,9.42,1.22,8.0,0.96,1.48,0.21,0.449,0.159,0.343,0.449,98.0,107.0,105.0,,,,100.0,106.0,102.0,0.319,0.261,,-0.01,1.09,,88.5,92.2,,0.185,0.339,0.349,0.259,0.315,0.129,0.307,0.588,0.16699999999999998,75.0,99.0,94.0,100.0,110.0,107.0,83.0,123.0,112.0,0.062,0.044,0.263,0.051,2.53,0.79,1.27,-0.61,92.9,86.4,80.0,79.1,0.192,0.308,0.28300000000000003,0.6,0.6,0.5,122.0,120.0,127.0,0.104,0.208,0.32,,,,,,,,,,,,
2023/04/27,6:10 PM.,TB,CWS,home,Partly Cloudy.,56,663556,PH,1,1,1,0,1,0,1,0,0,0,0,.156,.156,.219,.375,663556,shanemcclanahan,McClanahan,Left,Shane McClanahan,TBR,3.29,4.13,115.0,102.0,112.0,106.0,0.694,9.47,3.21,7.43,1.17,1.18,0.28,0.384,0.134,0.355,0.455,,,,,,,,,,,,,,,,,,,0.197,0.344,0.314,,,,,,,115.0,104.0,109.0,115.0,101.0,107.0,111.0,100.0,104.0,0.419,0.153,0.17,0.258,-0.34,-0.27,1.12,2.65,96.8,86.9,89.3,83.5,0.153,0.191,0.541,0.261,0.58,0.29100000000000004,107.0,102.0,105.0,0.269,0.479,0.233,,,,,,,,,,,,
2023/04/26,1:07 PM.,TOR,CWS,away,Roof Closed.,68,579328,RF,2,0,1,0,0,0,0,0,0,1,2,.129,.129,.129,.258,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,,,,,,,,,,,,,,,,,,,0.284,0.463,0.307,,,,,,,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,0.451,0.259,0.193,0.097,0.05,1.11,0.24,-1.83,95.1,88.7,88.7,83.1,0.254,0.508,0.193,0.225,0.396,0.302,101.0,105.0,108.0,0.27,0.412,0.268,,,,,,,,,,,,
2023/04/25,7:08 PM.,TOR,CWS,away,Roof Closed.,68,621244,2B,3,0,0,0,0,0,0,0,0,1,3,.103,.103,.103,.206,621244,joseberrios,Berríos,Right,José Berríos,TOR,3.65,4.51,189.2,104.0,100.0,103.0,0.764,8.73,2.47,8.21,1.19,1.12,0.225,0.406,0.151,0.311,0.418,92.0,104.0,99.0,,,,,,,0.315,,,,0.61,,,93.8,,,,,0.255,0.398,0.131,,,,90.0,104.0,101.0,116.0,104.0,110.0,96.0,103.0,99.0,0.204,,0.296,0.185,0.72,,0.31,-0.38,94.3,84.1,,82.6,0.245,0.409,0.33,,,,,,,0.254,0.456,0.276,,,,,,,,,,0.216,0.357,0.305
2023/04/24,7:07 PM.,TOR,CWS,away,Roof Closed.,68,605135,2B,0,0,0,0,0,0,0,0,0,0,0,.115,.115,.115,.230,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.459,92.0,104.0,98.0,,,,95.0,105.0,102.0,0.393,0.153,,-1.13,2.11,,87.8,91.9,,0.192,0.295,0.318,0.22,0.336,0.14400000000000002,0.274,0.496,0.253,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,0.093,0.136,0.126,0.065,-3.9,-0.72,0.67,1.71,92.4,84.1,75.6,70.7,0.189,0.351,0.10099999999999999,0.227,0.636,0.191,106.0,93.0,102.0,0.333,0.652,0.20600000000000002,78.0,84.0,84.0,0.033,-3.07,82.6,0.375,0.563,0.226,,,
2023/04/22,4:05 PM.,TB,CWS,away,Dome.,72,663556,2B,2,0,0,0,0,0,0,0,0,2,0,.115,.115,.115,.230,663556,shanemcclanahan,McClanahan,Left,Shane McClanahan,TBR,3.29,4.13,115.0,102.0,112.0,106.0,0.694,9.47,3.21,7.43,1.17,1.18,0.28,0.384,0.134,0.355,0.455,,,,,,,,,,,,,,,,,,,0.197,0.344,0.314,,,,,,,115.0,104.0,109.0,115.0,101.0,107.0,111.0,100.0,104.0,0.419,0.153,0.17,0.258,-0.34,-0.27,1.12,2.65,96.8,86.9,89.3,83.5,0.153,0.191,0.541,0.261,0.58,0.29100000000000004,107.0,102.0,105.0,0.269,0.479,0.233,,,,,,,,,,,,
2023/04/21,6:42 PM.,TB,CWS,away,Dome.,72,676534,2B,0,0,0,0,0,0,0,0,0,0,0,.125,.125,.125,.250,676534,calvinfaucher,Faucher,Right,Calvin Faucher,TBR,7.01,6.61,25.2,102.0,113.0,104.0,0.777,8.77,4.21,10.87,1.4,1.64,0.268,0.366,0.159,0.329,0.444,93.0,97.0,98.0,,,,109.0,102.0,100.0,0.288,0.315,,-0.08,-2.24,,91.1,95.0,,0.333,0.333,0.294,0.364,0.864,0.182,0.258,0.29,0.213,,,,90.0,101.0,105.0,,,,,0.296,0.101,,,0.16,-2.81,,,,87.2,84.6,,,,0.267,0.4,0.26,132.0,104.0,108.0,,,,,,,,,,,,,,,
