date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ FS,Loc+ FS,Pit+ FS,SV_ba,SV_slg,SV_whiff
2023/05/06,6:41 PM.,CWS,CIN,home,Partly Cloudy.,76,605182,SS,3,0,1,1,0,0,0,0,0,0,0,.225,.292,.325,.617,605182,mikeclevinger,Clevinger,Right,Mike Clevinger,CHW,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.269,0.437,80.0,96.0,95.0,80.0,96.0,97.0,101.0,103.0,100.0,91.0,100.0,90.0,113.0,97.0,104.0,90.0,100.0,100.0,0.024,0.479,0.082,0.271,0.016,0.128,-0.21,-0.07,1.47,0.5,0.55,1.69,94.3,84.9,86.1,93.1,79.4,76.0,0.283,0.494,0.174,0.2,0.2,0.2,0.256,0.395,0.264,0.203,0.366,0.306,0.167,0.167,0.2,0.175,0.206,0.293,,,,,,,,,,,,,,,,,,
2023/05/03,1:10 PM.,SD,CIN,away,Partly Cloudy.,63,607625,SS,3,0,1,0,0,0,0,0,0,0,0,.221,.291,.312,.603,607625,sethlugo,"Lugo, S",Right,Seth Lugo,SDP,3.57,4.42,146.1,102.0,103.0,103.0,0.805,8.61,2.21,8.61,1.17,1.34,0.209,0.438,0.139,0.351,0.459,85.0,96.0,97.0,122.0,100.0,105.0,87.0,108.0,103.0,97.0,102.0,97.0,114.0,96.0,108.0,,,,0.199,0.318,,0.111,0.313,0.059,0.36,,1.87,-0.6,0.26,-2.89,93.4,,86.3,93.2,85.2,79.6,0.246,0.464,0.214,0.208,0.36,0.08900000000000001,,,,0.25,0.417,0.28600000000000003,0.287,0.384,0.265,0.303,0.576,0.34299999999999997,,,,,,,,,,,,,,,,0.0,0.0,0.226
2023/05/01,6:41 PM.,SD,CIN,away,Cloudy.,60,605483,SS,3,0,0,0,0,0,0,0,0,2,3,.216,.289,.311,.600,605483,blakesnell,Snell,Left,Blake Snell,SDP,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.388,0.168,0.309,0.326,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,107.0,91.0,94.0,,,,,0.486,,0.131,0.198,0.184,0.07,,,0.68,2.55,2.65,95.5,,86.7,,88.4,81.0,0.255,0.389,0.195,,,,,,,0.123,0.26,0.536,0.079,0.14,0.563,0.185,0.266,0.46799999999999997,,,,,,,,,,,,,,,,,,
2023/04/30,1:08 PM.,OAK,CIN,away,Partly Cloudy.,63,686610,SS,2,0,1,0,0,0,0,1,0,0,0,.225,.300,.324,.624,686610,kenwaldichuk,Waldichuk,Left,Ken Waldichuk,OAK,5.36,4.67,141.0,95.0,91.0,93.0,0.767,8.43,4.53,9.51,1.53,0.99,0.223,0.401,0.155,0.31,0.414,92.0,90.0,88.0,93.0,77.0,85.0,89.0,95.0,92.0,,,,96.0,99.0,100.0,,,,,0.543,,0.271,0.02,0.166,-0.52,,,-0.79,-3.62,-1.4,93.3,,84.2,,81.1,74.5,0.275,0.493,0.17800000000000002,,,,,,,0.218,0.423,0.32799999999999996,0.333,0.833,0.0,0.34,0.515,0.374,,,,,,,,,,,,,,,,,,
2023/04/29,1:08 PM.,OAK,CIN,away,Partly Cloudy.,63,666205,CF,4,0,0,0,0,0,0,0,0,3,7,.217,.295,.319,.614,666205,kylemuller,Muller,Left,Kyle Muller,OAK,7.6,7.4,77.0,97.0,88.0,94.0,0.811,6.55,4.56,13.09,1.87,1.2,0.197,0.46,0.113,0.391,0.453,74.0,72.0,74.0,97.0,103.0,104.0,87.0,99.0,92.0,,,,90.0,98.0,99.0,,,,,0.517,,0.253,0.149,0.081,-2.52,,,-0.45,-2.07,-3.21,93.5,,87.9,,87.1,81.2,0.395,0.663,0.161,,,,,,,0.293,0.475,0.242,0.268,0.415,0.284,0.333,0.5,0.387,,,,,,,,,,,,,,,,,,
2023/04/28,6:41 PM.,OAK,CIN,away,Partly Cloudy.,64,607968,SS,5,0,2,2,0,0,2,0,0,1,4,.231,.311,.338,.649,607968,drewrucinski,Rucinski,Right,Drew Rucinski,OAK,9.0,7.35,18.0,93.0,77.0,87.0,0.831,3.0,7.0,13.5,2.5,1.22,0.162,0.446,0.189,0.351,0.397,63.0,88.0,84.0,96.0,117.0,109.0,69.0,87.0,79.0,84.0,90.0,87.0,79.0,97.0,89.0,,,,0.26,0.289,,0.303,0.071,0.077,-2.27,,-0.04,-4.74,-14.4,-2.31,89.0,,83.6,89.1,84.2,78.8,0.294,0.471,0.152,0.259,0.37,0.023,,,,0.375,0.833,0.36700000000000005,0.667,1.0,0.28600000000000003,,,,,,,,,,,,,,,,,,,,,
2023/04/25,6:40 PM.,TEX,CIN,home,Cloudy.,60,527048,DH,3,1,0,0,0,0,0,0,1,1,3,.217,.304,.300,.604,527048,martinperez,"Pérez, M",Left,Martín Pérez,TEX,4.45,4.9,141.2,104.0,74.0,95.0,0.837,5.91,3.11,9.53,1.33,1.28,0.223,0.431,0.139,0.294,0.399,71.0,110.0,99.0,78.0,101.0,100.0,75.0,102.0,99.0,73.0,102.0,95.0,88.0,94.0,96.0,79.0,99.0,88.0,0.428,0.04,0.221,0.01,0.037,0.265,3.25,-2.02,0.44,2.0,3.35,-0.75,91.8,89.2,84.1,91.6,83.4,79.1,0.167,0.222,0.146,0.244,0.394,0.09699999999999999,0.342,0.64,0.11699999999999999,0.0,0.0,0.2,0.063,0.063,0.353,0.316,0.447,0.278,,,,,,,,,,,,,,,,,,
2023/04/24,6:41 PM.,TEX,CIN,home,Partly Cloudy.,51,543135,SS,4,0,0,0,0,0,0,0,0,2,3,.228,.308,.316,.624,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.63,3.98,144.0,100.0,101.0,98.0,0.758,8.25,2.94,7.31,0.94,1.59,0.196,0.469,0.14,0.367,0.397,,,,99.0,104.0,102.0,92.0,97.0,93.0,,,,101.0,113.0,109.0,86.0,98.0,92.0,,0.372,0.176,0.04,0.135,,0.41,1.33,,-3.23,0.86,,95.1,90.6,,,83.9,76.0,0.234,0.423,0.183,,,,0.238,0.417,0.198,0.303,0.606,0.13699999999999998,0.2,0.22,0.41700000000000004,,,,,,,,,,0.276,1.26,87.9,0.196,0.314,0.355,125.0,101.0,106.0,,,
2023/04/23,1:38 PM.,PIT,CIN,away,Cloudy.,47,592826,SS,2,0,0,0,0,0,0,0,1,1,0,.245,.328,.340,.668,592826,vincevelasquez,Velasquez,Right,Vince Velasquez,PIT,3.86,4.13,37.1,99.0,99.0,102.0,0.741,8.92,3.38,8.44,0.96,0.7,0.336,0.336,0.182,0.282,0.4,59.0,102.0,92.0,,,,110.0,97.0,102.0,63.0,94.0,91.0,101.0,100.0,104.0,,,,0.011,0.415,,0.446,,0.125,-1.31,,6.0,2.19,,-1.78,93.2,,88.6,92.9,83.2,,0.314,0.51,0.222,,,,,,,0.192,0.308,0.319,,,,0.25,0.375,0.257,0.003,-2.3,80.6,94.0,146.0,144.0,,,,,,,,,,,,
2023/04/22,7:00 PM.,PIT,CIN,away,Partly Cloudy.,56,448179,CF,2,0,2,0,0,0,0,1,1,0,0,.255,.328,.353,.681,448179,richhill,Hill,Left,Rich Hill,- - -,5.41,5.66,146.1,97.0,94.0,97.0,0.832,7.93,3.57,10.15,1.41,1.01,0.196,0.459,0.14,0.336,0.448,80.0,81.0,80.0,116.0,94.0,103.0,77.0,102.0,94.0,98.0,101.0,98.0,90.0,92.0,97.0,85.0,97.0,93.0,0.04,0.342,0.147,0.088,0.354,0.023,-0.32,-1.27,2.5,-2.52,-1.16,-0.06,88.4,83.3,83.0,86.1,71.1,72.0,0.249,0.454,0.218,0.105,0.105,0.226,0.39,0.701,0.19899999999999998,0.5,0.929,0.125,0.283,0.47,0.174,0.263,0.421,0.037000000000000005,0.008,-3.65,67.1,,,,,,,,,,,,,,,
2023/04/21,6:36 PM.,PIT,CIN,away,Clear.,82,656605,SS,2,0,0,0,0,0,1,0,0,0,1,.224,.291,.327,.618,656605,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,4.21,4.18,194.1,103.0,104.0,103.0,0.797,9.73,2.55,8.66,1.16,1.29,0.277,0.358,0.172,0.31,0.456,83.0,104.0,97.0,91.0,94.0,98.0,100.0,106.0,100.0,93.0,106.0,100.0,142.0,104.0,123.0,99.0,98.0,99.0,0.228,0.261,0.242,0.161,0.08,0.028,0.66,-0.07,1.66,-0.5,-1.97,-2.63,95.2,89.7,90.7,93.9,82.8,78.0,0.176,0.351,0.302,0.258,0.346,0.105,0.316,0.503,0.23600000000000002,0.221,0.324,0.272,0.273,0.614,0.235,0.36,0.6,0.21100000000000002,,,,,,,,,,,,,,,,,,
2023/04/20,6:36 PM.,PIT,CIN,away,Partly Cloudy.,83,672710,SS,3,1,1,0,0,0,0,0,0,1,0,.234,.308,.340,.648,672710,roansycontreras,Contreras,Right,Roansy Contreras,PIT,6.59,5.48,68.1,100.0,98.0,102.0,0.755,7.24,4.21,9.88,1.45,0.92,0.22,0.463,0.117,0.341,0.394,69.0,91.0,89.0,99.0,98.0,103.0,90.0,96.0,93.0,,,,108.0,105.0,111.0,,,,,0.402,,0.443,0.117,0.039,-2.43,,,0.86,-1.73,2.33,94.3,,89.4,,83.6,76.8,0.381,0.598,0.09699999999999999,,,,,,,0.0,0.0,0.28600000000000003,0.222,0.593,0.447,0.273,0.273,0.059000000000000004,,,,,,,,,,,,,,,,,,
2023/04/19,12:36 PM.,TB,CIN,home,Sunny.,68,656876,SS,3,0,1,0,0,0,0,0,1,1,1,.227,.306,.341,.647,656876,drewrasmussen,Rasmussen,Right,Drew Rasmussen,TBR,2.62,2.91,44.2,109.0,121.0,113.0,0.79,9.47,2.22,7.25,0.4,1.97,0.28,0.424,0.169,0.203,0.487,,,,71.0,106.0,103.0,131.0,111.0,122.0,98.0,109.0,99.0,115.0,121.0,130.0,133.0,104.0,106.0,0.122,0.295,0.359,0.151,0.073,,0.17,1.83,2.15,3.01,1.91,,95.7,88.2,,95.1,84.5,80.0,0.275,0.333,0.20800000000000002,0.273,0.364,0.171,0.204,0.327,0.275,0.129,0.161,0.245,0.2,0.2,0.261,,,,,,,,,,,,,,,,,,,,,
2023/04/17,6:41 PM.,TB,CIN,home,Partly Cloudy.,52,656222,SS,4,1,1,1,0,0,1,0,0,2,4,.220,.289,.341,.630,656222,jalenbeeks,Beeks,Left,Jalen Beeks,TBR,5.95,3.61,42.1,95.0,89.0,90.0,0.729,9.99,4.46,8.93,0.85,1.17,0.285,0.366,0.154,0.309,0.438,112.0,95.0,96.0,,,,65.0,95.0,83.0,,,,106.0,71.0,93.0,92.0,105.0,98.0,,0.435,0.107,0.015,,0.443,-0.49,2.73,,-16.85,,-0.18,94.3,85.7,89.6,,81.8,,0.243,0.419,0.252,,,,0.125,0.125,0.588,1.0,1.5,0.0,,,,0.267,0.373,0.317,,,,,,,,,,,,,,,,,,
