date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSL/C,wCU/C,vFA,vFC,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,FO%,wFO/C,vFO,KC%,wKC/C,vKC
2023/06/21,12:10 PM.,MIA,TOR,away,Roof Closed.,72,645261,C,3,0,1,0,0,0,0,0,1,1,2,.227,.370,.273,.643,645261,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,MIA,4.14,4.33,184.2,105.0,113.0,108.0,0.771,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.343,0.452,134.0,99.0,105.0,111.0,111.0,107.0,116.0,103.0,110.0,,,,,,,0.213,,,0.201,0.022,-0.27,,,0.72,-0.52,98.0,,,89.9,86.1,0.253,0.448,0.267,0.308,0.308,0.182,0.227,0.364,0.35200000000000004,,,,,,,108.0,104.0,107.0,0.273,-0.43,91.1,0.282,0.401,0.299,115.0,106.0,108.0,0.29,1.72,97.6,0.237,0.366,0.124,,,,,,
2023/06/19,6:41 PM.,MIA,TOR,away,Roof Closed.,72,663773,C,0,0,0,0,0,0,0,0,0,0,0,.211,.348,.263,.611,663773,bryanhoeing,Hoeing,Right,Bryan Hoeing,MIA,5.48,5.3,70.2,101.0,97.0,100.0,0.805,6.75,3.18,9.04,1.66,1.17,0.268,0.357,0.121,0.335,0.395,,,,80.0,97.0,87.0,97.0,104.0,108.0,,,,,,,0.089,,0.042,0.318,,-2.17,,-5.4,0.98,,93.9,,84.9,83.2,,0.333,0.619,0.095,,,,0.179,0.333,0.32899999999999996,,,,0.333,0.733,0.25,41.0,99.0,76.0,0.026,-5.28,87.2,0.6,0.8,0.231,106.0,100.0,99.0,0.526,-0.76,94.1,0.275,0.55,0.16399999999999998,,,,,,
2023/06/09,7:07 PM.,MIN,TOR,home,Cloudy.,70,543243,C,2,0,2,0,0,0,0,0,0,0,0,.211,.348,.263,.611,543243,sonnygray,"Gray, So",Right,Sonny Gray,MIN,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.143,0.3,0.422,91.0,98.0,101.0,105.0,99.0,100.0,122.0,108.0,121.0,118.0,102.0,102.0,,,,0.271,0.131,,0.205,0.168,0.61,1.3,,3.25,0.87,92.9,87.6,,84.3,79.6,0.301,0.422,0.16399999999999998,0.257,0.371,0.282,0.096,0.117,0.413,0.265,0.368,0.278,,,,84.0,95.0,89.0,0.067,-0.63,87.9,0.27,0.405,0.174,82.0,99.0,94.0,0.157,-0.46,92.8,0.275,0.413,0.177,,,,0.001,-0.41,72.9
2023/06/07,7:08 PM.,HOU,TOR,home,Roof Closed.,68,669854,C,1,0,0,0,0,0,0,0,1,0,0,.118,.286,.176,.462,669854,ronelblanco,Blanco,Right,Ronel Blanco,HOU,4.5,5.13,52.0,96.0,98.0,99.0,0.693,9.0,4.85,8.48,2.08,0.75,0.174,0.521,0.125,0.347,0.392,109.0,83.0,85.0,104.0,92.0,95.0,93.0,99.0,101.0,,,,,,,0.402,,,0.486,0.022,-2.87,,,1.85,-0.98,94.5,,,88.0,80.0,0.343,0.714,0.185,,,,0.189,0.321,0.426,,,,,,,94.0,102.0,104.0,0.09,0.46,85.5,0.263,0.316,0.37,,,,,,,,,,,,,,,
2023/06/05,7:08 PM.,HOU,TOR,home,Overcast.,68,656232,PH,1,0,0,0,0,0,0,0,0,1,1,.125,.263,.188,.451,656232,brandonbielak,Bielak,Right,Brandon Bielak,HOU,3.83,5.44,80.0,97.0,85.0,91.0,0.785,6.98,4.05,9.68,1.35,1.55,0.192,0.46,0.14,0.364,0.394,101.0,90.0,88.0,73.0,97.0,87.0,99.0,93.0,95.0,,,,,,,0.306,0.004,,0.118,0.111,-1.15,-0.48,,-3.74,-0.81,92.1,84.4,,82.0,79.5,0.273,0.505,0.159,0.217,0.217,0.302,0.333,0.722,0.355,,,,,,,90.0,100.0,98.0,0.247,0.83,87.1,0.227,0.352,0.332,78.0,99.0,88.0,0.214,-0.12,92.1,0.338,0.477,0.135,,,,,,
2023/06/04,1:40 PM.,NYM,TOR,away,Cloudy.,64,673540,C,2,0,0,0,0,0,0,0,1,1,2,.133,.278,.200,.478,673540,kodaisenga,Senga,Right,Kodai Senga,NYM,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.416,0.161,0.333,0.382,91.0,90.0,87.0,109.0,97.0,97.0,100.0,93.0,102.0,93.0,95.0,93.0,,,,0.37,0.25,,0.116,0.027,0.17,2.52,,-0.96,-0.23,95.7,90.8,,82.7,72.8,0.244,0.399,0.17300000000000001,0.125,0.5,0.444,0.333,0.952,0.245,0.244,0.339,0.182,0.11,0.147,0.595,,,,,,,,,,,,,,,,,,,0.237,0.95,83.2,,,
2023/06/01,1:08 PM.,MIL,TOR,home,Sunny.,75,642547,C,3,0,1,1,0,0,0,0,0,0,0,.154,.267,.231,.498,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,85.0,103.0,110.0,117.0,104.0,110.0,115.0,99.0,104.0,,,,,,,0.512,,,0.218,0.124,0.89,,,0.36,0.2,94.4,,,82.4,76.9,0.213,0.387,0.292,0.214,0.381,0.33799999999999997,0.203,0.392,0.46,,,,,,,50.0,97.0,85.0,0.146,0.15,88.6,0.224,0.388,0.312,,,,,,,,,,,,,,,
2023/05/27,1:11 PM.,MIN,TOR,away,Sunny.,79,641154,C,1,1,0,0,0,0,0,0,1,1,0,.100,.250,.100,.350,641154,pablolopez,"López, P",Right,Pablo López,MIN,3.66,3.0,194.0,107.0,99.0,109.0,0.717,10.86,2.23,8.16,1.11,1.25,0.208,0.438,0.175,0.295,0.428,93.0,110.0,114.0,100.0,108.0,105.0,111.0,106.0,114.0,,,,,,,0.345,,,0.214,0.125,0.1,,,1.34,0.25,94.9,,,84.4,82.5,0.268,0.468,0.315,0.202,0.33,0.364,0.173,0.287,0.366,,,,,,,90.0,108.0,109.0,0.211,-0.17,88.4,0.257,0.41,0.284,98.0,105.0,104.0,0.106,2.08,94.5,0.278,0.342,0.126,,,,,,
2023/04/12,12:35 PM.,HOU,PIT,home,Sunny.,77,664353,C,3,0,0,0,0,0,0,0,0,0,0,.111,.200,.111,.311,664353,joseurquidy,Urquidy,Right,José Urquidy,HOU,5.29,4.7,63.0,103.0,102.0,104.0,0.784,6.43,3.57,9.29,1.57,0.83,0.281,0.335,0.202,0.266,0.391,95.0,106.0,104.0,104.0,100.0,102.0,120.0,100.0,108.0,,,,,,,0.385,,,0.188,0.115,-1.58,,,-1.1,0.77,93.1,,,80.6,79.6,0.287,0.632,0.193,0.174,0.261,0.271,0.262,0.476,0.368,,,,,,,93.0,107.0,106.0,0.216,1.98,86.1,0.172,0.259,0.35200000000000004,83.0,109.0,99.0,0.096,-1.38,93.8,0.405,0.432,0.059000000000000004,,,,,,
2023/04/09,1:36 PM.,CWS,PIT,home,Sunny.,56,656629,C,3,0,0,0,0,0,0,0,0,1,2,.167,.286,.167,.453,656629,michaelkopech,Kopech,Right,Michael Kopech,CHW,5.43,5.77,129.1,91.0,108.0,94.0,0.755,9.32,6.33,8.0,2.02,0.75,0.243,0.41,0.155,0.347,0.384,96.0,97.0,97.0,116.0,89.0,94.0,102.0,97.0,99.0,,,,,,,0.614,,,0.272,0.04,-0.71,,,-1.5,-0.94,95.2,,,84.8,80.6,0.244,0.462,0.264,0.158,0.474,0.19399999999999998,0.258,0.516,0.27399999999999997,,,,,,,73.0,82.0,76.0,0.074,0.15,88.7,0.133,0.3,0.33899999999999997,,,,,,,,,,,,,,,
2023/04/04,7:10 PM.,BOS,PIT,away,Cloudy.,50,601713,C,3,1,1,0,0,0,0,1,1,0,0,.333,.500,.333,.833,601713,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,4.04,3.98,142.2,102.0,119.0,107.0,0.733,11.54,3.15,6.94,1.45,0.87,0.231,0.438,0.124,0.354,0.421,117.0,102.0,106.0,125.0,101.0,109.0,124.0,107.0,112.0,78.0,104.0,98.0,49.0,109.0,69.0,0.506,0.078,0.005,0.165,0.247,0.57,0.67,-13.1,1.59,-0.09,94.6,88.4,84.8,85.8,79.4,0.214,0.44,0.247,0.215,0.4,0.313,0.114,0.182,0.43799999999999994,0.267,0.467,0.379,0.25,1.0,0.16699999999999998,,,,,,,,,,,,,,,,,,,,,,,,
