date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,wSI/C,wCU/C,vSI,vCU,SI_ba,SI_slg,SI_whiff,FO%,wFO/C,vFO,FS_ba,FS_slg,FS_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS
2023/07/16,12:07 PM.,PIT,SF,away,Partly Cloudy.,79,674370,2B,2,1,1,0,0,0,0,0,0,1,0,.191,.222,.298,.520,674370,osvaldobido,Bido,Right,Osvaldo Bido,PIT,5.86,4.7,50.2,96.0,97.0,95.0,0.803,8.53,3.73,9.77,0.71,0.98,0.283,0.39,0.201,0.302,0.421,75.0,91.0,87.0,101.0,95.0,93.0,98.0,98.0,103.0,,,,138.0,100.0,94.0,0.28,0.034,0.353,,0.099,-2.05,1.44,0.45,,0.67,94.7,85.7,89.1,84.5,,0.358,0.472,0.27,0.233,0.337,0.21,,,,0.333,0.333,0.444,0.136,0.273,0.341,,,,95.0,97.0,90.0,0.234,,0.11,,94.6,,0.3,0.4,0.11699999999999999,,,,,,,,,,,,
2023/07/15,7:46 PM.,PIT,SF,away,Overcast.,86,670912,2B,2,0,0,0,0,0,0,0,0,1,1,.185,.216,.293,.509,670912,johanoviedo,Oviedo,Right,Johan Oviedo,PIT,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.234,0.408,0.164,0.316,0.411,75.0,84.0,82.0,83.0,93.0,87.0,103.0,98.0,104.0,,,,,,,0.392,,0.367,,0.041,-1.25,,0.8,,-0.07,95.8,,88.1,88.2,,0.277,0.477,0.183,0.21,0.349,0.326,0.193,0.352,0.308,,,,0.25,0.3,0.35700000000000004,87.0,97.0,101.0,100.0,93.0,92.0,0.05,0.149,0.93,0.82,95.7,80.9,0.276,0.345,0.065,,,,,,,,,,,,
2023/07/14,7:06 PM.,PIT,SF,away,Partly Cloudy.,85,448179,CF,0,0,0,0,0,0,0,0,0,0,0,.189,.221,.300,.521,448179,richhill,Hill,Left,Rich Hill,- - -,5.41,5.66,146.1,97.0,94.0,97.0,0.832,7.93,3.57,10.15,1.41,1.01,0.196,0.459,0.14,0.336,0.448,80.0,81.0,80.0,77.0,102.0,94.0,90.0,92.0,97.0,,,,85.0,97.0,93.0,0.342,0.147,0.088,0.008,0.023,-0.32,-1.27,-2.52,-3.65,-0.06,88.4,83.3,83.0,71.1,67.1,0.249,0.454,0.218,0.5,0.929,0.125,0.283,0.47,0.174,0.39,0.701,0.19899999999999998,0.263,0.421,0.037000000000000005,116.0,94.0,103.0,98.0,101.0,98.0,0.04,0.354,2.5,-1.16,86.1,72.0,0.105,0.105,0.226,,,,,,,,,,,,
2023/07/09,1:06 PM.,COL,SF,home,Cloudy.,60,607536,2B,3,0,1,0,0,0,0,0,0,0,0,.189,.221,.300,.521,607536,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.202,0.441,0.122,0.391,0.437,47.0,105.0,95.0,68.0,105.0,90.0,65.0,99.0,96.0,96.0,105.0,105.0,,,,0.184,,0.236,0.176,0.122,1.13,,-0.2,-1.91,-3.3,88.8,,84.2,84.1,80.6,0.239,0.431,0.127,0.246,0.549,0.2,0.261,0.41,0.32,,,,0.435,0.681,0.139,,,,67.0,103.0,88.0,0.283,,-0.86,,88.7,,0.349,0.529,0.091,,,,,,,,,,,,
2023/07/08,1:06 PM.,COL,SF,home,Partly Cloudy.,62,657756,2B,2,0,0,0,0,0,0,0,0,2,1,.184,.217,.299,.516,657756,connorseabold,Seabold,Right,Connor Seabold,COL,7.52,5.13,87.1,102.0,80.0,95.0,0.8,6.9,2.89,11.95,1.96,0.72,0.297,0.366,0.157,0.395,0.46,72.0,88.0,86.0,74.0,104.0,93.0,93.0,104.0,102.0,,,,,,,0.544,,0.305,,0.133,-1.53,,-2.41,,0.41,92.6,,80.6,85.3,,0.338,0.605,0.18600000000000003,0.313,0.616,0.262,0.5,0.6,0.231,,,,0.204,0.265,0.22699999999999998,100.0,101.0,103.0,,,,,0.018,,-8.0,,78.7,,,,,,,,,,,,,,,
2023/07/07,7:16 PM.,COL,SF,home,Clear.,60,596295,2B,0,0,0,0,0,0,0,0,0,0,0,.188,.222,.306,.528,596295,austingomber,Gomber,Left,Austin Gomber,COL,5.5,5.74,139.0,99.0,78.0,94.0,0.829,5.63,2.78,10.62,1.68,1.1,0.213,0.443,0.151,0.389,0.463,73.0,100.0,98.0,68.0,97.0,85.0,93.0,98.0,102.0,90.0,103.0,104.0,,,,0.439,,0.201,0.168,0.181,-1.99,,0.96,-0.75,-0.07,90.6,,81.6,84.8,77.6,0.344,0.656,0.11800000000000001,0.275,0.383,0.247,0.226,0.358,0.28,,,,0.296,0.509,0.19899999999999998,,,,66.0,7.0,2.0,0.012,,-5.34,,90.8,,0.4,1.0,0.16699999999999998,,,,,,,,,,,,
2023/07/05,6:06 PM.,SEA,SF,home,Partly Cloudy.,62,543548,LF,0,0,0,0,0,0,0,0,0,0,0,.188,.222,.306,.528,543548,tommymilone,Milone,Left,Tommy Milone,SEA,2.0,5.52,9.0,109.0,86.0,104.0,0.857,3.0,6.0,7.0,1.0,0.67,0.194,0.484,0.129,0.226,0.368,78.0,115.0,110.0,97.0,110.0,102.0,83.0,94.0,96.0,,,,,,,0.374,,0.19,,0.436,-0.67,,3.12,,0.07,86.6,,79.0,76.9,,0.2,0.5,0.069,0.0,0.0,0.231,,,,,,,0.25,0.25,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/03,6:45 PM.,SEA,SF,home,Clear.,60,693433,2B,3,0,0,0,0,0,0,0,0,1,2,.188,.222,.306,.528,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,4.21,3.45,87.2,102.0,103.0,103.0,0.754,9.55,3.18,7.7,1.33,0.99,0.296,0.363,0.175,0.271,0.453,85.0,91.0,93.0,101.0,105.0,106.0,110.0,96.0,105.0,,,,,,,0.469,,0.24,,0.037,0.69,,-0.83,,-2.37,95.1,,89.7,86.0,,0.207,0.407,0.303,0.257,0.457,0.311,,,,,,,0.4,0.4,0.222,,,,109.0,102.0,103.0,0.255,,1.34,,95.0,,0.213,0.372,0.20800000000000002,,,,,,,,,,,,
2023/06/04,1:07 PM.,BAL,SF,home,Sunny.,62,669330,2B,3,0,1,0,0,0,0,0,0,1,0,.195,.230,.317,.547,669330,tylerwells,"Wells, T",Right,Tyler Wells,BAL,3.64,3.96,118.2,103.0,93.0,101.0,0.765,8.87,2.58,6.29,1.9,0.59,0.244,0.371,0.175,0.337,0.415,126.0,106.0,111.0,84.0,102.0,99.0,88.0,108.0,103.0,,,,85.0,100.0,96.0,0.377,0.195,0.164,,0.185,0.59,0.67,1.18,,0.43,92.5,88.7,85.4,84.0,,0.2,0.467,0.266,0.149,0.23,0.28,0.217,0.348,0.184,0.212,0.537,0.193,0.196,0.382,0.32799999999999996,84.0,95.0,100.0,,,,,0.078,,0.41,,74.1,,,,,,,,,,,,,,,
2023/06/02,7:15 PM.,BAL,SF,home,Clear.,60,665152,2B,1,0,1,1,0,0,0,0,1,0,0,.190,.226,.316,.542,665152,deankremer,Kremer,Right,Dean Kremer,BAL,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,86.0,91.0,93.0,106.0,103.0,102.0,116.0,98.0,105.0,,,,104.0,106.0,102.0,0.371,0.239,0.033,,0.123,0.43,0.02,-1.43,,-1.4,94.6,88.8,85.3,82.8,,0.252,0.409,0.262,0.25,0.417,0.244,0.347,0.592,0.24,0.222,0.416,0.27699999999999997,0.26,0.377,0.27,93.0,94.0,98.0,84.0,106.0,99.0,0.145,0.089,1.81,-2.29,91.9,78.1,0.269,0.38,0.081,,,,,,,,,,,,
2023/05/31,12:45 PM.,PIT,SF,home,Cloudy.,60,656605,2B,4,0,1,0,0,0,0,0,0,1,2,.179,.207,.295,.502,656605,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,4.21,4.18,194.1,103.0,104.0,103.0,0.797,9.73,2.55,8.66,1.16,1.29,0.277,0.358,0.172,0.31,0.456,83.0,104.0,97.0,100.0,106.0,100.0,142.0,104.0,123.0,,,,99.0,98.0,99.0,0.261,0.242,0.161,,0.028,0.66,-0.07,-0.5,,-2.63,95.2,89.7,90.7,82.8,,0.176,0.351,0.302,0.221,0.324,0.272,0.273,0.614,0.235,0.316,0.503,0.23600000000000002,0.36,0.6,0.21100000000000002,91.0,94.0,98.0,93.0,106.0,100.0,0.228,0.08,1.66,-1.97,93.9,78.0,0.258,0.346,0.105,,,,,,,,,,,,
2023/05/30,6:46 PM.,PIT,SF,home,Clear.,60,670912,2B,1,0,0,0,0,0,0,0,0,1,0,.176,.205,.297,.502,670912,johanoviedo,Oviedo,Right,Johan Oviedo,PIT,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.234,0.408,0.164,0.316,0.411,75.0,84.0,82.0,83.0,93.0,87.0,103.0,98.0,104.0,,,,,,,0.392,,0.367,,0.041,-1.25,,0.8,,-0.07,95.8,,88.1,88.2,,0.277,0.477,0.183,0.21,0.349,0.326,0.193,0.352,0.308,,,,0.25,0.3,0.35700000000000004,87.0,97.0,101.0,100.0,93.0,92.0,0.05,0.149,0.93,0.82,95.7,80.9,0.276,0.345,0.065,,,,,,,,,,,,
2023/05/29,2:07 PM.,PIT,SF,home,Partly Cloudy.,64,448179,P,1,0,0,0,0,0,0,0,0,0,2,.178,.208,.301,.509,448179,richhill,Hill,Left,Rich Hill,- - -,5.41,5.66,146.1,97.0,94.0,97.0,0.832,7.93,3.57,10.15,1.41,1.01,0.196,0.459,0.14,0.336,0.448,80.0,81.0,80.0,77.0,102.0,94.0,90.0,92.0,97.0,,,,85.0,97.0,93.0,0.342,0.147,0.088,0.008,0.023,-0.32,-1.27,-2.52,-3.65,-0.06,88.4,83.3,83.0,71.1,67.1,0.249,0.454,0.218,0.5,0.929,0.125,0.283,0.47,0.174,0.39,0.701,0.19899999999999998,0.263,0.421,0.037000000000000005,116.0,94.0,103.0,98.0,101.0,98.0,0.04,0.354,2.5,-1.16,86.1,72.0,0.105,0.105,0.226,,,,,,,,,,,,
2023/05/28,1:11 PM.,MIL,SF,away,Sunny.,74,607067,2B,2,0,0,0,0,0,1,0,0,1,0,.181,.211,.306,.517,607067,colinrea,Rea,Right,Colin Rea,MIL,4.55,4.42,124.2,104.0,89.0,99.0,0.786,7.94,2.74,7.94,1.66,1.16,0.216,0.436,0.123,0.359,0.419,,,,82.0,111.0,99.0,97.0,109.0,109.0,,,,87.0,99.0,95.0,0.193,0.265,0.109,,,2.43,-0.01,-0.31,,,93.2,86.7,,83.1,,0.135,0.27,0.264,0.226,0.377,0.36200000000000004,0.242,0.455,0.231,0.245,0.519,0.293,,,,101.0,105.0,105.0,96.0,105.0,99.0,0.299,0.079,0.31,-0.94,92.6,78.8,0.253,0.42,0.136,,,,0.44,0.84,0.184,62.0,96.0,91.0,0.056,-5.76,86.0
2023/05/27,3:11 PM.,MIL,SF,away,Sunny.,70,669203,2B,3,0,0,0,0,0,0,0,1,2,0,.186,.219,.314,.533,669203,corbinburnes,Burnes,Right,Corbin Burnes,MIL,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.459,0.19,0.29,0.38,82.0,105.0,112.0,,,,144.0,110.0,127.0,,,,127.0,101.0,103.0,,0.554,0.085,,0.112,,1.51,1.12,,1.07,,94.4,89.3,86.0,,,,,0.159,0.275,0.43799999999999994,0.133,0.211,0.488,0.209,0.34,0.22699999999999998,0.204,0.258,0.306,160.0,104.0,113.0,103.0,97.0,90.0,0.077,0.171,-2.42,1.35,95.3,79.8,0.291,0.564,0.129,,,,,,,,,,,,
2023/05/26,7:10 PM.,MIL,SF,away,Roof Closed.,67,642547,2B,5,2,2,1,0,1,3,0,0,2,4,.194,.217,.328,.545,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,50.0,97.0,85.0,117.0,104.0,110.0,115.0,99.0,104.0,,,,,,,0.512,,0.218,,0.146,0.89,,0.36,,0.15,94.4,,88.6,82.4,,0.213,0.387,0.292,0.203,0.392,0.46,0.214,0.381,0.33799999999999997,,,,0.224,0.388,0.312,85.0,103.0,110.0,,,,,0.124,,0.2,,76.9,,,,,,,,,,,,,,,
2023/05/24,12:11 PM.,MIN,SF,away,Cloudy.,70,657746,CF,4,0,1,0,0,0,0,0,0,1,3,.177,.203,.258,.461,657746,joeryan,Ryan,Right,Joe Ryan,MIN,4.51,3.53,161.2,107.0,99.0,105.0,0.749,10.97,1.89,8.63,1.78,0.63,0.232,0.423,0.147,0.326,0.455,,,,102.0,112.0,108.0,102.0,88.0,94.0,,,,,,,0.569,,0.159,,,0.89,,-2.12,,,92.3,,,80.3,,0.24,0.457,0.287,0.32,0.56,0.24100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242,0.415,0.213,91.0,104.0,102.0,0.272,-0.3,83.9
2023/05/23,6:41 PM.,MIN,SF,away,Clear.,83,543243,2B,2,0,1,0,0,0,0,0,0,1,0,.172,.200,.259,.459,543243,sonnygray,"Gray, So",Right,Sonny Gray,MIN,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.143,0.3,0.422,84.0,95.0,89.0,105.0,99.0,100.0,122.0,108.0,121.0,,,,118.0,102.0,102.0,0.271,0.131,0.205,0.001,0.067,0.61,1.3,3.25,-0.41,-0.63,92.9,87.6,87.9,84.3,72.9,0.301,0.422,0.16399999999999998,0.096,0.117,0.413,0.257,0.371,0.282,0.265,0.368,0.278,0.27,0.405,0.174,91.0,98.0,101.0,82.0,99.0,94.0,0.157,0.168,-0.46,0.87,92.8,79.6,0.275,0.413,0.177,,,,,,,,,,,,
2023/05/22,6:41 PM.,MIN,SF,away,Clear.,81,641927,2B,4,0,1,1,0,0,0,0,0,2,1,.161,.190,.250,.440,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.43,3.63,144.1,105.0,83.0,101.0,0.739,9.1,1.81,7.79,1.37,0.69,0.22,0.435,0.152,0.324,0.411,94.0,106.0,105.0,73.0,107.0,99.0,83.0,99.0,96.0,,,,,,,0.457,,0.196,,0.28,0.75,,-0.7,,1.08,91.3,,83.7,81.0,,0.232,0.425,0.27699999999999997,0.255,0.48,0.32899999999999996,0.194,0.306,0.161,,,,0.226,0.35,0.298,100.0,108.0,106.0,,,,,0.067,,1.44,,77.5,,,,,,,,,,,,,,,
2023/05/17,12:46 PM.,PHI,SF,home,Sunny.,60,592836,2B,0,0,0,0,0,0,0,0,0,0,0,.154,.185,.231,.416,592836,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,4.38,4.36,172.2,99.0,94.0,97.0,0.808,7.19,3.7,8.08,1.04,1.21,0.217,0.43,0.167,0.326,0.382,,,,79.0,98.0,90.0,124.0,109.0,114.0,,,,99.0,103.0,100.0,0.176,0.176,0.026,,,-0.82,-0.44,-1.43,,,92.8,87.1,,82.5,,0.257,0.541,0.254,0.158,0.632,0.342,0.212,0.485,0.36,0.284,0.441,0.158,,,,92.0,91.0,94.0,81.0,100.0,93.0,0.233,0.057,0.53,-1.07,92.4,74.8,0.273,0.429,0.1,,,,0.205,0.295,0.244,104.0,97.0,100.0,0.332,0.48,87.9
2023/05/14,1:11 PM.,AZ,SF,away,Roof Closed.,74,694297,CF,3,0,0,0,0,0,0,0,0,0,0,.154,.185,.231,.416,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,5.72,4.48,96.0,104.0,103.0,105.0,0.769,8.81,2.44,10.22,2.06,0.73,0.201,0.443,0.148,0.386,0.466,90.0,100.0,97.0,97.0,105.0,102.0,119.0,106.0,117.0,,,,,,,0.454,,0.27,,0.122,-1.63,,1.21,,-3.66,93.6,,86.7,83.8,,0.327,0.654,0.17600000000000002,0.18,0.323,0.337,0.294,0.529,0.294,,,,0.4,0.711,0.33,106.0,89.0,97.0,97.0,108.0,100.0,0.099,0.055,-0.03,-1.24,93.1,78.8,0.313,0.563,0.188,,,,,,,,,,,,
2023/05/13,5:11 PM.,AZ,SF,away,Roof Closed.,78,668678,CF,3,1,0,0,0,0,0,0,0,0,1,.163,.196,.245,.441,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.47,4.16,210.0,104.0,106.0,107.0,0.761,9.43,2.01,8.06,0.94,1.19,0.223,0.418,0.098,0.401,0.419,86.0,107.0,114.0,104.0,104.0,106.0,105.0,116.0,112.0,121.0,104.0,112.0,106.0,99.0,94.0,0.491,0.092,0.045,0.227,0.139,1.59,-2.24,0.34,0.46,1.05,93.6,90.2,86.8,87.4,82.5,0.238,0.36,0.192,0.25,0.389,0.265,0.21,0.344,0.405,0.352,0.648,0.205,0.21,0.336,0.314,,,,97.0,95.0,92.0,0.007,,-3.38,,93.0,,0.286,0.714,0.125,,,,,,,,,,,,
2023/05/12,6:40 PM.,AZ,SF,away,Clear.,93,669194,CF,2,0,0,0,0,0,0,0,0,1,1,.174,.208,.261,.469,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,5.31,5.27,144.0,104.0,101.0,103.0,0.823,6.0,2.88,9.94,1.5,0.83,0.229,0.413,0.131,0.362,0.463,96.0,96.0,98.0,102.0,104.0,103.0,106.0,105.0,113.0,,,,101.0,111.0,105.0,0.546,0.135,0.134,,0.133,-0.72,-1.72,0.52,,-0.16,94.4,85.6,83.3,81.7,,0.308,0.553,0.16699999999999998,0.174,0.565,0.257,0.429,0.714,0.182,0.326,0.539,0.218,0.203,0.407,0.312,99.0,94.0,98.0,,,,,0.052,,-2.44,,76.4,,,,,,,,,,,,,,,
