date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vCH,vSI,vSL,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,vKN (sc),KN%,wKN/C
2023/08/19,6:14 PM.,COL,CWS,away,Overcast.,91,607536,C,4,1,2,0,0,0,0,0,0,1,0,.240,.269,.320,.589,607536,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.202,0.441,0.122,0.391,0.437,67.0,103.0,88.0,65.0,99.0,96.0,,,,0.283,,0.236,0.122,,-0.86,-0.2,-3.3,,84.2,88.7,84.1,,,,0.246,0.549,0.2,0.349,0.529,0.091,47.0,105.0,95.0,68.0,105.0,90.0,0.184,1.13,88.8,0.435,0.681,0.139,,,,,,,0.239,0.431,0.127,0.261,0.41,0.32,0.176,-1.91,80.6,,,,,,,,,,96.0,105.0,105.0,,,
2023/08/18,6:42 PM.,COL,CWS,away,Overcast.,84,663567,C,0,0,0,0,0,0,0,0,0,0,0,.190,.227,.286,.513,663567,peterlambert,"Lambert, P",Right,Peter Lambert,COL,5.36,5.44,87.1,99.0,90.0,95.0,0.796,7.32,2.89,9.58,1.85,0.99,0.273,0.365,0.122,0.435,0.424,,,,109.0,104.0,109.0,,,,,,0.323,0.2,,,-1.15,-1.74,,86.2,,86.2,,,,0.308,0.641,0.198,,,,86.0,98.0,92.0,82.0,97.0,89.0,0.446,-0.78,93.2,0.235,0.459,0.325,74.0,108.0,101.0,0.032,1.04,78.0,0.271,0.586,0.16699999999999998,0.267,0.267,0.20800000000000002,,,,,,,,,,,,,,,,,,
2023/08/13,1:10 PM.,MIL,CWS,home,Cloudy.,75,642547,C,4,1,2,1,0,0,1,0,0,1,3,.190,.227,.286,.513,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,,,,115.0,99.0,104.0,,,,,,0.218,0.146,,,0.36,0.15,,88.6,,82.4,,,,0.203,0.392,0.46,,,,50.0,97.0,85.0,117.0,104.0,110.0,0.512,0.89,94.4,0.224,0.388,0.312,85.0,103.0,110.0,0.124,0.2,76.9,0.213,0.387,0.292,0.214,0.381,0.33799999999999997,,,,,,,,,,,,,,,,,,
2023/08/08,7:10 PM.,NYY,CWS,home,Partly Cloudy.,78,657376,C,2,0,0,0,0,0,0,0,0,1,0,.118,.167,.176,.343,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,4.64,4.33,159.0,102.0,102.0,104.0,0.783,8.43,2.6,9.57,1.36,1.16,0.232,0.447,0.154,0.309,0.439,68.0,103.0,88.0,109.0,99.0,107.0,96.0,106.0,105.0,0.241,0.279,0.274,0.015,0.27,-0.2,-0.59,-7.35,91.3,89.4,93.4,86.0,0.28,0.457,0.222,0.276,0.559,0.263,0.288,0.447,0.11,31.0,95.0,88.0,,,,,,,0.5,0.5,0.091,,,,,,,,,,0.198,0.314,0.345,0.191,-0.46,83.7,,,,,,,,,,146.0,100.0,118.0,,,
2023/07/23,1:13 PM.,MIN,CWS,away,Overcast.,82,641927,C,2,0,0,0,0,0,0,0,0,1,2,.133,.188,.200,.388,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.43,3.63,144.1,105.0,83.0,101.0,0.739,9.1,1.81,7.79,1.37,0.69,0.22,0.435,0.152,0.324,0.411,,,,83.0,99.0,96.0,,,,,,0.196,0.28,,,-0.7,1.08,,83.7,,81.0,,,,0.255,0.48,0.32899999999999996,,,,94.0,106.0,105.0,73.0,107.0,99.0,0.457,0.75,91.3,0.226,0.35,0.298,100.0,108.0,106.0,0.067,1.44,77.5,0.232,0.425,0.27699999999999997,0.194,0.306,0.161,,,,,,,,,,,,,,,,,,
2023/07/22,6:46 PM.,MIN,CWS,away,Cloudy.,77,543243,PH,1,0,0,0,0,0,0,0,0,1,1,.154,.214,.231,.445,543243,sonnygray,"Gray, So",Right,Sonny Gray,MIN,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.143,0.3,0.422,82.0,99.0,94.0,122.0,108.0,121.0,118.0,102.0,102.0,0.157,0.131,0.205,0.067,1.3,-0.46,3.25,-0.63,87.6,87.9,92.8,84.3,0.265,0.368,0.278,0.096,0.117,0.413,0.275,0.413,0.177,84.0,95.0,89.0,105.0,99.0,100.0,0.271,0.61,92.9,0.27,0.405,0.174,91.0,98.0,101.0,0.168,0.87,79.6,0.301,0.422,0.16399999999999998,0.257,0.371,0.282,0.001,-0.41,72.9,,,,,,,,,,,,,,,
2023/07/21,7:11 PM.,MIN,CWS,away,Partly Cloudy.,82,657746,C,1,0,0,0,0,0,0,0,0,1,0,.167,.231,.250,.481,657746,joeryan,Ryan,Right,Joe Ryan,MIN,4.51,3.53,161.2,107.0,99.0,105.0,0.749,10.97,1.89,8.63,1.78,0.63,0.232,0.423,0.147,0.326,0.455,,,,102.0,88.0,94.0,,,,,,0.159,,,,-2.12,,,,,80.3,,,,0.32,0.56,0.24100000000000002,,,,,,,102.0,112.0,108.0,0.569,0.89,92.3,,,,,,,,,,0.24,0.457,0.287,,,,,,,91.0,104.0,102.0,0.272,-0.3,83.9,0.242,0.415,0.213,,,,,,
2023/07/19,7:10 PM.,NYM,CWS,away,Partly Cloudy.,79,434378,C,3,0,0,0,0,0,0,0,0,1,2,.182,.250,.273,.523,434378,justinverlander,Verlander,Right,Justin Verlander,- - -,3.22,3.63,162.1,104.0,106.0,105.0,0.8,7.98,2.49,7.71,1.0,0.79,0.232,0.438,0.168,0.307,0.433,,,,127.0,112.0,111.0,,,,,,0.253,0.047,,,0.97,-0.23,,85.2,,86.9,,,,0.201,0.325,0.292,,,,102.0,107.0,113.0,97.0,100.0,100.0,0.5,0.89,94.3,0.214,0.286,0.28600000000000003,105.0,103.0,106.0,0.2,0.43,78.2,0.235,0.417,0.18100000000000002,0.241,0.328,0.244,,,,,,,,,,,,,,,,,,
2023/07/18,7:10 PM.,NYM,CWS,away,Clear.,80,471911,PH,0,0,0,0,0,0,0,0,1,0,0,.250,.333,.375,.708,471911,carloscarrasco,Carrasco,Right,Carlos Carrasco,NYM,6.8,6.77,90.0,98.0,93.0,96.0,0.765,6.6,3.8,11.5,1.8,1.52,0.195,0.459,0.13,0.352,0.382,91.0,90.0,87.0,104.0,98.0,108.0,86.0,88.0,95.0,0.1,0.004,0.184,0.299,-9.5,-3.88,-1.99,0.12,89.5,87.2,91.5,84.1,,,,0.329,0.575,0.32899999999999996,0.45,0.725,0.129,108.0,103.0,104.0,75.0,95.0,85.0,0.323,-2.35,92.7,0.22,0.314,0.311,88.0,103.0,104.0,0.091,-1.25,80.1,0.358,0.651,0.166,0.25,0.594,0.217,,,,,,,,,,,,,,,,,,
2023/07/14,7:21 PM.,ATL,CWS,away,Partly Cloudy.,86,450203,C,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.375,.625,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,3.64,4.64,163.1,96.0,106.0,98.0,0.704,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.137,0.343,0.379,81.0,89.0,83.0,,,,89.0,92.0,87.0,0.068,0.08,,0.103,0.25,-4.03,,0.86,89.1,86.0,94.2,,0.296,0.407,0.3,,,,0.474,0.711,0.071,100.0,91.0,88.0,74.0,95.0,89.0,0.317,-1.26,94.9,0.25,0.339,0.336,139.0,100.0,111.0,0.432,1.79,82.3,0.292,0.482,0.225,0.177,0.258,0.42,,,,,,,,,,,,,,,,,,
2023/07/09,1:10 PM.,STL,CWS,home,Partly Cloudy.,80,571927,C,2,0,0,0,0,0,0,0,0,0,3,.250,.250,.375,.625,571927,stevenmatz,Matz,Left,Steven Matz,STL,3.86,3.87,105.0,102.0,95.0,100.0,0.776,8.4,2.74,9.26,0.94,1.4,0.291,0.37,0.146,0.31,0.446,87.0,101.0,96.0,62.0,82.0,90.0,,,,0.561,,0.018,0.274,,0.41,-1.27,-0.09,,84.2,94.1,88.9,,,,0.5,0.75,0.1,0.24,0.397,0.247,106.0,109.0,107.0,,,,,,,0.291,0.405,0.289,108.0,96.0,100.0,0.148,-0.6,78.5,,,,0.259,0.407,0.2,,,,,,,,,,,,,,,,,,
2023/07/08,1:10 PM.,STL,CWS,home,Cloudy.,65,571945,C,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.500,.833,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,4.78,5.44,201.1,108.0,88.0,101.0,0.852,6.12,1.74,10.1,1.16,0.99,0.251,0.375,0.128,0.349,0.475,86.0,108.0,99.0,108.0,107.0,108.0,,,,0.243,,0.243,0.054,,-1.61,0.62,2.68,,84.4,92.7,86.4,,,,0.245,0.375,0.22399999999999998,0.34,0.54,0.085,58.0,96.0,93.0,74.0,112.0,99.0,0.26,-0.19,93.3,0.182,0.382,0.085,95.0,105.0,102.0,0.198,-0.92,75.9,0.29,0.495,0.18899999999999997,0.261,0.387,0.198,0.002,-0.89,68.1,,,,,,,,,,,,,,,
2023/07/01,1:07 PM.,OAK,CWS,away,Sunny.,81,666205,C,2,0,1,1,0,0,1,0,0,0,1,.333,.333,.500,.833,666205,kylemuller,Muller,Left,Kyle Muller,OAK,7.6,7.4,77.0,97.0,88.0,94.0,0.811,6.55,4.56,13.09,1.87,1.2,0.197,0.46,0.113,0.391,0.453,,,,90.0,98.0,99.0,,,,,,0.253,0.081,,,-0.45,-3.21,,87.9,,87.1,,,,0.293,0.475,0.242,,,,74.0,72.0,74.0,87.0,99.0,92.0,0.517,-2.52,93.5,0.333,0.5,0.387,97.0,103.0,104.0,0.149,-2.07,81.2,0.395,0.663,0.161,0.268,0.415,0.284,,,,,,,,,,,,,,,,,,
2023/05/13,6:16 PM.,HOU,CWS,home,Cloudy.,59,656232,DH,2,0,0,0,0,0,0,0,0,1,0,.250,.250,.250,.500,656232,brandonbielak,Bielak,Right,Brandon Bielak,HOU,3.83,5.44,80.0,97.0,85.0,91.0,0.785,6.98,4.05,9.68,1.35,1.55,0.192,0.46,0.14,0.364,0.394,78.0,99.0,88.0,99.0,93.0,95.0,,,,0.214,0.004,0.118,0.247,-0.48,-0.12,-3.74,0.83,84.4,87.1,92.1,82.0,,,,0.333,0.722,0.355,0.338,0.477,0.135,90.0,100.0,98.0,73.0,97.0,87.0,0.306,-1.15,92.1,0.227,0.352,0.332,101.0,90.0,88.0,0.111,-0.81,79.5,0.273,0.505,0.159,0.217,0.217,0.302,,,,,,,,,,,,,,,,,,
2023/05/11,2:10 PM.,KC,CWS,away,Rain.,67,663903,PH,1,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,663903,bradysinger,Singer,Right,Brady Singer,KCR,5.52,4.93,159.2,100.0,84.0,95.0,0.789,7.5,2.76,10.26,1.13,1.62,0.23,0.439,0.119,0.387,0.443,86.0,99.0,90.0,86.0,101.0,104.0,,,,0.51,,0.426,0.063,,-1.24,0.01,-0.3,,87.7,92.1,84.0,,,,0.0,0.0,0.6,0.339,0.555,0.113,53.0,96.0,88.0,89.0,-304.0,-276.0,0.002,-2.24,90.9,0.265,0.353,0.10400000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/07,4:11 PM.,CIN,CWS,away,Cloudy.,77,668933,DH,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,668933,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.164,0.302,0.435,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.097,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,90.4,96.5,88.3,0.292,0.436,0.171,0.221,0.461,0.32899999999999996,0.286,0.429,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
