date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
2023/09/15,7:10 PM.,MIL,WSH,away,Clear.,68,489119,CF,3,0,0,0,0,0,0,0,0,0,1,.233,.292,.317,.609,489119,wademiley,Miley,Left,Wade Miley,MIL,3.14,4.33,120.1,104.0,92.0,100.0,0.828,5.91,2.84,7.4,1.2,1.23,0.237,0.422,0.166,0.319,0.406,84.0,108.0,104.0,79.0,99.0,98.0,78.0,106.0,99.0,113.0,108.0,103.0,0.195,0.049,0.022,0.246,0.46,0.62,2.01,0.6,90.4,83.7,79.1,75.8,0.198,0.453,0.134,0.192,0.308,0.349,,,,0.219,0.281,0.239,88.0,109.0,96.0,0.046,-2.53,90.7,0.333,0.375,0.125,,,,,,,,,,,,,101.0,103.0,101.0,0.443,1.07,87.1,0.232,0.446,0.172
2023/09/14,12:37 PM.,PIT,WSH,away,Partly Cloudy.,67,656605,CF,2,0,0,0,0,0,0,0,0,1,0,.246,.306,.333,.639,656605,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,4.21,4.18,194.1,103.0,104.0,103.0,0.797,9.73,2.55,8.66,1.16,1.29,0.277,0.358,0.172,0.31,0.456,83.0,104.0,97.0,91.0,94.0,98.0,100.0,106.0,100.0,142.0,104.0,123.0,0.261,0.161,0.08,0.028,0.66,-0.5,-1.97,-2.63,95.2,90.7,82.8,78.0,0.176,0.351,0.302,0.221,0.324,0.272,0.273,0.614,0.235,0.36,0.6,0.21100000000000002,93.0,106.0,100.0,0.228,1.66,93.9,0.258,0.346,0.105,,,,,,,,,,,,,99.0,98.0,99.0,0.242,-0.07,89.7,0.316,0.503,0.23600000000000002
2023/09/13,6:36 PM.,PIT,WSH,away,Partly Cloudy.,70,681882,CF,3,0,0,0,0,0,0,0,0,2,0,.255,.317,.345,.662,681882,colinselby,Selby,Right,Colin Selby,PIT,9.0,5.52,24.0,93.0,114.0,97.0,0.714,11.25,5.63,10.88,1.5,1.74,0.232,0.449,0.188,0.333,0.391,,,,109.0,104.0,111.0,100.0,53.0,53.0,127.0,85.0,94.0,0.002,0.364,0.172,,-5.8,0.01,-0.52,,97.4,,88.4,82.7,,,,0.192,0.423,0.418,0.241,0.31,0.342,,,,106.0,97.0,95.0,0.462,-1.24,96.6,0.395,0.535,0.163,,,,,,,,,,,,,,,,,,,,,
2023/09/12,6:36 PM.,PIT,WSH,away,Cloudy.,66,663559,CF,3,0,0,0,0,0,0,0,0,1,0,.269,.333,.365,.698,663559,baileyfalter,Falter,Left,Bailey Falter,- - -,5.36,4.93,80.2,104.0,76.0,97.0,0.844,6.69,2.23,10.49,1.9,1.06,0.247,0.408,0.157,0.307,0.474,59.0,92.0,77.0,87.0,108.0,105.0,72.0,105.0,96.0,77.0,105.0,100.0,0.444,0.189,0.225,0.046,-0.08,-1.91,-0.85,-0.8,90.7,84.6,84.5,76.5,0.305,0.435,0.156,0.288,0.746,0.19899999999999998,0.267,0.493,0.209,0.273,0.364,0.33299999999999996,77.0,103.0,92.0,0.072,-1.63,90.7,0.333,0.571,0.133,,,,0.024,3.65,85.0,0.0,0.0,0.33299999999999996,,,,,,,,,,,,
2023/09/11,6:37 PM.,PIT,WSH,away,Clear.,77,656578,CF,4,1,0,0,0,0,0,1,0,0,3,.286,.352,.388,.740,656578,andrejackson,Jackson,Right,Andre Jackson,- - -,4.99,5.37,61.1,101.0,93.0,97.0,0.782,8.36,3.23,7.63,1.61,0.91,0.267,0.449,0.125,0.415,0.429,85.0,106.0,100.0,96.0,93.0,93.0,99.0,98.0,94.0,90.0,101.0,103.0,0.446,0.17,0.065,0.32,0.74,1.4,1.88,-1.7,94.9,86.9,87.1,81.5,0.222,0.367,0.191,0.148,0.296,0.20600000000000002,0.067,0.067,0.32299999999999995,0.273,0.566,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/10,1:35 PM.,LAD,WSH,home,Cloudy.,80,642232,CF,4,0,2,0,0,0,1,2,1,0,0,.311,.380,.422,.802,642232,ryanyarbrough,Yarbrough,Left,Ryan Yarbrough,- - -,4.52,4.39,89.2,105.0,79.0,97.0,0.794,6.72,1.41,9.64,1.3,0.95,0.267,0.358,0.219,0.285,0.444,61.0,105.0,94.0,102.0,98.0,108.0,,,,,,,0.308,,0.26,0.182,0.59,,-0.24,-2.4,87.0,78.5,,71.9,0.283,0.37,0.127,,,,0.208,0.386,0.382,0.329,0.6,0.27699999999999997,76.0,108.0,89.0,0.002,1.21,88.2,,,,,,,,,,,,,,,,77.0,106.0,93.0,0.248,1.48,84.2,0.289,0.378,0.121
2023/09/09,8:15 PM.,LAD,WSH,home,Cloudy.,72,676272,CF,4,0,1,0,0,0,0,0,0,1,2,.293,.356,.415,.771,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,3.76,3.4,124.1,102.0,123.0,110.0,0.764,8.61,2.32,7.6,0.87,1.46,0.256,0.428,0.147,0.299,0.426,105.0,100.0,117.0,115.0,100.0,110.0,130.0,102.0,105.0,153.0,110.0,121.0,0.289,0.174,0.185,0.16,1.2,-1.0,1.25,0.6,99.0,88.2,89.7,80.6,0.258,0.367,0.20600000000000002,0.5,0.75,0.25,0.184,0.303,0.36,0.133,0.307,0.39899999999999997,107.0,99.0,100.0,0.192,1.75,98.8,0.258,0.382,0.17800000000000002,,,,,,,,,,,,,,,,,,,,,
2023/09/08,7:05 PM.,LAD,WSH,home,Partly Cloudy.,89,686218,CF,3,1,1,1,0,0,0,0,0,0,0,.297,.366,.432,.798,686218,emmetsheehan,Sheehan,Right,Emmet Sheehan,LAD,4.92,3.5,60.1,95.0,101.0,97.0,0.732,9.55,3.88,6.86,1.64,0.62,0.21,0.433,0.121,0.287,0.395,74.0,99.0,100.0,,,,104.0,96.0,95.0,112.0,98.0,103.0,0.6,0.228,,0.172,0.04,1.57,,0.51,95.4,82.9,85.8,,0.24,0.504,0.20199999999999999,0.091,0.182,0.41200000000000003,,,,0.178,0.333,0.47600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/06,7:05 PM.,NYM,WSH,home,Clear.,97,676130,CF,4,0,2,1,0,0,1,0,0,1,2,.294,.368,.412,.780,676130,josebutto,Buttó,Right,José Buttó,NYM,3.64,3.9,42.0,96.0,97.0,94.0,0.745,8.14,4.93,7.07,0.64,1.07,0.161,0.458,0.161,0.314,0.364,83.0,96.0,92.0,76.0,88.0,94.0,101.0,96.0,94.0,109.0,104.0,106.0,0.509,0.151,0.055,0.229,1.65,1.11,1.56,-2.44,93.8,85.5,86.2,80.0,0.174,0.275,0.22699999999999998,0.154,0.308,0.389,0.2,0.2,0.267,0.316,0.395,0.373,86.0,86.0,79.0,0.056,4.53,92.9,0.231,0.231,0.185,,,,,,,,,,,,,,,,,,,,,
2023/09/05,7:04 PM.,NYM,WSH,home,Partly Cloudy.,92,500779,CF,4,2,2,1,0,0,1,0,1,1,0,.267,.353,.367,.720,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.286,0.349,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,,,,0.242,,0.253,0.181,-2.28,,1.45,-1.18,90.2,85.8,,77.2,0.391,0.594,0.217,,,,0.214,0.268,0.26899999999999996,0.276,0.379,0.29600000000000004,78.0,99.0,91.0,0.323,3.29,90.4,0.196,0.25,0.135,,,,,,,,,,0.211,0.368,0.207,,,,,,,,,
2023/09/03,1:36 PM.,MIA,WSH,home,Sunny.,91,645261,CF,4,1,1,0,0,0,1,1,0,0,2,.231,.310,.308,.618,645261,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,MIA,4.14,4.33,184.2,105.0,113.0,108.0,0.771,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.343,0.452,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,116.0,103.0,110.0,0.213,0.201,0.022,0.273,-0.27,0.72,-0.52,-0.43,98.0,91.1,89.9,86.1,0.253,0.448,0.267,0.227,0.364,0.35200000000000004,0.308,0.308,0.182,0.282,0.401,0.299,115.0,106.0,108.0,0.29,1.72,97.6,0.237,0.366,0.124,,,,,,,,,,,,,,,,,,,,,
2023/09/02,4:05 PM.,MIA,WSH,home,Sunny.,84,456501,CF,3,0,1,0,0,0,1,0,1,0,3,.227,.320,.318,.638,456501,johnnycueto,Cueto,Right,Johnny Cueto,MIA,6.02,5.13,52.1,107.0,84.0,103.0,0.831,6.71,2.58,8.77,2.92,0.7,0.298,0.472,0.161,0.323,0.408,73.0,106.0,102.0,120.0,47.0,56.0,87.0,116.0,112.0,88.0,95.0,96.0,0.346,0.234,0.004,0.192,-0.03,-1.92,-3.06,-3.11,92.2,84.1,86.1,76.0,0.242,0.53,0.245,0.27,0.73,0.154,,,,0.286,0.595,0.278,89.0,103.0,100.0,0.196,2.47,92.2,0.244,0.4,0.035,,,,,,,,,,,,,69.0,90.0,66.0,0.028,0.08,88.1,0.222,0.333,0.1
2023/09/01,7:05 PM.,MIA,WSH,home,Clear.,75,691587,CF,3,0,1,0,0,0,0,0,0,2,1,.211,.286,.316,.602,691587,euryperez,"Pérez, Eu",Right,Eury Pérez,MIA,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.206,0.464,0.159,0.391,0.407,86.0,85.0,82.0,91.0,95.0,99.0,128.0,100.0,109.0,101.0,102.0,107.0,0.454,0.308,0.14,0.098,-0.47,0.99,1.89,0.99,97.5,89.7,86.4,81.2,0.289,0.585,0.187,0.183,0.365,0.47700000000000004,0.098,0.171,0.5429999999999999,0.045,0.045,0.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/31,7:06 PM.,MIA,WSH,home,Clear.,78,666129,CF,3,0,1,1,0,0,0,0,0,2,0,.188,.278,.313,.591,666129,braxtongarrett,"Garrett, B",Left,Braxton Garrett,MIA,3.66,4.58,159.2,101.0,91.0,97.0,0.762,8.79,1.63,8.68,1.13,1.72,0.184,0.501,0.13,0.413,0.434,85.0,95.0,86.0,80.0,97.0,95.0,79.0,101.0,93.0,100.0,102.0,102.0,0.075,0.258,0.084,0.088,-1.84,0.45,-4.44,0.73,90.8,84.1,82.8,77.7,0.325,0.575,0.159,0.169,0.302,0.408,0.5,1.059,0.2,0.286,0.327,0.327,91.0,102.0,97.0,0.317,1.06,90.5,0.256,0.377,0.107,,,,,,,,,,,,,95.0,100.0,97.0,0.177,1.53,87.5,0.243,0.477,0.247
2023/08/30,3:08 PM.,TOR,WSH,away,Partly Cloudy.,67,605135,CF,3,0,1,1,0,0,0,0,0,0,1,.154,.267,.231,.498,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.459,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,106.0,93.0,102.0,0.093,0.136,0.126,0.065,-3.9,-0.72,0.67,1.71,92.4,84.1,75.6,70.7,0.333,0.652,0.20600000000000002,0.227,0.636,0.191,0.192,0.295,0.318,0.189,0.351,0.10099999999999999,92.0,104.0,98.0,0.393,2.11,91.9,0.22,0.336,0.14400000000000002,78.0,84.0,84.0,0.033,-3.07,82.6,0.375,0.563,0.226,,,,95.0,105.0,102.0,0.153,-1.13,87.8,0.274,0.496,0.253
2023/08/29,7:08 PM.,TOR,WSH,away,Clear.,71,621244,CF,4,0,1,0,0,0,0,1,0,1,2,.100,.250,.100,.350,621244,joseberrios,Berríos,Right,José Berríos,TOR,3.65,4.51,189.2,104.0,100.0,103.0,0.764,8.73,2.47,8.21,1.19,1.12,0.225,0.406,0.151,0.311,0.418,90.0,104.0,101.0,116.0,104.0,110.0,96.0,103.0,99.0,,,,0.204,,0.296,0.185,0.72,,0.31,-0.38,94.3,84.1,,82.6,0.254,0.456,0.276,,,,,,,0.245,0.409,0.33,92.0,104.0,99.0,0.315,0.61,93.8,0.255,0.398,0.131,,,,,,,,,,0.216,0.357,0.305,,,,,,,,,
2023/08/28,7:08 PM.,TOR,WSH,away,Clear.,68,592332,CF,3,0,0,0,0,0,0,0,1,1,2,.000,.250,.000,.250,592332,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.399,,,,,,,110.0,104.0,105.0,89.0,89.0,94.0,0.509,0.108,,,1.13,-0.97,,,94.7,,83.6,,0.243,0.409,0.172,0.348,0.565,0.353,,,,,,,,,,,,,,,,105.0,108.0,109.0,0.384,0.3,86.3,0.201,0.307,0.43200000000000005,,,,,,,,,,,,
2023/08/27,1:40 PM.,MIA,WSH,away,Roof Closed.,72,608638,CF,3,0,0,0,0,0,0,0,1,0,4,.000,.250,.000,.250,608638,jtchargois,Chargois,Right,JT Chargois,MIA,3.61,3.63,42.1,99.0,108.0,102.0,0.803,7.44,3.83,7.44,0.64,1.81,0.244,0.395,0.193,0.277,0.413,,,,,,,83.0,92.0,92.0,118.0,101.0,111.0,0.078,0.415,,,0.34,0.1,,,95.8,,86.3,,0.286,0.286,0.3,0.206,0.338,0.302,,,,,,,104.0,98.0,96.0,0.506,1.23,96.3,0.25,0.421,0.096,,,,,,,,,,,,,,,,,,,,,
2023/08/26,4:11 PM.,MIA,WSH,away,Roof Closed.,72,691587,DH,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,691587,euryperez,"Pérez, Eu",Right,Eury Pérez,MIA,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.206,0.464,0.159,0.391,0.407,86.0,85.0,82.0,91.0,95.0,99.0,128.0,100.0,109.0,101.0,102.0,107.0,0.454,0.308,0.14,0.098,-0.47,0.99,1.89,0.99,97.5,89.7,86.4,81.2,0.289,0.585,0.187,0.183,0.365,0.47700000000000004,0.098,0.171,0.5429999999999999,0.045,0.045,0.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
