date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ KC,Loc+ KC,Pit+ KC,KC%,CH%,wKC/C,wCH/C,vCH,vKC,CH_ba,CH_slg,CH_whiff,vKN (sc),KN%,wKN/C
2023/04/22,1:08 PM.,TOR,NYY,home,Sunny.,60,666201,RF,3,0,0,0,0,0,0,0,0,0,1,.186,.222,.488,.710,666201,alekmanoah,Manoah,Right,Alek Manoah,TOR,5.87,6.12,87.1,95.0,89.0,93.0,0.804,8.14,6.08,9.58,1.55,0.92,0.231,0.407,0.134,0.369,0.388,,,,91.0,95.0,92.0,92.0,96.0,91.0,94.0,93.0,96.0,,,,,,,0.282,0.29,,,0.3,,-2.16,,,0.68,-1.17,,92.8,,,92.6,80.8,,,,,0.25,0.379,0.129,,,,0.316,0.592,0.244,,,,0.239,0.432,0.28600000000000003,69.0,98.0,89.0,,,,,0.128,,-1.01,86.3,,0.273,0.432,0.2,,,
2023/04/20,4:08 PM.,LAA,NYY,home,Sunny.,63,663776,RF,0,0,0,0,0,0,0,0,0,0,0,.200,.238,.525,.763,663776,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,4.11,4.7,144.2,97.0,92.0,97.0,0.741,7.96,4.6,9.02,0.75,1.55,0.196,0.427,0.166,0.297,0.414,99.0,96.0,101.0,63.0,94.0,89.0,69.0,97.0,86.0,123.0,100.0,107.0,,,,,,,0.111,0.256,,,0.285,0.09,-1.22,,,0.36,0.02,0.27,93.0,,,93.2,86.5,76.5,,,,0.269,0.327,0.129,,,,0.336,0.507,0.156,0.286,0.286,0.237,0.2,0.5,0.306,99.0,98.0,100.0,,,,,0.258,,0.3,83.0,,0.184,0.33,0.43200000000000005,,,
2023/04/19,7:09 PM.,LAA,NYY,home,Clear.,61,656288,RF,3,0,0,0,0,0,0,0,0,1,1,.200,.238,.525,.763,656288,griffincanning,Canning,Right,Griffin Canning,LAA,4.32,4.01,127.0,102.0,96.0,101.0,0.734,9.85,2.55,8.57,1.56,1.1,0.239,0.41,0.129,0.382,0.442,91.0,98.0,103.0,78.0,101.0,93.0,81.0,95.0,86.0,124.0,105.0,110.0,,,,,,,0.006,0.348,,,0.299,0.134,-0.21,,,-8.61,0.1,-0.53,94.7,,,95.0,88.4,81.8,,,,0.333,1.333,0.0,,,,0.235,0.5,0.28300000000000003,0.271,0.667,0.252,0.261,0.344,0.34,89.0,101.0,101.0,,,,,0.213,,1.6,90.2,,0.213,0.339,0.248,,,
2023/04/18,7:09 PM.,LAA,NYY,home,Clear.,52,660761,RF,1,0,0,0,0,0,0,0,0,0,1,.216,.256,.568,.824,660761,josesuarez,"Suarez, J",Left,José Suarez,LAA,8.29,6.0,33.2,94.0,92.0,96.0,0.735,7.49,5.35,12.3,2.67,0.69,0.241,0.466,0.19,0.319,0.428,,,,89.0,92.0,89.0,74.0,94.0,82.0,105.0,90.0,103.0,99.0,68.0,88.0,,,,0.052,0.398,0.015,,0.267,,-0.97,0.89,,-3.55,-3.72,,92.3,88.1,,90.8,81.5,,,,,0.444,0.778,0.067,0.0,0.0,0.5,0.273,0.477,0.222,,,,0.591,1.091,0.25,84.0,100.0,103.0,,,,,0.269,,-2.55,82.0,,0.31,0.548,0.385,,,
2023/04/15,1:08 PM.,MIN,NYY,home,Overcast.,68,641816,RF,4,1,0,0,0,0,0,0,0,1,4,.222,.263,.583,.846,641816,tylermahle,Mahle,Right,Tyler Mahle,MIN,3.16,3.23,25.2,106.0,111.0,105.0,0.774,9.82,1.75,7.71,1.75,0.84,0.232,0.348,0.203,0.246,0.359,,,,122.0,104.0,105.0,,,,104.0,101.0,102.0,44.0,122.0,104.0,100.0,116.0,112.0,,0.518,0.021,0.197,0.264,,1.08,12.66,-1.89,,-0.02,,92.6,84.7,84.9,,83.8,,0.211,0.579,0.37200000000000005,,,,,,,0.25,0.455,0.179,,,,0.219,0.313,0.255,,,,,,,,,,,,,,,,,,
2023/04/14,7:08 PM.,MIN,NYY,home,Partly Cloudy.,78,686973,RF,4,0,1,0,0,0,0,0,0,2,1,.250,.294,.656,.950,686973,louievarland,Varland,Right,Louie Varland,MIN,4.63,4.58,68.0,106.0,99.0,105.0,0.767,9.4,2.25,8.74,2.12,1.12,0.263,0.376,0.082,0.381,0.467,,,,107.0,111.0,110.0,104.0,93.0,94.0,107.0,107.0,107.0,89.0,105.0,102.0,,,,0.009,0.427,0.319,,0.132,,-0.42,0.85,,6.39,-2.34,,95.3,89.3,,95.7,83.9,,,,,,,,0.25,0.405,0.285,0.267,0.533,0.237,,,,0.22,0.512,0.263,86.0,91.0,95.0,,,,,0.113,,-1.07,85.9,,0.267,0.6,0.264,,,
2023/04/13,7:08 PM.,MIN,NYY,home,Clear.,86,657746,LF,3,0,0,0,0,0,0,0,0,2,0,.250,.300,.714,1.014,657746,joeryan,Ryan,Right,Joe Ryan,MIN,4.51,3.53,161.2,107.0,99.0,105.0,0.749,10.97,1.89,8.63,1.78,0.63,0.232,0.423,0.147,0.326,0.455,,,,102.0,112.0,108.0,,,,102.0,88.0,94.0,,,,91.0,104.0,102.0,,0.569,,0.272,0.159,,0.89,,-0.3,,-2.12,,92.3,,83.9,,80.3,,0.242,0.415,0.213,,,,,,,0.24,0.457,0.287,,,,0.32,0.56,0.24100000000000002,,,,,,,,,,,,,,,,,,
2023/04/12,1:10 PM.,CLE,NYY,away,Sunny.,70,685410,LF,4,1,1,0,0,1,1,0,0,1,1,.280,.333,.800,1.133,685410,peytonbattenfield,Battenfield,Right,Peyton Battenfield,CLE,5.19,6.16,34.2,100.0,88.0,94.0,0.756,7.01,3.12,8.83,1.82,1.05,0.168,0.495,0.056,0.439,0.39,72.0,97.0,98.0,73.0,94.0,89.0,,,,,,,109.0,109.0,98.0,,,,,0.446,0.408,,,0.107,-2.36,2.7,,,,0.03,90.8,87.3,,,,79.7,,,,,,,0.164,0.279,0.318,0.323,0.645,0.129,0.4,0.4,0.429,,,,72.0,88.0,86.0,,,,,0.038,,-4.8,84.7,,0.4,0.8,0.33299999999999996,,,
2023/04/11,6:09 PM.,CLE,NYY,away,Clear.,59,683769,RF,4,1,1,0,0,1,3,0,0,1,1,.286,.348,.762,1.110,683769,huntergaddis,Gaddis,Right,Hunter Gaddis,CLE,4.5,3.9,42.0,101.0,88.0,96.0,0.848,5.14,3.0,8.79,1.29,0.48,0.3,0.393,0.214,0.329,0.452,93.0,75.0,88.0,87.0,101.0,93.0,,,,102.0,104.0,104.0,90.0,98.0,86.0,,,,,0.399,0.036,,0.317,0.066,-0.22,-1.86,,,0.44,-0.85,93.4,89.0,,,85.3,75.5,,,,,,,0.333,0.333,0.231,0.302,0.476,0.155,0.0,0.0,0.444,0.268,0.446,0.16399999999999998,57.0,98.0,93.0,,,,,0.182,,-1.29,81.2,,0.156,0.469,0.16699999999999998,,,
2023/04/10,6:10 PM.,CLE,NYY,away,Partly Cloudy.,56,669456,LF,3,0,0,0,0,0,0,0,1,2,2,.294,.368,.706,1.074,669456,shanebieber,Bieber,Right,Shane Bieber,CLE,3.8,4.83,128.0,101.0,100.0,99.0,0.77,7.52,2.39,8.72,0.98,1.56,0.238,0.395,0.147,0.328,0.42,,,,81.0,103.0,96.0,,,,111.0,107.0,109.0,95.0,94.0,93.0,,,,,0.352,0.269,,0.207,,0.87,0.43,,,0.84,,91.3,86.5,,,84.6,,,,,,,,0.316,0.465,0.293,0.257,0.434,0.09300000000000001,0.237,0.368,0.32299999999999995,0.18,0.331,0.326,59.0,93.0,85.0,155.0,104.0,109.0,0.137,0.035,-1.29,-4.04,87.2,82.5,0.5,0.571,0.083,,,
2023/04/09,1:37 PM.,BAL,NYY,away,Partly Cloudy.,55,669330,RF,4,1,2,0,0,1,2,0,0,1,0,.357,.400,.857,1.257,669330,tylerwells,"Wells, T",Right,Tyler Wells,BAL,3.64,3.96,118.2,103.0,93.0,101.0,0.765,8.87,2.58,6.29,1.9,0.59,0.244,0.371,0.175,0.337,0.415,84.0,95.0,100.0,84.0,102.0,99.0,,,,88.0,108.0,103.0,85.0,100.0,96.0,,,,,0.377,0.195,,0.164,0.078,0.59,0.67,,,1.18,0.41,92.5,88.7,,,84.0,74.1,,,,,,,0.212,0.537,0.193,0.2,0.467,0.266,0.217,0.348,0.184,0.149,0.23,0.28,126.0,106.0,111.0,,,,,0.185,,0.43,85.4,,0.196,0.382,0.32799999999999996,,,
2023/04/07,3:12 PM.,BAL,NYY,away,Overcast.,55,665152,RF,1,1,1,0,0,1,3,0,1,0,0,.300,.364,.700,1.064,665152,deankremer,Kremer,Right,Dean Kremer,BAL,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,93.0,94.0,98.0,106.0,103.0,102.0,84.0,106.0,99.0,116.0,98.0,105.0,104.0,106.0,102.0,,,,0.145,0.371,0.239,,0.033,0.089,0.43,0.02,,1.81,-1.43,-2.29,94.6,88.8,,91.9,82.8,78.1,,,,0.269,0.38,0.081,0.222,0.416,0.27699999999999997,0.252,0.409,0.262,0.347,0.592,0.24,0.25,0.417,0.244,86.0,91.0,93.0,,,,,0.123,,-1.4,85.3,,0.26,0.377,0.27,,,
2023/04/05,1:08 PM.,PHI,NYY,home,Drizzle.,48,605400,RF,4,0,1,0,0,0,0,0,0,1,3,.222,.222,.333,.555,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,4.46,3.71,193.2,107.0,101.0,106.0,0.76,9.39,2.09,8.27,1.49,1.13,0.215,0.477,0.156,0.323,0.419,,,,95.0,107.0,103.0,100.0,107.0,101.0,,,,111.0,110.0,105.0,,,,0.188,0.295,0.075,,,,-0.03,0.4,,0.46,,,92.7,86.3,,91.8,,,,,,0.279,0.416,0.106,0.246,0.508,0.301,0.246,0.503,0.217,0.221,0.398,0.33299999999999996,,,,70.0,111.0,103.0,118.0,105.0,113.0,0.316,0.126,0.47,0.14,85.9,79.4,0.22,0.319,0.319,,,
2023/04/03,7:08 PM.,PHI,NYY,home,Partly Cloudy.,53,592836,RF,5,1,1,1,0,0,2,0,0,1,5,.200,.200,.400,.600,592836,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,4.38,4.36,172.2,99.0,94.0,97.0,0.808,7.19,3.7,8.08,1.04,1.21,0.217,0.43,0.167,0.326,0.382,92.0,91.0,94.0,79.0,98.0,90.0,81.0,100.0,93.0,124.0,109.0,114.0,99.0,103.0,100.0,104.0,97.0,100.0,0.233,0.176,0.176,0.332,0.026,0.057,-0.82,-0.44,0.48,0.53,-1.43,-1.07,92.8,87.1,87.9,92.4,82.5,74.8,0.205,0.295,0.244,0.273,0.429,0.1,0.284,0.441,0.158,0.257,0.541,0.254,0.212,0.485,0.36,0.158,0.632,0.342,,,,,,,,,,,,,,,,,,
