date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS_ba,FS_slg,FS_whiff
2023/09/13,12:10 PM.,MIN,TB,away,Sunny.,60,572971,3B,4,1,2,1,1,0,1,0,0,0,4,.268,.375,.366,.741,572971,dallaskeuchel,Keuchel,Left,Dallas Keuchel,MIN,5.97,5.59,37.2,98.0,74.0,94.0,0.799,5.97,4.3,10.75,0.72,2.23,0.213,0.504,0.189,0.315,0.333,74.0,110.0,108.0,,,,,,,64.0,92.0,86.0,64.0,94.0,95.0,0.347,,0.129,,0.271,,0.39,0.06,,-0.58,,80.3,87.4,78.3,,0.222,0.278,0.441,,,,0.245,0.367,0.084,0.327,0.473,0.196,,,,,,,,,,92.0,94.0,90.0,0.254,,-2.63,,84.8,,0.379,0.69,0.24600000000000002,,,,,,
2023/09/12,6:41 PM.,MIN,TB,away,Partly Cloudy.,63,657746,3B,1,0,0,0,0,0,0,0,0,0,1,.243,.364,.270,.634,657746,joeryan,Ryan,Right,Joe Ryan,MIN,4.51,3.53,161.2,107.0,99.0,105.0,0.749,10.97,1.89,8.63,1.78,0.63,0.232,0.423,0.147,0.326,0.455,,,,,,,102.0,112.0,108.0,,,,102.0,88.0,94.0,,0.569,0.159,,,0.89,,-2.12,,,92.3,,,80.3,,0.32,0.56,0.24100000000000002,0.24,0.457,0.287,,,,,,,,,,,,,,,,,,,,0.272,,-0.3,,83.9,,,,91.0,104.0,102.0,0.242,0.415,0.213
2023/08/23,6:40 PM.,COL,TB,home,Dome.,72,596295,3B,4,0,1,0,0,0,0,0,0,1,0,.250,.372,.278,.650,596295,austingomber,Gomber,Left,Austin Gomber,COL,5.5,5.74,139.0,99.0,78.0,94.0,0.829,5.63,2.78,10.62,1.68,1.1,0.213,0.443,0.151,0.389,0.463,73.0,100.0,98.0,,,,68.0,97.0,85.0,66.0,7.0,2.0,93.0,98.0,102.0,0.012,0.439,0.201,,0.181,-1.99,-5.34,0.96,,-0.07,90.6,81.6,90.8,84.8,,0.275,0.383,0.247,0.344,0.656,0.11800000000000001,0.4,1.0,0.16699999999999998,0.296,0.509,0.19899999999999998,0.226,0.358,0.28,90.0,103.0,104.0,0.168,-0.75,77.6,,,,,,,,,,,,,,,,,,
2023/08/22,6:41 PM.,COL,TB,home,Dome.,72,621389,3B,3,2,1,0,0,0,0,0,2,2,1,.250,.385,.281,.666,621389,tyblach,Blach,Left,Ty Blach,COL,5.54,7.26,78.0,102.0,75.0,88.0,0.856,5.77,2.77,12.0,1.73,1.18,0.279,0.371,0.121,0.39,0.447,20.0,103.0,96.0,66.0,98.0,98.0,,,,69.0,104.0,84.0,,,,0.55,,,0.064,0.221,,-1.22,,-0.44,-1.35,,79.9,89.3,,78.9,,,,,,,0.322,0.561,0.102,0.371,0.486,0.207,0.211,0.211,0.257,,,,,,,170.0,99.0,85.0,0.165,,-2.26,,83.7,,0.348,0.652,0.184,,,,,,
2023/08/19,6:07 PM.,LAA,TB,away,Cloudy.,76,663776,3B,4,2,1,1,0,0,2,0,2,1,1,.241,.353,.276,.629,663776,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,4.11,4.7,144.2,97.0,92.0,97.0,0.741,7.96,4.6,9.02,0.75,1.55,0.196,0.427,0.166,0.297,0.414,99.0,98.0,100.0,99.0,96.0,101.0,63.0,94.0,89.0,69.0,97.0,86.0,123.0,100.0,107.0,0.111,0.256,0.285,0.09,0.258,-1.22,0.36,0.02,0.27,0.3,93.0,83.0,93.2,86.5,76.5,0.2,0.5,0.306,0.336,0.507,0.156,0.269,0.327,0.129,0.184,0.33,0.43200000000000005,0.286,0.286,0.237,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/18,6:38 PM.,LAA,TB,away,Clear.,81,542881,3B,4,1,1,0,0,0,0,0,0,1,3,.240,.321,.240,.561,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.246,0.401,0.182,0.289,0.406,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,0.055,0.374,0.007,0.002,0.338,-1.25,-3.61,-1.06,-0.33,0.08,90.1,80.0,88.5,78.1,72.9,0.2,0.2,0.33299999999999996,0.301,0.566,0.193,0.36,0.68,0.102,0.238,0.381,0.39799999999999996,,,,,,,,,,104.0,103.0,98.0,0.224,0.001,0.48,-4.72,85.1,90.1,0.239,0.366,0.268,,,,,,
2023/08/14,6:45 PM.,SF,TB,away,Partly Cloudy.,68,676254,3B,5,2,3,0,0,0,0,0,0,1,2,.238,.304,.238,.542,676254,ryanwalker,"Walker, R",Right,Ryan Walker,SFG,3.23,3.06,61.1,101.0,115.0,104.0,0.714,11.45,3.52,8.95,1.17,1.18,0.233,0.421,0.233,0.189,0.418,,,,139.0,42.0,53.0,,,,101.0,101.0,95.0,128.0,100.0,113.0,0.496,,0.503,0.001,,,0.41,-0.84,-5.8,,,,94.8,83.2,72.7,0.248,0.473,0.419,,,,0.279,0.356,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/13,1:40 PM.,CLE,TB,home,Dome.,72,676440,3B,4,0,1,0,0,0,0,0,0,0,3,.125,.222,.125,.347,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.383,0.168,0.302,0.427,101.0,98.0,105.0,88.0,98.0,102.0,91.0,97.0,91.0,,,,110.0,106.0,115.0,,0.471,0.27,0.093,0.166,0.6,,1.35,-1.11,1.07,94.9,83.8,,84.7,78.3,0.206,0.355,0.317,0.243,0.348,0.19,,,,0.213,0.298,0.37799999999999995,0.271,0.479,0.233,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/10,6:40 PM.,STL,TB,home,Dome.,72,669461,3B,3,0,0,0,0,0,0,0,0,1,0,.083,.214,.083,.297,669461,matthewliberatore,Liberatore,Left,Matthew Liberatore,STL,5.25,5.96,61.2,93.0,88.0,93.0,0.825,6.71,3.65,9.63,0.73,1.28,0.322,0.342,0.131,0.372,0.426,72.0,100.0,96.0,101.0,87.0,97.0,72.0,98.0,90.0,91.0,92.0,91.0,117.0,88.0,99.0,0.185,0.382,0.127,0.224,0.081,-0.74,1.76,-2.12,-1.62,-0.64,94.2,87.3,94.3,86.6,76.6,0.333,0.533,0.28600000000000003,0.308,0.49,0.161,0.208,0.302,0.098,0.278,0.389,0.125,0.222,0.472,0.33799999999999997,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/09,6:40 PM.,STL,TB,home,Dome.,72,641712,PH,1,0,0,0,0,0,0,0,0,1,0,.111,.273,.111,.384,641712,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,STL,4.98,6.0,81.1,96.0,94.0,91.0,0.818,4.98,3.76,9.74,1.0,1.89,0.16,0.461,0.141,0.349,0.419,85.0,66.0,62.0,81.0,103.0,96.0,81.0,99.0,88.0,81.0,97.0,87.0,120.0,95.0,100.0,0.377,0.222,0.321,0.055,0.024,0.43,0.04,-0.76,-0.31,-4.54,91.1,84.4,91.6,85.1,81.4,0.258,0.43,0.39299999999999996,0.281,0.328,0.129,0.308,0.526,0.07200000000000001,0.2,0.4,0.0,0.25,0.25,0.306,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/06,1:45 PM.,DET,TB,away,Cloudy.,74,666159,3B,4,0,0,0,0,0,0,0,1,3,4,.125,.300,.125,.425,666159,mattmanning,Manning,Right,Matt Manning,DET,3.58,5.48,78.0,102.0,104.0,102.0,0.831,5.77,2.42,6.92,1.27,0.83,0.272,0.423,0.142,0.389,0.492,62.0,96.0,84.0,102.0,99.0,101.0,103.0,104.0,100.0,,,,112.0,102.0,107.0,,0.478,0.315,0.172,0.036,0.58,,1.21,-0.9,0.93,93.4,87.7,,81.9,79.5,0.185,0.383,0.261,0.214,0.366,0.182,,,,0.111,0.111,0.063,0.258,0.419,0.094,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/05,1:10 PM.,DET,TB,away,Sunny.,77,669373,3B,3,0,0,0,0,0,0,0,0,2,1,.250,.400,.250,.650,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.8,2.3,80.1,106.0,97.0,107.0,0.716,11.43,1.57,6.5,0.45,1.64,0.209,0.435,0.168,0.272,0.455,93.0,102.0,114.0,,,,94.0,112.0,103.0,98.0,109.0,105.0,114.0,104.0,109.0,0.122,0.36,0.207,,0.244,2.49,2.7,-0.49,,3.25,95.8,84.3,95.9,87.6,,0.224,0.448,0.24,0.206,0.299,0.256,0.229,0.286,0.17300000000000001,0.167,0.205,0.506,0.143,0.214,0.36,81.0,90.0,93.0,0.068,0.54,76.4,,,,,,,,,,,,,,,,,,
2023/08/04,6:40 PM.,DET,TB,away,Partly Cloudy.,81,681857,3B,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,681857,reeseolson,Olson,Right,Reese Olson,DET,3.99,4.73,103.2,100.0,104.0,101.0,0.743,8.94,2.86,7.21,1.22,1.17,0.189,0.4,0.13,0.354,0.4,98.0,94.0,97.0,95.0,93.0,95.0,93.0,103.0,101.0,82.0,108.0,100.0,132.0,98.0,104.0,0.2,0.285,0.306,0.058,0.151,0.85,1.25,-0.14,0.83,0.98,94.8,87.8,94.8,84.8,78.8,0.217,0.433,0.41600000000000004,0.171,0.381,0.158,0.278,0.367,0.121,0.208,0.283,0.359,0.167,0.222,0.311,,,,,,,,,,,,,,,,,,,,,,,,
