date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C,SV_ba,SV_slg,SV_whiff
2023/08/02,7:07 PM.,TOR,BAL,away,Cloudy.,74,579328,CF,2,0,0,0,0,0,0,0,0,0,1,.261,.316,.386,.702,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,,,,,,,,0.451,,0.193,0.097,0.05,,,0.24,-1.83,95.1,,88.7,,83.1,0.284,0.463,0.307,,,,,,,0.254,0.508,0.193,101.0,105.0,108.0,0.259,1.11,88.7,0.27,0.412,0.268,0.225,0.396,0.302,,,,,,,,,,,,,,,,,,,,,
2023/08/01,7:09 PM.,TOR,BAL,away,Roof Closed.,68,547943,CF,4,0,1,0,0,0,2,0,0,1,1,.267,.323,.395,.718,547943,hyunjinryu,Ryu,Left,Hyun Jin Ryu,TOR,3.46,3.85,52.0,105.0,80.0,95.0,0.802,6.58,2.42,9.17,1.56,1.4,0.234,0.468,0.152,0.327,0.412,74.0,104.0,95.0,88.0,111.0,105.0,75.0,105.0,91.0,73.0,100.0,94.0,92.0,107.0,97.0,0.095,0.317,0.189,0.171,0.228,-0.51,1.27,3.34,-1.45,-2.1,88.6,85.1,78.1,87.7,68.9,0.286,0.429,0.35200000000000004,0.238,0.357,0.207,0.133,0.133,0.091,0.276,0.448,0.25,,,,,,,0.265,0.633,0.11900000000000001,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/30,7:12 PM.,NYY,BAL,home,Clear.,83,622663,CF,1,0,1,0,0,0,0,0,0,0,0,.268,.326,.402,.728,622663,luisseverino,"Severino, L",Right,Luis Severino,NYY,6.65,5.89,89.1,103.0,104.0,101.0,0.822,7.96,3.43,11.38,2.32,1.14,0.248,0.399,0.144,0.346,0.447,80.0,99.0,97.0,,,,103.0,104.0,98.0,92.0,91.0,87.0,110.0,100.0,98.0,0.028,0.449,0.15,,0.186,-2.42,-0.08,5.41,,-1.4,96.5,90.8,86.7,95.7,,,,,0.208,0.313,0.17300000000000001,0.091,0.091,0.20800000000000002,0.279,0.441,0.21600000000000003,126.0,109.0,117.0,0.188,-2.59,84.7,0.355,0.692,0.196,0.289,0.566,0.254,,,,,,,,,,,,,,,,,,,,,
2023/07/26,6:07 PM.,PHI,BAL,away,Clear.,89,624133,CF,2,1,1,0,0,0,0,0,0,0,0,.259,.319,.395,.714,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,4.18,4.36,125.0,101.0,85.0,97.0,0.79,8.57,3.46,9.29,0.94,1.58,0.232,0.394,0.164,0.34,0.393,70.0,98.0,99.0,95.0,104.0,102.0,69.0,98.0,88.0,96.0,104.0,102.0,97.0,97.0,94.0,0.28,0.215,0.126,0.19,0.184,-0.65,-1.27,0.52,1.95,-1.45,93.4,87.5,82.9,92.8,75.8,0.143,0.226,0.377,0.34,0.585,0.179,0.289,0.409,0.1,0.267,0.444,0.311,91.0,113.0,108.0,0.005,4.65,84.1,0.304,0.478,0.21899999999999997,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,
2023/07/25,6:44 PM.,PHI,BAL,away,Partly Cloudy.,72,592836,CF,0,0,0,0,0,0,0,0,0,0,0,.253,.315,.392,.707,592836,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,4.38,4.36,172.2,99.0,94.0,97.0,0.808,7.19,3.7,8.08,1.04,1.21,0.217,0.43,0.167,0.326,0.382,,,,92.0,91.0,94.0,79.0,98.0,90.0,81.0,100.0,93.0,99.0,103.0,100.0,0.233,0.176,0.176,0.057,,-0.82,-0.44,0.53,-1.07,,92.8,87.1,,92.4,74.8,0.212,0.485,0.36,0.284,0.441,0.158,0.273,0.429,0.1,,,,124.0,109.0,114.0,0.026,-1.43,82.5,0.257,0.541,0.254,0.158,0.632,0.342,,,,,,,104.0,97.0,100.0,0.332,0.48,87.9,0.205,0.295,0.244,,,,,,
2023/07/03,7:08 PM.,NYY,BAL,away,Partly Cloudy.,84,593334,RF,0,0,0,0,0,0,0,0,0,0,0,.253,.315,.392,.707,593334,domingogerman,Germán,Right,Domingo Germán,NYY,4.56,4.3,108.2,100.0,92.0,98.0,0.707,9.44,2.82,6.87,1.66,0.97,0.159,0.486,0.166,0.328,0.416,96.0,98.0,95.0,94.0,102.0,104.0,89.0,100.0,97.0,82.0,95.0,87.0,,,,0.105,0.277,,0.409,0.209,-1.75,,0.95,1.5,1.01,92.3,,85.8,92.4,82.9,0.174,0.344,0.39299999999999996,,,,0.15,0.325,0.13,0.2,0.306,0.322,,,,,,,0.321,0.741,0.19,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/27,7:06 PM.,CIN,BAL,home,Cloudy.,73,671096,RF,1,0,0,0,0,0,1,0,0,1,1,.253,.315,.392,.707,671096,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.87,3.93,109.1,101.0,87.0,97.0,0.765,9.88,3.62,8.23,1.32,0.55,0.255,0.381,0.133,0.347,0.404,72.0,96.0,91.0,99.0,103.0,103.0,81.0,99.0,91.0,,,,,,,,0.501,,0.171,0.163,-0.02,,,-2.27,0.99,92.7,,86.6,,80.9,0.367,0.65,0.26,,,,,,,0.203,0.27,0.39399999999999996,106.0,107.0,113.0,0.165,1.61,82.9,0.249,0.459,0.198,0.174,0.304,0.29,,,,,,,,,,,,,,,,,,,,,
2023/06/26,7:20 PM.,CIN,BAL,home,Partly Cloudy.,79,682227,LF,2,2,1,0,0,0,0,0,1,1,1,.256,.322,.397,.719,682227,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,4.46,4.77,117.0,99.0,93.0,96.0,0.801,7.54,3.0,8.54,1.38,0.88,0.287,0.384,0.139,0.324,0.444,97.0,94.0,99.0,98.0,96.0,103.0,64.0,99.0,86.0,,,,106.0,102.0,98.0,,0.372,0.298,0.064,0.165,-0.15,1.71,,-1.75,-0.51,92.8,89.3,84.0,,73.1,0.333,0.6,0.14300000000000002,0.252,0.433,0.185,,,,0.183,0.39,0.39899999999999997,132.0,104.0,113.0,0.102,-1.33,81.7,0.269,0.433,0.171,0.0,0.0,0.273,,,,,,,,,,,,,,,,,,,,,
2023/06/25,1:36 PM.,SEA,BAL,home,Sunny.,85,669923,RF,0,0,0,0,0,0,0,0,0,0,0,.250,.301,.395,.696,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.407,0.177,0.327,0.482,94.0,107.0,111.0,,,,97.0,111.0,105.0,106.0,110.0,109.0,,,,0.216,0.394,,,0.018,1.34,,0.43,,-5.31,96.1,,86.6,95.8,,0.265,0.458,0.159,,,,0.261,0.383,0.131,0.5,0.9,0.125,126.0,106.0,112.0,0.197,1.03,86.3,0.234,0.392,0.28,0.264,0.377,0.22,,,,0.115,0.35,81.8,95.0,103.0,110.0,0.061,1.07,84.9,0.143,0.286,0.35700000000000004,75.1,0.001,0.26,,,
2023/06/24,4:05 PM.,SEA,BAL,home,Cloudy.,82,682243,RF,1,1,1,0,0,1,2,0,0,0,0,.250,.301,.395,.696,682243,brycemiller,"Miller, B",Right,Bryce Miller,SEA,4.32,4.86,131.1,104.0,117.0,109.0,0.783,8.15,1.78,8.5,1.23,0.76,0.242,0.379,0.13,0.356,0.464,90.0,101.0,107.0,113.0,102.0,102.0,121.0,105.0,110.0,104.0,101.0,99.0,,,,0.076,0.585,,0.009,0.056,0.3,,1.22,-8.41,0.66,95.1,,85.0,95.1,78.2,0.667,1.333,0.125,,,,0.26,0.36,0.096,0.167,0.433,0.179,112.0,100.0,107.0,0.274,0.14,85.0,0.256,0.45,0.271,0.3,0.475,0.174,,,,,,,,,,,,,,,,,,,,,
