date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023/09/05,6:41 PM.,CIN,SEA,away,Partly Cloudy.,89,683175,1B,0,0,0,0,0,0,0,1,0,0,0,.219,.317,.486,.803,683175,connorphillips,Phillips,Right,Connor Phillips,CIN,6.97,4.67,20.2,93.0,128.0,98.0,0.78,11.32,5.66,7.84,2.18,0.68,0.339,0.357,0.179,0.268,0.402,59.0,70.0,70.0,119.0,95.0,94.0,125.0,93.0,95.0,,,,,,,,0.633,,0.1,0.013,-1.48,,,-2.94,-2.97,96.4,,91.2,,82.2,,,,0.25,0.558,0.131,,,,,,,0.667,0.667,0.111,142.0,95.0,108.0,0.255,3.39,84.4,0.111,0.111,0.489,,,,,,,,,,,,,,,
2023/09/03,1:41 PM.,NYM,SEA,away,Sunny.,87,656731,2B,2,0,0,0,0,0,0,0,0,1,1,.219,.317,.486,.803,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.7,5.85,126.1,97.0,90.0,95.0,0.789,7.48,4.13,10.04,1.28,1.25,0.275,0.345,0.123,0.32,0.414,88.0,97.0,98.0,101.0,91.0,96.0,86.0,95.0,89.0,,,,,,,,0.557,,0.086,0.149,-0.4,,,-0.05,-0.09,94.9,,87.9,,77.2,0.264,0.396,0.24100000000000002,0.314,0.494,0.184,,,,,,,0.167,0.167,0.354,96.0,103.0,106.0,0.206,-1.04,84.4,0.264,0.445,0.311,,,,,,,116.0,83.0,118.0,0.002,5.58,86.1,,,
2023/09/02,7:10 PM.,NYM,SEA,away,Partly Cloudy.,71,656849,RF,2,0,0,0,0,0,0,0,0,1,2,.223,.322,.495,.817,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,5.03,4.96,111.0,97.0,90.0,94.0,0.727,10.38,4.05,10.05,1.3,2.18,0.256,0.422,0.13,0.338,0.378,84.0,97.0,93.0,89.0,97.0,99.0,76.0,95.0,87.0,97.0,97.0,95.0,,,,0.253,0.273,,0.088,0.189,-0.83,,0.66,2.63,-1.35,92.7,,85.3,91.5,78.6,0.325,0.55,0.309,0.287,0.425,0.281,0.314,0.486,0.165,,,,0.2,0.2,0.365,105.0,99.0,102.0,0.197,-2.58,85.3,0.268,0.472,0.39399999999999996,,,,,,,,,,,,,,,
2023/08/30,1:11 PM.,OAK,SEA,home,Cloudy.,69,594943,CF,2,0,0,0,0,0,0,1,1,0,2,.228,.328,.505,.833,594943,zachneal,Neal,Right,Zach Neal,OAK,6.67,7.49,27.0,103.0,88.0,95.0,0.786,8.33,4.67,10.0,2.67,1.04,0.241,0.518,0.169,0.41,0.409,90.0,115.0,107.0,87.0,98.0,92.0,74.0,95.0,91.0,84.0,101.0,91.0,97.0,102.0,93.0,0.277,0.123,0.318,0.097,0.184,-2.46,-0.72,-1.41,-6.9,-0.75,89.0,86.2,82.4,89.2,69.8,0.233,0.6,0.28800000000000003,0.2,0.4,0.33299999999999996,0.294,0.647,0.113,0.269,0.538,0.262,0.571,0.714,0.308,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/29,6:40 PM.,OAK,SEA,home,Roof Closed.,60,686610,LF,3,0,0,0,0,0,0,0,1,1,2,.232,.327,.515,.842,686610,kenwaldichuk,Waldichuk,Left,Ken Waldichuk,OAK,5.36,4.67,141.0,95.0,91.0,93.0,0.767,8.43,4.53,9.51,1.53,0.99,0.223,0.401,0.155,0.31,0.414,92.0,90.0,88.0,93.0,77.0,85.0,89.0,95.0,92.0,,,,,,,,0.543,,0.02,0.166,-0.52,,,-3.62,-1.4,93.3,,84.2,,74.5,0.34,0.515,0.374,0.275,0.493,0.17800000000000002,,,,,,,0.333,0.833,0.0,96.0,99.0,100.0,0.271,-0.79,81.1,0.218,0.423,0.32799999999999996,,,,,,,,,,,,,,,
2023/08/28,6:40 PM.,OAK,SEA,home,Cloudy.,67,666205,LF,3,0,1,0,0,0,1,1,1,0,4,.240,.330,.531,.861,666205,kylemuller,Muller,Left,Kyle Muller,OAK,7.6,7.4,77.0,97.0,88.0,94.0,0.811,6.55,4.56,13.09,1.87,1.2,0.197,0.46,0.113,0.391,0.453,74.0,72.0,74.0,97.0,103.0,104.0,87.0,99.0,92.0,,,,,,,,0.517,,0.149,0.081,-2.52,,,-2.07,-3.21,93.5,,87.9,,81.2,0.333,0.5,0.387,0.395,0.663,0.161,,,,,,,0.268,0.415,0.284,90.0,98.0,99.0,0.253,-0.45,87.1,0.293,0.475,0.242,,,,,,,,,,,,,,,
2023/08/26,1:10 PM.,KC,SEA,home,Partly Cloudy.,79,543475,SS,1,0,0,0,0,0,0,0,0,1,1,.237,.324,.538,.862,543475,jordanlyles,Lyles,Right,Jordan Lyles,KCR,6.28,4.93,177.2,101.0,85.0,97.0,0.817,6.08,2.28,8.92,1.98,0.69,0.217,0.463,0.139,0.332,0.402,73.0,95.0,90.0,95.0,97.0,99.0,75.0,101.0,92.0,76.0,103.0,88.0,96.0,99.0,98.0,0.131,0.306,0.076,0.131,0.109,1.11,-0.94,-0.01,-1.6,-1.66,91.2,86.8,85.5,90.5,79.4,0.26,0.481,0.257,0.227,0.444,0.154,0.248,0.457,0.158,0.314,0.725,0.19,0.238,0.476,0.21899999999999997,99.0,107.0,110.0,0.247,-1.31,80.2,0.28,0.543,0.249,,,,,,,,,,,,,,,
2023/08/25,7:10 PM.,KC,SEA,home,Clear.,74,663903,DH,2,0,0,0,0,0,0,0,0,2,2,.239,.327,.543,.870,663903,bradysinger,Singer,Right,Brady Singer,KCR,5.52,4.93,159.2,100.0,84.0,95.0,0.789,7.5,2.76,10.26,1.13,1.62,0.23,0.439,0.119,0.387,0.443,53.0,96.0,88.0,,,,89.0,-304.0,-276.0,86.0,99.0,90.0,,,,0.51,0.002,,,0.063,-2.24,,-1.24,,-0.3,90.9,,87.7,92.1,,0.265,0.353,0.10400000000000001,,,,0.339,0.555,0.113,,,,,,,86.0,101.0,104.0,0.426,0.01,84.0,0.0,0.0,0.6,,,,,,,,,,,,,,,
2023/08/23,1:10 PM.,CWS,SEA,away,Sunny.,95,656629,LF,3,0,0,0,0,0,0,0,0,1,1,.244,.333,.556,.889,656629,michaelkopech,Kopech,Right,Michael Kopech,CHW,5.43,5.77,129.1,91.0,108.0,94.0,0.755,9.32,6.33,8.0,2.02,0.75,0.243,0.41,0.155,0.347,0.384,73.0,82.0,76.0,96.0,97.0,97.0,116.0,89.0,94.0,,,,,,,,0.614,,0.04,0.074,-0.71,,,-0.94,0.15,95.2,,88.7,,80.6,0.133,0.3,0.33899999999999997,0.244,0.462,0.264,,,,,,,0.158,0.474,0.19399999999999998,102.0,97.0,99.0,0.272,-1.5,84.8,0.258,0.516,0.27399999999999997,,,,,,,,,,,,,,,
2023/08/20,12:05 PM.,HOU,SEA,away,Roof Closed.,73,686613,SS,5,0,4,0,0,0,1,0,0,0,2,.253,.343,.575,.918,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.274,0.364,0.135,0.362,0.433,,,,,,,101.0,99.0,96.0,90.0,103.0,93.0,,,,0.002,0.461,0.235,,,0.01,-0.4,-0.16,,,95.7,91.7,,96.0,,0.121,0.242,0.37,0.271,0.511,0.223,,,,0.297,0.506,0.20800000000000002,0.247,0.374,0.303,104.0,92.0,97.0,0.017,-2.64,84.6,0.25,0.625,0.33299999999999996,112.0,102.0,110.0,0.238,-0.77,82.9,92.0,104.0,105.0,0.048,0.92,88.2,,,
2023/08/19,6:12 PM.,HOU,SEA,away,Roof Closed.,73,664285,2B,4,2,2,0,0,2,3,0,1,1,0,.220,.319,.561,.880,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.246,0.443,0.109,0.374,0.445,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,99.0,99.0,95.0,0.468,0.001,0.034,0.253,0.157,-16.35,0.45,0.93,1.07,0.73,95.7,89.1,90.1,95.3,80.2,0.231,0.342,0.311,,,,0.274,0.455,0.126,0.182,0.182,0.435,0.158,0.211,0.402,,,,0.087,-0.32,84.7,0.189,0.405,0.43799999999999994,,,,,,,,,,,,,,,
2023/08/17,1:11 PM.,KC,SEA,away,Sunny.,82,672582,2B,3,0,1,0,0,0,0,0,1,1,2,.205,.303,.487,.790,672582,angelzerpa,Zerpa,Left,Angel Zerpa,KCR,4.85,4.36,42.2,101.0,77.0,96.0,0.822,7.59,1.69,9.7,1.48,1.6,0.224,0.418,0.164,0.381,0.46,67.0,97.0,93.0,,,,59.0,100.0,88.0,80.0,106.0,98.0,,,,0.232,0.335,,,0.194,0.43,,0.96,,-2.48,94.5,,86.9,94.6,,0.379,0.552,0.313,0.222,0.407,0.21600000000000003,0.289,0.467,0.05,,,,,,,106.0,102.0,107.0,0.239,-0.82,86.2,0.244,0.463,0.231,,,,,,,,,,,,,,,
