date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSL/C,wCH/C,vFA,vFC,vCH,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,SI%,FS%,wFS/C,wSI/C,vFS,vSI,FS_ba,FS_slg,FS_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI_ba,SI_slg,SI_whiff,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC
2023/06/25,1:10 PM.,CWS,BOS,away,Overcast.,86,621383,1B,1,0,0,0,0,0,0,0,0,1,2,.167,.286,.167,.453,621383,tannerbanks,Banks,Left,Tanner Banks,CHW,4.43,4.39,61.0,101.0,88.0,101.0,0.788,7.52,2.36,8.7,1.48,0.86,0.272,0.348,0.103,0.37,0.445,64.0,102.0,96.0,75.0,102.0,99.0,106.0,100.0,102.0,,,,0.354,,0.303,0.165,-0.84,,1.17,2.23,92.6,,86.3,86.3,0.291,0.494,0.244,0.162,0.324,0.188,,,,0.225,0.408,0.263,113.0,106.0,109.0,0.151,-3.1,80.9,0.31,0.69,0.243,0.028,,,-1.44,,91.4,,,,79.0,100.0,95.0,,,,0.5,0.5,0.444,,,,,,
2023/06/24,3:12 PM.,CWS,BOS,away,Sunny.,82,458681,DH,0,0,0,0,0,0,0,0,0,0,0,.182,.308,.182,.490,458681,lancelynn,Lynn,Right,Lance Lynn,- - -,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.241,0.419,0.17,0.32,0.403,56.0,95.0,90.0,92.0,105.0,104.0,97.0,98.0,106.0,104.0,105.0,99.0,0.437,0.23,0.063,0.07,-0.4,-0.35,-3.65,-1.23,92.4,88.7,84.9,83.0,0.255,0.52,0.316,0.302,0.372,0.29600000000000004,0.273,0.512,0.267,0.286,0.446,0.308,109.0,97.0,106.0,0.074,-2.24,80.8,0.208,0.453,0.354,0.126,,,1.21,,91.4,,,,93.0,95.0,87.0,,,,0.239,0.394,0.177,,,,,,
2023/05/12,7:12 PM.,STL,BOS,home,Clear.,82,425794,DH,0,1,0,0,0,0,0,0,0,0,0,.182,.308,.182,.490,425794,adamwainwright,Wainwright,Right,Adam Wainwright,STL,7.4,7.35,101.0,99.0,103.0,97.0,0.88,4.9,3.65,13.46,1.78,1.07,0.186,0.439,0.129,0.339,0.425,66.0,84.0,80.0,80.0,94.0,84.0,83.0,78.0,71.0,107.0,99.0,95.0,0.099,0.226,0.003,0.05,-1.48,-0.27,-13.9,-3.6,85.7,82.9,81.4,75.6,0.326,0.512,0.11699999999999999,0.389,0.611,0.1,0.344,0.473,0.152,,,,129.0,102.0,110.0,0.306,-1.5,71.5,0.291,0.475,0.153,0.314,,,-3.36,,86.9,,,,87.0,99.0,89.0,,,,0.394,0.746,0.09300000000000001,0.002,6.39,65.7,,,
2023/05/10,7:22 PM.,ATL,BOS,away,Partly Cloudy.,81,669276,PH,0,0,0,0,0,0,0,0,0,0,0,.182,.308,.182,.490,669276,dylanlee,"Lee, D",Left,Dylan Lee,ATL,4.18,5.66,23.2,107.0,90.0,103.0,0.727,9.13,3.04,9.13,1.52,1.0,0.246,0.435,0.174,0.435,0.43,71.0,102.0,94.0,98.0,106.0,105.0,89.0,109.0,105.0,,,,0.402,,0.476,0.123,-2.54,,1.25,2.19,91.8,,85.6,83.3,0.382,0.676,0.157,0.083,0.083,0.348,,,,0.222,0.333,0.40399999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/09,7:21 PM.,ATL,BOS,away,Cloudy.,77,450203,1B,1,0,0,0,0,0,0,0,0,1,2,.182,.308,.182,.490,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,3.64,4.64,163.1,96.0,106.0,98.0,0.704,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.137,0.343,0.379,100.0,91.0,88.0,74.0,95.0,89.0,,,,89.0,92.0,87.0,0.317,0.08,,0.103,-1.26,0.25,,0.86,94.9,89.1,86.0,,0.292,0.482,0.225,0.25,0.339,0.336,0.296,0.407,0.3,,,,139.0,100.0,111.0,0.432,1.79,82.3,0.177,0.258,0.42,0.068,,,-4.03,,94.2,,,,81.0,89.0,83.0,,,,0.474,0.711,0.071,,,,,,
2023/05/07,1:39 PM.,PHI,BOS,away,Partly Cloudy.,76,592836,2B,1,0,0,0,0,0,0,0,0,1,0,.200,.333,.200,.533,592836,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,4.38,4.36,172.2,99.0,94.0,97.0,0.808,7.19,3.7,8.08,1.04,1.21,0.217,0.43,0.167,0.326,0.382,,,,79.0,98.0,90.0,124.0,109.0,114.0,99.0,103.0,100.0,0.176,0.176,0.026,,-0.82,-0.44,-1.43,,92.8,87.1,,82.5,0.257,0.541,0.254,,,,0.284,0.441,0.158,0.158,0.632,0.342,92.0,91.0,94.0,0.057,-1.07,74.8,0.212,0.485,0.36,0.233,0.332,0.48,0.53,87.9,92.4,0.205,0.295,0.244,81.0,100.0,93.0,104.0,97.0,100.0,0.273,0.429,0.1,,,,,,
2023/04/13,1:10 PM.,TB,BOS,away,Dome.,72,605488,3B,3,0,0,0,0,0,0,0,1,3,0,.222,.364,.222,.586,605488,jeffreysprings,Springs,Left,Jeffrey Springs,TBR,0.56,1.66,16.0,111.0,100.0,112.0,0.637,13.5,2.25,2.25,0.56,1.44,0.308,0.5,0.192,0.308,0.479,86.0,116.0,116.0,105.0,108.0,107.0,115.0,114.0,117.0,,,,0.406,,0.251,0.343,2.63,,3.79,5.88,91.7,,80.4,82.2,0.143,0.286,0.17600000000000002,0.048,0.048,0.5,,,,0.0,0.0,0.28600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/12,6:40 PM.,TB,BOS,away,Dome.,72,671737,SS,4,0,0,0,0,0,0,0,0,2,0,.333,.429,.333,.762,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,,,,131.0,101.0,109.0,,,,106.0,99.0,99.0,0.449,0.248,,,-0.8,-1.32,,,96.1,88.9,,,0.277,0.559,0.191,,,,0.312,0.581,0.295,,,,88.0,107.0,111.0,0.167,0.04,79.0,0.169,0.338,0.22399999999999998,0.001,0.136,0.62,0.0,89.3,97.8,0.19,0.333,0.41,,,,,,,,,,,,,,,
2023/04/11,6:40 PM.,TB,BOS,away,Dome.,72,663556,1B,1,0,1,0,0,0,0,1,1,0,0,1.000,1.000,1.000,2.000,663556,shanemcclanahan,McClanahan,Left,Shane McClanahan,TBR,3.29,4.13,115.0,102.0,112.0,106.0,0.694,9.47,3.21,7.43,1.17,1.18,0.28,0.384,0.134,0.355,0.455,115.0,104.0,109.0,111.0,100.0,104.0,107.0,102.0,105.0,,,,0.419,,0.153,0.258,-0.34,,-0.27,2.65,96.8,,86.9,89.3,0.269,0.479,0.233,0.153,0.191,0.541,,,,0.261,0.58,0.29100000000000004,115.0,101.0,107.0,0.17,1.12,83.5,0.197,0.344,0.314,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/10,6:40 PM.,TB,BOS,away,Dome.,72,656222,1B,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,656222,jalenbeeks,Beeks,Left,Jalen Beeks,TBR,5.95,3.61,42.1,95.0,89.0,90.0,0.729,9.99,4.46,8.93,0.85,1.17,0.285,0.366,0.154,0.309,0.438,112.0,95.0,96.0,65.0,95.0,83.0,106.0,71.0,93.0,92.0,105.0,98.0,0.435,0.107,0.015,0.443,-0.49,2.73,-16.85,-0.18,94.3,85.7,89.6,81.8,0.243,0.419,0.252,0.267,0.373,0.317,0.125,0.125,0.588,1.0,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
