date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,FO%,SL%,CU%,wFA/C,wFC/C,wFO/C,wSL/C,wCU/C,vFA,vFC,vFO,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vCH,vSI,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,SV_ba,SV_slg,SV_whiff,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC
2023/06/24,4:08 PM.,TOR,OAK,away,Roof Closed.,68,621244,SS,4,0,2,0,0,0,1,0,0,1,1,.250,.323,.286,.609,621244,joseberrios,Berríos,Right,José Berríos,TOR,3.65,4.51,189.2,104.0,100.0,103.0,0.764,8.73,2.47,8.21,1.19,1.12,0.225,0.406,0.151,0.311,0.418,116.0,104.0,110.0,96.0,103.0,99.0,,,,,,,0.204,,,,0.296,0.72,,,,0.31,94.3,,,,82.6,0.254,0.456,0.276,,,,,,,,,,,,,90.0,104.0,101.0,92.0,104.0,99.0,0.315,0.185,0.61,-0.38,84.1,93.8,0.245,0.409,0.33,0.255,0.398,0.131,,,,,,,0.216,0.357,0.305,,,,,,
2023/06/23,7:08 PM.,TOR,OAK,away,Roof Closed.,68,605135,SS,4,0,0,0,0,0,0,0,0,1,2,.208,.296,.250,.546,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.459,93.0,92.0,100.0,74.0,106.0,98.0,106.0,93.0,102.0,95.0,105.0,102.0,0.093,0.153,,0.136,0.126,-3.9,-1.13,,-0.72,0.67,92.4,87.8,,75.6,70.7,0.333,0.652,0.20600000000000002,0.274,0.496,0.253,0.375,0.563,0.226,0.227,0.636,0.191,0.192,0.295,0.318,72.0,93.0,91.0,92.0,104.0,98.0,0.393,0.065,2.11,1.71,84.1,91.9,0.189,0.351,0.10099999999999999,0.22,0.336,0.14400000000000002,78.0,84.0,84.0,0.033,-3.07,82.6,,,,,,,,,
2023/06/22,1:11 PM.,CLE,OAK,away,Cloudy.,71,671106,SS,1,0,1,0,0,0,0,0,0,0,0,.250,.348,.300,.648,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.432,0.155,0.337,0.414,,,,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.089,,0.247,,-0.12,-2.1,,-0.74,,91.4,86.3,,79.3,,0.257,0.482,0.177,0.462,0.692,0.17,,,,0.3,0.3,0.368,,,,60.0,104.0,105.0,,,,,0.213,,1.49,82.7,,0.191,0.223,0.33,,,,,,,,,,,,,,,,,,
2023/06/21,7:10 PM.,CLE,OAK,away,Cloudy.,76,668909,SS,2,1,1,1,0,0,0,0,0,1,0,.211,.318,.263,.581,668909,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,3.29,4.21,82.0,100.0,102.0,101.0,0.745,8.89,4.06,7.24,0.88,0.98,0.265,0.354,0.126,0.278,0.426,84.0,90.0,95.0,112.0,101.0,103.0,83.0,107.0,102.0,,,,0.553,,,0.221,0.17,0.35,,,2.27,-1.23,95.7,,,84.9,76.2,0.25,0.404,0.249,,,,,,,0.157,0.241,0.318,0.174,0.391,0.35200000000000004,136.0,95.0,93.0,,,,,0.056,,-3.24,88.2,,0.353,0.588,0.212,,,,,,,,,,,,,,,,,,
2023/06/18,1:08 PM.,PHI,OAK,home,Sunny.,68,554430,SS,2,0,1,0,0,0,0,0,0,0,0,.176,.300,.176,.476,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.279,0.38,0.214,0.313,0.421,116.0,105.0,114.0,112.0,109.0,114.0,107.0,101.0,111.0,96.0,102.0,102.0,0.435,0.144,,0.123,0.115,1.69,-0.63,,0.36,-1.61,95.8,90.9,,84.4,81.4,0.199,0.333,0.314,0.27,0.426,0.228,,,,0.198,0.36,0.392,0.264,0.473,0.33,48.0,106.0,77.0,105.0,105.0,107.0,0.18,0.004,1.62,-6.22,90.8,95.2,,,,0.252,0.308,0.192,,,,,,,,,,,,,,,
2023/06/17,1:10 PM.,PHI,OAK,home,Sunny.,66,650911,SS,2,0,1,0,0,0,0,0,0,0,1,.133,.278,.133,.411,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.44,3.74,99.1,101.0,83.0,100.0,0.759,8.7,1.45,7.97,1.45,2.19,0.21,0.445,0.157,0.342,0.429,,,,,,,123.0,100.0,100.0,,,,,,,0.211,,,,,0.2,,,,,82.7,,,,,,,,,,,0.25,0.456,0.297,,,,75.0,98.0,104.0,71.0,104.0,97.0,0.462,0.327,0.65,1.1,81.8,92.1,0.148,0.274,0.43,0.297,0.523,0.107,,,,,,,,,,,,,,,
2023/04/27,1:07 PM.,LAA,OAK,away,Sunny.,74,660271,SS,1,0,0,0,0,0,0,0,1,1,0,.077,.250,.077,.327,660271,shoheiohtani,Ohtani,Right,Shohei Ohtani,LAA,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.343,0.457,87.0,97.0,105.0,114.0,99.0,100.0,136.0,97.0,112.0,96.0,89.0,88.0,0.33,0.156,,0.356,0.036,1.64,-0.82,,1.81,1.15,96.8,88.6,,83.7,75.7,0.164,0.236,0.27,0.31,0.606,0.228,0.179,0.205,0.41100000000000003,0.146,0.339,0.365,0.111,0.167,0.41700000000000004,,,,104.0,94.0,95.0,0.06,,-0.53,,,94.5,,,,0.273,0.409,0.225,129.0,93.0,108.0,0.062,-0.25,88.6,,,,,,,,,
2023/04/24,6:39 PM.,LAA,OAK,away,Clear.,67,660761,SS,2,0,0,0,0,0,0,1,0,1,6,.083,.214,.083,.297,660761,josesuarez,"Suarez, J",Left,José Suarez,LAA,8.29,6.0,33.2,94.0,92.0,96.0,0.735,7.49,5.35,12.3,2.67,0.69,0.241,0.466,0.19,0.319,0.428,,,,89.0,92.0,89.0,105.0,90.0,103.0,99.0,68.0,88.0,0.398,0.015,,0.267,,-0.97,0.89,,-3.72,,92.3,88.1,,81.5,,0.273,0.477,0.222,0.0,0.0,0.5,,,,0.591,1.091,0.25,,,,84.0,100.0,103.0,74.0,94.0,82.0,0.052,0.269,-3.55,-2.55,82.0,90.8,0.31,0.548,0.385,0.444,0.778,0.067,,,,,,,,,,,,,,,
2023/04/23,1:37 PM.,TEX,OAK,away,Roof Closed.,74,594798,SS,3,0,1,0,0,0,0,1,0,2,0,.100,.250,.100,.350,594798,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,2.67,1.87,30.1,106.0,161.0,117.0,0.603,13.35,1.19,5.64,0.59,0.83,0.333,0.273,0.212,0.212,0.371,133.0,116.0,132.0,155.0,104.0,112.0,179.0,110.0,125.0,,,,0.521,,,0.37,0.02,2.0,,,0.39,6.08,98.7,,,91.8,84.8,0.177,0.339,0.35,,,,,,,0.189,0.378,0.5329999999999999,,,,132.0,101.0,106.0,,,,,0.089,,3.57,91.4,,0.1,0.1,0.318,,,,,,,,,,,,,,,,,,
2023/04/22,6:07 PM.,TEX,OAK,away,Roof Closed.,74,571760,3B,1,0,0,0,0,0,0,0,0,1,0,.000,.222,.000,.222,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.343,0.399,80.0,143.0,68.0,107.0,99.0,99.0,94.0,104.0,108.0,,,,0.579,,,0.252,0.0,0.1,,,-1.35,-3.87,92.5,,,82.0,74.4,0.236,0.431,0.256,,,,,,,0.259,0.443,0.29600000000000004,,,,101.0,97.0,92.0,,,,,0.169,,-0.11,84.0,,0.274,0.452,0.24,,,,,,,,,,,,,,,,,,
2023/04/21,7:08 PM.,TEX,OAK,away,Partly Cloudy.,73,592351,RF,0,0,0,0,0,0,0,0,0,0,0,.000,.250,.000,.250,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.12,4.48,157.1,101.0,97.0,100.0,0.758,8.12,3.09,8.52,1.26,1.1,0.288,0.348,0.157,0.324,0.437,99.0,90.0,98.0,82.0,100.0,92.0,116.0,103.0,109.0,,,,0.424,,,0.398,0.062,-1.83,,,2.33,-1.69,95.7,,,87.2,78.2,0.346,0.551,0.179,,,,,,,0.105,0.211,0.324,0.263,0.737,0.27,77.0,96.0,97.0,,,,,0.116,,1.71,88.8,,0.211,0.268,0.213,,,,,,,,,,,,,,,,,,
2023/04/19,12:37 PM.,CHC,OAK,home,Partly Cloudy.,56,657006,LF,2,1,0,0,0,0,0,0,2,2,1,.000,.250,.000,.250,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.06,3.5,173.1,102.0,99.0,102.0,0.781,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,87.0,98.0,109.0,88.0,102.0,98.0,123.0,104.0,111.0,,,,0.626,,,0.339,0.006,0.67,,,0.54,2.44,91.8,,,83.3,80.7,0.275,0.393,0.203,,,,,,,0.217,0.346,0.311,0.0,0.0,0.33299999999999996,69.0,85.0,78.0,45.0,95.0,88.0,0.018,0.01,0.89,-1.94,87.5,92.2,0.4,0.4,0.1,0.25,0.333,0.16699999999999998,,,,,,,,,,,,,,,
2023/04/18,6:41 PM.,CHC,OAK,home,Clear.,53,573186,LF,3,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,573186,marcusstroman,Stroman,Right,Marcus Stroman,CHC,3.95,4.27,136.2,100.0,101.0,99.0,0.793,7.84,3.42,7.9,0.59,2.6,0.207,0.434,0.135,0.302,0.382,139.0,103.0,111.0,58.0,106.0,91.0,78.0,111.0,109.0,105.0,96.0,98.0,0.082,0.096,,0.051,0.23,0.34,0.96,,-0.41,0.34,92.0,89.7,,86.1,84.6,0.154,0.256,0.32,0.26,0.42,0.242,0.205,0.308,0.324,0.184,0.237,0.322,,,,,,,102.0,97.0,95.0,0.464,,1.08,,,91.4,,,,0.245,0.332,0.14300000000000002,46.0,95.0,91.0,0.077,0.12,86.6,0.24,0.38,0.301,,,,,,
2023/04/16,1:29 PM.,NYM,OAK,home,Partly Cloudy.,59,676130,PR,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,676130,josebutto,Buttó,Right,José Buttó,NYM,3.64,3.9,42.0,96.0,97.0,94.0,0.745,8.14,4.93,7.07,0.64,1.07,0.161,0.458,0.161,0.314,0.364,76.0,88.0,94.0,101.0,96.0,94.0,109.0,104.0,106.0,,,,0.509,,,0.151,0.055,1.65,,,1.11,1.56,93.8,,,86.2,80.0,0.174,0.275,0.22699999999999998,,,,,,,0.154,0.308,0.389,0.2,0.2,0.267,83.0,96.0,92.0,86.0,86.0,79.0,0.056,0.229,4.53,-2.44,85.5,92.9,0.316,0.395,0.373,0.231,0.231,0.185,,,,,,,,,,,,,,,
2023/04/15,1:07 PM.,NYM,OAK,home,Sunny.,58,471911,DH,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000,471911,carloscarrasco,Carrasco,Right,Carlos Carrasco,NYM,6.8,6.77,90.0,98.0,93.0,96.0,0.765,6.6,3.8,11.5,1.8,1.52,0.195,0.459,0.13,0.352,0.382,88.0,103.0,104.0,75.0,95.0,85.0,104.0,98.0,108.0,86.0,88.0,95.0,0.323,0.004,,0.184,0.091,-2.35,-9.5,,-1.99,-1.25,92.7,89.5,,84.1,80.1,0.358,0.651,0.166,,,,,,,0.329,0.575,0.32899999999999996,0.25,0.594,0.217,108.0,103.0,104.0,91.0,90.0,87.0,0.1,0.299,-3.88,0.12,87.2,91.5,0.22,0.314,0.311,0.45,0.725,0.129,,,,,,,,,,,,,,,
2023/04/14,6:42 PM.,NYM,OAK,home,Clear.,56,673540,RF,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,673540,kodaisenga,Senga,Right,Kodai Senga,NYM,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.416,0.161,0.333,0.382,91.0,90.0,87.0,109.0,97.0,97.0,100.0,93.0,102.0,93.0,95.0,93.0,0.37,0.25,0.237,0.116,0.027,0.17,2.52,0.95,-0.96,-0.23,95.7,90.8,83.2,82.7,72.8,0.244,0.399,0.17300000000000001,0.244,0.339,0.182,0.11,0.147,0.595,0.333,0.952,0.245,0.125,0.5,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
