date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2023/09/19,8:05 PM.,CHC,PIT,away,Overcast.,64,665871,PH,0,0,0,0,0,0,0,0,1,0,0,.259,.342,.309,.651,665871,javierassad,Assad,Right,Javier Assad,CHC,3.05,4.64,109.1,99.0,92.0,94.0,0.825,7.74,3.38,7.66,1.07,1.36,0.283,0.334,0.18,0.331,0.412,58.0,94.0,87.0,92.0,89.0,86.0,82.0,97.0,90.0,103.0,100.0,103.0,0.194,0.135,0.051,0.04,-0.9,0.28,-3.14,-3.27,93.1,85.0,80.6,76.5,0.313,0.484,0.193,0.25,0.55,0.258,0.357,0.571,0.292,0.163,0.265,0.457,87.0,103.0,93.0,103.0,99.0,95.0,0.306,0.274,0.48,2.18,89.1,92.7,0.218,0.418,0.18,0.214,0.324,0.142,,,,,,,,,,,,,,,,,,
2023/09/17,1:51 PM.,NYY,PIT,home,Rain.,62,607074,1B,3,2,2,2,0,0,0,0,0,0,0,.259,.338,.309,.647,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.116,0.381,0.429,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.5,85.4,79.7,0.294,0.55,0.217,0.375,1.25,0.21100000000000002,0.0,0.0,0.42100000000000004,0.2,0.347,0.37200000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/14,12:37 PM.,WSH,PIT,home,Partly Cloudy.,67,680686,3B,3,0,0,0,0,0,0,0,0,1,2,.250,.331,.287,.618,680686,josiahgray,"Gray, Js",Right,Josiah Gray,WSN,3.91,5.03,159.0,95.0,88.0,91.0,0.762,8.09,4.53,8.6,1.25,0.92,0.253,0.453,0.21,0.313,0.389,44.0,96.0,90.0,96.0,95.0,97.0,82.0,91.0,83.0,84.0,92.0,96.0,0.166,0.299,0.161,0.016,-1.21,-0.07,0.24,0.6,93.5,88.6,85.1,82.2,0.291,0.557,0.20199999999999999,0.221,0.358,0.349,0.286,0.357,0.1,0.163,0.233,0.429,93.0,101.0,90.0,95.0,95.0,83.0,0.176,0.181,-0.09,0.15,88.8,93.1,0.243,0.461,0.205,0.313,0.385,0.138,,,,,,,,,,,,,,,,,,
2023/09/13,6:36 PM.,WSH,PIT,home,Partly Cloudy.,70,671131,2B,3,0,0,0,0,0,0,0,0,1,2,.256,.338,.293,.631,671131,jacksonrutledge,Rutledge,Right,Jackson Rutledge,WSN,6.75,5.81,20.0,96.0,99.0,95.0,0.811,5.4,2.7,10.8,1.8,0.51,0.221,0.412,0.147,0.338,0.451,114.0,98.0,107.0,87.0,56.0,60.0,95.0,96.0,94.0,111.0,102.0,101.0,0.457,0.217,0.058,0.127,-0.11,2.09,-9.52,-10.41,95.8,89.0,85.2,80.2,0.258,0.452,0.213,0.333,1.333,0.0,0.5,0.85,0.067,0.133,0.133,0.33299999999999996,87.0,101.0,96.0,,,,0.142,,,2.03,,94.8,,,,0.3,0.4,0.25,,,,,,,,,,,,,,,,,,
2023/09/11,6:37 PM.,WSH,PIT,home,Clear.,77,571578,2B,2,1,1,0,0,0,0,1,1,1,0,.262,.345,.300,.645,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.2,6.16,180.0,101.0,81.0,95.0,0.797,6.2,2.85,10.5,1.65,1.3,0.24,0.392,0.127,0.344,0.411,66.0,101.0,96.0,,,,65.0,103.0,88.0,84.0,99.0,100.0,0.169,0.35,,0.064,-0.69,-0.51,,-2.07,91.8,81.2,80.5,,0.327,0.541,0.121,,,,0.29,0.645,0.4,0.233,0.461,0.397,86.0,102.0,93.0,,,,0.417,,,-0.89,,92.1,,,,0.32,0.463,0.07400000000000001,,,,,,,,,,,,,,,,,,
2023/09/10,1:36 PM.,ATL,PIT,away,Partly Cloudy.,83,642216,3B,3,0,0,0,0,0,0,0,0,1,1,.258,.338,.297,.635,642216,allanwinans,Winans,Right,Allan Winans,ATL,5.29,4.24,32.1,104.0,77.0,97.0,0.771,9.46,2.23,10.3,1.39,1.19,0.227,0.474,0.103,0.381,0.449,78.0,107.0,101.0,,,,71.0,107.0,93.0,86.0,104.0,108.0,0.225,0.245,,0.277,-1.11,-1.04,,0.71,90.0,82.9,78.8,,0.25,0.583,0.133,,,,0.25,0.341,0.311,0.267,0.5,0.364,74.0,97.0,86.0,,,,0.253,,,-1.36,,89.6,,,,0.387,0.581,0.113,,,,,,,,,,,,,,,,,,
2023/09/09,7:21 PM.,ATL,PIT,away,Partly Cloudy.,80,689266,2B,4,0,0,0,0,0,0,0,1,2,5,.264,.345,.304,.649,689266,dylandodd,Dodd,Left,Dylan Dodd,ATL,7.6,8.37,34.1,106.0,82.0,98.0,0.842,3.93,3.15,13.89,2.36,0.77,0.235,0.419,0.081,0.419,0.518,74.0,96.0,93.0,,,,80.0,111.0,99.0,87.0,101.0,98.0,0.489,0.285,,0.178,-1.53,-4.07,,-3.11,92.1,82.9,81.8,,0.342,0.595,0.13,,,,0.355,0.516,0.204,0.375,0.75,0.301,,,,92.0,112.0,94.0,,0.048,-3.19,,85.3,,0.333,0.667,0.11800000000000001,,,,,,,,,,,,,,,,,,,,,
2023/08/15,7:12 PM.,NYM,PIT,away,Partly Cloudy.,78,656849,2B,3,1,1,0,0,0,1,2,1,1,3,.273,.350,.314,.664,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,5.03,4.96,111.0,97.0,90.0,94.0,0.727,10.38,4.05,10.05,1.3,2.18,0.256,0.422,0.13,0.338,0.378,84.0,97.0,93.0,89.0,97.0,99.0,76.0,95.0,87.0,105.0,99.0,102.0,0.273,0.197,0.088,0.189,-0.83,-2.58,2.63,-1.35,92.7,85.3,85.3,78.6,0.287,0.425,0.281,0.2,0.2,0.365,0.325,0.55,0.309,0.268,0.472,0.39399999999999996,97.0,97.0,95.0,,,,0.253,,,0.66,,91.5,,,,0.314,0.486,0.165,,,,,,,,,,,,,,,,,,
2023/08/13,1:36 PM.,CIN,PIT,home,Partly Cloudy.,79,682227,2B,1,1,1,0,0,1,3,0,0,0,0,.276,.336,.319,.655,682227,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,4.46,4.77,117.0,99.0,93.0,96.0,0.801,7.54,3.0,8.54,1.38,0.88,0.287,0.384,0.139,0.324,0.444,97.0,94.0,99.0,98.0,96.0,103.0,64.0,99.0,86.0,132.0,104.0,113.0,0.372,0.102,0.064,0.165,-0.15,-1.33,-1.75,-0.51,92.8,84.0,81.7,73.1,0.269,0.433,0.171,0.333,0.6,0.14300000000000002,0.183,0.39,0.39899999999999997,0.0,0.0,0.273,,,,106.0,102.0,98.0,,0.298,1.71,,89.3,,0.252,0.433,0.185,,,,,,,,,,,,,,,,,,,,,
2023/08/13,6:06 PM.,CIN,PIT,home,Partly Cloudy.,82,596133,2B,2,0,0,0,0,0,0,0,2,2,2,.271,.341,.314,.655,596133,lukeweaver,Weaver,Right,Luke Weaver,- - -,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.378,0.433,83.0,103.0,100.0,,,,88.0,102.0,96.0,112.0,101.0,104.0,0.435,0.137,,0.2,-1.47,-2.22,,-2.01,94.0,86.1,85.8,,0.311,0.543,0.175,0.255,0.691,0.16699999999999998,0.316,0.547,0.32299999999999995,0.235,0.294,0.321,,,,99.0,103.0,102.0,,0.11,0.87,,90.3,,0.218,0.473,0.252,,,,,,,,,,,,,,,,0.118,-1.56,81.7,,,
2023/08/10,12:36 PM.,ATL,PIT,home,Overcast.,73,693821,2B,3,0,0,0,0,0,0,0,0,3,3,.270,.331,.287,.618,693821,bryceelder,Elder,Right,Bryce Elder,ATL,3.81,4.61,174.2,99.0,80.0,95.0,0.785,6.6,3.25,8.24,0.98,1.68,0.218,0.462,0.113,0.357,0.382,64.0,95.0,91.0,,,,62.0,100.0,86.0,92.0,103.0,107.0,0.134,0.353,,0.137,-1.13,0.97,,1.3,90.7,85.0,82.7,,0.286,0.495,0.19399999999999998,,,,0.188,0.235,0.23600000000000002,0.21,0.393,0.337,82.0,96.0,90.0,,,,0.376,,,0.01,,89.5,,,,0.28,0.402,0.134,,,,,,,,,,,,,,,,,,
2023/08/09,7:06 PM.,ATL,PIT,home,Partly Cloudy.,81,608331,2B,4,1,1,0,0,0,1,0,0,0,1,.277,.333,.295,.628,608331,maxfried,Fried,Left,Max Fried,ATL,2.55,2.73,77.2,98.0,96.0,101.0,0.748,9.27,2.09,8.11,0.81,2.26,0.218,0.393,0.147,0.242,0.379,89.0,101.0,106.0,114.0,98.0,106.0,90.0,98.0,99.0,105.0,98.0,105.0,0.332,0.11,0.231,0.165,0.71,-0.19,2.64,1.75,94.0,86.2,83.6,74.2,0.291,0.418,0.177,0.109,0.109,0.391,0.232,0.286,0.377,0.4,0.9,0.275,79.0,98.0,88.0,,,,0.117,0.044,1.44,-0.71,87.5,93.5,0.091,0.364,0.19,0.302,0.395,0.23199999999999998,,,,,,,,,,,,,,,,,,
2023/08/07,7:08 PM.,ATL,PIT,home,Cloudy.,74,675911,3B,3,0,2,0,0,0,2,0,1,0,1,.278,.336,.296,.632,675911,spencerstrider,Strider,Right,Spencer Strider,ATL,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.328,0.323,0.142,0.354,0.438,85.0,98.0,101.0,,,,141.0,106.0,116.0,104.0,103.0,107.0,0.589,0.338,,0.073,0.4,1.67,,0.97,97.2,87.0,85.6,,0.256,0.431,0.287,,,,0.122,0.184,0.444,0.154,0.269,0.5529999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/06,1:11 PM.,MIL,PIT,away,Cloudy.,74,605540,2B,2,0,0,0,0,0,0,0,0,2,0,.267,.322,.286,.608,605540,brandonwoodruff,Woodruff,Right,Brandon Woodruff,MIL,2.28,2.82,67.0,107.0,114.0,110.0,0.749,9.94,2.01,5.37,1.21,0.81,0.236,0.416,0.168,0.298,0.474,111.0,104.0,118.0,89.0,103.0,105.0,125.0,112.0,115.0,108.0,107.0,108.0,0.41,0.095,0.079,0.197,0.95,-0.33,-0.01,3.2,95.8,85.8,86.9,82.9,0.177,0.385,0.314,0.182,0.455,0.409,0.098,0.118,0.38,0.278,0.611,0.268,108.0,100.0,96.0,,,,0.22,,,2.76,,95.0,,,,0.193,0.281,0.124,,,,,,,,,,,,,,,,,,
2023/08/04,7:11 PM.,MIL,PIT,away,Partly Cloudy.,75,607067,3B,5,0,1,0,0,0,0,1,0,0,2,.272,.327,.291,.618,607067,colinrea,Rea,Right,Colin Rea,MIL,4.55,4.42,124.2,104.0,89.0,99.0,0.786,7.94,2.74,7.94,1.66,1.16,0.216,0.436,0.123,0.359,0.419,,,,101.0,105.0,105.0,82.0,111.0,99.0,97.0,109.0,109.0,0.193,0.109,0.079,,2.43,-0.31,-0.94,,93.2,,83.1,78.8,0.135,0.27,0.264,0.242,0.455,0.231,,,,0.226,0.377,0.36200000000000004,96.0,105.0,99.0,87.0,99.0,95.0,0.299,0.265,-0.01,0.31,86.7,92.6,0.245,0.519,0.293,0.253,0.42,0.136,62.0,96.0,91.0,0.056,-5.76,86.0,0.44,0.84,0.184,,,,,,,,,
2023/08/03,6:15 PM.,MIL,PIT,away,Clear.,88,605288,DH,1,0,1,0,0,0,0,0,0,0,0,.276,.333,.296,.629,605288,adrianhouser,Houser,Right,Adrian Houser,MIL,4.12,4.21,111.1,103.0,83.0,97.0,0.839,7.76,2.75,9.78,1.05,1.32,0.194,0.409,0.134,0.36,0.424,88.0,92.0,93.0,67.0,100.0,95.0,80.0,103.0,92.0,83.0,102.0,99.0,0.238,0.166,0.085,0.04,0.29,-0.89,-1.08,-2.07,93.4,84.3,82.3,79.4,0.227,0.34,0.237,0.269,0.538,0.127,0.294,0.471,0.2,0.258,0.484,0.284,86.0,104.0,100.0,,,,0.471,,,0.46,,92.1,,,,0.296,0.396,0.129,,,,,,,,,,,,,,,,,,
2023/08/01,7:07 PM.,DET,PIT,home,Cloudy.,75,666159,3B,3,1,1,0,0,0,0,0,0,2,1,.268,.327,.289,.616,666159,mattmanning,Manning,Right,Matt Manning,DET,3.58,5.48,78.0,102.0,104.0,102.0,0.831,5.77,2.42,6.92,1.27,0.83,0.272,0.423,0.142,0.389,0.492,62.0,96.0,84.0,102.0,99.0,101.0,103.0,104.0,100.0,112.0,102.0,107.0,0.478,0.315,0.172,0.036,0.58,1.21,-0.9,0.93,93.4,87.7,81.9,79.5,0.214,0.366,0.182,0.258,0.419,0.094,0.111,0.111,0.063,0.185,0.383,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/30,1:38 PM.,PHI,PIT,home,Cloudy.,70,650911,3B,5,2,2,0,0,0,0,0,0,1,3,.266,.327,.287,.614,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.44,3.74,99.1,101.0,83.0,100.0,0.759,8.7,1.45,7.97,1.45,2.19,0.21,0.445,0.157,0.342,0.429,75.0,98.0,104.0,,,,,,,123.0,100.0,100.0,,0.211,,0.327,,0.2,,1.1,,81.8,82.7,,,,,,,,0.148,0.274,0.43,0.25,0.456,0.297,71.0,104.0,97.0,,,,0.462,,,0.65,,92.1,,,,0.297,0.523,0.107,,,,,,,,,,,,,,,,,,
2023/07/29,7:06 PM.,PHI,PIT,home,Cloudy.,79,605400,3B,2,0,0,0,0,0,0,0,2,0,1,.258,.323,.281,.604,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,4.46,3.71,193.2,107.0,101.0,106.0,0.76,9.39,2.09,8.27,1.49,1.13,0.215,0.477,0.156,0.323,0.419,70.0,111.0,103.0,,,,95.0,107.0,103.0,,,,0.295,,,0.126,-0.03,,,0.14,92.7,85.9,,,0.246,0.503,0.217,0.221,0.398,0.33299999999999996,0.22,0.319,0.319,,,,100.0,107.0,101.0,111.0,110.0,105.0,0.188,0.075,0.4,0.46,86.3,91.8,0.246,0.508,0.301,0.279,0.416,0.106,,,,,,,,,,118.0,105.0,113.0,0.316,0.47,79.4,,,
2023/07/28,7:07 PM.,PHI,PIT,home,Cloudy.,90,554430,3B,3,0,0,0,0,0,0,0,0,2,1,.264,.316,.287,.603,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.279,0.38,0.214,0.313,0.421,48.0,106.0,77.0,116.0,105.0,114.0,112.0,109.0,114.0,107.0,101.0,111.0,0.435,0.123,0.115,0.004,1.69,0.36,-1.61,-6.22,95.8,90.8,84.4,81.4,0.199,0.333,0.314,0.264,0.473,0.33,,,,0.198,0.36,0.392,105.0,105.0,107.0,96.0,102.0,102.0,0.18,0.144,-0.63,1.62,90.9,95.2,0.27,0.426,0.228,0.252,0.308,0.192,,,,,,,,,,,,,,,,,,
2023/07/26,1:10 PM.,SD,PIT,away,Sunny.,81,607625,3B,3,0,1,0,0,0,0,0,0,1,0,.274,.326,.298,.624,607625,sethlugo,"Lugo, S",Right,Seth Lugo,SDP,3.57,4.42,146.1,102.0,103.0,103.0,0.805,8.61,2.21,8.61,1.17,1.34,0.209,0.438,0.139,0.351,0.459,85.0,96.0,97.0,122.0,100.0,105.0,87.0,108.0,103.0,114.0,96.0,108.0,0.318,0.111,0.313,0.059,0.36,-0.6,0.26,-2.89,93.4,86.3,85.2,79.6,0.246,0.464,0.214,0.287,0.384,0.265,0.303,0.576,0.34299999999999997,0.25,0.417,0.28600000000000003,97.0,102.0,97.0,,,,0.199,,,1.87,,93.2,,,,0.208,0.36,0.08900000000000001,,,,,,,,,,,,,,,,0.0,0.0,0.226
2023/07/25,6:41 PM.,SD,PIT,away,Clear.,75,605483,3B,3,0,0,0,0,0,0,0,1,0,1,.272,.326,.296,.622,605483,blakesnell,Snell,Left,Blake Snell,SDP,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.388,0.168,0.309,0.326,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,0.486,0.131,0.198,0.184,0.07,0.68,2.55,2.65,95.5,86.7,88.4,81.0,0.255,0.389,0.195,0.079,0.14,0.563,0.185,0.266,0.46799999999999997,0.123,0.26,0.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/24,6:40 PM.,SD,PIT,away,Clear.,72,506433,3B,5,1,1,0,0,0,0,0,0,3,0,.282,.329,.308,.637,506433,yudarvish,Darvish,Right,Yu Darvish,SDP,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.236,0.39,0.181,0.306,0.453,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,125.0,98.0,108.0,0.167,0.363,0.051,0.001,-1.74,-0.68,1.37,-1.35,94.7,82.3,84.0,72.3,0.253,0.538,0.159,0.13,0.203,0.391,,,,0.432,0.703,0.244,101.0,106.0,102.0,93.0,95.0,99.0,0.186,0.089,2.4,0.46,90.9,94.3,0.2,0.32,0.196,0.319,0.418,0.157,95.0,104.0,100.0,0.077,1.21,89.2,0.167,0.217,0.4,105.0,111.0,112.0,0.066,3.06,79.3,,,
