,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff
61,2024-06-09,745571,Strikeout,strikeout,True,592206,657585,Nick Castellanos,Reed Garrett,0,658ebbb9-e231-4311-a37f-449bd3e807bb,657585.0,reedgarrett,"Garrett, R",Right,Reed Garrett,NYM,3.64,3.19,42.0,92.0,118.0,97.0,0.642,13.5,4.71,8.14,1.29,1.14,0.247,0.454,0.237,0.258,0.347,,,,126.0,86.0,90.0,92.0,88.0,82.0,120.0,97.0,105.0,109.0,93.0,89.0,122.0,93.0,101.0,0.123,0.162,0.234,0.273,0.208,,-4.83,0.88,1.93,-2.61,1.05,,96.4,91.3,87.9,96.2,84.7,,0.4,0.733,0.25,0.129,0.145,0.529,0.167,0.208,0.333,0.273,0.485,0.353,0.44,0.84,0.269,,,,,,,,,,,,,,,
62,2024-06-09,745571,Lineout,field_out,True,607043,656546,Brandon Nimmo,Jeff Hoffman,0,89a739cd-0fa2-4ef0-bbcf-6d0feeb2c3ce,656546.0,jeffhoffman,Hoffman,Right,Jeff Hoffman,PHI,1.09,2.19,41.1,100.0,114.0,103.0,0.682,11.98,2.18,5.66,0.44,0.97,0.175,0.495,0.124,0.268,0.452,,,,121.0,103.0,103.0,113.0,107.0,116.0,109.0,95.0,102.0,,,,108.0,103.0,103.0,0.085,0.408,,0.113,0.395,,1.24,,0.27,3.89,2.07,,96.5,,90.4,96.6,86.4,,0.154,0.154,0.167,0.16,0.24,0.275,0.157,0.255,0.44,,,,0.194,0.323,0.312,,,,,,,,,,,,,,,
63,2024-06-09,745571,Pop Out,field_out,True,502110,656546,J.D. Martinez,Jeff Hoffman,0,d6de4d4b-c2ff-491c-affe-84ccc26fd55d,656546.0,jeffhoffman,Hoffman,Right,Jeff Hoffman,PHI,1.09,2.19,41.1,100.0,114.0,103.0,0.682,11.98,2.18,5.66,0.44,0.97,0.175,0.495,0.124,0.268,0.452,,,,121.0,103.0,103.0,113.0,107.0,116.0,109.0,95.0,102.0,,,,108.0,103.0,103.0,0.085,0.408,,0.113,0.395,,1.24,,0.27,3.89,2.07,,96.5,,90.4,96.6,86.4,,0.154,0.154,0.167,0.16,0.24,0.275,0.157,0.255,0.44,,,,0.194,0.323,0.312,,,,,,,,,,,,,,,
64,2024-06-09,745571,Groundout,field_out,True,664056,656546,Harrison Bader,Jeff Hoffman,0,7e69fa97-a7cb-4e40-b564-df9477094033,656546.0,jeffhoffman,Hoffman,Right,Jeff Hoffman,PHI,1.09,2.19,41.1,100.0,114.0,103.0,0.682,11.98,2.18,5.66,0.44,0.97,0.175,0.495,0.124,0.268,0.452,,,,121.0,103.0,103.0,113.0,107.0,116.0,109.0,95.0,102.0,,,,108.0,103.0,103.0,0.085,0.408,,0.113,0.395,,1.24,,0.27,3.89,2.07,,96.5,,90.4,96.6,86.4,,0.154,0.154,0.167,0.16,0.24,0.275,0.157,0.255,0.44,,,,0.194,0.323,0.312,,,,,,,,,,,,,,,
65,2024-06-09,745571,Flyout,field_out,True,624641,657585,Edmundo Sosa,Reed Garrett,0,d8a49ebe-6264-4e90-adcc-f6e6dacf8467,657585.0,reedgarrett,"Garrett, R",Right,Reed Garrett,NYM,3.64,3.19,42.0,92.0,118.0,97.0,0.642,13.5,4.71,8.14,1.29,1.14,0.247,0.454,0.237,0.258,0.347,,,,126.0,86.0,90.0,92.0,88.0,82.0,120.0,97.0,105.0,109.0,93.0,89.0,122.0,93.0,101.0,0.123,0.162,0.234,0.273,0.208,,-4.83,0.88,1.93,-2.61,1.05,,96.4,91.3,87.9,96.2,84.7,,0.4,0.733,0.25,0.129,0.145,0.529,0.167,0.208,0.333,0.273,0.485,0.353,0.44,0.84,0.269,,,,,,,,,,,,,,,
66,2024-06-09,745571,Strikeout,strikeout,True,593160,657585,Whit Merrifield,Reed Garrett,0,95be9703-ceb9-4055-b26e-b6a5ad6a3937,657585.0,reedgarrett,"Garrett, R",Right,Reed Garrett,NYM,3.64,3.19,42.0,92.0,118.0,97.0,0.642,13.5,4.71,8.14,1.29,1.14,0.247,0.454,0.237,0.258,0.347,,,,126.0,86.0,90.0,92.0,88.0,82.0,120.0,97.0,105.0,109.0,93.0,89.0,122.0,93.0,101.0,0.123,0.162,0.234,0.273,0.208,,-4.83,0.88,1.93,-2.61,1.05,,96.4,91.3,87.9,96.2,84.7,,0.4,0.733,0.25,0.129,0.145,0.529,0.167,0.208,0.333,0.273,0.485,0.353,0.44,0.84,0.269,,,,,,,,,,,,,,,
67,2024-06-09,745571,Groundout,field_out,True,681082,657585,Bryson Stott,Reed Garrett,0,87c53df6-daff-4421-9275-b52e231154e2,657585.0,reedgarrett,"Garrett, R",Right,Reed Garrett,NYM,3.64,3.19,42.0,92.0,118.0,97.0,0.642,13.5,4.71,8.14,1.29,1.14,0.247,0.454,0.237,0.258,0.347,,,,126.0,86.0,90.0,92.0,88.0,82.0,120.0,97.0,105.0,109.0,93.0,89.0,122.0,93.0,101.0,0.123,0.162,0.234,0.273,0.208,,-4.83,0.88,1.93,-2.61,1.05,,96.4,91.3,87.9,96.2,84.7,,0.4,0.733,0.25,0.129,0.145,0.529,0.167,0.208,0.333,0.273,0.485,0.353,0.44,0.84,0.269,,,,,,,,,,,,,,,
68,2024-06-09,745571,Walk,walk,False,621438,621237,Tyrone Taylor,José Alvarado,0,981fa2b0-cf96-453d-812d-10c1c52f06f1,621237.0,josealvarado,Alvarado,Left,José Alvarado,PHI,4.35,3.64,39.1,95.0,88.0,95.0,0.755,9.38,3.89,7.32,0.69,1.35,0.292,0.406,0.189,0.311,0.413,,,,,,,100.0,94.0,95.0,,,,69.0,97.0,94.0,,,,0.597,,0.403,,,,,1.06,,0.58,,,,92.6,,97.8,,,0.27,0.416,0.132,,,,,,,0.14,0.158,0.432,,,,,,,,,,,,,,,,,,
69,2024-06-09,745571,Single,single,False,643446,621237,Jeff McNeil,José Alvarado,1,2be84a99-b492-4360-b090-2072b3966cb3,621237.0,josealvarado,Alvarado,Left,José Alvarado,PHI,4.35,3.64,39.1,95.0,88.0,95.0,0.755,9.38,3.89,7.32,0.69,1.35,0.292,0.406,0.189,0.311,0.413,,,,,,,100.0,94.0,95.0,,,,69.0,97.0,94.0,,,,0.597,,0.403,,,,,1.06,,0.58,,,,92.6,,97.8,,,0.27,0.416,0.132,,,,,,,0.14,0.158,0.432,,,,,,,,,,,,,,,,,,
70,2024-06-09,745571,Single,single,False,668901,621237,Mark Vientos,José Alvarado,1,02a49390-1e3c-4da5-8526-d1e248d8ba63,621237.0,josealvarado,Alvarado,Left,José Alvarado,PHI,4.35,3.64,39.1,95.0,88.0,95.0,0.755,9.38,3.89,7.32,0.69,1.35,0.292,0.406,0.189,0.311,0.413,,,,,,,100.0,94.0,95.0,,,,69.0,97.0,94.0,,,,0.597,,0.403,,,,,1.06,,0.58,,,,92.6,,97.8,,,0.27,0.416,0.132,,,,,,,0.14,0.158,0.432,,,,,,,,,,,,,,,,,,
