,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
72,2024-09-25,745690,Strikeout,strikeout,True,519317,642397,Giancarlo Stanton,Gregory Soto,0,9f55ff09-44c8-4658-b35b-97c973dc78bc,642397.0,gregorysoto,"Soto, G",Left,Gregory Soto,- - -,4.42,4.31,53.0,95.0,113.0,99.0,0.713,11.04,4.58,9.51,0.68,1.8,0.313,0.326,0.167,0.313,0.43,,,,96.0,88.0,81.0,112.0,96.0,99.0,120.0,94.0,102.0,,,,,,,0.457,0.119,0.007,,0.416,,-2.88,0.37,,0.55,-1.16,,98.0,91.8,,97.4,85.8,,0.286,0.385,0.149,0.221,0.364,0.494,,,,,,,,,,,,,0.333,0.381,0.347,,,,,,,0.353,0.647,0.333,,,,,,,,,
73,2024-09-25,745690,Strikeout,strikeout,True,665862,642397,Jazz Chisholm Jr.,Gregory Soto,0,e3c8f89a-c9d0-4abd-88b1-6f3c7de291f9,642397.0,gregorysoto,"Soto, G",Left,Gregory Soto,- - -,4.42,4.31,53.0,95.0,113.0,99.0,0.713,11.04,4.58,9.51,0.68,1.8,0.313,0.326,0.167,0.313,0.43,,,,96.0,88.0,81.0,112.0,96.0,99.0,120.0,94.0,102.0,,,,,,,0.457,0.119,0.007,,0.416,,-2.88,0.37,,0.55,-1.16,,98.0,91.8,,97.4,85.8,,0.286,0.385,0.149,0.221,0.364,0.494,,,,,,,,,,,,,0.333,0.381,0.347,,,,,,,0.353,0.647,0.333,,,,,,,,,
74,2024-09-25,745690,Groundout,field_out,True,691176,642397,Jasson Domínguez,Gregory Soto,0,037986af-5128-4c59-aaee-d4710c7ea99b,642397.0,gregorysoto,"Soto, G",Left,Gregory Soto,- - -,4.42,4.31,53.0,95.0,113.0,99.0,0.713,11.04,4.58,9.51,0.68,1.8,0.313,0.326,0.167,0.313,0.43,,,,96.0,88.0,81.0,112.0,96.0,99.0,120.0,94.0,102.0,,,,,,,0.457,0.119,0.007,,0.416,,-2.88,0.37,,0.55,-1.16,,98.0,91.8,,97.4,85.8,,0.286,0.385,0.149,0.221,0.364,0.494,,,,,,,,,,,,,0.333,0.381,0.347,,,,,,,0.353,0.647,0.333,,,,,,,,,
75,2024-09-25,745690,Strikeout,strikeout,True,656811,643410,Ryan O'Hearn,Mark Leiter Jr.,0,feb1436b-a742-4a7d-ac55-55b7e405863d,643410.0,markleiterjr,Leiter Jr.,Right,Mark Leiter Jr.,- - -,4.5,3.39,58.0,97.0,90.0,97.0,0.633,13.34,3.41,8.53,1.24,1.38,0.214,0.51,0.166,0.303,0.372,79.0,94.0,96.0,,,,73.0,97.0,87.0,99.0,99.0,102.0,75.0,93.0,87.0,111.0,98.0,108.0,0.299,0.003,0.076,0.359,0.092,0.169,2.44,-3.64,2.24,-2.0,-1.51,1.4,95.8,88.6,84.2,91.5,79.6,73.5,0.394,0.62,0.104,,,,0.348,0.696,0.162,0.099,0.149,0.565,,,,0.158,0.263,0.493,,,,9.0,142.0,144.0,0.002,-24.32,83.8,0.313,0.563,0.394,,,,,,,,,
76,2024-09-25,745690,Strikeout,strikeout,True,602104,643410,Ramón Urías,Mark Leiter Jr.,0,c974e057-3454-49f5-9a24-cc65dcf7e61f,643410.0,markleiterjr,Leiter Jr.,Right,Mark Leiter Jr.,- - -,4.5,3.39,58.0,97.0,90.0,97.0,0.633,13.34,3.41,8.53,1.24,1.38,0.214,0.51,0.166,0.303,0.372,79.0,94.0,96.0,,,,73.0,97.0,87.0,99.0,99.0,102.0,75.0,93.0,87.0,111.0,98.0,108.0,0.299,0.003,0.076,0.359,0.092,0.169,2.44,-3.64,2.24,-2.0,-1.51,1.4,95.8,88.6,84.2,91.5,79.6,73.5,0.394,0.62,0.104,,,,0.348,0.696,0.162,0.099,0.149,0.565,,,,0.158,0.263,0.493,,,,9.0,142.0,144.0,0.002,-24.32,83.8,0.313,0.563,0.394,,,,,,,,,
77,2024-09-25,745690,Single,single,False,656775,643410,Cedric Mullins,Mark Leiter Jr.,0,fe9443f3-755e-472a-a38e-12b8a2392556,643410.0,markleiterjr,Leiter Jr.,Right,Mark Leiter Jr.,- - -,4.5,3.39,58.0,97.0,90.0,97.0,0.633,13.34,3.41,8.53,1.24,1.38,0.214,0.51,0.166,0.303,0.372,79.0,94.0,96.0,,,,73.0,97.0,87.0,99.0,99.0,102.0,75.0,93.0,87.0,111.0,98.0,108.0,0.299,0.003,0.076,0.359,0.092,0.169,2.44,-3.64,2.24,-2.0,-1.51,1.4,95.8,88.6,84.2,91.5,79.6,73.5,0.394,0.62,0.104,,,,0.348,0.696,0.162,0.099,0.149,0.565,,,,0.158,0.263,0.493,,,,9.0,142.0,144.0,0.002,-24.32,83.8,0.313,0.563,0.394,,,,,,,,,
78,2024-09-25,745690,Strikeout,strikeout,True,543510,643410,James McCann,Mark Leiter Jr.,0,484dba31-57ca-4314-807d-40c15cb7274e,643410.0,markleiterjr,Leiter Jr.,Right,Mark Leiter Jr.,- - -,4.5,3.39,58.0,97.0,90.0,97.0,0.633,13.34,3.41,8.53,1.24,1.38,0.214,0.51,0.166,0.303,0.372,79.0,94.0,96.0,,,,73.0,97.0,87.0,99.0,99.0,102.0,75.0,93.0,87.0,111.0,98.0,108.0,0.299,0.003,0.076,0.359,0.092,0.169,2.44,-3.64,2.24,-2.0,-1.51,1.4,95.8,88.6,84.2,91.5,79.6,73.5,0.394,0.62,0.104,,,,0.348,0.696,0.162,0.099,0.149,0.565,,,,0.158,0.263,0.493,,,,9.0,142.0,144.0,0.002,-24.32,83.8,0.313,0.563,0.394,,,,,,,,,
79,2024-09-25,745690,Single,single,False,519203,621199,Anthony Rizzo,Matt Bowman,0,7e403dc5-48f7-45cf-8328-4811372f62f0,621199.0,mattbowman,Bowman,Right,Matt Bowman,- - -,4.4,4.65,30.2,99.0,105.0,101.0,0.823,7.04,3.82,7.63,1.47,1.17,0.312,0.376,0.161,0.376,0.404,,,,66.0,120.0,96.0,95.0,105.0,99.0,138.0,98.0,112.0,100.0,91.0,89.0,83.0,97.0,104.0,0.388,0.006,0.197,0.151,0.258,,2.85,-1.38,-3.8,3.99,-3.05,,92.4,90.5,84.3,92.2,82.7,,0.13,0.241,0.135,,,,0.35,0.35,0.2,0.3,0.5,0.242,,,,,,,,,,,,,,,,0.273,0.818,0.228,,,,,,,,,
80,2024-09-25,745690,Strikeout,strikeout,True,683011,621199,Anthony Volpe,Matt Bowman,0,19db5525-bb6a-41f6-964e-50c165ca033e,621199.0,mattbowman,Bowman,Right,Matt Bowman,- - -,4.4,4.65,30.2,99.0,105.0,101.0,0.823,7.04,3.82,7.63,1.47,1.17,0.312,0.376,0.161,0.376,0.404,,,,66.0,120.0,96.0,95.0,105.0,99.0,138.0,98.0,112.0,100.0,91.0,89.0,83.0,97.0,104.0,0.388,0.006,0.197,0.151,0.258,,2.85,-1.38,-3.8,3.99,-3.05,,92.4,90.5,84.3,92.2,82.7,,0.13,0.241,0.135,,,,0.35,0.35,0.2,0.3,0.5,0.242,,,,,,,,,,,,,,,,0.273,0.818,0.228,,,,,,,,,
81,2024-09-25,745690,Single,single,False,650402,621199,Gleyber Torres,Matt Bowman,1,6725dd71-ca80-47c6-b456-e098eccd5c68,621199.0,mattbowman,Bowman,Right,Matt Bowman,- - -,4.4,4.65,30.2,99.0,105.0,101.0,0.823,7.04,3.82,7.63,1.47,1.17,0.312,0.376,0.161,0.376,0.404,,,,66.0,120.0,96.0,95.0,105.0,99.0,138.0,98.0,112.0,100.0,91.0,89.0,83.0,97.0,104.0,0.388,0.006,0.197,0.151,0.258,,2.85,-1.38,-3.8,3.99,-3.05,,92.4,90.5,84.3,92.2,82.7,,0.13,0.241,0.135,,,,0.35,0.35,0.2,0.3,0.5,0.242,,,,,,,,,,,,,,,,0.273,0.818,0.228,,,,,,,,,
