,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff
10,2024-08-07,744822,Lineout,field_out,True,573262,663623,Mike Yastrzemski,Jake Irvin,0,d74cafc9-6ad3-4abd-b1b7-72d2993f9044,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,111.0,105.0,106.0,82.0,106.0,99.0,94.0,105.0,105.0,110.0,116.0,118.0,78.0,103.0,93.0,0.184,0.375,0.076,0.004,0.328,0.033,0.61,-0.21,-0.78,-14.36,0.43,0.77,94.0,89.9,88.4,93.2,85.9,81.1,0.204,0.376,0.243,0.215,0.419,0.249,0.333,0.492,0.124,0.295,0.545,0.202,0.182,0.182,0.303,,,
11,2024-08-07,744822,Lineout,field_out,True,545121,605483,Ildemaro Vargas,Blake Snell,0,527e4f35-50df-4f80-8886-a1e8eb5d6d46,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.76,2.79,79.0,97.0,120.0,103.0,0.648,12.08,4.1,5.92,0.68,0.97,0.281,0.393,0.18,0.236,0.352,110.0,103.0,111.0,147.0,98.0,109.0,110.0,95.0,98.0,,,,108.0,88.0,93.0,,,,,0.464,,0.104,0.273,0.16,0.78,,,-0.02,2.95,-0.94,95.8,,85.3,,88.6,81.1,0.214,0.339,0.251,0.079,0.139,0.497,,,,,,,0.341,0.477,0.421,0.185,0.296,0.426
12,2024-08-07,744822,Strikeout,strikeout,True,695578,605483,James Wood,Blake Snell,0,d76183e1-7f4f-4c95-aad3-d3e64cf7030b,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.76,2.79,79.0,97.0,120.0,103.0,0.648,12.08,4.1,5.92,0.68,0.97,0.281,0.393,0.18,0.236,0.352,110.0,103.0,111.0,147.0,98.0,109.0,110.0,95.0,98.0,,,,108.0,88.0,93.0,,,,,0.464,,0.104,0.273,0.16,0.78,,,-0.02,2.95,-0.94,95.8,,85.3,,88.6,81.1,0.214,0.339,0.251,0.079,0.139,0.497,,,,,,,0.341,0.477,0.421,0.185,0.296,0.426
13,2024-08-07,744822,Strikeout,strikeout,True,656180,605483,Riley Adams,Blake Snell,0,4de70397-f1dc-4612-b2e3-d06821ce4cd5,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.76,2.79,79.0,97.0,120.0,103.0,0.648,12.08,4.1,5.92,0.68,0.97,0.281,0.393,0.18,0.236,0.352,110.0,103.0,111.0,147.0,98.0,109.0,110.0,95.0,98.0,,,,108.0,88.0,93.0,,,,,0.464,,0.104,0.273,0.16,0.78,,,-0.02,2.95,-0.94,95.8,,85.3,,88.6,81.1,0.214,0.339,0.251,0.079,0.139,0.497,,,,,,,0.341,0.477,0.421,0.185,0.296,0.426
14,2024-08-07,744822,Groundout,field_out,True,666464,663623,Jerar Encarnacion,Jake Irvin,0,b28d2ef6-9651-47e2-b1f6-7f86fd8ef605,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,111.0,105.0,106.0,82.0,106.0,99.0,94.0,105.0,105.0,110.0,116.0,118.0,78.0,103.0,93.0,0.184,0.375,0.076,0.004,0.328,0.033,0.61,-0.21,-0.78,-14.36,0.43,0.77,94.0,89.9,88.4,93.2,85.9,81.1,0.204,0.376,0.243,0.215,0.419,0.249,0.333,0.492,0.124,0.295,0.545,0.202,0.182,0.182,0.303,,,
15,2024-08-07,744822,Pop Out,field_out,True,689172,663623,Brett Wisely,Jake Irvin,0,12ef5e3c-ebf4-4ffc-8219-07c9d6d99a92,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,111.0,105.0,106.0,82.0,106.0,99.0,94.0,105.0,105.0,110.0,116.0,118.0,78.0,103.0,93.0,0.184,0.375,0.076,0.004,0.328,0.033,0.61,-0.21,-0.78,-14.36,0.43,0.77,94.0,89.9,88.4,93.2,85.9,81.1,0.204,0.376,0.243,0.215,0.419,0.249,0.333,0.492,0.124,0.295,0.545,0.202,0.182,0.182,0.303,,,
16,2024-08-07,744822,Single,single,False,664774,663623,LaMonte Wade Jr.,Jake Irvin,0,8a462611-65bb-4cfa-b4d0-3a736bfaa0c9,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,111.0,105.0,106.0,82.0,106.0,99.0,94.0,105.0,105.0,110.0,116.0,118.0,78.0,103.0,93.0,0.184,0.375,0.076,0.004,0.328,0.033,0.61,-0.21,-0.78,-14.36,0.43,0.77,94.0,89.9,88.4,93.2,85.9,81.1,0.204,0.376,0.243,0.215,0.419,0.249,0.333,0.492,0.124,0.295,0.545,0.202,0.182,0.182,0.303,,,
17,2024-08-07,744822,Single,single,False,671218,663623,Heliot Ramos,Jake Irvin,1,f13a468c-1fa1-4613-8933-9ad4dddd18fc,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,111.0,105.0,106.0,82.0,106.0,99.0,94.0,105.0,105.0,110.0,116.0,118.0,78.0,103.0,93.0,0.184,0.375,0.076,0.004,0.328,0.033,0.61,-0.21,-0.78,-14.36,0.43,0.77,94.0,89.9,88.4,93.2,85.9,81.1,0.204,0.376,0.243,0.215,0.419,0.249,0.333,0.492,0.124,0.295,0.545,0.202,0.182,0.182,0.303,,,
18,2024-08-07,744822,Single,single,False,624424,663623,Michael Conforto,Jake Irvin,1,5c2b52fa-d35c-46a1-9e97-b25689016b28,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,111.0,105.0,106.0,82.0,106.0,99.0,94.0,105.0,105.0,110.0,116.0,118.0,78.0,103.0,93.0,0.184,0.375,0.076,0.004,0.328,0.033,0.61,-0.21,-0.78,-14.36,0.43,0.77,94.0,89.9,88.4,93.2,85.9,81.1,0.204,0.376,0.243,0.215,0.419,0.249,0.333,0.492,0.124,0.295,0.545,0.202,0.182,0.182,0.303,,,
19,2024-08-07,744822,Single,single,False,656305,663623,Matt Chapman,Jake Irvin,1,734a83c0-1838-4090-8a13-6957bfd31378,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,111.0,105.0,106.0,82.0,106.0,99.0,94.0,105.0,105.0,110.0,116.0,118.0,78.0,103.0,93.0,0.184,0.375,0.076,0.004,0.328,0.033,0.61,-0.21,-0.78,-14.36,0.43,0.77,94.0,89.9,88.4,93.2,85.9,81.1,0.204,0.376,0.243,0.215,0.419,0.249,0.333,0.492,0.124,0.295,0.545,0.202,0.182,0.182,0.303,,,
