,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
45,2024-09-09,747090,Groundout,field_out,True,642708,450203,Amed Rosario,Charlie Morton,0,e0624264-f03d-4a0d-824d-331fe8efc7f7,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.11,4.52,149.0,98.0,95.0,97.0,0.755,9.36,3.44,8.4,1.27,1.45,0.233,0.434,0.146,0.34,0.409,87.0,96.0,94.0,122.0,98.0,108.0,70.0,100.0,89.0,78.0,96.0,88.0,74.0,92.0,87.0,0.096,0.289,0.081,0.422,0.112,-1.3,-1.26,0.61,0.65,-1.03,94.1,88.5,84.9,93.5,81.5,0.203,0.319,0.344,0.28,0.51,0.183,0.279,0.541,0.324,0.321,0.434,0.076,0.313,0.625,0.148,,,,,,,,,,,,,,,,,,,,,
46,2024-09-09,747090,Single,single,False,682622,450203,Noelvi Marte,Charlie Morton,0,64d74027-fd9d-4b52-ba47-51442bc927df,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.11,4.52,149.0,98.0,95.0,97.0,0.755,9.36,3.44,8.4,1.27,1.45,0.233,0.434,0.146,0.34,0.409,87.0,96.0,94.0,122.0,98.0,108.0,70.0,100.0,89.0,78.0,96.0,88.0,74.0,92.0,87.0,0.096,0.289,0.081,0.422,0.112,-1.3,-1.26,0.61,0.65,-1.03,94.1,88.5,84.9,93.5,81.5,0.203,0.319,0.344,0.28,0.51,0.183,0.279,0.541,0.324,0.321,0.434,0.076,0.313,0.625,0.148,,,,,,,,,,,,,,,,,,,,,
47,2024-09-09,747090,Single,single,False,668715,450203,Spencer Steer,Charlie Morton,1,8b60d0db-c7d2-4cca-afae-c7579b5ddedb,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.11,4.52,149.0,98.0,95.0,97.0,0.755,9.36,3.44,8.4,1.27,1.45,0.233,0.434,0.146,0.34,0.409,87.0,96.0,94.0,122.0,98.0,108.0,70.0,100.0,89.0,78.0,96.0,88.0,74.0,92.0,87.0,0.096,0.289,0.081,0.422,0.112,-1.3,-1.26,0.61,0.65,-1.03,94.1,88.5,84.9,93.5,81.5,0.203,0.319,0.344,0.28,0.51,0.183,0.279,0.541,0.324,0.321,0.434,0.076,0.313,0.625,0.148,,,,,,,,,,,,,,,,,,,,,
48,2024-09-09,747090,Caught Stealing 3B,caught_stealing_3b,True,682829,607481,Elly De La Cruz,Aaron Bummer,0,7814c26f-a1f8-4962-ae5c-148bb166b756,607481.0,aaronbummer,Bummer,Left,Aaron Bummer,ATL,3.33,2.7,51.1,102.0,101.0,99.0,0.761,11.4,2.81,9.82,0.18,3.42,0.257,0.379,0.186,0.214,0.422,83.0,89.0,88.0,122.0,96.0,100.0,87.0,106.0,94.0,89.0,104.0,96.0,75.0,96.0,87.0,0.403,0.095,0.055,0.024,0.012,1.53,-4.44,0.24,-1.81,-1.24,93.7,87.4,84.2,93.2,82.2,0.0,0.0,0.2,0.208,0.25,0.238,0.333,0.333,0.125,0.347,0.44,0.105,0.385,0.692,0.235,118.0,100.0,105.0,0.412,0.4,82.4,,,,0.221,0.267,0.449,,,,,,,,,
49,2024-09-09,747090,Lineout,field_out,True,542303,607259,Marcell Ozuna,Nick Martinez,0,50de1a0f-2f47-454e-8308-7f563700ca65,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.46,3.39,122.1,109.0,99.0,107.0,0.789,7.21,1.32,8.68,0.96,0.9,0.253,0.395,0.197,0.237,0.439,114.0,114.0,117.0,108.0,102.0,105.0,93.0,111.0,110.0,84.0,103.0,96.0,96.0,108.0,104.0,0.163,0.234,0.203,0.121,0.212,0.77,0.78,0.82,-2.21,1.09,92.6,89.0,80.1,92.0,80.9,0.382,0.676,0.27,0.213,0.343,0.206,0.211,0.325,0.404,0.227,0.373,0.075,0.305,0.467,0.118,102.0,109.0,110.0,0.067,-0.88,84.9,0.25,0.429,0.385,,,,,,,,,,,,
50,2024-09-09,747090,Single,single,False,621566,607259,Matt Olson,Nick Martinez,0,d035bfd3-e3f5-415a-8b48-f8e82e796298,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.46,3.39,122.1,109.0,99.0,107.0,0.789,7.21,1.32,8.68,0.96,0.9,0.253,0.395,0.197,0.237,0.439,114.0,114.0,117.0,108.0,102.0,105.0,93.0,111.0,110.0,84.0,103.0,96.0,96.0,108.0,104.0,0.163,0.234,0.203,0.121,0.212,0.77,0.78,0.82,-2.21,1.09,92.6,89.0,80.1,92.0,80.9,0.382,0.676,0.27,0.213,0.343,0.206,0.211,0.325,0.404,0.227,0.373,0.075,0.305,0.467,0.118,102.0,109.0,110.0,0.067,-0.88,84.9,0.25,0.429,0.385,,,,,,,,,,,,
51,2024-09-09,747090,Lineout,field_out,True,669221,607259,Sean Murphy,Nick Martinez,0,3d3374ea-5437-44d9-b3aa-302f894353f5,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.46,3.39,122.1,109.0,99.0,107.0,0.789,7.21,1.32,8.68,0.96,0.9,0.253,0.395,0.197,0.237,0.439,114.0,114.0,117.0,108.0,102.0,105.0,93.0,111.0,110.0,84.0,103.0,96.0,96.0,108.0,104.0,0.163,0.234,0.203,0.121,0.212,0.77,0.78,0.82,-2.21,1.09,92.6,89.0,80.1,92.0,80.9,0.382,0.676,0.27,0.213,0.343,0.206,0.211,0.325,0.404,0.227,0.373,0.075,0.305,0.467,0.118,102.0,109.0,110.0,0.067,-0.88,84.9,0.25,0.429,0.385,,,,,,,,,,,,
52,2024-09-09,747090,Flyout,field_out,True,672284,607259,Jarred Kelenic,Nick Martinez,0,93be8a05-e576-4d7a-a17e-0eb74c4d8c99,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.46,3.39,122.1,109.0,99.0,107.0,0.789,7.21,1.32,8.68,0.96,0.9,0.253,0.395,0.197,0.237,0.439,114.0,114.0,117.0,108.0,102.0,105.0,93.0,111.0,110.0,84.0,103.0,96.0,96.0,108.0,104.0,0.163,0.234,0.203,0.121,0.212,0.77,0.78,0.82,-2.21,1.09,92.6,89.0,80.1,92.0,80.9,0.382,0.676,0.27,0.213,0.343,0.206,0.211,0.325,0.404,0.227,0.373,0.075,0.305,0.467,0.118,102.0,109.0,110.0,0.067,-0.88,84.9,0.25,0.429,0.385,,,,,,,,,,,,
53,2024-09-09,747090,Strikeout,strikeout,True,682829,607481,Elly De La Cruz,Aaron Bummer,0,f779c75f-3751-4d18-b167-86760e3f43c0,607481.0,aaronbummer,Bummer,Left,Aaron Bummer,ATL,3.33,2.7,51.1,102.0,101.0,99.0,0.761,11.4,2.81,9.82,0.18,3.42,0.257,0.379,0.186,0.214,0.422,83.0,89.0,88.0,122.0,96.0,100.0,87.0,106.0,94.0,89.0,104.0,96.0,75.0,96.0,87.0,0.403,0.095,0.055,0.024,0.012,1.53,-4.44,0.24,-1.81,-1.24,93.7,87.4,84.2,93.2,82.2,0.0,0.0,0.2,0.208,0.25,0.238,0.333,0.333,0.125,0.347,0.44,0.105,0.385,0.692,0.235,118.0,100.0,105.0,0.412,0.4,82.4,,,,0.221,0.267,0.449,,,,,,,,,
54,2024-09-09,747090,Field Error,field_error,False,663886,607481,Tyler Stephenson,Aaron Bummer,0,1a8b15fd-b24c-4d36-ab79-358c4c1fffee,607481.0,aaronbummer,Bummer,Left,Aaron Bummer,ATL,3.33,2.7,51.1,102.0,101.0,99.0,0.761,11.4,2.81,9.82,0.18,3.42,0.257,0.379,0.186,0.214,0.422,83.0,89.0,88.0,122.0,96.0,100.0,87.0,106.0,94.0,89.0,104.0,96.0,75.0,96.0,87.0,0.403,0.095,0.055,0.024,0.012,1.53,-4.44,0.24,-1.81,-1.24,93.7,87.4,84.2,93.2,82.2,0.0,0.0,0.2,0.208,0.25,0.238,0.333,0.333,0.125,0.347,0.44,0.105,0.385,0.692,0.235,118.0,100.0,105.0,0.412,0.4,82.4,,,,0.221,0.267,0.449,,,,,,,,,
