,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,SL%,wFC/C,wFS/C,wSL/C,vFC,vFS,vSL,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff
32,2024-10-17,775303,Walk,walk,False,660271,500779,Shohei Ohtani,Jose Quintana,1,088b33e0-12b5-4646-8032-bf9b5fbde837,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,110.0,100.0,99.0,70.0,92.0,85.0,76.0,97.0,91.0,0.304,0.225,0.278,0.193,-0.32,0.82,-0.04,0.5,90.7,85.7,90.8,77.7,0.249,0.431,0.131,0.265,0.444,0.264,0.227,0.427,0.169,0.203,0.26,0.367,0.195,0.366,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2024-10-17,775303,Double,double,False,605141,676130,Mookie Betts,José Buttó,1,763ff7fd-9e40-440a-b3fd-ce32bca35044,676130.0,josebutto,Buttó,Right,José Buttó,NYM,2.55,3.44,74.0,91.0,94.0,90.0,0.703,9.61,4.62,4.99,0.73,1.01,0.244,0.401,0.14,0.308,0.311,79.0,95.0,86.0,,,,107.0,93.0,94.0,83.0,81.0,79.0,0.23,0.315,,0.22,2.14,1.41,,0.06,94.2,87.1,93.5,,0.179,0.304,0.161,,,,0.157,0.2,0.319,0.156,0.312,0.426,,,,100.0,88.0,94.0,,,,,,,,,0.235,,,1.14,,,84.0,,,,,,,0.192,0.346,0.426,0.176,0.235,0.262
34,2024-10-17,775303,Flyout,field_out,True,606192,676130,Teoscar Hernández,José Buttó,0,c6466d06-9949-4bac-af15-6ae47a09a7eb,676130.0,josebutto,Buttó,Right,José Buttó,NYM,2.55,3.44,74.0,91.0,94.0,90.0,0.703,9.61,4.62,4.99,0.73,1.01,0.244,0.401,0.14,0.308,0.311,79.0,95.0,86.0,,,,107.0,93.0,94.0,83.0,81.0,79.0,0.23,0.315,,0.22,2.14,1.41,,0.06,94.2,87.1,93.5,,0.179,0.304,0.161,,,,0.157,0.2,0.319,0.156,0.312,0.426,,,,100.0,88.0,94.0,,,,,,,,,0.235,,,1.14,,,84.0,,,,,,,0.192,0.346,0.426,0.176,0.235,0.262
35,2024-10-17,775303,Strikeout,strikeout,True,669242,676130,Tommy Edman,José Buttó,0,ea664cc3-0293-4b32-9a00-7bede6bf3f96,676130.0,josebutto,Buttó,Right,José Buttó,NYM,2.55,3.44,74.0,91.0,94.0,90.0,0.703,9.61,4.62,4.99,0.73,1.01,0.244,0.401,0.14,0.308,0.311,79.0,95.0,86.0,,,,107.0,93.0,94.0,83.0,81.0,79.0,0.23,0.315,,0.22,2.14,1.41,,0.06,94.2,87.1,93.5,,0.179,0.304,0.161,,,,0.157,0.2,0.319,0.156,0.312,0.426,,,,100.0,88.0,94.0,,,,,,,,,0.235,,,1.14,,,84.0,,,,,,,0.192,0.346,0.426,0.176,0.235,0.262
36,2024-10-17,775303,Flyout,field_out,True,502110,808967,J.D. Martinez,Yoshinobu Yamamoto,0,6d55680f-c59b-401e-981b-d9e03cb0770f,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,109.0,103.0,112.0,84.0,103.0,96.0,101.0,110.0,103.0,0.029,0.404,0.231,,0.77,-1.65,1.14,,95.5,,94.9,78.0,0.364,0.545,0.13,0.214,0.371,0.333,0.262,0.413,0.176,,,,,,,116.0,110.0,120.0,91.0,97.0,91.0,121.0,112.0,119.0,0.061,0.242,0.033,0.28,0.25,0.53,91.5,90.2,86.3,0.17,0.266,0.386,0.35,0.55,0.2,0.158,0.211,0.357,,,
37,2024-10-17,775303,Groundout,field_out,True,578428,808967,Jose Iglesias,Yoshinobu Yamamoto,0,87bca11f-c482-4008-b80f-2b8e75f8aaef,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,109.0,103.0,112.0,84.0,103.0,96.0,101.0,110.0,103.0,0.029,0.404,0.231,,0.77,-1.65,1.14,,95.5,,94.9,78.0,0.364,0.545,0.13,0.214,0.371,0.333,0.262,0.413,0.176,,,,,,,116.0,110.0,120.0,91.0,97.0,91.0,121.0,112.0,119.0,0.061,0.242,0.033,0.28,0.25,0.53,91.5,90.2,86.3,0.17,0.266,0.386,0.35,0.55,0.2,0.158,0.211,0.357,,,
38,2024-10-17,775303,Strikeout,strikeout,True,664056,808967,Harrison Bader,Yoshinobu Yamamoto,0,bc1e009b-33c6-49d5-a6f2-7b97736ca4e4,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,109.0,103.0,112.0,84.0,103.0,96.0,101.0,110.0,103.0,0.029,0.404,0.231,,0.77,-1.65,1.14,,95.5,,94.9,78.0,0.364,0.545,0.13,0.214,0.371,0.333,0.262,0.413,0.176,,,,,,,116.0,110.0,120.0,91.0,97.0,91.0,121.0,112.0,119.0,0.061,0.242,0.033,0.28,0.25,0.53,91.5,90.2,86.3,0.17,0.266,0.386,0.35,0.55,0.2,0.158,0.211,0.357,,,
39,2024-10-17,775303,Strikeout,strikeout,True,571771,676130,Enrique Hernández,José Buttó,0,023fa7d3-7812-4a2e-b49d-bc76b95293ab,676130.0,josebutto,Buttó,Right,José Buttó,NYM,2.55,3.44,74.0,91.0,94.0,90.0,0.703,9.61,4.62,4.99,0.73,1.01,0.244,0.401,0.14,0.308,0.311,79.0,95.0,86.0,,,,107.0,93.0,94.0,83.0,81.0,79.0,0.23,0.315,,0.22,2.14,1.41,,0.06,94.2,87.1,93.5,,0.179,0.304,0.161,,,,0.157,0.2,0.319,0.156,0.312,0.426,,,,100.0,88.0,94.0,,,,,,,,,0.235,,,1.14,,,84.0,,,,,,,0.192,0.346,0.426,0.176,0.235,0.262
40,2024-10-17,775303,Walk,walk,False,571970,676130,Max Muncy,José Buttó,0,c55cfa1d-1cf5-443e-8cb3-d4aac7e9aa26,676130.0,josebutto,Buttó,Right,José Buttó,NYM,2.55,3.44,74.0,91.0,94.0,90.0,0.703,9.61,4.62,4.99,0.73,1.01,0.244,0.401,0.14,0.308,0.311,79.0,95.0,86.0,,,,107.0,93.0,94.0,83.0,81.0,79.0,0.23,0.315,,0.22,2.14,1.41,,0.06,94.2,87.1,93.5,,0.179,0.304,0.161,,,,0.157,0.2,0.319,0.156,0.312,0.426,,,,100.0,88.0,94.0,,,,,,,,,0.235,,,1.14,,,84.0,,,,,,,0.192,0.346,0.426,0.176,0.235,0.262
41,2024-10-17,775303,Lineout,field_out,True,669257,676130,Will Smith,José Buttó,0,de58f2ef-330a-4f9a-bf79-f9e4b0868ec9,676130.0,josebutto,Buttó,Right,José Buttó,NYM,2.55,3.44,74.0,91.0,94.0,90.0,0.703,9.61,4.62,4.99,0.73,1.01,0.244,0.401,0.14,0.308,0.311,79.0,95.0,86.0,,,,107.0,93.0,94.0,83.0,81.0,79.0,0.23,0.315,,0.22,2.14,1.41,,0.06,94.2,87.1,93.5,,0.179,0.304,0.161,,,,0.157,0.2,0.319,0.156,0.312,0.426,,,,100.0,88.0,94.0,,,,,,,,,0.235,,,1.14,,,84.0,,,,,,,0.192,0.346,0.426,0.176,0.235,0.262
