,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
10,2024-04-23,744863,Walk,walk,False,571970,571578,Max Muncy,Patrick Corbin,0,596e1d30-d19f-4beb-9631-c303d0eaeb08,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.35,6.06,111.0,100.0,76.0,94.0,0.803,6.41,2.92,10.46,1.22,1.43,0.209,0.382,0.137,0.335,0.393,88.0,95.0,96.0,54.0,97.0,83.0,71.0,102.0,92.0,85.0,96.0,96.0,79.0,106.0,99.0,0.352,0.103,0.179,0.316,0.05,-1.09,0.23,-1.8,0.02,-4.62,91.3,84.5,81.2,91.4,79.7,0.326,0.578,0.089,0.25,0.384,0.352,0.253,0.38,0.236,0.324,0.541,0.117,0.4,0.65,0.275,,,,,,,,,,,,,,,,,,,,,,,,
11,2024-04-23,744863,Flyout,field_out,True,571771,571578,Enrique Hernández,Patrick Corbin,0,c882f1ed-857f-4c61-9bf1-3bd03e550499,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.35,6.06,111.0,100.0,76.0,94.0,0.803,6.41,2.92,10.46,1.22,1.43,0.209,0.382,0.137,0.335,0.393,88.0,95.0,96.0,54.0,97.0,83.0,71.0,102.0,92.0,85.0,96.0,96.0,79.0,106.0,99.0,0.352,0.103,0.179,0.316,0.05,-1.09,0.23,-1.8,0.02,-4.62,91.3,84.5,81.2,91.4,79.7,0.326,0.578,0.089,0.25,0.384,0.352,0.253,0.38,0.236,0.324,0.541,0.117,0.4,0.65,0.275,,,,,,,,,,,,,,,,,,,,,,,,
12,2024-04-23,744863,Grounded Into DP,grounded_into_double_play,True,681624,571578,Andy Pages,Patrick Corbin,1,a06b2ca0-1346-48fa-8ecb-1838a88d67b3,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.35,6.06,111.0,100.0,76.0,94.0,0.803,6.41,2.92,10.46,1.22,1.43,0.209,0.382,0.137,0.335,0.393,88.0,95.0,96.0,54.0,97.0,83.0,71.0,102.0,92.0,85.0,96.0,96.0,79.0,106.0,99.0,0.352,0.103,0.179,0.316,0.05,-1.09,0.23,-1.8,0.02,-4.62,91.3,84.5,81.2,91.4,79.7,0.326,0.578,0.089,0.25,0.384,0.352,0.253,0.38,0.236,0.324,0.541,0.117,0.4,0.65,0.275,,,,,,,,,,,,,,,,,,,,,,,,
13,2024-04-23,744863,Double,double,False,545121,572020,Ildemaro Vargas,James Paxton,0,a03d4a67-a1be-4492-b25b-c817704ae800,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,65.0,98.0,92.0,,,,82.0,95.0,84.0,0.032,0.577,0.037,,0.07,0.34,-3.42,-4.92,,-1.66,93.2,84.0,82.6,92.6,,0.462,0.692,0.095,,,,0.308,0.769,0.13,0.243,0.381,0.138,0.217,0.348,0.31,79.0,96.0,96.0,0.284,-0.23,80.8,0.224,0.355,0.358,,,,,,,,,,,,,,,
14,2024-04-23,744863,Flyout,field_out,True,669222,572020,Nick Senzel,James Paxton,0,f18baec7-ab29-4eb5-89fc-681718a2c2fd,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,65.0,98.0,92.0,,,,82.0,95.0,84.0,0.032,0.577,0.037,,0.07,0.34,-3.42,-4.92,,-1.66,93.2,84.0,82.6,92.6,,0.462,0.692,0.095,,,,0.308,0.769,0.13,0.243,0.381,0.138,0.217,0.348,0.31,79.0,96.0,96.0,0.284,-0.23,80.8,0.224,0.355,0.358,,,,,,,,,,,,,,,
15,2024-04-23,744863,Single,single,False,671277,572020,Luis García Jr.,James Paxton,1,25f19a1e-0c4b-436c-8f3e-1c224ed51a0b,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,65.0,98.0,92.0,,,,82.0,95.0,84.0,0.032,0.577,0.037,,0.07,0.34,-3.42,-4.92,,-1.66,93.2,84.0,82.6,92.6,,0.462,0.692,0.095,,,,0.308,0.769,0.13,0.243,0.381,0.138,0.217,0.348,0.31,79.0,96.0,96.0,0.284,-0.23,80.8,0.224,0.355,0.358,,,,,,,,,,,,,,,
16,2024-04-23,744863,Single,single,False,696285,572020,Jacob Young,James Paxton,1,ffbefe52-1093-4e59-a0a1-c2000ca3504b,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,65.0,98.0,92.0,,,,82.0,95.0,84.0,0.032,0.577,0.037,,0.07,0.34,-3.42,-4.92,,-1.66,93.2,84.0,82.6,92.6,,0.462,0.692,0.095,,,,0.308,0.769,0.13,0.243,0.381,0.138,0.217,0.348,0.31,79.0,96.0,96.0,0.284,-0.23,80.8,0.224,0.355,0.358,,,,,,,,,,,,,,,
17,2024-04-23,744863,Strikeout,strikeout,True,682928,572020,CJ Abrams,James Paxton,0,35437420-d3f3-4b9b-b3fa-8a63398df83b,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,65.0,98.0,92.0,,,,82.0,95.0,84.0,0.032,0.577,0.037,,0.07,0.34,-3.42,-4.92,,-1.66,93.2,84.0,82.6,92.6,,0.462,0.692,0.095,,,,0.308,0.769,0.13,0.243,0.381,0.138,0.217,0.348,0.31,79.0,96.0,96.0,0.284,-0.23,80.8,0.224,0.355,0.358,,,,,,,,,,,,,,,
18,2024-04-23,744863,Lineout,field_out,True,657041,572020,Lane Thomas,James Paxton,0,ca4a0e14-8e90-46f3-8076-25a4d1b1cce1,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,65.0,98.0,92.0,,,,82.0,95.0,84.0,0.032,0.577,0.037,,0.07,0.34,-3.42,-4.92,,-1.66,93.2,84.0,82.6,92.6,,0.462,0.692,0.095,,,,0.308,0.769,0.13,0.243,0.381,0.138,0.217,0.348,0.31,79.0,96.0,96.0,0.284,-0.23,80.8,0.224,0.355,0.358,,,,,,,,,,,,,,,
19,2024-04-23,744863,Single,single,False,500743,571578,Miguel Rojas,Patrick Corbin,0,7b2b7345-714e-40ec-92eb-466872782b9b,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.35,6.06,111.0,100.0,76.0,94.0,0.803,6.41,2.92,10.46,1.22,1.43,0.209,0.382,0.137,0.335,0.393,88.0,95.0,96.0,54.0,97.0,83.0,71.0,102.0,92.0,85.0,96.0,96.0,79.0,106.0,99.0,0.352,0.103,0.179,0.316,0.05,-1.09,0.23,-1.8,0.02,-4.62,91.3,84.5,81.2,91.4,79.7,0.326,0.578,0.089,0.25,0.384,0.352,0.253,0.38,0.236,0.324,0.541,0.117,0.4,0.65,0.275,,,,,,,,,,,,,,,,,,,,,,,,
