,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff
29,2024-05-23,745573,Double,double,False,624641,571760,Edmundo Sosa,Andrew Heaney,0,35f0a34d-9e5d-4e18-8615-623249de4909,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,126.0,105.0,102.0,76.0,101.0,98.0,,,,89.0,98.0,100.0,20.0,51.0,51.0,,,,,0.522,0.002,,0.29,0.032,-0.05,-19.18,,,-0.02,-7.71,91.5,86.6,,,82.0,75.5,0.22,0.422,0.224,,,,0.252,0.383,0.382,0.8,2.0,0.125,,,,,,,85.0,105.0,99.0,0.154,1.0,83.8,0.256,0.329,0.229
30,2024-05-23,745573,Field Error,field_error,False,593160,571760,Whit Merrifield,Andrew Heaney,1,593c8ac4-991f-40ac-90cd-58c2200d42b1,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,126.0,105.0,102.0,76.0,101.0,98.0,,,,89.0,98.0,100.0,20.0,51.0,51.0,,,,,0.522,0.002,,0.29,0.032,-0.05,-19.18,,,-0.02,-7.71,91.5,86.6,,,82.0,75.5,0.22,0.422,0.224,,,,0.252,0.383,0.382,0.8,2.0,0.125,,,,,,,85.0,105.0,99.0,0.154,1.0,83.8,0.256,0.329,0.229
31,2024-05-23,745573,Triple,triple,False,665506,571760,Cristian Pache,Andrew Heaney,1,e2904b28-164d-4171-af4c-4c4bbb456838,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,126.0,105.0,102.0,76.0,101.0,98.0,,,,89.0,98.0,100.0,20.0,51.0,51.0,,,,,0.522,0.002,,0.29,0.032,-0.05,-19.18,,,-0.02,-7.71,91.5,86.6,,,82.0,75.5,0.22,0.422,0.224,,,,0.252,0.383,0.382,0.8,2.0,0.125,,,,,,,85.0,105.0,99.0,0.154,1.0,83.8,0.256,0.329,0.229
32,2024-05-23,745573,Single,single,False,656941,571760,Kyle Schwarber,Andrew Heaney,1,46f70f68-ccef-43f4-9499-d110d7b144de,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,126.0,105.0,102.0,76.0,101.0,98.0,,,,89.0,98.0,100.0,20.0,51.0,51.0,,,,,0.522,0.002,,0.29,0.032,-0.05,-19.18,,,-0.02,-7.71,91.5,86.6,,,82.0,75.5,0.22,0.422,0.224,,,,0.252,0.383,0.382,0.8,2.0,0.125,,,,,,,85.0,105.0,99.0,0.154,1.0,83.8,0.256,0.329,0.229
33,2024-05-23,745573,Walk,walk,False,592663,571760,J.T. Realmuto,Andrew Heaney,1,aae29443-c093-4bc9-904e-44acb29fca30,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,126.0,105.0,102.0,76.0,101.0,98.0,,,,89.0,98.0,100.0,20.0,51.0,51.0,,,,,0.522,0.002,,0.29,0.032,-0.05,-19.18,,,-0.02,-7.71,91.5,86.6,,,82.0,75.5,0.22,0.422,0.224,,,,0.252,0.383,0.382,0.8,2.0,0.125,,,,,,,85.0,105.0,99.0,0.154,1.0,83.8,0.256,0.329,0.229
34,2024-05-23,745573,Single,single,False,547180,571760,Bryce Harper,Andrew Heaney,1,3834f016-e24e-4dc2-90c3-b11cc4c48449,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,126.0,105.0,102.0,76.0,101.0,98.0,,,,89.0,98.0,100.0,20.0,51.0,51.0,,,,,0.522,0.002,,0.29,0.032,-0.05,-19.18,,,-0.02,-7.71,91.5,86.6,,,82.0,75.5,0.22,0.422,0.224,,,,0.252,0.383,0.382,0.8,2.0,0.125,,,,,,,85.0,105.0,99.0,0.154,1.0,83.8,0.256,0.329,0.229
35,2024-05-23,745573,Grounded Into DP,grounded_into_double_play,True,664761,681982,Alec Bohm,Grant Anderson,1,46f92942-da1a-4f72-8412-b76719bb8d14,681982.0,grantanderson,"Anderson, G",Right,Grant Anderson,TEX,8.53,5.09,19.0,99.0,101.0,102.0,0.764,9.47,3.79,10.89,2.84,1.3,0.25,0.411,0.143,0.304,0.454,,,,83.0,97.0,95.0,102.0,107.0,105.0,120.0,98.0,109.0,,,,,,,0.274,0.268,,,0.385,,-2.69,,,2.3,-3.52,,92.5,,,92.1,82.4,,0.25,0.85,0.409,0.259,0.259,0.1,0.458,0.75,0.298,,,,,,,,,,61.0,80.0,83.0,0.073,3.36,85.8,0.0,0.0,0.111
36,2024-05-23,745573,Walk,walk,False,663993,554430,Nathaniel Lowe,Zack Wheeler,0,8d6c7a41-ab44-469e-8cd0-98d16c4172dc,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.7,2.9,116.2,104.0,106.0,108.0,0.749,9.72,2.7,6.25,0.85,1.17,0.274,0.341,0.221,0.284,0.425,114.0,99.0,107.0,101.0,107.0,109.0,109.0,103.0,108.0,128.0,107.0,114.0,95.0,98.0,98.0,96.0,106.0,107.0,0.187,0.416,0.104,0.078,0.116,0.099,0.69,-0.15,0.85,2.48,1.61,-0.34,95.1,90.9,86.1,94.4,84.4,81.5,0.219,0.391,0.294,0.173,0.24,0.149,0.14,0.2,0.327,0.179,0.333,0.357,0.244,0.439,0.184,0.171,0.257,0.385,,,,,,,,,
37,2024-05-23,745573,Flyout,field_out,True,665750,554430,Leody Taveras,Zack Wheeler,0,d6bbf083-4df2-4fed-82fe-46593522d21c,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.7,2.9,116.2,104.0,106.0,108.0,0.749,9.72,2.7,6.25,0.85,1.17,0.274,0.341,0.221,0.284,0.425,114.0,99.0,107.0,101.0,107.0,109.0,109.0,103.0,108.0,128.0,107.0,114.0,95.0,98.0,98.0,96.0,106.0,107.0,0.187,0.416,0.104,0.078,0.116,0.099,0.69,-0.15,0.85,2.48,1.61,-0.34,95.1,90.9,86.1,94.4,84.4,81.5,0.219,0.391,0.294,0.173,0.24,0.149,0.14,0.2,0.327,0.179,0.333,0.357,0.244,0.439,0.184,0.171,0.257,0.385,,,,,,,,,
38,2024-05-23,745573,Flyout,field_out,True,677649,554430,Ezequiel Duran,Zack Wheeler,0,f21e0cb9-d8fc-4d07-8a06-8e5722e70384,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.7,2.9,116.2,104.0,106.0,108.0,0.749,9.72,2.7,6.25,0.85,1.17,0.274,0.341,0.221,0.284,0.425,114.0,99.0,107.0,101.0,107.0,109.0,109.0,103.0,108.0,128.0,107.0,114.0,95.0,98.0,98.0,96.0,106.0,107.0,0.187,0.416,0.104,0.078,0.116,0.099,0.69,-0.15,0.85,2.48,1.61,-0.34,95.1,90.9,86.1,94.4,84.4,81.5,0.219,0.391,0.294,0.173,0.24,0.149,0.14,0.2,0.327,0.179,0.333,0.357,0.244,0.439,0.184,0.171,0.257,0.385,,,,,,,,,
39,2024-05-23,745573,Forceout,force_out,True,668800,554430,Andrew Knizner,Zack Wheeler,1,c2c3ebe7-e377-43c3-89e4-350786978481,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.7,2.9,116.2,104.0,106.0,108.0,0.749,9.72,2.7,6.25,0.85,1.17,0.274,0.341,0.221,0.284,0.425,114.0,99.0,107.0,101.0,107.0,109.0,109.0,103.0,108.0,128.0,107.0,114.0,95.0,98.0,98.0,96.0,106.0,107.0,0.187,0.416,0.104,0.078,0.116,0.099,0.69,-0.15,0.85,2.48,1.61,-0.34,95.1,90.9,86.1,94.4,84.4,81.5,0.219,0.391,0.294,0.173,0.24,0.149,0.14,0.2,0.327,0.179,0.333,0.357,0.244,0.439,0.184,0.171,0.257,0.385,,,,,,,,,
40,2024-05-23,745573,Flyout,field_out,True,592206,681982,Nick Castellanos,Grant Anderson,0,91035d04-f2c3-438e-a3bd-2d3cf12b0999,681982.0,grantanderson,"Anderson, G",Right,Grant Anderson,TEX,8.53,5.09,19.0,99.0,101.0,102.0,0.764,9.47,3.79,10.89,2.84,1.3,0.25,0.411,0.143,0.304,0.454,,,,83.0,97.0,95.0,102.0,107.0,105.0,120.0,98.0,109.0,,,,,,,0.274,0.268,,,0.385,,-2.69,,,2.3,-3.52,,92.5,,,92.1,82.4,,0.25,0.85,0.409,0.259,0.259,0.1,0.458,0.75,0.298,,,,,,,,,,61.0,80.0,83.0,0.073,3.36,85.8,0.0,0.0,0.111
