,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff
28,2024-07-06,744835,Walk,walk,False,502671,669022,Paul Goldschmidt,MacKenzie Gore,0,a9ddb85e-6904-4c55-b2a4-e12a2e0f298a,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,94.0,89.0,93.0,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.092,0.21,-0.7,0.66,-1.82,96.4,85.9,91.0,83.3,0.284,0.408,0.239,0.217,0.265,0.356,0.429,0.714,0.25,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,
29,2024-07-06,744835,Single,single,False,571448,669022,Nolan Arenado,MacKenzie Gore,1,e2177897-9b5b-48dd-816d-4f10f2ebfe0e,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,94.0,89.0,93.0,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.092,0.21,-0.7,0.66,-1.82,96.4,85.9,91.0,83.3,0.284,0.408,0.239,0.217,0.265,0.356,0.429,0.714,0.25,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,
30,2024-07-06,744835,Single,single,False,680977,669022,Brendan Donovan,MacKenzie Gore,1,d3901860-bf21-4351-864c-7676e3950d2e,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,94.0,89.0,93.0,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.092,0.21,-0.7,0.66,-1.82,96.4,85.9,91.0,83.3,0.284,0.408,0.239,0.217,0.265,0.356,0.429,0.714,0.25,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,
31,2024-07-06,744835,Walk,walk,False,666185,669022,Dylan Carlson,MacKenzie Gore,1,0542697b-cbee-49b5-b246-39a59490fd58,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,94.0,89.0,93.0,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.092,0.21,-0.7,0.66,-1.82,96.4,85.9,91.0,83.3,0.284,0.408,0.239,0.217,0.265,0.356,0.429,0.714,0.25,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,
32,2024-07-06,744835,Strikeout,strikeout,True,669357,669022,Nolan Gorman,MacKenzie Gore,0,7ab71fcb-e4ff-4e1b-8a02-a507c4ddc69e,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,94.0,89.0,93.0,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.092,0.21,-0.7,0.66,-1.82,96.4,85.9,91.0,83.3,0.284,0.408,0.239,0.217,0.265,0.356,0.429,0.714,0.25,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,
33,2024-07-06,744835,Single,single,False,702358,458681,Trey Lipscomb,Lance Lynn,0,86022d3e-46c3-42ec-b6cf-7f026f1513f5,458681.0,lancelynn,Lynn,Right,Lance Lynn,STL,4.39,4.92,96.1,99.0,84.0,95.0,0.785,8.6,3.46,9.06,1.31,1.03,0.229,0.396,0.147,0.311,0.401,61.0,91.0,83.0,,,,87.0,101.0,97.0,96.0,106.0,116.0,0.468,0.081,,0.05,0.69,-2.24,,-3.31,92.4,85.0,80.7,,0.206,0.394,0.312,,,,0.25,0.25,0.0,0.375,0.375,0.2,65.0,94.0,84.0,90.0,99.0,93.0,0.163,0.238,-1.16,-1.19,88.2,91.2,0.311,0.433,0.27,0.292,0.523,0.106
34,2024-07-06,744835,Strikeout,strikeout,True,696285,458681,Jacob Young,Lance Lynn,0,27a96caf-6489-407e-aa04-e41e33398e68,458681.0,lancelynn,Lynn,Right,Lance Lynn,STL,4.39,4.92,96.1,99.0,84.0,95.0,0.785,8.6,3.46,9.06,1.31,1.03,0.229,0.396,0.147,0.311,0.401,61.0,91.0,83.0,,,,87.0,101.0,97.0,96.0,106.0,116.0,0.468,0.081,,0.05,0.69,-2.24,,-3.31,92.4,85.0,80.7,,0.206,0.394,0.312,,,,0.25,0.25,0.0,0.375,0.375,0.2,65.0,94.0,84.0,90.0,99.0,93.0,0.163,0.238,-1.16,-1.19,88.2,91.2,0.311,0.433,0.27,0.292,0.523,0.106
35,2024-07-06,744835,Hit By Pitch,hit_by_pitch,False,682928,458681,CJ Abrams,Lance Lynn,1,0132ccde-c7c5-4256-9226-c12e1a0b9b96,458681.0,lancelynn,Lynn,Right,Lance Lynn,STL,4.39,4.92,96.1,99.0,84.0,95.0,0.785,8.6,3.46,9.06,1.31,1.03,0.229,0.396,0.147,0.311,0.401,61.0,91.0,83.0,,,,87.0,101.0,97.0,96.0,106.0,116.0,0.468,0.081,,0.05,0.69,-2.24,,-3.31,92.4,85.0,80.7,,0.206,0.394,0.312,,,,0.25,0.25,0.0,0.375,0.375,0.2,65.0,94.0,84.0,90.0,99.0,93.0,0.163,0.238,-1.16,-1.19,88.2,91.2,0.311,0.433,0.27,0.292,0.523,0.106
36,2024-07-06,744835,Pop Out,field_out,True,657041,458681,Lane Thomas,Lance Lynn,0,add75ad2-2696-44cc-a556-8d489384d2b9,458681.0,lancelynn,Lynn,Right,Lance Lynn,STL,4.39,4.92,96.1,99.0,84.0,95.0,0.785,8.6,3.46,9.06,1.31,1.03,0.229,0.396,0.147,0.311,0.401,61.0,91.0,83.0,,,,87.0,101.0,97.0,96.0,106.0,116.0,0.468,0.081,,0.05,0.69,-2.24,,-3.31,92.4,85.0,80.7,,0.206,0.394,0.312,,,,0.25,0.25,0.0,0.375,0.375,0.2,65.0,94.0,84.0,90.0,99.0,93.0,0.163,0.238,-1.16,-1.19,88.2,91.2,0.311,0.433,0.27,0.292,0.523,0.106
37,2024-07-06,744835,Double,double,False,695578,458681,James Wood,Lance Lynn,1,cf0d5efd-e266-4292-a0aa-3a4fae160c84,458681.0,lancelynn,Lynn,Right,Lance Lynn,STL,4.39,4.92,96.1,99.0,84.0,95.0,0.785,8.6,3.46,9.06,1.31,1.03,0.229,0.396,0.147,0.311,0.401,61.0,91.0,83.0,,,,87.0,101.0,97.0,96.0,106.0,116.0,0.468,0.081,,0.05,0.69,-2.24,,-3.31,92.4,85.0,80.7,,0.206,0.394,0.312,,,,0.25,0.25,0.0,0.375,0.375,0.2,65.0,94.0,84.0,90.0,99.0,93.0,0.163,0.238,-1.16,-1.19,88.2,91.2,0.311,0.433,0.27,0.292,0.523,0.106
