,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff
60,2024-05-14,746235,Strikeout,strikeout,True,666185,607237,Dylan Carlson,Amir Garrett,0,be044be5-02a5-4074-916a-f8ee600d4e76,607237.0,amirgarrett,"Garrett, A",Left,Amir Garrett,LAA,5.06,3.44,5.1,95.0,92.0,95.0,0.605,18.56,8.44,6.75,1.69,0.33,0.25,0.375,0.125,0.375,0.385,,,,,,,85.0,105.0,100.0,98.0,95.0,99.0,0.346,0.635,,,0.69,-1.42,,,95.6,,85.1,,0.2,0.2,0.111,0.214,0.5,0.483,,,,,,,94.0,-32.0,-39.0,,,,0.019,,,-7.09,,94.9,,,,,,
61,2024-05-14,746235,Strikeout,strikeout,True,669357,607237,Nolan Gorman,Amir Garrett,0,a7ab4d76-470d-483c-b27f-67ba40a60b90,607237.0,amirgarrett,"Garrett, A",Left,Amir Garrett,LAA,5.06,3.44,5.1,95.0,92.0,95.0,0.605,18.56,8.44,6.75,1.69,0.33,0.25,0.375,0.125,0.375,0.385,,,,,,,85.0,105.0,100.0,98.0,95.0,99.0,0.346,0.635,,,0.69,-1.42,,,95.6,,85.1,,0.2,0.2,0.111,0.214,0.5,0.483,,,,,,,94.0,-32.0,-39.0,,,,0.019,,,-7.09,,94.9,,,,,,
62,2024-05-14,746235,Walk,walk,False,686780,607237,Pedro Pagés,Amir Garrett,0,195233ff-4605-463c-b9a5-87a63476999b,607237.0,amirgarrett,"Garrett, A",Left,Amir Garrett,LAA,5.06,3.44,5.1,95.0,92.0,95.0,0.605,18.56,8.44,6.75,1.69,0.33,0.25,0.375,0.125,0.375,0.385,,,,,,,85.0,105.0,100.0,98.0,95.0,99.0,0.346,0.635,,,0.69,-1.42,,,95.6,,85.1,,0.2,0.2,0.111,0.214,0.5,0.483,,,,,,,94.0,-32.0,-39.0,,,,0.019,,,-7.09,,94.9,,,,,,
63,2024-05-14,746235,Flyout,field_out,True,672279,607237,Michael Siani,Amir Garrett,0,b68ad7b4-ad81-43c0-9848-761208a3eee6,607237.0,amirgarrett,"Garrett, A",Left,Amir Garrett,LAA,5.06,3.44,5.1,95.0,92.0,95.0,0.605,18.56,8.44,6.75,1.69,0.33,0.25,0.375,0.125,0.375,0.385,,,,,,,85.0,105.0,100.0,98.0,95.0,99.0,0.346,0.635,,,0.69,-1.42,,,95.6,,85.1,,0.2,0.2,0.111,0.214,0.5,0.483,,,,,,,94.0,-32.0,-39.0,,,,0.019,,,-7.09,,94.9,,,,,,
64,2024-05-14,746235,Groundout,field_out,True,641645,667463,Luis Guillorme,John King,0,17f2e264-8611-4729-90ec-bb938118e95f,667463.0,johnking,"King, J",Left,John King,STL,2.43,3.19,37.0,105.0,82.0,100.0,0.831,6.57,1.22,8.51,0.73,2.4,0.294,0.395,0.151,0.303,0.43,88.0,105.0,102.0,,,,58.0,92.0,95.0,81.0,101.0,105.0,0.01,0.115,,0.299,5.46,-4.45,,-0.23,93.4,84.0,83.1,,,,,0.294,0.647,0.321,0.244,0.378,0.253,,,,79.0,106.0,98.0,,,,0.576,,,2.49,,93.3,0.247,0.273,0.136,,,
65,2024-05-14,746235,Double,double,False,621493,667463,Taylor Ward,John King,0,2281125e-63e7-4e3d-8575-1f5abbc6ec13,667463.0,johnking,"King, J",Left,John King,STL,2.43,3.19,37.0,105.0,82.0,100.0,0.831,6.57,1.22,8.51,0.73,2.4,0.294,0.395,0.151,0.303,0.43,88.0,105.0,102.0,,,,58.0,92.0,95.0,81.0,101.0,105.0,0.01,0.115,,0.299,5.46,-4.45,,-0.23,93.4,84.0,83.1,,,,,0.294,0.647,0.321,0.244,0.378,0.253,,,,79.0,106.0,98.0,,,,0.576,,,2.49,,93.3,0.247,0.273,0.136,,,
66,2024-05-14,746235,Groundout,field_out,True,641432,667463,Willie Calhoun,John King,1,2dea2366-669c-40e4-b3b4-a67d69301fda,667463.0,johnking,"King, J",Left,John King,STL,2.43,3.19,37.0,105.0,82.0,100.0,0.831,6.57,1.22,8.51,0.73,2.4,0.294,0.395,0.151,0.303,0.43,88.0,105.0,102.0,,,,58.0,92.0,95.0,81.0,101.0,105.0,0.01,0.115,,0.299,5.46,-4.45,,-0.23,93.4,84.0,83.1,,,,,0.294,0.647,0.321,0.244,0.378,0.253,,,,79.0,106.0,98.0,,,,0.576,,,2.49,,93.3,0.247,0.273,0.136,,,
67,2024-05-14,746235,Single,single,False,607680,681676,Kevin Pillar,Ryan Fernandez,1,4f2812e6-d21c-4ab8-a744-e2892343429d,681676.0,ryanfernandez,Fernandez,Right,Ryan Fernandez,STL,2.08,3.27,43.1,99.0,99.0,99.0,0.711,8.93,3.53,6.85,0.42,1.6,0.191,0.452,0.087,0.261,0.394,,,,,,,109.0,91.0,86.0,109.0,105.0,107.0,0.025,0.462,,,-2.54,2.1,,,95.4,,86.9,,0.5,0.5,0.286,0.153,0.222,0.408,,,,,,,88.0,94.0,92.0,96.0,99.0,95.0,0.348,0.165,-0.43,1.31,89.9,95.2,0.241,0.259,0.214,0.28,0.44,0.188
68,2024-05-14,746235,Groundout,field_out,True,681351,681676,Logan O'Hoppe,Ryan Fernandez,0,31b0dfd0-49f0-47f2-922c-66c8396a48f3,681676.0,ryanfernandez,Fernandez,Right,Ryan Fernandez,STL,2.08,3.27,43.1,99.0,99.0,99.0,0.711,8.93,3.53,6.85,0.42,1.6,0.191,0.452,0.087,0.261,0.394,,,,,,,109.0,91.0,86.0,109.0,105.0,107.0,0.025,0.462,,,-2.54,2.1,,,95.4,,86.9,,0.5,0.5,0.286,0.153,0.222,0.408,,,,,,,88.0,94.0,92.0,96.0,99.0,95.0,0.348,0.165,-0.43,1.31,89.9,95.2,0.241,0.259,0.214,0.28,0.44,0.188
69,2024-05-14,746235,Groundout,field_out,True,691026,608334,Masyn Winn,Carson Fulmer,0,b1f86489-b4d4-453d-a5d1-0bd39ad5a2da,608334.0,carsonfulmer,"Fulmer, C",Right,Carson Fulmer,LAA,3.45,4.16,47.0,101.0,96.0,98.0,0.754,9.38,4.4,6.51,0.96,1.06,0.24,0.4,0.136,0.368,0.389,89.0,104.0,103.0,108.0,104.0,99.0,95.0,108.0,108.0,116.0,95.0,99.0,0.15,0.231,0.039,0.302,0.88,1.88,-9.4,0.25,93.8,88.0,87.5,82.7,0.194,0.29,0.231,0.133,0.333,0.286,0.164,0.269,0.378,0.429,1.286,0.455,91.0,98.0,95.0,,,,0.277,,,0.43,,92.9,0.278,0.389,0.108,,,
