,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
64,2024-09-27,746173,Strikeout,strikeout,True,607680,502085,Kevin Pillar,David Robertson,0,8a4aa233-7b46-4859-beec-e6ec89bec2c9,502085.0,davidrobertson,Robertson,Right,David Robertson,TEX,3.0,3.22,72.0,100.0,119.0,105.0,0.73,12.38,3.38,6.63,0.63,1.48,0.213,0.329,0.177,0.341,0.436,110.0,91.0,71.0,,,,,,,108.0,95.0,101.0,0.002,0.067,0.002,0.017,-2.45,-1.78,-4.17,6.28,94.1,88.0,83.7,80.9,,,,0.294,0.529,0.238,0.0,0.0,0.25,0.274,0.393,0.287,0.163,0.209,0.308,,,,107.0,112.0,111.0,0.014,1.85,94.7,0.0,0.0,0.25,121.0,102.0,108.0,0.632,2.18,93.3,119.0,94.0,101.0,0.267,-1.47,84.2,,,,,,,,,
65,2024-09-27,746173,Strikeout,strikeout,True,642136,502085,Matt Thaiss,David Robertson,0,dd59d4c3-e01c-4aa3-81c3-74a5567b083a,502085.0,davidrobertson,Robertson,Right,David Robertson,TEX,3.0,3.22,72.0,100.0,119.0,105.0,0.73,12.38,3.38,6.63,0.63,1.48,0.213,0.329,0.177,0.341,0.436,110.0,91.0,71.0,,,,,,,108.0,95.0,101.0,0.002,0.067,0.002,0.017,-2.45,-1.78,-4.17,6.28,94.1,88.0,83.7,80.9,,,,0.294,0.529,0.238,0.0,0.0,0.25,0.274,0.393,0.287,0.163,0.209,0.308,,,,107.0,112.0,111.0,0.014,1.85,94.7,0.0,0.0,0.25,121.0,102.0,108.0,0.632,2.18,93.3,119.0,94.0,101.0,0.267,-1.47,84.2,,,,,,,,,
66,2024-09-27,746173,Groundout,field_out,True,608348,670871,Carson Kelly,Guillo Zuñiga,0,693b9552-464d-4b81-babc-c3973b576fb5,670871.0,guillermozuniga,Zuñiga,Right,Guillo Zuñiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167,0.292,0.174,0.333,0.333,0.357,0.2,0.7,0.563,,,,,,,,,,,,,,,,0.308,0.692,0.065,,,,,,,,,,,,,,,,,,,,,
67,2024-09-27,746173,Groundout,field_out,True,622110,670871,Matt Duffy,Guillo Zuñiga,0,7fff5986-1e69-41bc-854a-8b4cd90b0877,670871.0,guillermozuniga,Zuñiga,Right,Guillo Zuñiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167,0.292,0.174,0.333,0.333,0.357,0.2,0.7,0.563,,,,,,,,,,,,,,,,0.308,0.692,0.065,,,,,,,,,,,,,,,,,,,,,
68,2024-09-27,746173,Home Run,home_run,False,543760,670871,Marcus Semien,Guillo Zuñiga,0,cd6c3e0c-e9e1-4979-99ca-e584662a27f3,670871.0,guillermozuniga,Zuñiga,Right,Guillo Zuñiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167,0.292,0.174,0.333,0.333,0.357,0.2,0.7,0.563,,,,,,,,,,,,,,,,0.308,0.692,0.065,,,,,,,,,,,,,,,,,,,,,
69,2024-09-27,746173,Flyout,field_out,True,669701,670871,Josh Smith,Guillo Zuñiga,0,f7b286bb-50a3-4ee9-88c4-389aee677fa9,670871.0,guillermozuniga,Zuñiga,Right,Guillo Zuñiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167,0.292,0.174,0.333,0.333,0.357,0.2,0.7,0.563,,,,,,,,,,,,,,,,0.308,0.692,0.065,,,,,,,,,,,,,,,,,,,,,
70,2024-09-27,746173,Lineout,field_out,True,592273,489446,Brandon Drury,Kirby Yates,0,5fc298f2-0c6f-4120-a3ca-ab961b4b67b0,489446.0,kirbyyates,Yates,Right,Kirby Yates,TEX,1.17,1.81,61.2,102.0,97.0,102.0,0.69,12.41,4.09,3.36,0.44,1.08,0.215,0.421,0.165,0.248,0.401,,,,,,,90.0,103.0,101.0,93.0,96.0,103.0,0.608,0.006,,,2.33,0.4,,,93.1,,85.8,,0.113,0.21,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,99.0,103.0,0.387,1.84,86.3,0.114,0.139,0.311
71,2024-09-27,746173,Groundout,field_out,True,672569,489446,Gustavo Campero,Kirby Yates,0,fc7e584a-feae-4fad-b96b-3b1bcfe2f240,489446.0,kirbyyates,Yates,Right,Kirby Yates,TEX,1.17,1.81,61.2,102.0,97.0,102.0,0.69,12.41,4.09,3.36,0.44,1.08,0.215,0.421,0.165,0.248,0.401,,,,,,,90.0,103.0,101.0,93.0,96.0,103.0,0.608,0.006,,,2.33,0.4,,,93.1,,85.8,,0.113,0.21,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,99.0,103.0,0.387,1.84,86.3,0.114,0.139,0.311
72,2024-09-27,746173,Walk,walk,False,694359,489446,Niko Kavadas,Kirby Yates,0,b266aca0-edcd-45c8-ab81-0349dae88ec1,489446.0,kirbyyates,Yates,Right,Kirby Yates,TEX,1.17,1.81,61.2,102.0,97.0,102.0,0.69,12.41,4.09,3.36,0.44,1.08,0.215,0.421,0.165,0.248,0.401,,,,,,,90.0,103.0,101.0,93.0,96.0,103.0,0.608,0.006,,,2.33,0.4,,,93.1,,85.8,,0.113,0.21,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,99.0,103.0,0.387,1.84,86.3,0.114,0.139,0.311
73,2024-09-27,746173,Flyout,field_out,True,683021,489446,Michael Stefanic,Kirby Yates,1,27fc7464-46d7-4af0-bf22-c477a3b8a249,489446.0,kirbyyates,Yates,Right,Kirby Yates,TEX,1.17,1.81,61.2,102.0,97.0,102.0,0.69,12.41,4.09,3.36,0.44,1.08,0.215,0.421,0.165,0.248,0.401,,,,,,,90.0,103.0,101.0,93.0,96.0,103.0,0.608,0.006,,,2.33,0.4,,,93.1,,85.8,,0.113,0.21,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,99.0,103.0,0.387,1.84,86.3,0.114,0.139,0.311
