,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,FC_ba,FC_slg,FC_whiff
10,2024-07-20,746527,Flyout,field_out,True,527038,607536,Wilmer Flores,Kyle Freeland,0,959700ad-bca7-4369-946c-84e97171aa77,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,6.0,4.76,42.0,100.0,82.0,96.0,0.821,6.43,2.79,11.79,1.07,1.31,0.219,0.425,0.116,0.288,0.432,61.0,98.0,86.0,66.0,98.0,91.0,84.0,105.0,97.0,60.0,98.0,99.0,129.0,98.0,102.0,0.247,0.255,0.196,0.205,0.098,0.24,-2.67,-1.66,-0.57,-2.67,92.0,87.1,91.8,87.0,83.6,0.404,0.617,0.077,0.234,0.362,0.074,0.231,0.282,0.478,0.367,0.633,0.191,0.455,0.545,0.16,,,,,,,,,,,,,,,
11,2024-07-20,746527,Pop Out,field_out,True,642731,607536,Thairo Estrada,Kyle Freeland,0,4a2f375a-07d2-4818-91fb-b6a0d87dede6,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,6.0,4.76,42.0,100.0,82.0,96.0,0.821,6.43,2.79,11.79,1.07,1.31,0.219,0.425,0.116,0.288,0.432,61.0,98.0,86.0,66.0,98.0,91.0,84.0,105.0,97.0,60.0,98.0,99.0,129.0,98.0,102.0,0.247,0.255,0.196,0.205,0.098,0.24,-2.67,-1.66,-0.57,-2.67,92.0,87.1,91.8,87.0,83.6,0.404,0.617,0.077,0.234,0.362,0.074,0.231,0.282,0.478,0.367,0.633,0.191,0.455,0.545,0.16,,,,,,,,,,,,,,,
12,2024-07-20,746527,Strikeout,strikeout,True,573262,607536,Mike Yastrzemski,Kyle Freeland,1,5e7f00fa-6d57-4495-9145-be665f37c163,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,6.0,4.76,42.0,100.0,82.0,96.0,0.821,6.43,2.79,11.79,1.07,1.31,0.219,0.425,0.116,0.288,0.432,61.0,98.0,86.0,66.0,98.0,91.0,84.0,105.0,97.0,60.0,98.0,99.0,129.0,98.0,102.0,0.247,0.255,0.196,0.205,0.098,0.24,-2.67,-1.66,-0.57,-2.67,92.0,87.1,91.8,87.0,83.6,0.404,0.617,0.077,0.234,0.362,0.074,0.231,0.282,0.478,0.367,0.633,0.191,0.455,0.545,0.16,,,,,,,,,,,,,,,
13,2024-07-20,746527,Strikeout,strikeout,True,595909,657277,Jake Cave,Logan Webb,0,4059a801-4a5a-46d0-8965-12d3aa53bb0d,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,56.0,109.0,91.0,98.0,103.0,101.0,119.0,102.0,112.0,,,,0.388,0.048,0.223,,0.329,1.24,1.02,0.18,,0.28,92.3,87.4,92.2,83.5,,0.276,0.346,0.15,0.1,0.15,0.39,,,,0.247,0.323,0.227,0.283,0.405,0.197,59.0,115.0,105.0,0.011,5.55,90.3,,,,,,,,,
14,2024-07-20,746527,Groundout,field_out,True,663898,657277,Brendan Rodgers,Logan Webb,0,d17fe7d9-1ac0-408f-832d-ed11b76b9652,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,56.0,109.0,91.0,98.0,103.0,101.0,119.0,102.0,112.0,,,,0.388,0.048,0.223,,0.329,1.24,1.02,0.18,,0.28,92.3,87.4,92.2,83.5,,0.276,0.346,0.15,0.1,0.15,0.39,,,,0.247,0.323,0.227,0.283,0.405,0.197,59.0,115.0,105.0,0.011,5.55,90.3,,,,,,,,,
15,2024-07-20,746527,Single,single,False,669911,657277,Michael Toglia,Logan Webb,0,871aecb8-8a44-402f-a5ae-122eedb2827b,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,56.0,109.0,91.0,98.0,103.0,101.0,119.0,102.0,112.0,,,,0.388,0.048,0.223,,0.329,1.24,1.02,0.18,,0.28,92.3,87.4,92.2,83.5,,0.276,0.346,0.15,0.1,0.15,0.39,,,,0.247,0.323,0.227,0.283,0.405,0.197,59.0,115.0,105.0,0.011,5.55,90.3,,,,,,,,,
16,2024-07-20,746527,Strikeout,strikeout,True,656541,657277,Sam Hilliard,Logan Webb,0,57b643c1-5460-4af1-b429-e7a2c57f2de2,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,56.0,109.0,91.0,98.0,103.0,101.0,119.0,102.0,112.0,,,,0.388,0.048,0.223,,0.329,1.24,1.02,0.18,,0.28,92.3,87.4,92.2,83.5,,0.276,0.346,0.15,0.1,0.15,0.39,,,,0.247,0.323,0.227,0.283,0.405,0.197,59.0,115.0,105.0,0.011,5.55,90.3,,,,,,,,,
17,2024-07-20,746527,Flyout,field_out,True,592200,607536,Curt Casali,Kyle Freeland,0,7d1cf363-6055-41a6-b3af-0a416c5bbfae,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,6.0,4.76,42.0,100.0,82.0,96.0,0.821,6.43,2.79,11.79,1.07,1.31,0.219,0.425,0.116,0.288,0.432,61.0,98.0,86.0,66.0,98.0,91.0,84.0,105.0,97.0,60.0,98.0,99.0,129.0,98.0,102.0,0.247,0.255,0.196,0.205,0.098,0.24,-2.67,-1.66,-0.57,-2.67,92.0,87.1,91.8,87.0,83.6,0.404,0.617,0.077,0.234,0.362,0.074,0.231,0.282,0.478,0.367,0.633,0.191,0.455,0.545,0.16,,,,,,,,,,,,,,,
18,2024-07-20,746527,Home Run,home_run,False,666149,607536,Tyler Fitzgerald,Kyle Freeland,0,445a624c-af2e-43f2-8fa2-dca1108ddf74,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,6.0,4.76,42.0,100.0,82.0,96.0,0.821,6.43,2.79,11.79,1.07,1.31,0.219,0.425,0.116,0.288,0.432,61.0,98.0,86.0,66.0,98.0,91.0,84.0,105.0,97.0,60.0,98.0,99.0,129.0,98.0,102.0,0.247,0.255,0.196,0.205,0.098,0.24,-2.67,-1.66,-0.57,-2.67,92.0,87.1,91.8,87.0,83.6,0.404,0.617,0.077,0.234,0.362,0.074,0.231,0.282,0.478,0.367,0.633,0.191,0.455,0.545,0.16,,,,,,,,,,,,,,,
19,2024-07-20,746527,Flyout,field_out,True,624585,607536,Jorge Soler,Kyle Freeland,0,f438eac6-58ca-457e-95db-c66220d13bbe,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,6.0,4.76,42.0,100.0,82.0,96.0,0.821,6.43,2.79,11.79,1.07,1.31,0.219,0.425,0.116,0.288,0.432,61.0,98.0,86.0,66.0,98.0,91.0,84.0,105.0,97.0,60.0,98.0,99.0,129.0,98.0,102.0,0.247,0.255,0.196,0.205,0.098,0.24,-2.67,-1.66,-0.57,-2.67,92.0,87.1,91.8,87.0,83.6,0.404,0.617,0.077,0.234,0.362,0.074,0.231,0.282,0.478,0.367,0.633,0.191,0.455,0.545,0.16,,,,,,,,,,,,,,,
