,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
57,2024-05-15,745015,Lineout,field_out,True,666969,657265,Adolis García,Peter Strzelecki,0,51898fa2-4616-4558-966e-b8a7f2f08e67,657265.0,peterstrzelecki,Strzelecki,Right,Peter Strzelecki,CLE,0.0,6.63,5.2,91.0,89.0,88.0,0.85,4.76,1.59,7.94,0.0,2.0,0.176,0.353,0.294,0.176,0.415,82.0,88.0,92.0,,,,85.0,95.0,87.0,141.0,93.0,102.0,0.512,0.171,,0.134,0.57,12.28,,-6.89,91.7,82.4,81.5,,0.375,0.375,0.238,0.0,0.0,0.167,0.5,0.5,0.0,,,,75.0,82.0,52.0,0.037,4.05,90.4,,,,,,,,,,,,,32.0,84.0,90.0,0.146,4.51,87.6,,,,,,,,,
58,2024-05-15,745015,Groundout,field_out,True,671289,502085,Tyler Freeman,David Robertson,0,4499ce44-f1ec-4f42-bcd1-45fa76894005,502085.0,davidrobertson,Robertson,Right,David Robertson,TEX,2.88,2.83,40.2,99.0,120.0,104.0,0.715,13.5,2.66,5.75,0.66,1.57,0.221,0.267,0.186,0.349,0.438,105.0,89.0,65.0,,,,,,,110.0,92.0,97.0,0.003,0.053,0.003,0.026,-2.5,-4.14,-4.1,6.62,94.1,88.2,83.6,80.9,,,,0.333,0.833,0.071,0.0,0.0,0.2,0.233,0.283,0.267,107.0,112.0,111.0,0.026,1.88,94.7,0.0,0.0,0.25,,,,,,,,,,121.0,100.0,106.0,0.595,2.57,93.6,0.137,0.205,0.346,121.0,95.0,103.0,0.295,0.22,84.7
59,2024-05-15,745015,Single,single,False,665926,502085,Andrés Giménez,David Robertson,0,a85017c1-4ce9-4364-82c9-c954cd86de2b,502085.0,davidrobertson,Robertson,Right,David Robertson,TEX,2.88,2.83,40.2,99.0,120.0,104.0,0.715,13.5,2.66,5.75,0.66,1.57,0.221,0.267,0.186,0.349,0.438,105.0,89.0,65.0,,,,,,,110.0,92.0,97.0,0.003,0.053,0.003,0.026,-2.5,-4.14,-4.1,6.62,94.1,88.2,83.6,80.9,,,,0.333,0.833,0.071,0.0,0.0,0.2,0.233,0.283,0.267,107.0,112.0,111.0,0.026,1.88,94.7,0.0,0.0,0.25,,,,,,,,,,121.0,100.0,106.0,0.595,2.57,93.6,0.137,0.205,0.346,121.0,95.0,103.0,0.295,0.22,84.7
60,2024-05-15,745015,Strikeout,strikeout,True,608070,502085,José Ramírez,David Robertson,0,938782bf-3756-4426-931e-060243f14c33,502085.0,davidrobertson,Robertson,Right,David Robertson,TEX,2.88,2.83,40.2,99.0,120.0,104.0,0.715,13.5,2.66,5.75,0.66,1.57,0.221,0.267,0.186,0.349,0.438,105.0,89.0,65.0,,,,,,,110.0,92.0,97.0,0.003,0.053,0.003,0.026,-2.5,-4.14,-4.1,6.62,94.1,88.2,83.6,80.9,,,,0.333,0.833,0.071,0.0,0.0,0.2,0.233,0.283,0.267,107.0,112.0,111.0,0.026,1.88,94.7,0.0,0.0,0.25,,,,,,,,,,121.0,100.0,106.0,0.595,2.57,93.6,0.137,0.205,0.346,121.0,95.0,103.0,0.295,0.22,84.7
61,2024-05-15,745015,Strikeout,strikeout,True,647304,502085,Josh Naylor,David Robertson,0,fce06f07-2cec-4fb0-9251-e62343cea9ae,502085.0,davidrobertson,Robertson,Right,David Robertson,TEX,2.88,2.83,40.2,99.0,120.0,104.0,0.715,13.5,2.66,5.75,0.66,1.57,0.221,0.267,0.186,0.349,0.438,105.0,89.0,65.0,,,,,,,110.0,92.0,97.0,0.003,0.053,0.003,0.026,-2.5,-4.14,-4.1,6.62,94.1,88.2,83.6,80.9,,,,0.333,0.833,0.071,0.0,0.0,0.2,0.233,0.283,0.267,107.0,112.0,111.0,0.026,1.88,94.7,0.0,0.0,0.25,,,,,,,,,,121.0,100.0,106.0,0.595,2.57,93.6,0.137,0.205,0.346,121.0,95.0,103.0,0.295,0.22,84.7
62,2024-05-15,745015,Field Error,field_error,False,669701,658648,Josh Smith,Pedro Avila,0,4aa9fb45-3ba1-44f1-a001-4180026b6b71,658648.0,pedroavila,Avila,Right,Pedro Avila,- - -,4.41,4.39,49.0,95.0,90.0,94.0,0.763,9.18,4.22,7.53,1.1,1.56,0.252,0.363,0.141,0.289,0.393,124.0,97.0,114.0,81.0,98.0,94.0,73.0,93.0,86.0,98.0,83.0,88.0,0.368,0.056,0.2,0.221,0.23,-1.63,0.27,0.41,93.7,83.4,79.1,77.7,0.222,0.397,0.246,0.333,0.333,0.444,0.2,0.383,0.336,0.179,0.25,0.349,89.0,98.0,87.0,0.156,-0.39,93.4,0.304,0.478,0.043,,,,,,,,,,,,,,,,,,,,,,,,
63,2024-05-15,745015,Walk,walk,False,641680,658648,Jonah Heim,Pedro Avila,1,872234fa-77d0-4587-bb9e-be1669374897,658648.0,pedroavila,Avila,Right,Pedro Avila,- - -,4.41,4.39,49.0,95.0,90.0,94.0,0.763,9.18,4.22,7.53,1.1,1.56,0.252,0.363,0.141,0.289,0.393,124.0,97.0,114.0,81.0,98.0,94.0,73.0,93.0,86.0,98.0,83.0,88.0,0.368,0.056,0.2,0.221,0.23,-1.63,0.27,0.41,93.7,83.4,79.1,77.7,0.222,0.397,0.246,0.333,0.333,0.444,0.2,0.383,0.336,0.179,0.25,0.349,89.0,98.0,87.0,0.156,-0.39,93.4,0.304,0.478,0.043,,,,,,,,,,,,,,,,,,,,,,,,
64,2024-05-15,745015,Flyout,field_out,True,608671,658648,Travis Jankowski,Pedro Avila,0,93b3628e-1bc7-4605-b447-55c96b82d9f7,658648.0,pedroavila,Avila,Right,Pedro Avila,- - -,4.41,4.39,49.0,95.0,90.0,94.0,0.763,9.18,4.22,7.53,1.1,1.56,0.252,0.363,0.141,0.289,0.393,124.0,97.0,114.0,81.0,98.0,94.0,73.0,93.0,86.0,98.0,83.0,88.0,0.368,0.056,0.2,0.221,0.23,-1.63,0.27,0.41,93.7,83.4,79.1,77.7,0.222,0.397,0.246,0.333,0.333,0.444,0.2,0.383,0.336,0.179,0.25,0.349,89.0,98.0,87.0,0.156,-0.39,93.4,0.304,0.478,0.043,,,,,,,,,,,,,,,,,,,,,,,,
65,2024-05-15,745015,Groundout,field_out,True,677649,658648,Ezequiel Duran,Pedro Avila,1,7256eedd-c31e-4ec0-8b07-4572e9668e57,658648.0,pedroavila,Avila,Right,Pedro Avila,- - -,4.41,4.39,49.0,95.0,90.0,94.0,0.763,9.18,4.22,7.53,1.1,1.56,0.252,0.363,0.141,0.289,0.393,124.0,97.0,114.0,81.0,98.0,94.0,73.0,93.0,86.0,98.0,83.0,88.0,0.368,0.056,0.2,0.221,0.23,-1.63,0.27,0.41,93.7,83.4,79.1,77.7,0.222,0.397,0.246,0.333,0.333,0.444,0.2,0.383,0.336,0.179,0.25,0.349,89.0,98.0,87.0,0.156,-0.39,93.4,0.304,0.478,0.043,,,,,,,,,,,,,,,,,,,,,,,,
66,2024-05-15,745015,Lineout,field_out,True,665750,658648,Leody Taveras,Pedro Avila,0,9579dbdd-d003-4dd3-b3eb-04c1a93d69b4,658648.0,pedroavila,Avila,Right,Pedro Avila,- - -,4.41,4.39,49.0,95.0,90.0,94.0,0.763,9.18,4.22,7.53,1.1,1.56,0.252,0.363,0.141,0.289,0.393,124.0,97.0,114.0,81.0,98.0,94.0,73.0,93.0,86.0,98.0,83.0,88.0,0.368,0.056,0.2,0.221,0.23,-1.63,0.27,0.41,93.7,83.4,79.1,77.7,0.222,0.397,0.246,0.333,0.333,0.444,0.2,0.383,0.336,0.179,0.25,0.349,89.0,98.0,87.0,0.156,-0.39,93.4,0.304,0.478,0.043,,,,,,,,,,,,,,,,,,,,,,,,
67,2024-05-15,745015,Single,single,False,686823,489446,Will Brennan,Kirby Yates,0,08b0ddce-6acf-4614-baa1-fcbb31a80cd5,489446.0,kirbyyates,Yates,Right,Kirby Yates,TEX,1.05,1.8,34.1,101.0,95.0,102.0,0.695,12.06,4.19,3.93,0.0,1.32,0.243,0.4,0.157,0.243,0.406,,,,,,,86.0,103.0,101.0,93.0,96.0,103.0,0.597,0.011,,,2.73,0.4,,,93.1,,85.8,,0.137,0.178,0.341,,,,,,,,,,,,,,,,,,,108.0,100.0,104.0,0.393,1.29,86.4,0.122,0.171,0.34,,,,,,,,,,,,,,,
