,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vKN (sc),Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KN%,wFA/C,wFC/C,wSI/C,wSL/C,wKN/C,vFA,vFC,vSI,vSL,KC_ba,KC_slg,KC_whiff,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff
20,2024-07-30,745389,Strikeout,strikeout,True,518792,663362,Jason Heyward,Matt Waldron,0,a3ab4d93-b71c-4096-b73c-debb4e5ce6f4,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.79,4.0,142.2,104.0,83.0,99.0,0.804,8.2,2.52,8.64,1.2,0.91,0.208,0.4,0.165,0.305,0.439,77.6,57.0,107.0,91.0,73.0,108.0,102.0,115.0,101.0,106.0,83.0,98.0,90.0,0.144,0.191,0.084,0.199,0.382,0.17,1.46,0.98,0.46,-1.08,90.6,87.0,90.0,79.2,0.25,0.403,0.273,0.241,0.42,0.232,0.229,0.458,0.198,0.284,0.389,0.064,0.245,0.408,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2024-07-30,745389,Strikeout,strikeout,True,681624,663362,Andy Pages,Matt Waldron,1,f59a28ca-67fd-4604-a4b6-646450cf7ee9,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.79,4.0,142.2,104.0,83.0,99.0,0.804,8.2,2.52,8.64,1.2,0.91,0.208,0.4,0.165,0.305,0.439,77.6,57.0,107.0,91.0,73.0,108.0,102.0,115.0,101.0,106.0,83.0,98.0,90.0,0.144,0.191,0.084,0.199,0.382,0.17,1.46,0.98,0.46,-1.08,90.6,87.0,90.0,79.2,0.25,0.403,0.273,0.241,0.42,0.232,0.229,0.458,0.198,0.284,0.389,0.064,0.245,0.408,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2024-07-30,745389,Groundout,field_out,True,673490,607192,Ha-Seong Kim,Tyler Glasnow,0,8b32553a-6de3-4b2f-8767-59e1d87db2c7,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,LAD,3.49,2.62,134.0,101.0,118.0,106.0,0.715,11.28,2.35,6.18,1.01,1.39,0.215,0.379,0.167,0.29,0.469,,118.0,101.0,103.0,101.0,106.0,108.0,108.0,104.0,109.0,,,,0.087,0.45,,0.277,,0.9,,0.78,1.19,,96.3,,96.6,90.0,,,,0.215,0.421,0.213,,,,0.233,0.395,0.171,,,,139.0,98.0,110.0,0.186,1.95,83.7,0.2,0.333,0.404,0.098,0.174,0.475,,,,,,,,,,,,,,,,,,
23,2024-07-30,745389,Strikeout,strikeout,True,543309,607192,Kyle Higashioka,Tyler Glasnow,0,d3685070-3bc5-45a8-8091-d830cde17ef0,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,LAD,3.49,2.62,134.0,101.0,118.0,106.0,0.715,11.28,2.35,6.18,1.01,1.39,0.215,0.379,0.167,0.29,0.469,,118.0,101.0,103.0,101.0,106.0,108.0,108.0,104.0,109.0,,,,0.087,0.45,,0.277,,0.9,,0.78,1.19,,96.3,,96.6,90.0,,,,0.215,0.421,0.213,,,,0.233,0.395,0.171,,,,139.0,98.0,110.0,0.186,1.95,83.7,0.2,0.333,0.404,0.098,0.174,0.475,,,,,,,,,,,,,,,,,,
24,2024-07-30,745389,Double,double,False,650333,607192,Luis Arraez,Tyler Glasnow,0,1ccf4097-efd1-4476-baf7-236c92714cfe,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,LAD,3.49,2.62,134.0,101.0,118.0,106.0,0.715,11.28,2.35,6.18,1.01,1.39,0.215,0.379,0.167,0.29,0.469,,118.0,101.0,103.0,101.0,106.0,108.0,108.0,104.0,109.0,,,,0.087,0.45,,0.277,,0.9,,0.78,1.19,,96.3,,96.6,90.0,,,,0.215,0.421,0.213,,,,0.233,0.395,0.171,,,,139.0,98.0,110.0,0.186,1.95,83.7,0.2,0.333,0.404,0.098,0.174,0.475,,,,,,,,,,,,,,,,,,
25,2024-07-30,745389,Single,single,False,595777,607192,Jurickson Profar,Tyler Glasnow,1,e00eda6c-dff5-4cfc-a04d-f113d73e09b7,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,LAD,3.49,2.62,134.0,101.0,118.0,106.0,0.715,11.28,2.35,6.18,1.01,1.39,0.215,0.379,0.167,0.29,0.469,,118.0,101.0,103.0,101.0,106.0,108.0,108.0,104.0,109.0,,,,0.087,0.45,,0.277,,0.9,,0.78,1.19,,96.3,,96.6,90.0,,,,0.215,0.421,0.213,,,,0.233,0.395,0.171,,,,139.0,98.0,110.0,0.186,1.95,83.7,0.2,0.333,0.404,0.098,0.174,0.475,,,,,,,,,,,,,,,,,,
26,2024-07-30,745389,Double,double,False,630105,607192,Jake Cronenworth,Tyler Glasnow,1,fb667c9d-72c0-4b42-a8a1-2d005aeb3ede,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,LAD,3.49,2.62,134.0,101.0,118.0,106.0,0.715,11.28,2.35,6.18,1.01,1.39,0.215,0.379,0.167,0.29,0.469,,118.0,101.0,103.0,101.0,106.0,108.0,108.0,104.0,109.0,,,,0.087,0.45,,0.277,,0.9,,0.78,1.19,,96.3,,96.6,90.0,,,,0.215,0.421,0.213,,,,0.233,0.395,0.171,,,,139.0,98.0,110.0,0.186,1.95,83.7,0.2,0.333,0.404,0.098,0.174,0.475,,,,,,,,,,,,,,,,,,
27,2024-07-30,745389,Flyout,field_out,True,592518,607192,Manny Machado,Tyler Glasnow,0,d7f37ebc-a13a-4bde-adab-fef15a73da78,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,LAD,3.49,2.62,134.0,101.0,118.0,106.0,0.715,11.28,2.35,6.18,1.01,1.39,0.215,0.379,0.167,0.29,0.469,,118.0,101.0,103.0,101.0,106.0,108.0,108.0,104.0,109.0,,,,0.087,0.45,,0.277,,0.9,,0.78,1.19,,96.3,,96.6,90.0,,,,0.215,0.421,0.213,,,,0.233,0.395,0.171,,,,139.0,98.0,110.0,0.186,1.95,83.7,0.2,0.333,0.404,0.098,0.174,0.475,,,,,,,,,,,,,,,,,,
28,2024-07-30,745389,Strikeout,strikeout,True,624415,663362,Cavan Biggio,Matt Waldron,0,a5ed7325-0e69-47bc-8b5d-6506c71f9fc1,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.79,4.0,142.2,104.0,83.0,99.0,0.804,8.2,2.52,8.64,1.2,0.91,0.208,0.4,0.165,0.305,0.439,77.6,57.0,107.0,91.0,73.0,108.0,102.0,115.0,101.0,106.0,83.0,98.0,90.0,0.144,0.191,0.084,0.199,0.382,0.17,1.46,0.98,0.46,-1.08,90.6,87.0,90.0,79.2,0.25,0.403,0.273,0.241,0.42,0.232,0.229,0.458,0.198,0.284,0.389,0.064,0.245,0.408,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2024-07-30,745389,Pop Out,field_out,True,571771,663362,Enrique Hernández,Matt Waldron,0,5dfe5d02-ec80-4544-b4f8-d06c844f9704,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.79,4.0,142.2,104.0,83.0,99.0,0.804,8.2,2.52,8.64,1.2,0.91,0.208,0.4,0.165,0.305,0.439,77.6,57.0,107.0,91.0,73.0,108.0,102.0,115.0,101.0,106.0,83.0,98.0,90.0,0.144,0.191,0.084,0.199,0.382,0.17,1.46,0.98,0.46,-1.08,90.6,87.0,90.0,79.2,0.25,0.403,0.273,0.241,0.42,0.232,0.229,0.458,0.198,0.284,0.389,0.064,0.245,0.408,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
