,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-06-07,745737,Strikeout,strikeout,True,605141,547001,Mookie Betts,Cody Poteet,0,fe52dd0d-da12-47de-a89d-f50ae3f0a5e2,547001.0,codypoteet,Poteet,Right,Cody Poteet,NYY,2.14,5.02,21.0,103.0,93.0,100.0,0.858,5.57,3.0,6.43,0.86,1.42,0.213,0.459,0.082,0.197,0.379,108.0,103.0,105.0,104.0,106.0,101.0,77.0,96.0,92.0,79.0,105.0,95.0,133.0,94.0,102.0,0.242,0.291,0.165,0.098,0.205,0.74,3.05,0.66,-2.58,2.39,93.3,86.9,92.6,80.7,78.1,0.16,0.36,0.05,0.143,0.143,0.176,0.2,0.2,0.206,0.25,0.25,0.19,0.375,0.75,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-06-07,745737,Groundout,field_out,True,660271,547001,Shohei Ohtani,Cody Poteet,0,dfcc3d7d-0332-411b-93ef-8242d76ff917,547001.0,codypoteet,Poteet,Right,Cody Poteet,NYY,2.14,5.02,21.0,103.0,93.0,100.0,0.858,5.57,3.0,6.43,0.86,1.42,0.213,0.459,0.082,0.197,0.379,108.0,103.0,105.0,104.0,106.0,101.0,77.0,96.0,92.0,79.0,105.0,95.0,133.0,94.0,102.0,0.242,0.291,0.165,0.098,0.205,0.74,3.05,0.66,-2.58,2.39,93.3,86.9,92.6,80.7,78.1,0.16,0.36,0.05,0.143,0.143,0.176,0.2,0.2,0.206,0.25,0.25,0.19,0.375,0.75,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-06-07,745737,Walk,walk,False,518692,547001,Freddie Freeman,Cody Poteet,0,1f7cbf44-900e-412c-884a-17d754c0d37d,547001.0,codypoteet,Poteet,Right,Cody Poteet,NYY,2.14,5.02,21.0,103.0,93.0,100.0,0.858,5.57,3.0,6.43,0.86,1.42,0.213,0.459,0.082,0.197,0.379,108.0,103.0,105.0,104.0,106.0,101.0,77.0,96.0,92.0,79.0,105.0,95.0,133.0,94.0,102.0,0.242,0.291,0.165,0.098,0.205,0.74,3.05,0.66,-2.58,2.39,93.3,86.9,92.6,80.7,78.1,0.16,0.36,0.05,0.143,0.143,0.176,0.2,0.2,0.206,0.25,0.25,0.19,0.375,0.75,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-06-07,745737,Forceout,force_out,True,669257,547001,Will Smith,Cody Poteet,1,557dc9e5-4f33-4dd0-9d7c-93f70fc0da8a,547001.0,codypoteet,Poteet,Right,Cody Poteet,NYY,2.14,5.02,21.0,103.0,93.0,100.0,0.858,5.57,3.0,6.43,0.86,1.42,0.213,0.459,0.082,0.197,0.379,108.0,103.0,105.0,104.0,106.0,101.0,77.0,96.0,92.0,79.0,105.0,95.0,133.0,94.0,102.0,0.242,0.291,0.165,0.098,0.205,0.74,3.05,0.66,-2.58,2.39,93.3,86.9,92.6,80.7,78.1,0.16,0.36,0.05,0.143,0.143,0.176,0.2,0.2,0.206,0.25,0.25,0.19,0.375,0.75,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-06-07,745737,Flyout,field_out,True,683011,808967,Anthony Volpe,Yoshinobu Yamamoto,0,abfe1866-8e68-46f4-bdc9-55cd9ea9f6da,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,2.92,3.17,74.0,105.0,99.0,106.0,0.758,10.22,2.07,7.54,0.73,1.5,0.251,0.402,0.156,0.332,0.441,,,,106.0,105.0,113.0,83.0,103.0,95.0,102.0,110.0,103.0,120.0,113.0,120.0,0.033,0.407,0.033,0.226,,1.22,-0.61,0.93,0.52,,95.5,,94.9,86.5,77.9,0.3,0.5,0.143,0.248,0.396,0.194,,,,0.133,0.133,0.333,0.23,0.41,0.319,86.0,95.0,89.0,122.0,111.0,119.0,0.053,0.248,2.17,-0.01,91.3,90.1,0.188,0.3,0.348,0.231,0.308,0.242,,,,,,,,,
5,2024-06-07,745737,Groundout,field_out,True,657077,808967,Alex Verdugo,Yoshinobu Yamamoto,0,9f8a017f-c193-4cff-96a8-401e92de63ba,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,2.92,3.17,74.0,105.0,99.0,106.0,0.758,10.22,2.07,7.54,0.73,1.5,0.251,0.402,0.156,0.332,0.441,,,,106.0,105.0,113.0,83.0,103.0,95.0,102.0,110.0,103.0,120.0,113.0,120.0,0.033,0.407,0.033,0.226,,1.22,-0.61,0.93,0.52,,95.5,,94.9,86.5,77.9,0.3,0.5,0.143,0.248,0.396,0.194,,,,0.133,0.133,0.333,0.23,0.41,0.319,86.0,95.0,89.0,122.0,111.0,119.0,0.053,0.248,2.17,-0.01,91.3,90.1,0.188,0.3,0.348,0.231,0.308,0.242,,,,,,,,,
6,2024-06-07,745737,Double,double,False,592450,808967,Aaron Judge,Yoshinobu Yamamoto,0,9b57501e-fb7f-4922-b884-4c191c6c8479,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,2.92,3.17,74.0,105.0,99.0,106.0,0.758,10.22,2.07,7.54,0.73,1.5,0.251,0.402,0.156,0.332,0.441,,,,106.0,105.0,113.0,83.0,103.0,95.0,102.0,110.0,103.0,120.0,113.0,120.0,0.033,0.407,0.033,0.226,,1.22,-0.61,0.93,0.52,,95.5,,94.9,86.5,77.9,0.3,0.5,0.143,0.248,0.396,0.194,,,,0.133,0.133,0.333,0.23,0.41,0.319,86.0,95.0,89.0,122.0,111.0,119.0,0.053,0.248,2.17,-0.01,91.3,90.1,0.188,0.3,0.348,0.231,0.308,0.242,,,,,,,,,
7,2024-06-07,745737,Strikeout,strikeout,True,519317,808967,Giancarlo Stanton,Yoshinobu Yamamoto,0,ccd5c3ed-ae65-45f5-9b94-c0b6f98027a9,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,2.92,3.17,74.0,105.0,99.0,106.0,0.758,10.22,2.07,7.54,0.73,1.5,0.251,0.402,0.156,0.332,0.441,,,,106.0,105.0,113.0,83.0,103.0,95.0,102.0,110.0,103.0,120.0,113.0,120.0,0.033,0.407,0.033,0.226,,1.22,-0.61,0.93,0.52,,95.5,,94.9,86.5,77.9,0.3,0.5,0.143,0.248,0.396,0.194,,,,0.133,0.133,0.333,0.23,0.41,0.319,86.0,95.0,89.0,122.0,111.0,119.0,0.053,0.248,2.17,-0.01,91.3,90.1,0.188,0.3,0.348,0.231,0.308,0.242,,,,,,,,,
8,2024-06-07,745737,Single,single,False,606192,547001,Teoscar Hernández,Cody Poteet,0,cb0c0751-76c7-4a7a-a75a-070546f95ac5,547001.0,codypoteet,Poteet,Right,Cody Poteet,NYY,2.14,5.02,21.0,103.0,93.0,100.0,0.858,5.57,3.0,6.43,0.86,1.42,0.213,0.459,0.082,0.197,0.379,108.0,103.0,105.0,104.0,106.0,101.0,77.0,96.0,92.0,79.0,105.0,95.0,133.0,94.0,102.0,0.242,0.291,0.165,0.098,0.205,0.74,3.05,0.66,-2.58,2.39,93.3,86.9,92.6,80.7,78.1,0.16,0.36,0.05,0.143,0.143,0.176,0.2,0.2,0.206,0.25,0.25,0.19,0.375,0.75,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-06-07,745737,Grounded Into DP,grounded_into_double_play,True,518792,547001,Jason Heyward,Cody Poteet,1,78d98e29-2b3d-4703-814d-f67c01532ee7,547001.0,codypoteet,Poteet,Right,Cody Poteet,NYY,2.14,5.02,21.0,103.0,93.0,100.0,0.858,5.57,3.0,6.43,0.86,1.42,0.213,0.459,0.082,0.197,0.379,108.0,103.0,105.0,104.0,106.0,101.0,77.0,96.0,92.0,79.0,105.0,95.0,133.0,94.0,102.0,0.242,0.291,0.165,0.098,0.205,0.74,3.05,0.66,-2.58,2.39,93.3,86.9,92.6,80.7,78.1,0.16,0.36,0.05,0.143,0.143,0.176,0.2,0.2,0.206,0.25,0.25,0.19,0.375,0.75,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,
