,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SV_ba,SV_slg,SV_whiff,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FC%,SL%,wFC/C,wSL/C,vFC,vSL,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
58,2024-07-09,745803,Flyout,field_out,True,696285,493603,Jacob Young,Adam Ottavino,0,6024b925-8e60-4270-add2-aede49ae5e17,493603.0,adamottavino,Ottavino,Right,Adam Ottavino,NYM,4.75,2.94,36.0,99.0,103.0,100.0,0.744,12.0,3.25,7.5,1.0,1.0,0.352,0.386,0.216,0.352,0.415,73.0,89.0,90.0,,,,72.0,102.0,98.0,100.0,101.0,99.0,0.377,0.055,,0.077,1.93,0.6,,-2.3,92.9,87.2,92.1,,0.217,0.25,0.167,,,,0.364,0.545,0.222,0.0,0.0,0.429,,,,115.0,108.0,113.0,85.0,87.0,90.0,0.102,0.39,-1.42,-0.09,87.9,79.2,0.286,1.0,0.351,0.3,0.6,0.222,,,,,,,,,
59,2024-07-09,745803,Hit By Pitch,hit_by_pitch,False,682928,493603,CJ Abrams,Adam Ottavino,0,d4ea326c-d38e-4ea8-b2f8-6c96ebbf9f70,493603.0,adamottavino,Ottavino,Right,Adam Ottavino,NYM,4.75,2.94,36.0,99.0,103.0,100.0,0.744,12.0,3.25,7.5,1.0,1.0,0.352,0.386,0.216,0.352,0.415,73.0,89.0,90.0,,,,72.0,102.0,98.0,100.0,101.0,99.0,0.377,0.055,,0.077,1.93,0.6,,-2.3,92.9,87.2,92.1,,0.217,0.25,0.167,,,,0.364,0.545,0.222,0.0,0.0,0.429,,,,115.0,108.0,113.0,85.0,87.0,90.0,0.102,0.39,-1.42,-0.09,87.9,79.2,0.286,1.0,0.351,0.3,0.6,0.222,,,,,,,,,
60,2024-07-09,745803,Strikeout,strikeout,True,657041,673380,Lane Thomas,Dedniel Núñez,0,109fd852-38e9-443f-bbe5-837b2d0561bd,673380.0,dednielnunez,Núñez,Right,Dedniel Núñez,NYM,2.59,2.32,31.1,104.0,119.0,110.0,0.718,11.78,2.01,6.03,0.86,1.3,0.254,0.38,0.183,0.324,0.479,36.0,108.0,101.0,30.0,176.0,193.0,132.0,107.0,113.0,80.0,131.0,115.0,0.026,0.492,0.002,0.009,2.45,-13.02,21.74,5.9,96.3,91.4,93.7,84.1,0.4,0.6,0.222,,,,,,,0.217,0.37,0.25,,,,109.0,100.0,105.0,,,,,0.471,,1.16,,87.3,,,,0.153,0.254,0.414,,,,,,,,,
61,2024-07-09,745803,Single,single,False,695578,673380,James Wood,Dedniel Núñez,1,e671bddc-8e0a-40e2-9842-07b3a7bb6357,673380.0,dednielnunez,Núñez,Right,Dedniel Núñez,NYM,2.59,2.32,31.1,104.0,119.0,110.0,0.718,11.78,2.01,6.03,0.86,1.3,0.254,0.38,0.183,0.324,0.479,36.0,108.0,101.0,30.0,176.0,193.0,132.0,107.0,113.0,80.0,131.0,115.0,0.026,0.492,0.002,0.009,2.45,-13.02,21.74,5.9,96.3,91.4,93.7,84.1,0.4,0.6,0.222,,,,,,,0.217,0.37,0.25,,,,109.0,100.0,105.0,,,,,0.471,,1.16,,87.3,,,,0.153,0.254,0.414,,,,,,,,,
62,2024-07-09,745803,Groundout,field_out,True,608385,673380,Jesse Winker,Dedniel Núñez,0,7efbf99a-889e-4182-8f9b-02c87d8c5d09,673380.0,dednielnunez,Núñez,Right,Dedniel Núñez,NYM,2.59,2.32,31.1,104.0,119.0,110.0,0.718,11.78,2.01,6.03,0.86,1.3,0.254,0.38,0.183,0.324,0.479,36.0,108.0,101.0,30.0,176.0,193.0,132.0,107.0,113.0,80.0,131.0,115.0,0.026,0.492,0.002,0.009,2.45,-13.02,21.74,5.9,96.3,91.4,93.7,84.1,0.4,0.6,0.222,,,,,,,0.217,0.37,0.25,,,,109.0,100.0,105.0,,,,,0.471,,1.16,,87.3,,,,0.153,0.254,0.414,,,,,,,,,
63,2024-07-09,745803,Triple,triple,False,621438,607179,Tyrone Taylor,Jordan Weems,0,3eff3213-2fc6-417a-9ab5-7e182372c7a0,607179.0,jordanweems,Weems,Right,Jordan Weems,WSN,5.54,4.36,39.0,96.0,108.0,95.0,0.814,7.62,4.38,9.46,1.15,0.98,0.281,0.306,0.207,0.355,0.432,104.0,82.0,96.0,144.0,94.0,115.0,100.0,94.0,90.0,,,,,0.605,0.009,0.028,0.22,,-8.86,-14.18,96.1,87.4,,79.7,,,,,,,0.8,1.0,0.333,0.247,0.371,0.173,,,,122.0,99.0,103.0,,,,,0.358,,-0.74,,87.7,,,,0.241,0.466,0.289,,,,,,,,,
64,2024-07-09,745803,Groundout,field_out,True,668901,607179,Mark Vientos,Jordan Weems,0,8ec5c9a7-4813-4854-afa5-2c7cd68f6241,607179.0,jordanweems,Weems,Right,Jordan Weems,WSN,5.54,4.36,39.0,96.0,108.0,95.0,0.814,7.62,4.38,9.46,1.15,0.98,0.281,0.306,0.207,0.355,0.432,104.0,82.0,96.0,144.0,94.0,115.0,100.0,94.0,90.0,,,,,0.605,0.009,0.028,0.22,,-8.86,-14.18,96.1,87.4,,79.7,,,,,,,0.8,1.0,0.333,0.247,0.371,0.173,,,,122.0,99.0,103.0,,,,,0.358,,-0.74,,87.7,,,,0.241,0.466,0.289,,,,,,,,,
65,2024-07-09,745803,Double,double,False,643446,607179,Jeff McNeil,Jordan Weems,1,39d55f1b-7ad1-46f4-b36c-b8b6eb5acef1,607179.0,jordanweems,Weems,Right,Jordan Weems,WSN,5.54,4.36,39.0,96.0,108.0,95.0,0.814,7.62,4.38,9.46,1.15,0.98,0.281,0.306,0.207,0.355,0.432,104.0,82.0,96.0,144.0,94.0,115.0,100.0,94.0,90.0,,,,,0.605,0.009,0.028,0.22,,-8.86,-14.18,96.1,87.4,,79.7,,,,,,,0.8,1.0,0.333,0.247,0.371,0.173,,,,122.0,99.0,103.0,,,,,0.358,,-0.74,,87.7,,,,0.241,0.466,0.289,,,,,,,,,
66,2024-07-09,745803,Strikeout,strikeout,True,664056,607179,Harrison Bader,Jordan Weems,0,a39a3947-2cfd-411d-940b-2fe99191285a,607179.0,jordanweems,Weems,Right,Jordan Weems,WSN,5.54,4.36,39.0,96.0,108.0,95.0,0.814,7.62,4.38,9.46,1.15,0.98,0.281,0.306,0.207,0.355,0.432,104.0,82.0,96.0,144.0,94.0,115.0,100.0,94.0,90.0,,,,,0.605,0.009,0.028,0.22,,-8.86,-14.18,96.1,87.4,,79.7,,,,,,,0.8,1.0,0.333,0.247,0.371,0.173,,,,122.0,99.0,103.0,,,,,0.358,,-0.74,,87.7,,,,0.241,0.466,0.289,,,,,,,,,
67,2024-07-09,745803,Walk,walk,False,596019,607179,Francisco Lindor,Jordan Weems,0,c75edd61-e8df-4c97-952f-437ede3fa1ff,607179.0,jordanweems,Weems,Right,Jordan Weems,WSN,5.54,4.36,39.0,96.0,108.0,95.0,0.814,7.62,4.38,9.46,1.15,0.98,0.281,0.306,0.207,0.355,0.432,104.0,82.0,96.0,144.0,94.0,115.0,100.0,94.0,90.0,,,,,0.605,0.009,0.028,0.22,,-8.86,-14.18,96.1,87.4,,79.7,,,,,,,0.8,1.0,0.333,0.247,0.371,0.173,,,,122.0,99.0,103.0,,,,,0.358,,-0.74,,87.7,,,,0.241,0.466,0.289,,,,,,,,,
