,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,FA%,SL%,KC%,wFA/C,wSL/C,wKC/C,vFA,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CU%,CH%,wFC/C,wSI/C,wCU/C,wCH/C,vFC,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
60,2024-07-28,747173,Strikeout,strikeout,True,663647,623149,Ke'Bryan Hayes,Paul Sewald,0,7fd4ebea-ea9c-4d5e-9aed-98a98634169c,623149.0,paulsewald,Sewald,Right,Paul Sewald,ARI,4.15,4.17,34.2,100.0,117.0,103.0,0.788,9.61,2.6,8.05,1.04,0.57,0.302,0.365,0.219,0.375,0.489,118.0,101.0,99.0,115.0,99.0,110.0,,,,0.601,0.391,,-0.53,1.03,,91.3,83.0,,0.253,0.446,0.238,,,,,,,88.0,62.0,70.0,,,,,,,,,,,,,0.007,,,,1.37,,84.2,,,,,,0.204,0.367,0.257,,,,,,,,,,,,,,,
61,2024-07-28,747173,Double,double,False,663698,623149,Joey Bart,Paul Sewald,1,b2d98ec7-0c76-4f09-b5d1-8532fe425ddb,623149.0,paulsewald,Sewald,Right,Paul Sewald,ARI,4.15,4.17,34.2,100.0,117.0,103.0,0.788,9.61,2.6,8.05,1.04,0.57,0.302,0.365,0.219,0.375,0.489,118.0,101.0,99.0,115.0,99.0,110.0,,,,0.601,0.391,,-0.53,1.03,,91.3,83.0,,0.253,0.446,0.238,,,,,,,88.0,62.0,70.0,,,,,,,,,,,,,0.007,,,,1.37,,84.2,,,,,,0.204,0.367,0.257,,,,,,,,,,,,,,,
62,2024-07-28,747173,Strikeout,strikeout,True,669707,623149,Jared Triolo,Paul Sewald,0,d2983551-6f78-4336-adea-6b0b090d1486,623149.0,paulsewald,Sewald,Right,Paul Sewald,ARI,4.15,4.17,34.2,100.0,117.0,103.0,0.788,9.61,2.6,8.05,1.04,0.57,0.302,0.365,0.219,0.375,0.489,118.0,101.0,99.0,115.0,99.0,110.0,,,,0.601,0.391,,-0.53,1.03,,91.3,83.0,,0.253,0.446,0.238,,,,,,,88.0,62.0,70.0,,,,,,,,,,,,,0.007,,,,1.37,,84.2,,,,,,0.204,0.367,0.257,,,,,,,,,,,,,,,
63,2024-07-28,747173,Groundout,field_out,True,606466,547973,Ketel Marte,Aroldis Chapman,0,cf41448f-a441-4d84-bdc7-4cc06d2a8d03,547973.0,aroldischapman,Chapman,Left,Aroldis Chapman,PIT,3.55,3.18,50.2,95.0,133.0,105.0,0.692,14.57,6.39,5.86,0.89,1.22,0.303,0.364,0.152,0.323,0.439,96.0,87.0,89.0,98.0,88.0,104.0,,,,0.343,0.267,,0.35,-0.01,,97.7,86.8,,0.209,0.326,0.266,0.216,0.297,0.337,,,,,,,,,,235.0,109.0,126.0,,,,0.273,,,,,-0.3,,,,,99.7,,0.186,0.386,0.314,,,,,,,,,,97.0,102.0,104.0,0.116,2.63,91.2,0.103,0.138,0.526
64,2024-07-28,747173,Lineout,field_out,True,572233,547973,Christian Walker,Aroldis Chapman,0,87df16b6-5fcd-4f40-b4df-b994d2cbeea7,547973.0,aroldischapman,Chapman,Left,Aroldis Chapman,PIT,3.55,3.18,50.2,95.0,133.0,105.0,0.692,14.57,6.39,5.86,0.89,1.22,0.303,0.364,0.152,0.323,0.439,96.0,87.0,89.0,98.0,88.0,104.0,,,,0.343,0.267,,0.35,-0.01,,97.7,86.8,,0.209,0.326,0.266,0.216,0.297,0.337,,,,,,,,,,235.0,109.0,126.0,,,,0.273,,,,,-0.3,,,,,99.7,,0.186,0.386,0.314,,,,,,,,,,97.0,102.0,104.0,0.116,2.63,91.2,0.103,0.138,0.526
65,2024-07-28,747173,Flyout,field_out,True,664983,547973,Jake McCarthy,Aroldis Chapman,0,c03e6f97-c5f8-4707-ad0b-d133bab00be6,547973.0,aroldischapman,Chapman,Left,Aroldis Chapman,PIT,3.55,3.18,50.2,95.0,133.0,105.0,0.692,14.57,6.39,5.86,0.89,1.22,0.303,0.364,0.152,0.323,0.439,96.0,87.0,89.0,98.0,88.0,104.0,,,,0.343,0.267,,0.35,-0.01,,97.7,86.8,,0.209,0.326,0.266,0.216,0.297,0.337,,,,,,,,,,235.0,109.0,126.0,,,,0.273,,,,,-0.3,,,,,99.7,,0.186,0.386,0.314,,,,,,,,,,97.0,102.0,104.0,0.116,2.63,91.2,0.103,0.138,0.526
66,2024-07-28,747173,Single,single,False,678225,679885,Ji Hwan Bae,Justin Martinez,1,dbba0010-1125-4640-b4bc-ecd0d0d901e8,679885.0,justinmartinez,"Martinez, Ju",Right,Justin Martinez,ARI,2.1,3.04,60.0,100.0,112.0,103.0,0.692,11.25,4.5,6.6,0.3,3.44,0.287,0.343,0.196,0.252,0.418,79.0,93.0,93.0,124.0,100.0,109.0,,,,0.094,0.217,,-0.69,2.82,,100.2,89.4,,0.222,0.389,0.286,0.125,0.219,0.489,,,,,,,,,,114.0,97.0,99.0,,,,0.46,,,,,0.35,,,,,100.1,,0.316,0.367,0.201,,,,,,,,,,113.0,105.0,108.0,0.229,2.61,89.7,0.075,0.09,0.536
67,2024-07-28,747173,Walk,walk,False,518735,679885,Yasmani Grandal,Justin Martinez,1,fb7aa189-4356-4956-91cd-4de4148bf37f,679885.0,justinmartinez,"Martinez, Ju",Right,Justin Martinez,ARI,2.1,3.04,60.0,100.0,112.0,103.0,0.692,11.25,4.5,6.6,0.3,3.44,0.287,0.343,0.196,0.252,0.418,79.0,93.0,93.0,124.0,100.0,109.0,,,,0.094,0.217,,-0.69,2.82,,100.2,89.4,,0.222,0.389,0.286,0.125,0.219,0.489,,,,,,,,,,114.0,97.0,99.0,,,,0.46,,,,,0.35,,,,,100.1,,0.316,0.367,0.201,,,,,,,,,,113.0,105.0,108.0,0.229,2.61,89.7,0.075,0.09,0.536
68,2024-07-28,747173,Forceout,force_out,True,457705,679885,Andrew McCutchen,Justin Martinez,1,61f0db8e-0324-4889-87e2-069963c54734,679885.0,justinmartinez,"Martinez, Ju",Right,Justin Martinez,ARI,2.1,3.04,60.0,100.0,112.0,103.0,0.692,11.25,4.5,6.6,0.3,3.44,0.287,0.343,0.196,0.252,0.418,79.0,93.0,93.0,124.0,100.0,109.0,,,,0.094,0.217,,-0.69,2.82,,100.2,89.4,,0.222,0.389,0.286,0.125,0.219,0.489,,,,,,,,,,114.0,97.0,99.0,,,,0.46,,,,,0.35,,,,,100.1,,0.316,0.367,0.201,,,,,,,,,,113.0,105.0,108.0,0.229,2.61,89.7,0.075,0.09,0.536
69,2024-07-28,747173,Intent Walk,intent_walk,False,665833,679885,Oneil Cruz,Justin Martinez,1,07471736-0706-1023-000c-f08cd117d70a,679885.0,justinmartinez,"Martinez, Ju",Right,Justin Martinez,ARI,2.1,3.04,60.0,100.0,112.0,103.0,0.692,11.25,4.5,6.6,0.3,3.44,0.287,0.343,0.196,0.252,0.418,79.0,93.0,93.0,124.0,100.0,109.0,,,,0.094,0.217,,-0.69,2.82,,100.2,89.4,,0.222,0.389,0.286,0.125,0.219,0.489,,,,,,,,,,114.0,97.0,99.0,,,,0.46,,,,,0.35,,,,,100.1,,0.316,0.367,0.201,,,,,,,,,,113.0,105.0,108.0,0.229,2.61,89.7,0.075,0.09,0.536
