,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wCU/C,wCH/C,vFA,vFC,vCH,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
20,2024-09-17,746987,Lineout,field_out,True,624424,544150,Michael Conforto,Albert Suárez,0,595719de-b846-4062-b7ae-ca56ef91b73d,544150.0,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.74,4.17,127.2,100.0,89.0,97.0,0.788,7.33,2.96,8.88,1.06,0.84,0.244,0.429,0.135,0.307,0.39,99.0,100.0,105.0,95.0,99.0,98.0,90.0,101.0,96.0,75.0,99.0,91.0,0.5,0.196,0.131,0.174,-0.29,0.59,0.51,-0.59,94.8,86.3,86.1,79.0,0.274,0.457,0.232,0.279,0.442,0.219,0.247,0.376,0.309,0.177,0.323,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2024-09-17,746987,Strikeout,strikeout,True,672275,544150,Patrick Bailey,Albert Suárez,0,b584a792-f8d5-4f0d-ab81-bf7d06b4b8f2,544150.0,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.74,4.17,127.2,100.0,89.0,97.0,0.788,7.33,2.96,8.88,1.06,0.84,0.244,0.429,0.135,0.307,0.39,99.0,100.0,105.0,95.0,99.0,98.0,90.0,101.0,96.0,75.0,99.0,91.0,0.5,0.196,0.131,0.174,-0.29,0.59,0.51,-0.59,94.8,86.3,86.1,79.0,0.274,0.457,0.232,0.279,0.442,0.219,0.247,0.376,0.309,0.177,0.323,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2024-09-17,746987,Strikeout,strikeout,True,691723,605483,Coby Mayo,Blake Snell,0,0776183f-0259-41e6-b5ad-3d4c07f6a6eb,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.54,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,148.0,99.0,109.0,116.0,96.0,100.0,,,,0.464,,0.26,0.176,1.16,,2.25,0.95,95.9,,85.5,81.1,0.2,0.303,0.241,0.236,0.319,0.47,,,,0.111,0.183,0.493,106.0,87.0,91.0,0.101,0.12,88.7,0.167,0.267,0.446,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2024-09-17,746987,Groundout,field_out,True,670869,605483,Livan Soto,Blake Snell,0,6785feab-0130-408a-b01d-bf4f25cca13e,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.54,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,148.0,99.0,109.0,116.0,96.0,100.0,,,,0.464,,0.26,0.176,1.16,,2.25,0.95,95.9,,85.5,81.1,0.2,0.303,0.241,0.236,0.319,0.47,,,,0.111,0.183,0.493,106.0,87.0,91.0,0.101,0.12,88.7,0.167,0.267,0.446,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2024-09-17,746987,Strikeout,strikeout,True,596103,605483,Austin Slater,Blake Snell,0,4b300290-ff2d-496b-830c-1e0bb2bda8ed,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.54,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,148.0,99.0,109.0,116.0,96.0,100.0,,,,0.464,,0.26,0.176,1.16,,2.25,0.95,95.9,,85.5,81.1,0.2,0.303,0.241,0.236,0.319,0.47,,,,0.111,0.183,0.493,106.0,87.0,91.0,0.101,0.12,88.7,0.167,0.267,0.446,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2024-09-17,746987,Single,single,False,687529,544150,Grant McCray,Albert Suárez,0,50b3556f-af05-4ab8-bc73-06c45f032517,544150.0,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.74,4.17,127.2,100.0,89.0,97.0,0.788,7.33,2.96,8.88,1.06,0.84,0.244,0.429,0.135,0.307,0.39,99.0,100.0,105.0,95.0,99.0,98.0,90.0,101.0,96.0,75.0,99.0,91.0,0.5,0.196,0.131,0.174,-0.29,0.59,0.51,-0.59,94.8,86.3,86.1,79.0,0.274,0.457,0.232,0.279,0.442,0.219,0.247,0.376,0.309,0.177,0.323,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2024-09-17,746987,Single,single,False,622268,544150,Donovan Walton,Albert Suárez,1,3ea1da9b-b6ec-4624-8901-851994bf5682,544150.0,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.74,4.17,127.2,100.0,89.0,97.0,0.788,7.33,2.96,8.88,1.06,0.84,0.244,0.429,0.135,0.307,0.39,99.0,100.0,105.0,95.0,99.0,98.0,90.0,101.0,96.0,75.0,99.0,91.0,0.5,0.196,0.131,0.174,-0.29,0.59,0.51,-0.59,94.8,86.3,86.1,79.0,0.274,0.457,0.232,0.279,0.442,0.219,0.247,0.376,0.309,0.177,0.323,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2024-09-17,746987,Flyout,field_out,True,689172,544150,Brett Wisely,Albert Suárez,0,4c2732a2-081e-4be6-9949-78343371bd33,544150.0,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.74,4.17,127.2,100.0,89.0,97.0,0.788,7.33,2.96,8.88,1.06,0.84,0.244,0.429,0.135,0.307,0.39,99.0,100.0,105.0,95.0,99.0,98.0,90.0,101.0,96.0,75.0,99.0,91.0,0.5,0.196,0.131,0.174,-0.29,0.59,0.51,-0.59,94.8,86.3,86.1,79.0,0.274,0.457,0.232,0.279,0.442,0.219,0.247,0.376,0.309,0.177,0.323,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2024-09-17,746987,Forceout,force_out,True,573262,669211,Mike Yastrzemski,Keegan Akin,1,051ab3a0-576d-4a4f-b5bd-3227be4962d7,669211.0,keeganakin,Akin,Left,Keegan Akin,BAL,3.18,2.56,76.1,104.0,112.0,106.0,0.714,11.32,2.12,6.25,0.94,0.79,0.267,0.406,0.171,0.299,0.461,99.0,102.0,102.0,,,,111.0,103.0,106.0,,,,0.563,,,0.107,0.8,,,1.4,93.9,,85.6,,0.222,0.405,0.284,0.15,0.175,0.267,,,,,,,116.0,105.0,109.0,0.33,1.57,85.5,0.157,0.301,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2024-09-17,746987,Strikeout,strikeout,True,666149,669211,Tyler Fitzgerald,Keegan Akin,0,053717ec-193f-44a6-b6ab-7708c33a80aa,669211.0,keeganakin,Akin,Left,Keegan Akin,BAL,3.18,2.56,76.1,104.0,112.0,106.0,0.714,11.32,2.12,6.25,0.94,0.79,0.267,0.406,0.171,0.299,0.461,99.0,102.0,102.0,,,,111.0,103.0,106.0,,,,0.563,,,0.107,0.8,,,1.4,93.9,,85.6,,0.222,0.405,0.284,0.15,0.175,0.267,,,,,,,116.0,105.0,109.0,0.33,1.57,85.5,0.157,0.301,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,
