,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FS%,wFS/C,vFS
20,2024-04-17,745671,Home Run,home_run,False,665923,571927,Esteury Ruiz,Steven Matz,1,270d2816-4656-4b72-915d-5ff4f3d39d22,571927.0,stevenmatz,Matz,Left,Steven Matz,STL,6.18,6.14,27.2,101.0,85.0,98.0,0.843,5.53,3.58,12.04,0.98,0.94,0.289,0.32,0.186,0.206,0.463,100.0,105.0,100.0,105.0,106.0,112.0,,,,77.0,103.0,97.0,82.0,87.0,88.0,,,,0.591,,,0.082,0.068,0.259,,,1.05,-4.58,-4.17,-3.92,,,83.3,93.9,88.3,77.8,,,,0.357,0.595,0.26,,,,0.5,0.6,0.238,0.245,0.358,0.121,0.5,0.5,0.0,,,
21,2024-04-17,745671,Groundout,field_out,True,663527,571927,Tyler Nevin,Steven Matz,0,598a26fa-62b3-4544-a03b-f204a1324335,571927.0,stevenmatz,Matz,Left,Steven Matz,STL,6.18,6.14,27.2,101.0,85.0,98.0,0.843,5.53,3.58,12.04,0.98,0.94,0.289,0.32,0.186,0.206,0.463,100.0,105.0,100.0,105.0,106.0,112.0,,,,77.0,103.0,97.0,82.0,87.0,88.0,,,,0.591,,,0.082,0.068,0.259,,,1.05,-4.58,-4.17,-3.92,,,83.3,93.9,88.3,77.8,,,,0.357,0.595,0.26,,,,0.5,0.6,0.238,0.245,0.358,0.121,0.5,0.5,0.0,,,
22,2024-04-17,745671,Walk,walk,False,680869,571927,Zack Gelof,Steven Matz,0,247d06f6-93d5-474b-b874-0f32b729d530,571927.0,stevenmatz,Matz,Left,Steven Matz,STL,6.18,6.14,27.2,101.0,85.0,98.0,0.843,5.53,3.58,12.04,0.98,0.94,0.289,0.32,0.186,0.206,0.463,100.0,105.0,100.0,105.0,106.0,112.0,,,,77.0,103.0,97.0,82.0,87.0,88.0,,,,0.591,,,0.082,0.068,0.259,,,1.05,-4.58,-4.17,-3.92,,,83.3,93.9,88.3,77.8,,,,0.357,0.595,0.26,,,,0.5,0.6,0.238,0.245,0.358,0.121,0.5,0.5,0.0,,,
23,2024-04-17,745671,Forceout,force_out,True,669127,571927,Shea Langeliers,Steven Matz,1,d28bf291-acb5-40aa-9d3a-7d5056a10b99,571927.0,stevenmatz,Matz,Left,Steven Matz,STL,6.18,6.14,27.2,101.0,85.0,98.0,0.843,5.53,3.58,12.04,0.98,0.94,0.289,0.32,0.186,0.206,0.463,100.0,105.0,100.0,105.0,106.0,112.0,,,,77.0,103.0,97.0,82.0,87.0,88.0,,,,0.591,,,0.082,0.068,0.259,,,1.05,-4.58,-4.17,-3.92,,,83.3,93.9,88.3,77.8,,,,0.357,0.595,0.26,,,,0.5,0.6,0.238,0.245,0.358,0.121,0.5,0.5,0.0,,,
24,2024-04-17,745671,Pop Out,field_out,True,647351,571927,Abraham Toro,Steven Matz,0,0e2a4131-4c68-4fd4-8592-0733427c09d1,571927.0,stevenmatz,Matz,Left,Steven Matz,STL,6.18,6.14,27.2,101.0,85.0,98.0,0.843,5.53,3.58,12.04,0.98,0.94,0.289,0.32,0.186,0.206,0.463,100.0,105.0,100.0,105.0,106.0,112.0,,,,77.0,103.0,97.0,82.0,87.0,88.0,,,,0.591,,,0.082,0.068,0.259,,,1.05,-4.58,-4.17,-3.92,,,83.3,93.9,88.3,77.8,,,,0.357,0.595,0.26,,,,0.5,0.6,0.238,0.245,0.358,0.121,0.5,0.5,0.0,,,
25,2024-04-17,745671,Single,single,False,663457,621112,Lars Nootbaar,Paul Blackburn,0,6698296b-17ef-48ae-be1e-4e7a6e7b4ae9,621112.0,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.11,4.64,46.0,105.0,95.0,102.0,0.762,7.04,2.54,7.83,1.17,1.51,0.225,0.406,0.181,0.239,0.41,90.0,108.0,107.0,94.0,107.0,107.0,77.0,98.0,93.0,74.0,110.0,97.0,122.0,105.0,110.0,104.0,107.0,100.0,0.102,0.221,0.199,0.173,0.112,0.191,-1.7,0.5,-1.74,1.33,1.8,2.4,92.1,89.2,85.5,91.4,81.6,79.6,0.316,0.421,0.272,0.162,0.189,0.317,0.233,0.7,0.18,0.129,0.258,0.288,0.409,0.545,0.086,0.125,0.25,0.324,,,
26,2024-04-17,745671,Single,single,False,571448,621112,Nolan Arenado,Paul Blackburn,1,1d8ec145-3a09-4d54-92c4-610634373564,621112.0,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.11,4.64,46.0,105.0,95.0,102.0,0.762,7.04,2.54,7.83,1.17,1.51,0.225,0.406,0.181,0.239,0.41,90.0,108.0,107.0,94.0,107.0,107.0,77.0,98.0,93.0,74.0,110.0,97.0,122.0,105.0,110.0,104.0,107.0,100.0,0.102,0.221,0.199,0.173,0.112,0.191,-1.7,0.5,-1.74,1.33,1.8,2.4,92.1,89.2,85.5,91.4,81.6,79.6,0.316,0.421,0.272,0.162,0.189,0.317,0.233,0.7,0.18,0.129,0.258,0.288,0.409,0.545,0.086,0.125,0.25,0.324,,,
27,2024-04-17,745671,Double,double,False,575929,621112,Willson Contreras,Paul Blackburn,1,8ff823d8-9931-42d3-ab32-a8a385abc222,621112.0,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.11,4.64,46.0,105.0,95.0,102.0,0.762,7.04,2.54,7.83,1.17,1.51,0.225,0.406,0.181,0.239,0.41,90.0,108.0,107.0,94.0,107.0,107.0,77.0,98.0,93.0,74.0,110.0,97.0,122.0,105.0,110.0,104.0,107.0,100.0,0.102,0.221,0.199,0.173,0.112,0.191,-1.7,0.5,-1.74,1.33,1.8,2.4,92.1,89.2,85.5,91.4,81.6,79.6,0.316,0.421,0.272,0.162,0.189,0.317,0.233,0.7,0.18,0.129,0.258,0.288,0.409,0.545,0.086,0.125,0.25,0.324,,,
28,2024-04-17,745671,Strikeout,strikeout,True,669357,621112,Nolan Gorman,Paul Blackburn,0,82210ba5-14f2-4031-876b-46922f4e4c21,621112.0,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.11,4.64,46.0,105.0,95.0,102.0,0.762,7.04,2.54,7.83,1.17,1.51,0.225,0.406,0.181,0.239,0.41,90.0,108.0,107.0,94.0,107.0,107.0,77.0,98.0,93.0,74.0,110.0,97.0,122.0,105.0,110.0,104.0,107.0,100.0,0.102,0.221,0.199,0.173,0.112,0.191,-1.7,0.5,-1.74,1.33,1.8,2.4,92.1,89.2,85.5,91.4,81.6,79.6,0.316,0.421,0.272,0.162,0.189,0.317,0.233,0.7,0.18,0.129,0.258,0.288,0.409,0.545,0.086,0.125,0.25,0.324,,,
29,2024-04-17,745671,Single,single,False,671056,621112,Iván Herrera,Paul Blackburn,1,b92fb630-3013-4d90-b251-a7413aeada9f,621112.0,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.11,4.64,46.0,105.0,95.0,102.0,0.762,7.04,2.54,7.83,1.17,1.51,0.225,0.406,0.181,0.239,0.41,90.0,108.0,107.0,94.0,107.0,107.0,77.0,98.0,93.0,74.0,110.0,97.0,122.0,105.0,110.0,104.0,107.0,100.0,0.102,0.221,0.199,0.173,0.112,0.191,-1.7,0.5,-1.74,1.33,1.8,2.4,92.1,89.2,85.5,91.4,81.6,79.6,0.316,0.421,0.272,0.162,0.189,0.317,0.233,0.7,0.18,0.129,0.258,0.288,0.409,0.545,0.086,0.125,0.25,0.324,,,
30,2024-04-17,745671,Walk,walk,False,691026,621112,Masyn Winn,Paul Blackburn,1,99b5a510-1961-4302-bbf9-9e632a6a9c5f,621112.0,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.11,4.64,46.0,105.0,95.0,102.0,0.762,7.04,2.54,7.83,1.17,1.51,0.225,0.406,0.181,0.239,0.41,90.0,108.0,107.0,94.0,107.0,107.0,77.0,98.0,93.0,74.0,110.0,97.0,122.0,105.0,110.0,104.0,107.0,100.0,0.102,0.221,0.199,0.173,0.112,0.191,-1.7,0.5,-1.74,1.33,1.8,2.4,92.1,89.2,85.5,91.4,81.6,79.6,0.316,0.421,0.272,0.162,0.189,0.317,0.233,0.7,0.18,0.129,0.258,0.288,0.409,0.545,0.086,0.125,0.25,0.324,,,
31,2024-04-17,745671,Grounded Into DP,grounded_into_double_play,True,672279,621112,Michael Siani,Paul Blackburn,1,0a7b170d-cbc9-4adf-8176-7dbb7bc2a87f,621112.0,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.11,4.64,46.0,105.0,95.0,102.0,0.762,7.04,2.54,7.83,1.17,1.51,0.225,0.406,0.181,0.239,0.41,90.0,108.0,107.0,94.0,107.0,107.0,77.0,98.0,93.0,74.0,110.0,97.0,122.0,105.0,110.0,104.0,107.0,100.0,0.102,0.221,0.199,0.173,0.112,0.191,-1.7,0.5,-1.74,1.33,1.8,2.4,92.1,89.2,85.5,91.4,81.6,79.6,0.316,0.421,0.272,0.162,0.189,0.317,0.233,0.7,0.18,0.129,0.258,0.288,0.409,0.545,0.086,0.125,0.25,0.324,,,
32,2024-04-17,745671,Single,single,False,687231,571927,Darell Hernaiz,Steven Matz,0,9ce3b88b-f6bb-4fe5-88d3-643320b52bf0,571927.0,stevenmatz,Matz,Left,Steven Matz,STL,6.18,6.14,27.2,101.0,85.0,98.0,0.843,5.53,3.58,12.04,0.98,0.94,0.289,0.32,0.186,0.206,0.463,100.0,105.0,100.0,105.0,106.0,112.0,,,,77.0,103.0,97.0,82.0,87.0,88.0,,,,0.591,,,0.082,0.068,0.259,,,1.05,-4.58,-4.17,-3.92,,,83.3,93.9,88.3,77.8,,,,0.357,0.595,0.26,,,,0.5,0.6,0.238,0.245,0.358,0.121,0.5,0.5,0.0,,,
