,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FC%,FS%,SL%,wFC/C,wFS/C,wSI/C,wSL/C,vFC,vFS,vSI,vSL,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,FA%,CU%,CH%,wFA/C,wCU/C,wCH/C,vFA,vCH,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff
34,2024-07-11,746935,Groundout,field_out,True,664913,656557,Seth Brown,Tanner Houck,0,e976e266-503c-4f30-bf8b-fa6d07f54056,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2024-07-11,746935,Single,single,False,668832,656557,Kyle McCann,Tanner Houck,0,6ac0c718-e005-4a87-9a8b-1dc73f73eca1,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2024-07-11,746935,Grounded Into DP,grounded_into_double_play,True,695391,656557,Brett Harris,Tanner Houck,1,ab5f6d75-bca4-46ca-a2a0-175b7220b81e,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2024-07-11,746935,Strikeout,strikeout,True,666152,665622,David Hamilton,Luis Medina,0,8cd464e7-264e-4487-b2b7-b9f97428cac6,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
38,2024-07-11,746935,Strikeout,strikeout,True,641933,665622,Tyler O'Neill,Luis Medina,0,861bdc98-aebd-4421-a41e-135c7b008a00,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
39,2024-07-11,746935,Strikeout,strikeout,True,646240,665622,Rafael Devers,Luis Medina,0,359ab19a-d2b2-4094-bc44-386874e55fa8,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
40,2024-07-11,746935,Single,single,False,680474,656557,Max Schuemann,Tanner Houck,0,cff1a125-c23e-4cec-ae79-79485cccc6a5,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2024-07-11,746935,Flyout,field_out,True,668709,656557,JJ Bleday,Tanner Houck,0,9ff86149-79f4-4b93-a292-a31ace4ed968,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2024-07-11,746935,Strikeout,strikeout,True,609280,656557,Miguel Andujar,Tanner Houck,0,94e49be3-5f6a-4e83-8847-2f2952e918a2,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2024-07-11,746935,Walk,walk,False,667670,656557,Brent Rooker,Tanner Houck,1,ee969de6-9405-4cea-a5a3-d49539c7cabf,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
