,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff
34,2024-07-27,746768,Groundout,field_out,True,657557,693433,Paul DeJong,Bryan Woo,0,966197c5-b270-4507-9ee8-ef865c9e6a1c,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.05,2.29,87.2,108.0,103.0,108.0,0.812,6.98,0.92,6.37,0.62,1.06,0.287,0.346,0.154,0.213,0.512,82.0,101.0,95.0,97.0,110.0,108.0,118.0,111.0,111.0,113.0,103.0,110.0,,,,0.237,0.509,,0.16,0.094,1.75,,2.42,1.59,2.87,94.7,,89.5,94.5,84.2,,,,0.211,0.289,0.101,0.087,0.087,0.333,0.122,0.195,0.148,0.208,0.319,0.25,0.261,0.348,0.208,,,,,,,,,
35,2024-07-27,746768,Groundout,field_out,True,670032,693433,Nicky Lopez,Bryan Woo,0,f7ff3d3c-3238-42f6-a8f5-9db71ffbdf5e,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.05,2.29,87.2,108.0,103.0,108.0,0.812,6.98,0.92,6.37,0.62,1.06,0.287,0.346,0.154,0.213,0.512,82.0,101.0,95.0,97.0,110.0,108.0,118.0,111.0,111.0,113.0,103.0,110.0,,,,0.237,0.509,,0.16,0.094,1.75,,2.42,1.59,2.87,94.7,,89.5,94.5,84.2,,,,0.211,0.289,0.101,0.087,0.087,0.333,0.122,0.195,0.148,0.208,0.319,0.25,0.261,0.348,0.208,,,,,,,,,
36,2024-07-27,746768,Single,single,False,681460,693433,Brooks Baldwin,Bryan Woo,0,0e4531ba-fdf0-4807-aa29-2d143b49b4b3,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.05,2.29,87.2,108.0,103.0,108.0,0.812,6.98,0.92,6.37,0.62,1.06,0.287,0.346,0.154,0.213,0.512,82.0,101.0,95.0,97.0,110.0,108.0,118.0,111.0,111.0,113.0,103.0,110.0,,,,0.237,0.509,,0.16,0.094,1.75,,2.42,1.59,2.87,94.7,,89.5,94.5,84.2,,,,0.211,0.289,0.101,0.087,0.087,0.333,0.122,0.195,0.148,0.208,0.319,0.25,0.261,0.348,0.208,,,,,,,,,
37,2024-07-27,746768,Pop Out,field_out,True,642020,693433,Chuckie Robinson,Bryan Woo,1,dc2973fa-b486-4ec6-8c8b-b11b299582d8,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.05,2.29,87.2,108.0,103.0,108.0,0.812,6.98,0.92,6.37,0.62,1.06,0.287,0.346,0.154,0.213,0.512,82.0,101.0,95.0,97.0,110.0,108.0,118.0,111.0,111.0,113.0,103.0,110.0,,,,0.237,0.509,,0.16,0.094,1.75,,2.42,1.59,2.87,94.7,,89.5,94.5,84.2,,,,0.211,0.289,0.101,0.087,0.087,0.333,0.122,0.195,0.148,0.208,0.319,0.25,0.261,0.348,0.208,,,,,,,,,
38,2024-07-27,746768,Home Run,home_run,False,663728,605121,Cal Raleigh,Justin Anderson,0,56cc1465-8e88-4129-b505-6e521ede110d,605121.0,justinanderson,"Anderson, J",Right,Justin Anderson,CHW,4.43,4.78,42.2,100.0,110.0,101.0,0.734,8.86,4.64,7.8,1.05,0.87,0.213,0.41,0.189,0.336,0.395,,,,105.0,100.0,98.0,97.0,94.0,88.0,125.0,101.0,107.0,70.0,110.0,104.0,0.149,0.311,0.08,0.459,,1.29,-2.29,-0.77,-0.17,,96.1,92.6,,94.8,85.6,0.467,0.667,0.061,0.25,0.292,0.205,,,,,,,0.164,0.255,0.23,0.221,0.397,0.409,,,,,,,,,
39,2024-07-27,746768,Home Run,home_run,False,593871,605121,Jorge Polanco,Justin Anderson,0,a368ba82-0467-4fe0-a7b0-ed305d498d9f,605121.0,justinanderson,"Anderson, J",Right,Justin Anderson,CHW,4.43,4.78,42.2,100.0,110.0,101.0,0.734,8.86,4.64,7.8,1.05,0.87,0.213,0.41,0.189,0.336,0.395,,,,105.0,100.0,98.0,97.0,94.0,88.0,125.0,101.0,107.0,70.0,110.0,104.0,0.149,0.311,0.08,0.459,,1.29,-2.29,-0.77,-0.17,,96.1,92.6,,94.8,85.6,0.467,0.667,0.061,0.25,0.292,0.205,,,,,,,0.164,0.255,0.23,0.221,0.397,0.409,,,,,,,,,
40,2024-07-27,746768,Strikeout,strikeout,True,571745,605121,Mitch Haniger,Justin Anderson,0,1d9a838a-21bd-4779-a450-aa7f84bc6d86,605121.0,justinanderson,"Anderson, J",Right,Justin Anderson,CHW,4.43,4.78,42.2,100.0,110.0,101.0,0.734,8.86,4.64,7.8,1.05,0.87,0.213,0.41,0.189,0.336,0.395,,,,105.0,100.0,98.0,97.0,94.0,88.0,125.0,101.0,107.0,70.0,110.0,104.0,0.149,0.311,0.08,0.459,,1.29,-2.29,-0.77,-0.17,,96.1,92.6,,94.8,85.6,0.467,0.667,0.061,0.25,0.292,0.205,,,,,,,0.164,0.255,0.23,0.221,0.397,0.409,,,,,,,,,
41,2024-07-27,746768,Groundout,field_out,True,613564,605121,Jason Vosler,Justin Anderson,0,8c40c26f-da50-4e17-8a63-043d9922c232,605121.0,justinanderson,"Anderson, J",Right,Justin Anderson,CHW,4.43,4.78,42.2,100.0,110.0,101.0,0.734,8.86,4.64,7.8,1.05,0.87,0.213,0.41,0.189,0.336,0.395,,,,105.0,100.0,98.0,97.0,94.0,88.0,125.0,101.0,107.0,70.0,110.0,104.0,0.149,0.311,0.08,0.459,,1.29,-2.29,-0.77,-0.17,,96.1,92.6,,94.8,85.6,0.467,0.667,0.061,0.25,0.292,0.205,,,,,,,0.164,0.255,0.23,0.221,0.397,0.409,,,,,,,,,
42,2024-07-27,746768,Walk,walk,False,682988,605121,Tyler Locklear,Justin Anderson,0,188dbe7c-6fc0-4892-b081-9d4e75fbbb27,605121.0,justinanderson,"Anderson, J",Right,Justin Anderson,CHW,4.43,4.78,42.2,100.0,110.0,101.0,0.734,8.86,4.64,7.8,1.05,0.87,0.213,0.41,0.189,0.336,0.395,,,,105.0,100.0,98.0,97.0,94.0,88.0,125.0,101.0,107.0,70.0,110.0,104.0,0.149,0.311,0.08,0.459,,1.29,-2.29,-0.77,-0.17,,96.1,92.6,,94.8,85.6,0.467,0.667,0.061,0.25,0.292,0.205,,,,,,,0.164,0.255,0.23,0.221,0.397,0.409,,,,,,,,,
43,2024-07-27,746768,Double,double,False,668942,605121,Josh Rojas,Justin Anderson,1,c09335a4-ab1e-444f-936a-d08219b961bb,605121.0,justinanderson,"Anderson, J",Right,Justin Anderson,CHW,4.43,4.78,42.2,100.0,110.0,101.0,0.734,8.86,4.64,7.8,1.05,0.87,0.213,0.41,0.189,0.336,0.395,,,,105.0,100.0,98.0,97.0,94.0,88.0,125.0,101.0,107.0,70.0,110.0,104.0,0.149,0.311,0.08,0.459,,1.29,-2.29,-0.77,-0.17,,96.1,92.6,,94.8,85.6,0.467,0.667,0.061,0.25,0.292,0.205,,,,,,,0.164,0.255,0.23,0.221,0.397,0.409,,,,,,,,,
