,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff
21,2024-09-02,745779,Double,double,False,607043,678394,Brandon Nimmo,Brayan Bello,1,f347679b-da71-44c4-af5b-9a8d6d8cf41f,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.7,4.46,147.1,100.0,102.0,104.0,0.748,8.55,3.54,8.92,1.16,1.91,0.219,0.381,0.145,0.316,0.403,89.0,100.0,99.0,74.0,113.0,107.0,103.0,100.0,102.0,115.0,98.0,110.0,,,,0.397,0.042,,0.289,0.272,0.9,,-0.63,-0.37,0.06,95.7,,87.6,95.7,86.9,0.091,0.136,0.208,0.33,0.478,0.112,,,,,,,0.181,0.368,0.381,0.253,0.39,0.346,,,,,,,,,
22,2024-09-02,745779,Walk,walk,False,624413,678394,Pete Alonso,Brayan Bello,0,6ef334c3-43fa-407a-ad99-ce00ba3f5715,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.7,4.46,147.1,100.0,102.0,104.0,0.748,8.55,3.54,8.92,1.16,1.91,0.219,0.381,0.145,0.316,0.403,89.0,100.0,99.0,74.0,113.0,107.0,103.0,100.0,102.0,115.0,98.0,110.0,,,,0.397,0.042,,0.289,0.272,0.9,,-0.63,-0.37,0.06,95.7,,87.6,95.7,86.9,0.091,0.136,0.208,0.33,0.478,0.112,,,,,,,0.181,0.368,0.381,0.253,0.39,0.346,,,,,,,,,
23,2024-09-02,745779,Flyout,field_out,True,608385,678394,Jesse Winker,Brayan Bello,0,e217f144-41b9-4c13-b5ec-a9bc9aa9e229,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.7,4.46,147.1,100.0,102.0,104.0,0.748,8.55,3.54,8.92,1.16,1.91,0.219,0.381,0.145,0.316,0.403,89.0,100.0,99.0,74.0,113.0,107.0,103.0,100.0,102.0,115.0,98.0,110.0,,,,0.397,0.042,,0.289,0.272,0.9,,-0.63,-0.37,0.06,95.7,,87.6,95.7,86.9,0.091,0.136,0.208,0.33,0.478,0.112,,,,,,,0.181,0.368,0.381,0.253,0.39,0.346,,,,,,,,,
24,2024-09-02,745779,Strikeout,strikeout,True,578428,678394,Jose Iglesias,Brayan Bello,0,f73d0962-b21e-4405-9c5c-e6ff7d08f9df,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.7,4.46,147.1,100.0,102.0,104.0,0.748,8.55,3.54,8.92,1.16,1.91,0.219,0.381,0.145,0.316,0.403,89.0,100.0,99.0,74.0,113.0,107.0,103.0,100.0,102.0,115.0,98.0,110.0,,,,0.397,0.042,,0.289,0.272,0.9,,-0.63,-0.37,0.06,95.7,,87.6,95.7,86.9,0.091,0.136,0.208,0.33,0.478,0.112,,,,,,,0.181,0.368,0.381,0.253,0.39,0.346,,,,,,,,,
25,2024-09-02,745779,Strikeout,strikeout,True,641933,622663,Tyler O'Neill,Luis Severino,0,b28f091d-541e-466e-972b-bba0ea5d1d7d,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.74,3.91,166.0,100.0,106.0,100.0,0.815,7.81,3.04,8.19,1.03,1.3,0.261,0.376,0.205,0.282,0.439,88.0,94.0,93.0,100.0,103.0,101.0,91.0,98.0,94.0,143.0,99.0,111.0,92.0,91.0,89.0,0.25,0.354,0.085,0.231,0.08,0.24,1.46,1.04,0.14,-2.88,96.1,92.6,86.1,95.6,85.7,0.239,0.388,0.224,0.284,0.42,0.124,0.15,0.234,0.363,0.184,0.265,0.255,0.34,0.6,0.186,0.263,0.342,0.284,,,,,,,,,
26,2024-09-02,745779,Flyout,field_out,True,646240,622663,Rafael Devers,Luis Severino,0,74b5c8e2-b073-427e-8bfb-fb41ccdcdb4a,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.74,3.91,166.0,100.0,106.0,100.0,0.815,7.81,3.04,8.19,1.03,1.3,0.261,0.376,0.205,0.282,0.439,88.0,94.0,93.0,100.0,103.0,101.0,91.0,98.0,94.0,143.0,99.0,111.0,92.0,91.0,89.0,0.25,0.354,0.085,0.231,0.08,0.24,1.46,1.04,0.14,-2.88,96.1,92.6,86.1,95.6,85.7,0.239,0.388,0.224,0.284,0.42,0.124,0.15,0.234,0.363,0.184,0.265,0.255,0.34,0.6,0.186,0.263,0.342,0.284,,,,,,,,,
27,2024-09-02,745779,Strikeout,strikeout,True,671213,622663,Triston Casas,Luis Severino,0,26264cbf-5e49-47c9-818b-5d30ebc5fa24,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.74,3.91,166.0,100.0,106.0,100.0,0.815,7.81,3.04,8.19,1.03,1.3,0.261,0.376,0.205,0.282,0.439,88.0,94.0,93.0,100.0,103.0,101.0,91.0,98.0,94.0,143.0,99.0,111.0,92.0,91.0,89.0,0.25,0.354,0.085,0.231,0.08,0.24,1.46,1.04,0.14,-2.88,96.1,92.6,86.1,95.6,85.7,0.239,0.388,0.224,0.284,0.42,0.124,0.15,0.234,0.363,0.184,0.265,0.255,0.34,0.6,0.186,0.263,0.342,0.284,,,,,,,,,
28,2024-09-02,745779,Strikeout,strikeout,True,643446,678394,Jeff McNeil,Brayan Bello,0,8404ffb3-1831-44c8-8cda-34345b1ffcb0,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.7,4.46,147.1,100.0,102.0,104.0,0.748,8.55,3.54,8.92,1.16,1.91,0.219,0.381,0.145,0.316,0.403,89.0,100.0,99.0,74.0,113.0,107.0,103.0,100.0,102.0,115.0,98.0,110.0,,,,0.397,0.042,,0.289,0.272,0.9,,-0.63,-0.37,0.06,95.7,,87.6,95.7,86.9,0.091,0.136,0.208,0.33,0.478,0.112,,,,,,,0.181,0.368,0.381,0.253,0.39,0.346,,,,,,,,,
29,2024-09-02,745779,Groundout,field_out,True,516782,678394,Starling Marte,Brayan Bello,0,644b22ce-4633-4c5c-99aa-07e0cfa6ea62,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.7,4.46,147.1,100.0,102.0,104.0,0.748,8.55,3.54,8.92,1.16,1.91,0.219,0.381,0.145,0.316,0.403,89.0,100.0,99.0,74.0,113.0,107.0,103.0,100.0,102.0,115.0,98.0,110.0,,,,0.397,0.042,,0.289,0.272,0.9,,-0.63,-0.37,0.06,95.7,,87.6,95.7,86.9,0.091,0.136,0.208,0.33,0.478,0.112,,,,,,,0.181,0.368,0.381,0.253,0.39,0.346,,,,,,,,,
30,2024-09-02,745779,Single,single,False,621466,678394,DJ Stewart,Brayan Bello,0,de19a911-9db4-4fc7-9f94-a741c3698a3f,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.7,4.46,147.1,100.0,102.0,104.0,0.748,8.55,3.54,8.92,1.16,1.91,0.219,0.381,0.145,0.316,0.403,89.0,100.0,99.0,74.0,113.0,107.0,103.0,100.0,102.0,115.0,98.0,110.0,,,,0.397,0.042,,0.289,0.272,0.9,,-0.63,-0.37,0.06,95.7,,87.6,95.7,86.9,0.091,0.136,0.208,0.33,0.478,0.112,,,,,,,0.181,0.368,0.381,0.253,0.39,0.346,,,,,,,,,
