,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,SI%,FA%,CH%,wFA/C,wSI/C,wCH/C,vFA,vCH,vSI,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SL%,CU%,wSL/C,wCU/C,vSL,vCU,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
25,2024-06-15,744925,Flyout,field_out,True,662139,471911,Daulton Varsho,Carlos Carrasco,0,9bed9257-52e3-4b01-afc9-5f88c5368548,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,63.0,94.0,85.0,0.19,0.243,0.222,-2.15,-1.29,0.06,91.5,86.7,91.1,0.212,0.362,0.276,0.387,0.653,0.137,106.0,102.0,105.0,90.0,95.0,90.0,99.0,102.0,106.0,0.283,0.062,-0.69,2.26,83.1,80.4,0.2,0.267,0.37,0.295,0.541,0.123,0.059,0.176,0.242,,,,,,,,,,,,,,,,,,
26,2024-06-15,744925,Single,single,False,647304,670102,Josh Naylor,Bowden Francis,0,857429c5-8b22-4dd6-87ce-661a32f87741,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,TOR,5.82,4.76,38.2,100.0,101.0,103.0,0.813,7.91,3.26,10.01,1.86,0.82,0.211,0.496,0.179,0.325,0.455,,,,98.0,102.0,103.0,,0.536,,0.67,,,93.3,,,,,,0.233,0.442,0.182,103.0,95.0,100.0,,,,89.0,97.0,97.0,0.059,0.284,-7.31,-1.52,83.8,73.5,0.4,1.1,0.294,,,,0.297,0.486,0.225,,,,,,,,,,118.0,106.0,110.0,0.121,-2.38,84.5,0.348,0.348,0.205
27,2024-06-15,744925,Groundout,field_out,True,671289,670102,Tyler Freeman,Bowden Francis,1,a844beae-5cee-4b0e-b880-ebbcc1d75e70,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,TOR,5.82,4.76,38.2,100.0,101.0,103.0,0.813,7.91,3.26,10.01,1.86,0.82,0.211,0.496,0.179,0.325,0.455,,,,98.0,102.0,103.0,,0.536,,0.67,,,93.3,,,,,,0.233,0.442,0.182,103.0,95.0,100.0,,,,89.0,97.0,97.0,0.059,0.284,-7.31,-1.52,83.8,73.5,0.4,1.1,0.294,,,,0.297,0.486,0.225,,,,,,,,,,118.0,106.0,110.0,0.121,-2.38,84.5,0.348,0.348,0.205
28,2024-06-15,744925,Groundout,field_out,True,686823,670102,Will Brennan,Bowden Francis,1,80ad5a00-5f53-4305-a85e-fc76e1dbd24b,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,TOR,5.82,4.76,38.2,100.0,101.0,103.0,0.813,7.91,3.26,10.01,1.86,0.82,0.211,0.496,0.179,0.325,0.455,,,,98.0,102.0,103.0,,0.536,,0.67,,,93.3,,,,,,0.233,0.442,0.182,103.0,95.0,100.0,,,,89.0,97.0,97.0,0.059,0.284,-7.31,-1.52,83.8,73.5,0.4,1.1,0.294,,,,0.297,0.486,0.225,,,,,,,,,,118.0,106.0,110.0,0.121,-2.38,84.5,0.348,0.348,0.205
29,2024-06-15,744925,Strikeout,strikeout,True,682177,670102,Daniel Schneemann,Bowden Francis,0,b54958f6-404c-478a-b7b2-7f37e803f528,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,TOR,5.82,4.76,38.2,100.0,101.0,103.0,0.813,7.91,3.26,10.01,1.86,0.82,0.211,0.496,0.179,0.325,0.455,,,,98.0,102.0,103.0,,0.536,,0.67,,,93.3,,,,,,0.233,0.442,0.182,103.0,95.0,100.0,,,,89.0,97.0,97.0,0.059,0.284,-7.31,-1.52,83.8,73.5,0.4,1.1,0.294,,,,0.297,0.486,0.225,,,,,,,,,,118.0,106.0,110.0,0.121,-2.38,84.5,0.348,0.348,0.205
30,2024-06-15,744925,Walk,walk,False,543807,471911,George Springer,Carlos Carrasco,0,b8177145-77d0-4f1a-8a57-57b5f6a8fd53,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,63.0,94.0,85.0,0.19,0.243,0.222,-2.15,-1.29,0.06,91.5,86.7,91.1,0.212,0.362,0.276,0.387,0.653,0.137,106.0,102.0,105.0,90.0,95.0,90.0,99.0,102.0,106.0,0.283,0.062,-0.69,2.26,83.1,80.4,0.2,0.267,0.37,0.295,0.541,0.123,0.059,0.176,0.242,,,,,,,,,,,,,,,,,,
31,2024-06-15,744925,Groundout,field_out,True,680718,471911,Addison Barger,Carlos Carrasco,1,d474219c-165b-4ae8-aa65-a234ecadba87,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,63.0,94.0,85.0,0.19,0.243,0.222,-2.15,-1.29,0.06,91.5,86.7,91.1,0.212,0.362,0.276,0.387,0.653,0.137,106.0,102.0,105.0,90.0,95.0,90.0,99.0,102.0,106.0,0.283,0.062,-0.69,2.26,83.1,80.4,0.2,0.267,0.37,0.295,0.541,0.123,0.059,0.176,0.242,,,,,,,,,,,,,,,,,,
32,2024-06-15,744925,Single,single,False,643396,471911,Isiah Kiner-Falefa,Carlos Carrasco,1,f2b11c69-150a-4a0f-bde2-7e04b5aedf14,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,63.0,94.0,85.0,0.19,0.243,0.222,-2.15,-1.29,0.06,91.5,86.7,91.1,0.212,0.362,0.276,0.387,0.653,0.137,106.0,102.0,105.0,90.0,95.0,90.0,99.0,102.0,106.0,0.283,0.062,-0.69,2.26,83.1,80.4,0.2,0.267,0.37,0.295,0.541,0.123,0.059,0.176,0.242,,,,,,,,,,,,,,,,,,
33,2024-06-15,744925,Forceout,force_out,True,595281,471911,Kevin Kiermaier,Carlos Carrasco,1,4cd6e78d-f39f-438b-aec0-5a11eea9b40e,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,63.0,94.0,85.0,0.19,0.243,0.222,-2.15,-1.29,0.06,91.5,86.7,91.1,0.212,0.362,0.276,0.387,0.653,0.137,106.0,102.0,105.0,90.0,95.0,90.0,99.0,102.0,106.0,0.283,0.062,-0.69,2.26,83.1,80.4,0.2,0.267,0.37,0.295,0.541,0.123,0.059,0.176,0.242,,,,,,,,,,,,,,,,,,
34,2024-06-15,744925,Groundout,field_out,True,687462,471911,Spencer Horwitz,Carlos Carrasco,0,06a44898-b143-4fd4-b7cd-a47fdca3319a,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,63.0,94.0,85.0,0.19,0.243,0.222,-2.15,-1.29,0.06,91.5,86.7,91.1,0.212,0.362,0.276,0.387,0.653,0.137,106.0,102.0,105.0,90.0,95.0,90.0,99.0,102.0,106.0,0.283,0.062,-0.69,2.26,83.1,80.4,0.2,0.267,0.37,0.295,0.541,0.123,0.059,0.176,0.242,,,,,,,,,,,,,,,,,,
