,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSL/C,wCH/C,vFA,vFC,vCH,vSL,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
20,2024-07-26,746767,Strikeout,strikeout,True,681460,669923,Brooks Baldwin,George Kirby,0,3c897d0c-c7bd-40c9-9992-e53237908ad9,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.03,3.18,130.2,106.0,107.0,107.0,0.782,8.89,0.96,7.85,0.76,1.0,0.293,0.339,0.199,0.261,0.438,,,,103.0,107.0,102.0,112.0,103.0,110.0,97.0,99.0,93.0,0.345,0.006,0.234,,1.38,0.79,1.27,,95.8,92.3,,87.2,,,,0.206,0.359,0.297,,,,0.221,0.337,0.286,,,,107.0,110.0,109.0,0.234,1.81,95.9,0.259,0.348,0.101,119.0,113.0,116.0,113.0,99.0,109.0,0.107,0.074,-0.22,-3.01,85.8,83.2,0.189,0.302,0.291,0.344,0.531,0.324,,,,,,
21,2024-07-26,746767,Groundout,field_out,True,669222,669923,Nick Senzel,George Kirby,0,a1309495-9c3d-4c2a-9e11-c62dd8435195,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.03,3.18,130.2,106.0,107.0,107.0,0.782,8.89,0.96,7.85,0.76,1.0,0.293,0.339,0.199,0.261,0.438,,,,103.0,107.0,102.0,112.0,103.0,110.0,97.0,99.0,93.0,0.345,0.006,0.234,,1.38,0.79,1.27,,95.8,92.3,,87.2,,,,0.206,0.359,0.297,,,,0.221,0.337,0.286,,,,107.0,110.0,109.0,0.234,1.81,95.9,0.259,0.348,0.101,119.0,113.0,116.0,113.0,99.0,109.0,0.107,0.074,-0.22,-3.01,85.8,83.2,0.189,0.302,0.291,0.344,0.531,0.324,,,,,,
22,2024-07-26,746767,Groundout,field_out,True,613564,694363,Jason Vosler,Jared Shuster,0,75b2995f-e9ed-4604-8fdb-51bc7b3415fa,694363.0,jaredshuster,Shuster,Left,Jared Shuster,CHW,4.6,5.59,45.0,99.0,76.0,92.0,0.795,5.6,4.2,9.2,1.4,0.83,0.262,0.436,0.141,0.268,0.402,73.0,98.0,94.0,70.0,96.0,83.0,90.0,103.0,101.0,,,,0.388,,0.273,0.293,-0.14,,0.02,-0.15,92.2,,83.5,85.5,0.244,0.378,0.269,0.254,0.465,0.16,,,,0.255,0.362,0.284,,,,67.0,102.0,89.0,0.046,-6.53,91.6,0.5,0.8,0.15,,,,,,,,,,,,,,,,,,,,,,,,
23,2024-07-26,746767,Single,single,False,641598,694363,Mitch Garver,Jared Shuster,0,82748570-9c7a-448f-8086-61296f2efd3d,694363.0,jaredshuster,Shuster,Left,Jared Shuster,CHW,4.6,5.59,45.0,99.0,76.0,92.0,0.795,5.6,4.2,9.2,1.4,0.83,0.262,0.436,0.141,0.268,0.402,73.0,98.0,94.0,70.0,96.0,83.0,90.0,103.0,101.0,,,,0.388,,0.273,0.293,-0.14,,0.02,-0.15,92.2,,83.5,85.5,0.244,0.378,0.269,0.254,0.465,0.16,,,,0.255,0.362,0.284,,,,67.0,102.0,89.0,0.046,-6.53,91.6,0.5,0.8,0.15,,,,,,,,,,,,,,,,,,,,,,,,
24,2024-07-26,746767,Forceout,force_out,True,668942,694363,Josh Rojas,Jared Shuster,1,af78e180-7059-4993-a82d-1b46af36c98c,694363.0,jaredshuster,Shuster,Left,Jared Shuster,CHW,4.6,5.59,45.0,99.0,76.0,92.0,0.795,5.6,4.2,9.2,1.4,0.83,0.262,0.436,0.141,0.268,0.402,73.0,98.0,94.0,70.0,96.0,83.0,90.0,103.0,101.0,,,,0.388,,0.273,0.293,-0.14,,0.02,-0.15,92.2,,83.5,85.5,0.244,0.378,0.269,0.254,0.465,0.16,,,,0.255,0.362,0.284,,,,67.0,102.0,89.0,0.046,-6.53,91.6,0.5,0.8,0.15,,,,,,,,,,,,,,,,,,,,,,,,
25,2024-07-26,746767,Lineout,field_out,True,664238,694363,Dylan Moore,Jared Shuster,0,47d27fe1-bf2f-43c7-a7be-69ca1dd8344e,694363.0,jaredshuster,Shuster,Left,Jared Shuster,CHW,4.6,5.59,45.0,99.0,76.0,92.0,0.795,5.6,4.2,9.2,1.4,0.83,0.262,0.436,0.141,0.268,0.402,73.0,98.0,94.0,70.0,96.0,83.0,90.0,103.0,101.0,,,,0.388,,0.273,0.293,-0.14,,0.02,-0.15,92.2,,83.5,85.5,0.244,0.378,0.269,0.254,0.465,0.16,,,,0.255,0.362,0.284,,,,67.0,102.0,89.0,0.046,-6.53,91.6,0.5,0.8,0.15,,,,,,,,,,,,,,,,,,,,,,,,
26,2024-07-26,746767,Flyout,field_out,True,686676,669923,Korey Lee,George Kirby,0,4f6b6ae6-c18a-4922-a1e0-4f37bb222093,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.03,3.18,130.2,106.0,107.0,107.0,0.782,8.89,0.96,7.85,0.76,1.0,0.293,0.339,0.199,0.261,0.438,,,,103.0,107.0,102.0,112.0,103.0,110.0,97.0,99.0,93.0,0.345,0.006,0.234,,1.38,0.79,1.27,,95.8,92.3,,87.2,,,,0.206,0.359,0.297,,,,0.221,0.337,0.286,,,,107.0,110.0,109.0,0.234,1.81,95.9,0.259,0.348,0.101,119.0,113.0,116.0,113.0,99.0,109.0,0.107,0.074,-0.22,-3.01,85.8,83.2,0.189,0.302,0.291,0.344,0.531,0.324,,,,,,
27,2024-07-26,746767,Strikeout,strikeout,True,673357,669923,Luis Robert Jr.,George Kirby,0,cd557fb3-f0bc-40f6-bf11-555f63d07c14,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.03,3.18,130.2,106.0,107.0,107.0,0.782,8.89,0.96,7.85,0.76,1.0,0.293,0.339,0.199,0.261,0.438,,,,103.0,107.0,102.0,112.0,103.0,110.0,97.0,99.0,93.0,0.345,0.006,0.234,,1.38,0.79,1.27,,95.8,92.3,,87.2,,,,0.206,0.359,0.297,,,,0.221,0.337,0.286,,,,107.0,110.0,109.0,0.234,1.81,95.9,0.259,0.348,0.101,119.0,113.0,116.0,113.0,99.0,109.0,0.107,0.074,-0.22,-3.01,85.8,83.2,0.189,0.302,0.291,0.344,0.531,0.324,,,,,,
28,2024-07-26,746767,Single,single,False,502054,669923,Tommy Pham,George Kirby,0,6afd0da9-3fbb-46a6-a77b-44757f3f8d28,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.03,3.18,130.2,106.0,107.0,107.0,0.782,8.89,0.96,7.85,0.76,1.0,0.293,0.339,0.199,0.261,0.438,,,,103.0,107.0,102.0,112.0,103.0,110.0,97.0,99.0,93.0,0.345,0.006,0.234,,1.38,0.79,1.27,,95.8,92.3,,87.2,,,,0.206,0.359,0.297,,,,0.221,0.337,0.286,,,,107.0,110.0,109.0,0.234,1.81,95.9,0.259,0.348,0.101,119.0,113.0,116.0,113.0,99.0,109.0,0.107,0.074,-0.22,-3.01,85.8,83.2,0.189,0.302,0.291,0.344,0.531,0.324,,,,,,
29,2024-07-26,746767,Groundout,field_out,True,683734,669923,Andrew Vaughn,George Kirby,0,f4e20846-ebec-4f83-98b8-1a14318807fc,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.03,3.18,130.2,106.0,107.0,107.0,0.782,8.89,0.96,7.85,0.76,1.0,0.293,0.339,0.199,0.261,0.438,,,,103.0,107.0,102.0,112.0,103.0,110.0,97.0,99.0,93.0,0.345,0.006,0.234,,1.38,0.79,1.27,,95.8,92.3,,87.2,,,,0.206,0.359,0.297,,,,0.221,0.337,0.286,,,,107.0,110.0,109.0,0.234,1.81,95.9,0.259,0.348,0.101,119.0,113.0,116.0,113.0,99.0,109.0,0.107,0.074,-0.22,-3.01,85.8,83.2,0.189,0.302,0.291,0.344,0.531,0.324,,,,,,
