,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
43,2024-08-20,746266,Single,single,False,681351,663704,Logan O'Hoppe,James McArthur,1,c2578893-3839-4510-9728-1db93e0c157c,663704.0,jamesmcarthur,McArthur,Right,James McArthur,KCR,4.36,4.14,53.2,100.0,111.0,105.0,0.74,7.55,1.68,10.06,1.17,1.96,0.168,0.437,0.144,0.335,0.436,,,,82.0,99.0,93.0,100.0,93.0,100.0,,,,,,,0.085,,0.212,,,2.98,,-0.69,,,94.7,,,87.7,,0.133,0.133,0.158,,,,0.306,0.528,0.407,,,,0.273,0.439,0.365,98.0,99.0,100.0,0.371,0.56,95.1,0.312,0.452,0.137,141.0,105.0,116.0,0.333,-1.01,83.7
44,2024-08-20,746266,Single,single,False,543685,663704,Anthony Rendon,James McArthur,1,560dbc01-3bd6-43b4-9696-5deb37da16a7,663704.0,jamesmcarthur,McArthur,Right,James McArthur,KCR,4.36,4.14,53.2,100.0,111.0,105.0,0.74,7.55,1.68,10.06,1.17,1.96,0.168,0.437,0.144,0.335,0.436,,,,82.0,99.0,93.0,100.0,93.0,100.0,,,,,,,0.085,,0.212,,,2.98,,-0.69,,,94.7,,,87.7,,0.133,0.133,0.158,,,,0.306,0.528,0.407,,,,0.273,0.439,0.365,98.0,99.0,100.0,0.371,0.56,95.1,0.312,0.452,0.137,141.0,105.0,116.0,0.333,-1.01,83.7
45,2024-08-20,746266,Strikeout,strikeout,True,592273,663704,Brandon Drury,James McArthur,0,acc1ecfb-d60a-47e3-a6d7-95f6862d1cd1,663704.0,jamesmcarthur,McArthur,Right,James McArthur,KCR,4.36,4.14,53.2,100.0,111.0,105.0,0.74,7.55,1.68,10.06,1.17,1.96,0.168,0.437,0.144,0.335,0.436,,,,82.0,99.0,93.0,100.0,93.0,100.0,,,,,,,0.085,,0.212,,,2.98,,-0.69,,,94.7,,,87.7,,0.133,0.133,0.158,,,,0.306,0.528,0.407,,,,0.273,0.439,0.365,98.0,99.0,100.0,0.371,0.56,95.1,0.312,0.452,0.137,141.0,105.0,116.0,0.333,-1.01,83.7
46,2024-08-20,746266,Single,single,False,666176,663704,Jo Adell,James McArthur,1,7752d033-e240-4c64-9b8f-b2a6968c52f4,663704.0,jamesmcarthur,McArthur,Right,James McArthur,KCR,4.36,4.14,53.2,100.0,111.0,105.0,0.74,7.55,1.68,10.06,1.17,1.96,0.168,0.437,0.144,0.335,0.436,,,,82.0,99.0,93.0,100.0,93.0,100.0,,,,,,,0.085,,0.212,,,2.98,,-0.69,,,94.7,,,87.7,,0.133,0.133,0.158,,,,0.306,0.528,0.407,,,,0.273,0.439,0.365,98.0,99.0,100.0,0.371,0.56,95.1,0.312,0.452,0.137,141.0,105.0,116.0,0.333,-1.01,83.7
47,2024-08-20,746266,Grounded Into DP,grounded_into_double_play,True,605346,663704,Jack López,James McArthur,1,2c5907ef-7def-43e8-b57b-8a4b51228cd2,663704.0,jamesmcarthur,McArthur,Right,James McArthur,KCR,4.36,4.14,53.2,100.0,111.0,105.0,0.74,7.55,1.68,10.06,1.17,1.96,0.168,0.437,0.144,0.335,0.436,,,,82.0,99.0,93.0,100.0,93.0,100.0,,,,,,,0.085,,0.212,,,2.98,,-0.69,,,94.7,,,87.7,,0.133,0.133,0.158,,,,0.306,0.528,0.407,,,,0.273,0.439,0.365,98.0,99.0,100.0,0.371,0.56,95.1,0.312,0.452,0.137,141.0,105.0,116.0,0.333,-1.01,83.7
48,2024-08-20,746266,Groundout,field_out,True,521692,542881,Salvador Perez,Tyler Anderson,0,746dd401-f9d6-4952-a6bd-31692f104b50,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.41,4.2,158.1,100.0,96.0,100.0,0.746,6.93,3.52,7.5,1.08,0.9,0.197,0.503,0.155,0.265,0.4,105.0,101.0,107.0,89.0,101.0,98.0,66.0,61.0,77.0,,,,100.0,100.0,97.0,0.394,0.197,0.003,,0.371,-0.42,-0.56,-4.22,,1.68,89.4,84.1,78.8,76.7,,0.258,0.479,0.179,0.174,0.234,0.389,,,,0.259,0.457,0.245,,,,66.0,95.0,82.0,0.036,-2.23,88.1,0.227,0.545,0.163,,,,,,
49,2024-08-20,746266,Single,single,False,592669,542881,Hunter Renfroe,Tyler Anderson,0,93172236-b4bd-455e-9bf8-c16f6f6f39dd,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.41,4.2,158.1,100.0,96.0,100.0,0.746,6.93,3.52,7.5,1.08,0.9,0.197,0.503,0.155,0.265,0.4,105.0,101.0,107.0,89.0,101.0,98.0,66.0,61.0,77.0,,,,100.0,100.0,97.0,0.394,0.197,0.003,,0.371,-0.42,-0.56,-4.22,,1.68,89.4,84.1,78.8,76.7,,0.258,0.479,0.179,0.174,0.234,0.389,,,,0.259,0.457,0.245,,,,66.0,95.0,82.0,0.036,-2.23,88.1,0.227,0.545,0.163,,,,,,
50,2024-08-20,746266,Double,double,False,666023,542881,Freddy Fermin,Tyler Anderson,1,9c73c974-31ed-4ace-8d1d-7cc602df38ec,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.41,4.2,158.1,100.0,96.0,100.0,0.746,6.93,3.52,7.5,1.08,0.9,0.197,0.503,0.155,0.265,0.4,105.0,101.0,107.0,89.0,101.0,98.0,66.0,61.0,77.0,,,,100.0,100.0,97.0,0.394,0.197,0.003,,0.371,-0.42,-0.56,-4.22,,1.68,89.4,84.1,78.8,76.7,,0.258,0.479,0.179,0.174,0.234,0.389,,,,0.259,0.457,0.245,,,,66.0,95.0,82.0,0.036,-2.23,88.1,0.227,0.545,0.163,,,,,,
51,2024-08-20,746266,Strikeout,strikeout,True,657557,542881,Paul DeJong,Tyler Anderson,0,78402d9f-bbd7-433c-a1a6-a9d243be9e4d,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.41,4.2,158.1,100.0,96.0,100.0,0.746,6.93,3.52,7.5,1.08,0.9,0.197,0.503,0.155,0.265,0.4,105.0,101.0,107.0,89.0,101.0,98.0,66.0,61.0,77.0,,,,100.0,100.0,97.0,0.394,0.197,0.003,,0.371,-0.42,-0.56,-4.22,,1.68,89.4,84.1,78.8,76.7,,0.258,0.479,0.179,0.174,0.234,0.389,,,,0.259,0.457,0.245,,,,66.0,95.0,82.0,0.036,-2.23,88.1,0.227,0.545,0.163,,,,,,
52,2024-08-20,746266,Groundout,field_out,True,680118,542881,Dairon Blanco,Tyler Anderson,0,976acdb6-c2c9-473b-ae7d-300208ac50bd,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.41,4.2,158.1,100.0,96.0,100.0,0.746,6.93,3.52,7.5,1.08,0.9,0.197,0.503,0.155,0.265,0.4,105.0,101.0,107.0,89.0,101.0,98.0,66.0,61.0,77.0,,,,100.0,100.0,97.0,0.394,0.197,0.003,,0.371,-0.42,-0.56,-4.22,,1.68,89.4,84.1,78.8,76.7,,0.258,0.479,0.179,0.174,0.234,0.389,,,,0.259,0.457,0.245,,,,66.0,95.0,82.0,0.036,-2.23,88.1,0.227,0.545,0.163,,,,,,
