,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
10,2024-06-04,747196,Strikeout,strikeout,True,669477,686796,Casey Schmitt,Blake Walston,0,3c8ed237-bbba-44dd-99c5-6b626e1aa37e,686796.0,blakewalston,Walston,Left,Blake Walston,ARI,2.84,3.88,12.2,87.0,87.0,87.0,0.827,7.82,6.39,6.39,0.0,0.87,0.182,0.394,0.182,0.424,0.409,121.0,86.0,86.0,86.0,84.0,93.0,68.0,89.0,82.0,94.0,89.0,91.0,82.0,85.0,90.0,0.043,0.328,0.194,0.078,0.181,0.177,2.39,2.73,2.48,-8.13,-0.23,-1.12,91.6,87.8,86.2,89.0,81.4,77.2,0.118,0.118,0.25,0.25,0.25,0.278,0.125,0.125,0.042,0.5,0.75,0.333,0.4,0.6,0.333,,,,,,,,,,,,,,,,,,
11,2024-06-04,747196,Flyout,field_out,True,682641,686796,Luis Matos,Blake Walston,0,36b853d4-b3a9-42fc-ab9f-09e16bf430f3,686796.0,blakewalston,Walston,Left,Blake Walston,ARI,2.84,3.88,12.2,87.0,87.0,87.0,0.827,7.82,6.39,6.39,0.0,0.87,0.182,0.394,0.182,0.424,0.409,121.0,86.0,86.0,86.0,84.0,93.0,68.0,89.0,82.0,94.0,89.0,91.0,82.0,85.0,90.0,0.043,0.328,0.194,0.078,0.181,0.177,2.39,2.73,2.48,-8.13,-0.23,-1.12,91.6,87.8,86.2,89.0,81.4,77.2,0.118,0.118,0.25,0.25,0.25,0.278,0.125,0.125,0.042,0.5,0.75,0.333,0.4,0.6,0.333,,,,,,,,,,,,,,,,,,
12,2024-06-04,747196,Groundout,field_out,True,572233,690986,Christian Walker,Kyle Harrison,0,8bb6091c-5661-4bad-b383-8f7410fa07c3,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,93.0,107.0,97.0,,,,,0.61,,0.004,0.186,0.2,0.69,,,-11.76,-0.51,-2.37,92.7,,85.4,,88.2,81.3,0.237,0.377,0.212,,,,,,,0.333,0.667,0.5,0.306,0.471,0.224,0.295,0.477,0.302,,,,,,,,,,,,,,,
13,2024-06-04,747196,Flyout,field_out,True,545341,690986,Randal Grichuk,Kyle Harrison,0,334276af-b81f-4371-adee-1e32b344979b,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,93.0,107.0,97.0,,,,,0.61,,0.004,0.186,0.2,0.69,,,-11.76,-0.51,-2.37,92.7,,85.4,,88.2,81.3,0.237,0.377,0.212,,,,,,,0.333,0.667,0.5,0.306,0.471,0.224,0.295,0.477,0.302,,,,,,,,,,,,,,,
14,2024-06-04,747196,Strikeout,strikeout,True,553993,690986,Eugenio Suárez,Kyle Harrison,0,a46d8e9c-9a57-43ba-95f6-39ac74e6cad9,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,93.0,107.0,97.0,,,,,0.61,,0.004,0.186,0.2,0.69,,,-11.76,-0.51,-2.37,92.7,,85.4,,88.2,81.3,0.237,0.377,0.212,,,,,,,0.333,0.667,0.5,0.306,0.471,0.224,0.295,0.477,0.302,,,,,,,,,,,,,,,
15,2024-06-04,747196,Hit By Pitch,hit_by_pitch,False,671218,686796,Heliot Ramos,Blake Walston,0,7350df45-1a25-4ed6-b054-472976998ea3,686796.0,blakewalston,Walston,Left,Blake Walston,ARI,2.84,3.88,12.2,87.0,87.0,87.0,0.827,7.82,6.39,6.39,0.0,0.87,0.182,0.394,0.182,0.424,0.409,121.0,86.0,86.0,86.0,84.0,93.0,68.0,89.0,82.0,94.0,89.0,91.0,82.0,85.0,90.0,0.043,0.328,0.194,0.078,0.181,0.177,2.39,2.73,2.48,-8.13,-0.23,-1.12,91.6,87.8,86.2,89.0,81.4,77.2,0.118,0.118,0.25,0.25,0.25,0.278,0.125,0.125,0.042,0.5,0.75,0.333,0.4,0.6,0.333,,,,,,,,,,,,,,,,,,
16,2024-06-04,747196,Pop Out,field_out,True,642731,686796,Thairo Estrada,Blake Walston,0,4dc4aa56-b481-408d-ae7a-d0afa801fdb1,686796.0,blakewalston,Walston,Left,Blake Walston,ARI,2.84,3.88,12.2,87.0,87.0,87.0,0.827,7.82,6.39,6.39,0.0,0.87,0.182,0.394,0.182,0.424,0.409,121.0,86.0,86.0,86.0,84.0,93.0,68.0,89.0,82.0,94.0,89.0,91.0,82.0,85.0,90.0,0.043,0.328,0.194,0.078,0.181,0.177,2.39,2.73,2.48,-8.13,-0.23,-1.12,91.6,87.8,86.2,89.0,81.4,77.2,0.118,0.118,0.25,0.25,0.25,0.278,0.125,0.125,0.042,0.5,0.75,0.333,0.4,0.6,0.333,,,,,,,,,,,,,,,,,,
17,2024-06-04,747196,Grounded Into DP,grounded_into_double_play,True,672275,686796,Patrick Bailey,Blake Walston,1,17a6c964-bf91-4782-adb8-9daf67987154,686796.0,blakewalston,Walston,Left,Blake Walston,ARI,2.84,3.88,12.2,87.0,87.0,87.0,0.827,7.82,6.39,6.39,0.0,0.87,0.182,0.394,0.182,0.424,0.409,121.0,86.0,86.0,86.0,84.0,93.0,68.0,89.0,82.0,94.0,89.0,91.0,82.0,85.0,90.0,0.043,0.328,0.194,0.078,0.181,0.177,2.39,2.73,2.48,-8.13,-0.23,-1.12,91.6,87.8,86.2,89.0,81.4,77.2,0.118,0.118,0.25,0.25,0.25,0.278,0.125,0.125,0.042,0.5,0.75,0.333,0.4,0.6,0.333,,,,,,,,,,,,,,,,,,
18,2024-06-04,747196,Single,single,False,664983,690986,Jake McCarthy,Kyle Harrison,0,7f20f630-b500-496e-8aa1-fbdc21929301,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,93.0,107.0,97.0,,,,,0.61,,0.004,0.186,0.2,0.69,,,-11.76,-0.51,-2.37,92.7,,85.4,,88.2,81.3,0.237,0.377,0.212,,,,,,,0.333,0.667,0.5,0.306,0.471,0.224,0.295,0.477,0.302,,,,,,,,,,,,,,,
19,2024-06-04,747196,Double,double,False,677942,690986,Blaze Alexander,Kyle Harrison,1,521fc840-81ed-488d-8aca-080d4da27ab1,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,93.0,107.0,97.0,,,,,0.61,,0.004,0.186,0.2,0.69,,,-11.76,-0.51,-2.37,92.7,,85.4,,88.2,81.3,0.237,0.377,0.212,,,,,,,0.333,0.667,0.5,0.306,0.471,0.224,0.295,0.477,0.302,,,,,,,,,,,,,,,
