,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
10,2024-05-17,745016,Lineout,field_out,True,687263,571760,Zach Neto,Andrew Heaney,0,d32656ad-8b87-42f3-a287-de25d6794fca,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,85.0,105.0,99.0,126.0,105.0,102.0,76.0,101.0,98.0,89.0,98.0,100.0,20.0,51.0,51.0,0.522,0.002,0.29,0.032,0.154,-0.05,-19.18,-0.02,-7.71,1.0,91.5,86.6,83.8,82.0,75.5,0.22,0.422,0.224,0.252,0.383,0.382,0.256,0.329,0.229,0.8,2.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2024-05-17,745016,Strikeout,strikeout,True,677347,571760,Kyren Paris,Andrew Heaney,0,4b5a85b1-f1be-4d69-85ef-6f88b27384bd,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,85.0,105.0,99.0,126.0,105.0,102.0,76.0,101.0,98.0,89.0,98.0,100.0,20.0,51.0,51.0,0.522,0.002,0.29,0.032,0.154,-0.05,-19.18,-0.02,-7.71,1.0,91.5,86.6,83.8,82.0,75.5,0.22,0.422,0.224,0.252,0.383,0.382,0.256,0.329,0.229,0.8,2.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2024-05-17,745016,Lineout,field_out,True,666969,542881,Adolis García,Tyler Anderson,0,2c96a6b7-3ea1-4c2b-acad-50cc92c6cacd,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,2.97,4.42,118.0,100.0,95.0,99.0,0.757,6.18,3.58,6.94,1.07,0.82,0.194,0.501,0.157,0.262,0.408,104.0,101.0,106.0,,,,88.0,99.0,96.0,65.0,57.0,84.0,100.0,102.0,98.0,0.403,0.19,0.003,,0.366,-0.19,-0.14,-4.61,,1.6,89.2,83.8,78.7,77.9,,0.239,0.472,0.163,,,,0.18,0.238,0.374,,,,65.0,93.0,79.0,0.038,-2.78,88.1,0.221,0.39,0.244,0.222,0.611,0.067,,,,,,,,,,,,,,,
13,2024-05-17,745016,Home Run,home_run,False,641680,542881,Jonah Heim,Tyler Anderson,0,8bb6a840-3c12-41f7-94a4-c506b1ba00e8,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,2.97,4.42,118.0,100.0,95.0,99.0,0.757,6.18,3.58,6.94,1.07,0.82,0.194,0.501,0.157,0.262,0.408,104.0,101.0,106.0,,,,88.0,99.0,96.0,65.0,57.0,84.0,100.0,102.0,98.0,0.403,0.19,0.003,,0.366,-0.19,-0.14,-4.61,,1.6,89.2,83.8,78.7,77.9,,0.239,0.472,0.163,,,,0.18,0.238,0.374,,,,65.0,93.0,79.0,0.038,-2.78,88.1,0.221,0.39,0.244,0.222,0.611,0.067,,,,,,,,,,,,,,,
14,2024-05-17,745016,Walk,walk,False,543257,542881,Robbie Grossman,Tyler Anderson,0,b4f669ad-cda2-4002-9e20-bb975b5e327e,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,2.97,4.42,118.0,100.0,95.0,99.0,0.757,6.18,3.58,6.94,1.07,0.82,0.194,0.501,0.157,0.262,0.408,104.0,101.0,106.0,,,,88.0,99.0,96.0,65.0,57.0,84.0,100.0,102.0,98.0,0.403,0.19,0.003,,0.366,-0.19,-0.14,-4.61,,1.6,89.2,83.8,78.7,77.9,,0.239,0.472,0.163,,,,0.18,0.238,0.374,,,,65.0,93.0,79.0,0.038,-2.78,88.1,0.221,0.39,0.244,0.222,0.611,0.067,,,,,,,,,,,,,,,
15,2024-05-17,745016,Flyout,field_out,True,677649,542881,Ezequiel Duran,Tyler Anderson,0,7a9dec62-8651-4aca-a3d6-d4a9962b5b20,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,2.97,4.42,118.0,100.0,95.0,99.0,0.757,6.18,3.58,6.94,1.07,0.82,0.194,0.501,0.157,0.262,0.408,104.0,101.0,106.0,,,,88.0,99.0,96.0,65.0,57.0,84.0,100.0,102.0,98.0,0.403,0.19,0.003,,0.366,-0.19,-0.14,-4.61,,1.6,89.2,83.8,78.7,77.9,,0.239,0.472,0.163,,,,0.18,0.238,0.374,,,,65.0,93.0,79.0,0.038,-2.78,88.1,0.221,0.39,0.244,0.222,0.611,0.067,,,,,,,,,,,,,,,
16,2024-05-17,745016,Double,double,False,669701,542881,Josh Smith,Tyler Anderson,1,f457a6f5-cdc4-4fb8-bac0-5090754cc058,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,2.97,4.42,118.0,100.0,95.0,99.0,0.757,6.18,3.58,6.94,1.07,0.82,0.194,0.501,0.157,0.262,0.408,104.0,101.0,106.0,,,,88.0,99.0,96.0,65.0,57.0,84.0,100.0,102.0,98.0,0.403,0.19,0.003,,0.366,-0.19,-0.14,-4.61,,1.6,89.2,83.8,78.7,77.9,,0.239,0.472,0.163,,,,0.18,0.238,0.374,,,,65.0,93.0,79.0,0.038,-2.78,88.1,0.221,0.39,0.244,0.222,0.611,0.067,,,,,,,,,,,,,,,
17,2024-05-17,745016,Flyout,field_out,True,665750,542881,Leody Taveras,Tyler Anderson,0,0ba92dd9-11ee-4bac-9e15-157194b0dfdb,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,2.97,4.42,118.0,100.0,95.0,99.0,0.757,6.18,3.58,6.94,1.07,0.82,0.194,0.501,0.157,0.262,0.408,104.0,101.0,106.0,,,,88.0,99.0,96.0,65.0,57.0,84.0,100.0,102.0,98.0,0.403,0.19,0.003,,0.366,-0.19,-0.14,-4.61,,1.6,89.2,83.8,78.7,77.9,,0.239,0.472,0.163,,,,0.18,0.238,0.374,,,,65.0,93.0,79.0,0.038,-2.78,88.1,0.221,0.39,0.244,0.222,0.611,0.067,,,,,,,,,,,,,,,
18,2024-05-17,745016,Strikeout,strikeout,True,694384,571760,Nolan Schanuel,Andrew Heaney,0,b1258234-9b6e-4823-a6be-619d1e2c3178,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,85.0,105.0,99.0,126.0,105.0,102.0,76.0,101.0,98.0,89.0,98.0,100.0,20.0,51.0,51.0,0.522,0.002,0.29,0.032,0.154,-0.05,-19.18,-0.02,-7.71,1.0,91.5,86.6,83.8,82.0,75.5,0.22,0.422,0.224,0.252,0.383,0.382,0.256,0.329,0.229,0.8,2.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2024-05-17,745016,Walk,walk,False,650859,571760,Luis Rengifo,Andrew Heaney,0,1d91042e-2ec8-4e9f-893f-daac89080455,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,85.0,105.0,99.0,126.0,105.0,102.0,76.0,101.0,98.0,89.0,98.0,100.0,20.0,51.0,51.0,0.522,0.002,0.29,0.032,0.154,-0.05,-19.18,-0.02,-7.71,1.0,91.5,86.6,83.8,82.0,75.5,0.22,0.422,0.224,0.252,0.383,0.382,0.256,0.329,0.229,0.8,2.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2024-05-17,745016,Strikeout,strikeout,True,621493,571760,Taylor Ward,Andrew Heaney,0,3ff119e2-2487-42f5-9644-3d00e3c94e0f,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,85.0,105.0,99.0,126.0,105.0,102.0,76.0,101.0,98.0,89.0,98.0,100.0,20.0,51.0,51.0,0.522,0.002,0.29,0.032,0.154,-0.05,-19.18,-0.02,-7.71,1.0,91.5,86.6,83.8,82.0,75.5,0.22,0.422,0.224,0.252,0.383,0.382,0.256,0.329,0.229,0.8,2.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2024-05-17,745016,Single,single,False,607680,571760,Kevin Pillar,Andrew Heaney,1,152b4887-20e4-4d1e-a7a5-b473029906d5,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,85.0,105.0,99.0,126.0,105.0,102.0,76.0,101.0,98.0,89.0,98.0,100.0,20.0,51.0,51.0,0.522,0.002,0.29,0.032,0.154,-0.05,-19.18,-0.02,-7.71,1.0,91.5,86.6,83.8,82.0,75.5,0.22,0.422,0.224,0.252,0.383,0.382,0.256,0.329,0.229,0.8,2.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2024-05-17,745016,Strikeout,strikeout,True,681351,571760,Logan O'Hoppe,Andrew Heaney,1,257d427a-01ab-4bd1-bc22-c77600439017,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,85.0,105.0,99.0,126.0,105.0,102.0,76.0,101.0,98.0,89.0,98.0,100.0,20.0,51.0,51.0,0.522,0.002,0.29,0.032,0.154,-0.05,-19.18,-0.02,-7.71,1.0,91.5,86.6,83.8,82.0,75.5,0.22,0.422,0.224,0.252,0.383,0.382,0.256,0.329,0.229,0.8,2.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
