,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
20,2024-09-16,745773,Double,double,False,660766,640455,Juan Yepez,Sean Manaea,0,40d59a36-3424-4f5b-906d-66b4b86555e8,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.26,3.74,171.0,97.0,89.0,96.0,0.758,9.32,3.21,6.53,0.95,0.88,0.265,0.382,0.155,0.321,0.433,83.0,98.0,94.0,87.0,104.0,99.0,93.0,100.0,97.0,88.0,87.0,92.0,84.0,88.0,85.0,0.434,0.119,0.076,0.254,0.117,1.12,0.98,1.49,0.48,-1.0,92.4,88.4,85.4,92.3,79.6,0.195,0.312,0.215,0.186,0.31,0.391,0.264,0.437,0.249,0.167,0.295,0.309,0.222,0.25,0.179,0.174,0.435,0.32,,,,,,,,,,,,,,,,,,
21,2024-09-16,745773,Groundout,field_out,True,665953,640455,Andrés Chaparro,Sean Manaea,1,9d9c8b34-a1f1-4df5-91ad-e8372babbf42,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.26,3.74,171.0,97.0,89.0,96.0,0.758,9.32,3.21,6.53,0.95,0.88,0.265,0.382,0.155,0.321,0.433,83.0,98.0,94.0,87.0,104.0,99.0,93.0,100.0,97.0,88.0,87.0,92.0,84.0,88.0,85.0,0.434,0.119,0.076,0.254,0.117,1.12,0.98,1.49,0.48,-1.0,92.4,88.4,85.4,92.3,79.6,0.195,0.312,0.215,0.186,0.31,0.391,0.264,0.437,0.249,0.167,0.295,0.309,0.222,0.25,0.179,0.174,0.435,0.32,,,,,,,,,,,,,,,,,,
22,2024-09-16,745773,Single,single,False,677588,640455,José Tena,Sean Manaea,1,92bf11d3-0cda-4ab6-8059-da1a981a3bb9,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.26,3.74,171.0,97.0,89.0,96.0,0.758,9.32,3.21,6.53,0.95,0.88,0.265,0.382,0.155,0.321,0.433,83.0,98.0,94.0,87.0,104.0,99.0,93.0,100.0,97.0,88.0,87.0,92.0,84.0,88.0,85.0,0.434,0.119,0.076,0.254,0.117,1.12,0.98,1.49,0.48,-1.0,92.4,88.4,85.4,92.3,79.6,0.195,0.312,0.215,0.186,0.31,0.391,0.264,0.437,0.249,0.167,0.295,0.309,0.222,0.25,0.179,0.174,0.435,0.32,,,,,,,,,,,,,,,,,,
23,2024-09-16,745773,Lineout,field_out,True,545121,640455,Ildemaro Vargas,Sean Manaea,1,ec0a57a9-58e9-47b1-a84f-1afd13b49115,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.26,3.74,171.0,97.0,89.0,96.0,0.758,9.32,3.21,6.53,0.95,0.88,0.265,0.382,0.155,0.321,0.433,83.0,98.0,94.0,87.0,104.0,99.0,93.0,100.0,97.0,88.0,87.0,92.0,84.0,88.0,85.0,0.434,0.119,0.076,0.254,0.117,1.12,0.98,1.49,0.48,-1.0,92.4,88.4,85.4,92.3,79.6,0.195,0.312,0.215,0.186,0.31,0.391,0.264,0.437,0.249,0.167,0.295,0.309,0.222,0.25,0.179,0.174,0.435,0.32,,,,,,,,,,,,,,,,,,
24,2024-09-16,745773,Single,single,False,578428,663623,Jose Iglesias,Jake Irvin,0,3a4169e7-2585-43be-bf6e-7966590602b5,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.07,4.15,179.1,104.0,94.0,101.0,0.803,7.53,2.26,8.23,1.3,1.21,0.237,0.424,0.171,0.333,0.467,99.0,92.0,94.0,81.0,105.0,98.0,97.0,102.0,103.0,110.0,115.0,117.0,78.0,103.0,93.0,0.201,0.376,0.068,0.003,0.036,0.64,-0.03,-0.28,-14.37,1.41,94.0,89.9,88.4,93.3,85.9,0.314,0.472,0.147,,,,0.125,0.125,0.341,0.2,0.364,0.238,0.289,0.533,0.206,,,,111.0,105.0,106.0,0.316,0.13,81.1,0.233,0.432,0.25,,,,,,,,,
25,2024-09-16,745773,Flyout,field_out,True,608385,663623,Jesse Winker,Jake Irvin,1,bb53b472-7521-47e4-8c45-a08b0a1d8afd,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.07,4.15,179.1,104.0,94.0,101.0,0.803,7.53,2.26,8.23,1.3,1.21,0.237,0.424,0.171,0.333,0.467,99.0,92.0,94.0,81.0,105.0,98.0,97.0,102.0,103.0,110.0,115.0,117.0,78.0,103.0,93.0,0.201,0.376,0.068,0.003,0.036,0.64,-0.03,-0.28,-14.37,1.41,94.0,89.9,88.4,93.3,85.9,0.314,0.472,0.147,,,,0.125,0.125,0.341,0.2,0.364,0.238,0.289,0.533,0.206,,,,111.0,105.0,106.0,0.316,0.13,81.1,0.233,0.432,0.25,,,,,,,,,
26,2024-09-16,745773,Groundout,field_out,True,502110,663623,J.D. Martinez,Jake Irvin,0,346532a9-c52b-433a-8174-5c10cd85fd22,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.07,4.15,179.1,104.0,94.0,101.0,0.803,7.53,2.26,8.23,1.3,1.21,0.237,0.424,0.171,0.333,0.467,99.0,92.0,94.0,81.0,105.0,98.0,97.0,102.0,103.0,110.0,115.0,117.0,78.0,103.0,93.0,0.201,0.376,0.068,0.003,0.036,0.64,-0.03,-0.28,-14.37,1.41,94.0,89.9,88.4,93.3,85.9,0.314,0.472,0.147,,,,0.125,0.125,0.341,0.2,0.364,0.238,0.289,0.533,0.206,,,,111.0,105.0,106.0,0.316,0.13,81.1,0.233,0.432,0.25,,,,,,,,,
27,2024-09-16,745773,Single,single,False,624413,663623,Pete Alonso,Jake Irvin,1,fc7cd96e-5ff4-442d-a57e-5788bbae18ba,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.07,4.15,179.1,104.0,94.0,101.0,0.803,7.53,2.26,8.23,1.3,1.21,0.237,0.424,0.171,0.333,0.467,99.0,92.0,94.0,81.0,105.0,98.0,97.0,102.0,103.0,110.0,115.0,117.0,78.0,103.0,93.0,0.201,0.376,0.068,0.003,0.036,0.64,-0.03,-0.28,-14.37,1.41,94.0,89.9,88.4,93.3,85.9,0.314,0.472,0.147,,,,0.125,0.125,0.341,0.2,0.364,0.238,0.289,0.533,0.206,,,,111.0,105.0,106.0,0.316,0.13,81.1,0.233,0.432,0.25,,,,,,,,,
28,2024-09-16,745773,Walk,walk,False,607043,663623,Brandon Nimmo,Jake Irvin,1,4b4bc645-905e-423e-8cdb-733eff5e197e,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.07,4.15,179.1,104.0,94.0,101.0,0.803,7.53,2.26,8.23,1.3,1.21,0.237,0.424,0.171,0.333,0.467,99.0,92.0,94.0,81.0,105.0,98.0,97.0,102.0,103.0,110.0,115.0,117.0,78.0,103.0,93.0,0.201,0.376,0.068,0.003,0.036,0.64,-0.03,-0.28,-14.37,1.41,94.0,89.9,88.4,93.3,85.9,0.314,0.472,0.147,,,,0.125,0.125,0.341,0.2,0.364,0.238,0.289,0.533,0.206,,,,111.0,105.0,106.0,0.316,0.13,81.1,0.233,0.432,0.25,,,,,,,,,
29,2024-09-16,745773,Groundout,field_out,True,668901,663623,Mark Vientos,Jake Irvin,0,25b1af13-0126-4d9c-b2d5-e67d472db408,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.07,4.15,179.1,104.0,94.0,101.0,0.803,7.53,2.26,8.23,1.3,1.21,0.237,0.424,0.171,0.333,0.467,99.0,92.0,94.0,81.0,105.0,98.0,97.0,102.0,103.0,110.0,115.0,117.0,78.0,103.0,93.0,0.201,0.376,0.068,0.003,0.036,0.64,-0.03,-0.28,-14.37,1.41,94.0,89.9,88.4,93.3,85.9,0.314,0.472,0.147,,,,0.125,0.125,0.341,0.2,0.364,0.238,0.289,0.533,0.206,,,,111.0,105.0,106.0,0.316,0.13,81.1,0.233,0.432,0.25,,,,,,,,,
