,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff
20,2024-04-12,746084,Strikeout,strikeout,True,621566,669432,Matt Olson,Trevor Rogers,1,f689c9fc-be82-47b0-8110-69c60e29c89a,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,69.0,100.0,93.0,87.0,96.0,91.0,73.0,89.0,89.0,0.231,0.325,0.21,0.233,-0.74,0.22,-1.71,-0.95,92.1,85.8,91.6,82.5,0.261,0.486,0.23,0.27,0.45,0.119,0.299,0.393,0.251,0.262,0.475,0.288,,,,,,,,,,,,,,,,,,
21,2024-04-12,746084,Groundout,field_out,True,660644,608331,Vidal Bruján,Max Fried,0,82c6b0b5-013c-4044-94af-9e146241a3e6,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.08,3.72,108.0,98.0,96.0,99.0,0.781,7.92,2.83,7.58,0.75,2.57,0.267,0.397,0.176,0.241,0.414,95.0,102.0,103.0,83.0,94.0,94.0,97.0,98.0,97.0,97.0,96.0,95.0,0.162,0.311,0.119,0.145,0.76,1.8,0.7,1.72,93.8,86.1,93.7,82.7,0.287,0.369,0.2,0.231,0.256,0.165,0.186,0.271,0.24,0.25,0.25,0.296,110.0,102.0,106.0,88.0,93.0,92.0,0.055,0.208,-0.23,0.93,89.3,74.4,0.158,0.329,0.313,0.308,0.308,0.313
22,2024-04-12,746084,Single,single,False,650333,608331,Luis Arraez,Max Fried,0,2edcddd2-752c-49a0-b4eb-e11dd7c9e0b9,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.08,3.72,108.0,98.0,96.0,99.0,0.781,7.92,2.83,7.58,0.75,2.57,0.267,0.397,0.176,0.241,0.414,95.0,102.0,103.0,83.0,94.0,94.0,97.0,98.0,97.0,97.0,96.0,95.0,0.162,0.311,0.119,0.145,0.76,1.8,0.7,1.72,93.8,86.1,93.7,82.7,0.287,0.369,0.2,0.231,0.256,0.165,0.186,0.271,0.24,0.25,0.25,0.296,110.0,102.0,106.0,88.0,93.0,92.0,0.055,0.208,-0.23,0.93,89.3,74.4,0.158,0.329,0.313,0.308,0.308,0.313
23,2024-04-12,746084,Grounded Into DP,grounded_into_double_play,True,605137,608331,Josh Bell,Max Fried,1,212e1e02-bce6-49c5-ab8d-615f7f74408e,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.08,3.72,108.0,98.0,96.0,99.0,0.781,7.92,2.83,7.58,0.75,2.57,0.267,0.397,0.176,0.241,0.414,95.0,102.0,103.0,83.0,94.0,94.0,97.0,98.0,97.0,97.0,96.0,95.0,0.162,0.311,0.119,0.145,0.76,1.8,0.7,1.72,93.8,86.1,93.7,82.7,0.287,0.369,0.2,0.231,0.256,0.165,0.186,0.271,0.24,0.25,0.25,0.296,110.0,102.0,106.0,88.0,93.0,92.0,0.055,0.208,-0.23,0.93,89.3,74.4,0.158,0.329,0.313,0.308,0.308,0.313
24,2024-04-12,746084,Single,single,False,542303,669432,Marcell Ozuna,Trevor Rogers,0,13fee07e-91ee-407d-96b3-3b7c39c4bd3c,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,69.0,100.0,93.0,87.0,96.0,91.0,73.0,89.0,89.0,0.231,0.325,0.21,0.233,-0.74,0.22,-1.71,-0.95,92.1,85.8,91.6,82.5,0.261,0.486,0.23,0.27,0.45,0.119,0.299,0.393,0.251,0.262,0.475,0.288,,,,,,,,,,,,,,,,,,
25,2024-04-12,746084,Grounded Into DP,grounded_into_double_play,True,594807,669432,Adam Duvall,Trevor Rogers,1,03a8a6a2-c02c-45f5-b1eb-9fdf1d42a7be,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,69.0,100.0,93.0,87.0,96.0,91.0,73.0,89.0,89.0,0.231,0.325,0.21,0.233,-0.74,0.22,-1.71,-0.95,92.1,85.8,91.6,82.5,0.261,0.486,0.23,0.27,0.45,0.119,0.299,0.393,0.251,0.262,0.475,0.288,,,,,,,,,,,,,,,,,,
26,2024-04-12,746084,Lineout,field_out,True,671739,669432,Michael Harris II,Trevor Rogers,0,46aea784-175f-495e-b86c-6f60fc50d443,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,69.0,100.0,93.0,87.0,96.0,91.0,73.0,89.0,89.0,0.231,0.325,0.21,0.233,-0.74,0.22,-1.71,-0.95,92.1,85.8,91.6,82.5,0.261,0.486,0.23,0.27,0.45,0.119,0.299,0.393,0.251,0.262,0.475,0.288,,,,,,,,,,,,,,,,,,
27,2024-04-12,746084,Flyout,field_out,True,669394,608331,Jake Burger,Max Fried,0,936dd806-5a77-46d9-9c13-940d87a1c135,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.08,3.72,108.0,98.0,96.0,99.0,0.781,7.92,2.83,7.58,0.75,2.57,0.267,0.397,0.176,0.241,0.414,95.0,102.0,103.0,83.0,94.0,94.0,97.0,98.0,97.0,97.0,96.0,95.0,0.162,0.311,0.119,0.145,0.76,1.8,0.7,1.72,93.8,86.1,93.7,82.7,0.287,0.369,0.2,0.231,0.256,0.165,0.186,0.271,0.24,0.25,0.25,0.296,110.0,102.0,106.0,88.0,93.0,92.0,0.055,0.208,-0.23,0.93,89.3,74.4,0.158,0.329,0.313,0.308,0.308,0.313
28,2024-04-12,746084,Lineout,field_out,True,650559,608331,Bryan De La Cruz,Max Fried,0,5aecf6f8-949b-4e80-a817-5ce48cc07bca,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.08,3.72,108.0,98.0,96.0,99.0,0.781,7.92,2.83,7.58,0.75,2.57,0.267,0.397,0.176,0.241,0.414,95.0,102.0,103.0,83.0,94.0,94.0,97.0,98.0,97.0,97.0,96.0,95.0,0.162,0.311,0.119,0.145,0.76,1.8,0.7,1.72,93.8,86.1,93.7,82.7,0.287,0.369,0.2,0.231,0.256,0.165,0.186,0.271,0.24,0.25,0.25,0.296,110.0,102.0,106.0,88.0,93.0,92.0,0.055,0.208,-0.23,0.93,89.3,74.4,0.158,0.329,0.313,0.308,0.308,0.313
29,2024-04-12,746084,Strikeout,strikeout,True,665862,608331,Jazz Chisholm Jr.,Max Fried,0,c1ad1ddb-b690-49fc-8730-8c54786fd45d,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.08,3.72,108.0,98.0,96.0,99.0,0.781,7.92,2.83,7.58,0.75,2.57,0.267,0.397,0.176,0.241,0.414,95.0,102.0,103.0,83.0,94.0,94.0,97.0,98.0,97.0,97.0,96.0,95.0,0.162,0.311,0.119,0.145,0.76,1.8,0.7,1.72,93.8,86.1,93.7,82.7,0.287,0.369,0.2,0.231,0.256,0.165,0.186,0.271,0.24,0.25,0.25,0.296,110.0,102.0,106.0,88.0,93.0,92.0,0.055,0.208,-0.23,0.93,89.3,74.4,0.158,0.329,0.313,0.308,0.308,0.313
