,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff
55,2024-05-29,745333,Groundout,field_out,True,592206,592426,Nick Castellanos,Luke Jackson,0,81b47d36-0142-4c91-96d9-739a0ef7a5f3,592426.0,lukejackson,Jackson,Right,Luke Jackson,SFG,5.79,5.12,32.2,93.0,126.0,107.0,0.749,7.71,4.13,9.64,1.38,1.69,0.18,0.43,0.15,0.3,0.393,,,,133.0,106.0,115.0,99.0,96.0,97.0,138.0,91.0,111.0,0.313,0.569,0.111,,-0.65,-0.35,-0.61,,94.7,,87.2,84.2,0.25,0.406,0.265,,,,,,,0.286,0.455,0.255,,,,97.0,75.0,81.0,,0.007,-1.69,,90.8,,,,,0.294,0.471,0.258
56,2024-05-29,745333,Flyout,field_out,True,681082,592426,Bryson Stott,Luke Jackson,0,4c7f8299-d627-47cc-9e70-4f684f7883a5,592426.0,lukejackson,Jackson,Right,Luke Jackson,SFG,5.79,5.12,32.2,93.0,126.0,107.0,0.749,7.71,4.13,9.64,1.38,1.69,0.18,0.43,0.15,0.3,0.393,,,,133.0,106.0,115.0,99.0,96.0,97.0,138.0,91.0,111.0,0.313,0.569,0.111,,-0.65,-0.35,-0.61,,94.7,,87.2,84.2,0.25,0.406,0.265,,,,,,,0.286,0.455,0.255,,,,97.0,75.0,81.0,,0.007,-1.69,,90.8,,,,,0.294,0.471,0.258
57,2024-05-29,745333,Walk,walk,False,671218,642397,Heliot Ramos,Gregory Soto,0,748a43ad-5e75-458d-a5a1-b1753ba9a69b,642397.0,gregorysoto,"Soto, G",Left,Gregory Soto,PHI,3.31,4.48,32.2,96.0,113.0,99.0,0.702,11.3,4.96,8.82,0.28,1.64,0.326,0.291,0.116,0.349,0.432,,,,,,,96.0,89.0,80.0,117.0,96.0,104.0,0.128,0.451,,,-3.7,0.86,,,98.1,,86.0,,0.417,0.417,0.333,,,,,,,0.222,0.222,0.294,115.0,97.0,100.0,,,,0.41,0.012,0.36,0.19,91.8,97.5,0.311,0.444,0.121,,,
58,2024-05-29,745333,Grounded Into DP,grounded_into_double_play,True,666149,642397,Tyler Fitzgerald,Gregory Soto,1,1cfb3278-dc42-4d1c-bc19-320761c58844,642397.0,gregorysoto,"Soto, G",Left,Gregory Soto,PHI,3.31,4.48,32.2,96.0,113.0,99.0,0.702,11.3,4.96,8.82,0.28,1.64,0.326,0.291,0.116,0.349,0.432,,,,,,,96.0,89.0,80.0,117.0,96.0,104.0,0.128,0.451,,,-3.7,0.86,,,98.1,,86.0,,0.417,0.417,0.333,,,,,,,0.222,0.222,0.294,115.0,97.0,100.0,,,,0.41,0.012,0.36,0.19,91.8,97.5,0.311,0.444,0.121,,,
59,2024-05-29,745333,Flyout,field_out,True,592200,642397,Curt Casali,Gregory Soto,0,7c5923ec-dca6-44b4-b5e7-816300d15cdd,642397.0,gregorysoto,"Soto, G",Left,Gregory Soto,PHI,3.31,4.48,32.2,96.0,113.0,99.0,0.702,11.3,4.96,8.82,0.28,1.64,0.326,0.291,0.116,0.349,0.432,,,,,,,96.0,89.0,80.0,117.0,96.0,104.0,0.128,0.451,,,-3.7,0.86,,,98.1,,86.0,,0.417,0.417,0.333,,,,,,,0.222,0.222,0.294,115.0,97.0,100.0,,,,0.41,0.012,0.36,0.19,91.8,97.5,0.311,0.444,0.121,,,
60,2024-05-29,745333,Walk,walk,False,593160,678495,Whit Merrifield,Randy Rodríguez,0,207f309c-6cb7-48e8-8459-3183977d8656,678495.0,randyrodriguez,"Rodríguez, R",Right,Randy Rodríguez,SFG,4.1,3.03,41.2,97.0,118.0,102.0,0.728,9.07,3.02,6.91,0.86,1.04,0.207,0.405,0.198,0.252,0.412,67.0,76.0,82.0,,,,131.0,99.0,103.0,114.0,99.0,106.0,0.483,0.4,,0.049,0.11,1.23,,1.9,97.8,90.1,84.9,,0.206,0.412,0.214,0.167,0.167,0.4,,,,0.206,0.338,0.371,96.0,88.0,84.0,,,,0.068,,,-0.41,,96.5,0.333,0.333,0.105,,,
61,2024-05-29,745333,Walk,walk,False,596117,678495,Garrett Stubbs,Randy Rodríguez,1,53b38ccd-12f9-481c-a702-f3439e60fea8,678495.0,randyrodriguez,"Rodríguez, R",Right,Randy Rodríguez,SFG,4.1,3.03,41.2,97.0,118.0,102.0,0.728,9.07,3.02,6.91,0.86,1.04,0.207,0.405,0.198,0.252,0.412,67.0,76.0,82.0,,,,131.0,99.0,103.0,114.0,99.0,106.0,0.483,0.4,,0.049,0.11,1.23,,1.9,97.8,90.1,84.9,,0.206,0.412,0.214,0.167,0.167,0.4,,,,0.206,0.338,0.371,96.0,88.0,84.0,,,,0.068,,,-0.41,,96.5,0.333,0.333,0.105,,,
62,2024-05-29,745333,Strikeout,strikeout,True,665506,678495,Cristian Pache,Randy Rodríguez,0,a61d8c1f-8cd9-4856-a13c-e53c6bedb650,678495.0,randyrodriguez,"Rodríguez, R",Right,Randy Rodríguez,SFG,4.1,3.03,41.2,97.0,118.0,102.0,0.728,9.07,3.02,6.91,0.86,1.04,0.207,0.405,0.198,0.252,0.412,67.0,76.0,82.0,,,,131.0,99.0,103.0,114.0,99.0,106.0,0.483,0.4,,0.049,0.11,1.23,,1.9,97.8,90.1,84.9,,0.206,0.412,0.214,0.167,0.167,0.4,,,,0.206,0.338,0.371,96.0,88.0,84.0,,,,0.068,,,-0.41,,96.5,0.333,0.333,0.105,,,
63,2024-05-29,745333,Single,single,False,656941,678495,Kyle Schwarber,Randy Rodríguez,1,df52c687-b1bd-4f2c-b52d-4929a6e5d549,678495.0,randyrodriguez,"Rodríguez, R",Right,Randy Rodríguez,SFG,4.1,3.03,41.2,97.0,118.0,102.0,0.728,9.07,3.02,6.91,0.86,1.04,0.207,0.405,0.198,0.252,0.412,67.0,76.0,82.0,,,,131.0,99.0,103.0,114.0,99.0,106.0,0.483,0.4,,0.049,0.11,1.23,,1.9,97.8,90.1,84.9,,0.206,0.412,0.214,0.167,0.167,0.4,,,,0.206,0.338,0.371,96.0,88.0,84.0,,,,0.068,,,-0.41,,96.5,0.333,0.333,0.105,,,
64,2024-05-29,745333,Forceout,force_out,True,624641,678495,Edmundo Sosa,Randy Rodríguez,1,9a4d5ab4-8a76-4ff3-ad81-b65543aff8e9,678495.0,randyrodriguez,"Rodríguez, R",Right,Randy Rodríguez,SFG,4.1,3.03,41.2,97.0,118.0,102.0,0.728,9.07,3.02,6.91,0.86,1.04,0.207,0.405,0.198,0.252,0.412,67.0,76.0,82.0,,,,131.0,99.0,103.0,114.0,99.0,106.0,0.483,0.4,,0.049,0.11,1.23,,1.9,97.8,90.1,84.9,,0.206,0.412,0.214,0.167,0.167,0.4,,,,0.206,0.338,0.371,96.0,88.0,84.0,,,,0.068,,,-0.41,,96.5,0.333,0.333,0.105,,,
65,2024-05-29,745333,Single,single,False,547180,678495,Bryce Harper,Randy Rodríguez,1,9348f875-65bb-480a-b27a-d1353f0fa360,678495.0,randyrodriguez,"Rodríguez, R",Right,Randy Rodríguez,SFG,4.1,3.03,41.2,97.0,118.0,102.0,0.728,9.07,3.02,6.91,0.86,1.04,0.207,0.405,0.198,0.252,0.412,67.0,76.0,82.0,,,,131.0,99.0,103.0,114.0,99.0,106.0,0.483,0.4,,0.049,0.11,1.23,,1.9,97.8,90.1,84.9,,0.206,0.412,0.214,0.167,0.167,0.4,,,,0.206,0.338,0.371,96.0,88.0,84.0,,,,0.068,,,-0.41,,96.5,0.333,0.333,0.105,,,
66,2024-05-29,745333,Walk,walk,False,664761,678495,Alec Bohm,Randy Rodríguez,1,ff58d65a-1f6d-4283-aa7d-cdb7f7f9faa9,678495.0,randyrodriguez,"Rodríguez, R",Right,Randy Rodríguez,SFG,4.1,3.03,41.2,97.0,118.0,102.0,0.728,9.07,3.02,6.91,0.86,1.04,0.207,0.405,0.198,0.252,0.412,67.0,76.0,82.0,,,,131.0,99.0,103.0,114.0,99.0,106.0,0.483,0.4,,0.049,0.11,1.23,,1.9,97.8,90.1,84.9,,0.206,0.412,0.214,0.167,0.167,0.4,,,,0.206,0.338,0.371,96.0,88.0,84.0,,,,0.068,,,-0.41,,96.5,0.333,0.333,0.105,,,
67,2024-05-29,745333,Strikeout,strikeout,True,592206,678495,Nick Castellanos,Randy Rodríguez,0,69d88600-ea8e-455f-875e-bc68c9ce5a8b,678495.0,randyrodriguez,"Rodríguez, R",Right,Randy Rodríguez,SFG,4.1,3.03,41.2,97.0,118.0,102.0,0.728,9.07,3.02,6.91,0.86,1.04,0.207,0.405,0.198,0.252,0.412,67.0,76.0,82.0,,,,131.0,99.0,103.0,114.0,99.0,106.0,0.483,0.4,,0.049,0.11,1.23,,1.9,97.8,90.1,84.9,,0.206,0.412,0.214,0.167,0.167,0.4,,,,0.206,0.338,0.371,96.0,88.0,84.0,,,,0.068,,,-0.41,,96.5,0.333,0.333,0.105,,,
68,2024-05-29,745333,Flyout,field_out,True,682641,622554,Luis Matos,Seranthony Domínguez,0,a76730fa-41c7-4e85-ac4e-09afee163b6a,622554.0,seranthonydominguez,Domínguez,Right,Seranthony Domínguez,PHI,4.76,3.19,34.0,97.0,123.0,101.0,0.763,10.32,3.18,7.94,1.59,0.8,0.302,0.375,0.198,0.24,0.434,22.0,105.0,95.0,,,,123.0,94.0,95.0,134.0,100.0,107.0,0.402,0.394,,0.008,0.27,0.55,,-14.14,97.5,91.5,88.5,,0.233,0.372,0.22,,,,,,,0.133,0.383,0.379,102.0,98.0,103.0,,,,0.196,,,-1.98,,97.9,0.355,0.452,0.065,,,
69,2024-05-29,745333,Flyout,field_out,True,689172,622554,Brett Wisely,Seranthony Domínguez,0,8b557791-f12e-4428-92df-2ae5126f26fd,622554.0,seranthonydominguez,Domínguez,Right,Seranthony Domínguez,PHI,4.76,3.19,34.0,97.0,123.0,101.0,0.763,10.32,3.18,7.94,1.59,0.8,0.302,0.375,0.198,0.24,0.434,22.0,105.0,95.0,,,,123.0,94.0,95.0,134.0,100.0,107.0,0.402,0.394,,0.008,0.27,0.55,,-14.14,97.5,91.5,88.5,,0.233,0.372,0.22,,,,,,,0.133,0.383,0.379,102.0,98.0,103.0,,,,0.196,,,-1.98,,97.9,0.355,0.452,0.065,,,
70,2024-05-29,745333,Groundout,field_out,True,642731,622554,Thairo Estrada,Seranthony Domínguez,0,7983fe8e-f495-4c7a-a376-a5aaee06a5e6,622554.0,seranthonydominguez,Domínguez,Right,Seranthony Domínguez,PHI,4.76,3.19,34.0,97.0,123.0,101.0,0.763,10.32,3.18,7.94,1.59,0.8,0.302,0.375,0.198,0.24,0.434,22.0,105.0,95.0,,,,123.0,94.0,95.0,134.0,100.0,107.0,0.402,0.394,,0.008,0.27,0.55,,-14.14,97.5,91.5,88.5,,0.233,0.372,0.22,,,,,,,0.133,0.383,0.379,102.0,98.0,103.0,,,,0.196,,,-1.98,,97.9,0.355,0.452,0.065,,,
