,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,SV_ba,SV_slg,SV_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
47,2024-06-10,745982,Single,single,False,687401,663893,Joey Ortiz,Brendon Little,0,ebab268b-5c08-4b56-81b5-816f6f9ccfc3,663893.0,brendonlittle,Little,Left,Brendon Little,TOR,4.5,3.46,20.0,96.0,90.0,93.0,0.743,7.65,2.7,8.55,1.35,4.89,0.098,0.492,0.262,0.311,0.408,,,,,,,87.0,95.0,92.0,,,,89.0,86.0,87.0,,,,0.582,,0.092,,,,,-2.98,,-0.79,,,,93.7,,94.6,,,0.342,0.526,0.13,0.286,0.857,0.375,,,,,,,,,,0.125,0.125,0.415,,,,,,,,,,,,,95.0,100.0,97.0,0.326,3.15,86.7
48,2024-06-10,745982,Strikeout,strikeout,True,641343,663893,Jake Bauers,Brendon Little,1,ff78d229-0b8a-4850-82f4-f7a78a44cf18,663893.0,brendonlittle,Little,Left,Brendon Little,TOR,4.5,3.46,20.0,96.0,90.0,93.0,0.743,7.65,2.7,8.55,1.35,4.89,0.098,0.492,0.262,0.311,0.408,,,,,,,87.0,95.0,92.0,,,,89.0,86.0,87.0,,,,0.582,,0.092,,,,,-2.98,,-0.79,,,,93.7,,94.6,,,0.342,0.526,0.13,0.286,0.857,0.375,,,,,,,,,,0.125,0.125,0.415,,,,,,,,,,,,,95.0,100.0,97.0,0.326,3.15,86.7
49,2024-06-10,745982,Intent Walk,intent_walk,False,694192,663893,Jackson Chourio,Brendon Little,0,07459826-0506-1033-000c-f08cd117d70a,663893.0,brendonlittle,Little,Left,Brendon Little,TOR,4.5,3.46,20.0,96.0,90.0,93.0,0.743,7.65,2.7,8.55,1.35,4.89,0.098,0.492,0.262,0.311,0.408,,,,,,,87.0,95.0,92.0,,,,89.0,86.0,87.0,,,,0.582,,0.092,,,,,-2.98,,-0.79,,,,93.7,,94.6,,,0.342,0.526,0.13,0.286,0.857,0.375,,,,,,,,,,0.125,0.125,0.415,,,,,,,,,,,,,95.0,100.0,97.0,0.326,3.15,86.7
50,2024-06-10,745982,Forceout,force_out,True,668930,663893,Brice Turang,Brendon Little,1,55c656d9-8412-4a40-b19b-813393b86085,663893.0,brendonlittle,Little,Left,Brendon Little,TOR,4.5,3.46,20.0,96.0,90.0,93.0,0.743,7.65,2.7,8.55,1.35,4.89,0.098,0.492,0.262,0.311,0.408,,,,,,,87.0,95.0,92.0,,,,89.0,86.0,87.0,,,,0.582,,0.092,,,,,-2.98,,-0.79,,,,93.7,,94.6,,,0.342,0.526,0.13,0.286,0.857,0.375,,,,,,,,,,0.125,0.125,0.415,,,,,,,,,,,,,95.0,100.0,97.0,0.326,3.15,86.7
51,2024-06-10,745982,Lineout,field_out,True,543807,606303,George Springer,Joel Payamps,0,88cd5ef8-43be-46ba-ad3f-cda1611be4d6,606303.0,joelpayamps,Payamps,Right,Joel Payamps,MIL,4.41,5.58,34.2,101.0,104.0,102.0,0.767,8.05,2.86,7.79,1.56,0.95,0.155,0.466,0.146,0.33,0.445,,,,99.0,102.0,98.0,95.0,99.0,97.0,113.0,104.0,110.0,,,,,,,0.205,0.303,,,0.386,,0.1,,,0.86,-0.5,,94.7,,,94.7,83.7,,0.207,0.414,0.123,,,,0.176,0.471,0.365,0.245,0.415,0.275,,,,,,,104.0,92.0,92.0,0.106,-0.89,89.6,,,,0.313,0.375,0.219,,,,,,
52,2024-06-10,745982,Strikeout,strikeout,True,662139,606303,Daulton Varsho,Joel Payamps,0,d73e33a2-2b98-4a0f-82c2-cd4b7ee556ae,606303.0,joelpayamps,Payamps,Right,Joel Payamps,MIL,4.41,5.58,34.2,101.0,104.0,102.0,0.767,8.05,2.86,7.79,1.56,0.95,0.155,0.466,0.146,0.33,0.445,,,,99.0,102.0,98.0,95.0,99.0,97.0,113.0,104.0,110.0,,,,,,,0.205,0.303,,,0.386,,0.1,,,0.86,-0.5,,94.7,,,94.7,83.7,,0.207,0.414,0.123,,,,0.176,0.471,0.365,0.245,0.415,0.275,,,,,,,104.0,92.0,92.0,0.106,-0.89,89.6,,,,0.313,0.375,0.219,,,,,,
53,2024-06-10,745982,Pop Out,field_out,True,643396,606303,Isiah Kiner-Falefa,Joel Payamps,0,e4c55cae-864d-4df2-81be-1baa2b380def,606303.0,joelpayamps,Payamps,Right,Joel Payamps,MIL,4.41,5.58,34.2,101.0,104.0,102.0,0.767,8.05,2.86,7.79,1.56,0.95,0.155,0.466,0.146,0.33,0.445,,,,99.0,102.0,98.0,95.0,99.0,97.0,113.0,104.0,110.0,,,,,,,0.205,0.303,,,0.386,,0.1,,,0.86,-0.5,,94.7,,,94.7,83.7,,0.207,0.414,0.123,,,,0.176,0.471,0.365,0.245,0.415,0.275,,,,,,,104.0,92.0,92.0,0.106,-0.89,89.6,,,,0.313,0.375,0.219,,,,,,
54,2024-06-10,745982,Groundout,field_out,True,661388,663893,William Contreras,Brendon Little,0,102c753c-c244-420b-98ac-fb2b5d04c38a,663893.0,brendonlittle,Little,Left,Brendon Little,TOR,4.5,3.46,20.0,96.0,90.0,93.0,0.743,7.65,2.7,8.55,1.35,4.89,0.098,0.492,0.262,0.311,0.408,,,,,,,87.0,95.0,92.0,,,,89.0,86.0,87.0,,,,0.582,,0.092,,,,,-2.98,,-0.79,,,,93.7,,94.6,,,0.342,0.526,0.13,0.286,0.857,0.375,,,,,,,,,,0.125,0.125,0.415,,,,,,,,,,,,,95.0,100.0,97.0,0.326,3.15,86.7
55,2024-06-10,745982,Strikeout,strikeout,True,592885,663893,Christian Yelich,Brendon Little,0,9073c5c3-0814-4c6e-bf8e-afd3e678c587,663893.0,brendonlittle,Little,Left,Brendon Little,TOR,4.5,3.46,20.0,96.0,90.0,93.0,0.743,7.65,2.7,8.55,1.35,4.89,0.098,0.492,0.262,0.311,0.408,,,,,,,87.0,95.0,92.0,,,,89.0,86.0,87.0,,,,0.582,,0.092,,,,,-2.98,,-0.79,,,,93.7,,94.6,,,0.342,0.526,0.13,0.286,0.857,0.375,,,,,,,,,,0.125,0.125,0.415,,,,,,,,,,,,,95.0,100.0,97.0,0.326,3.15,86.7
56,2024-06-10,745982,Groundout,field_out,True,642715,663893,Willy Adames,Brendon Little,0,95142ec8-2094-4f2f-b039-f4e78211ea7d,663893.0,brendonlittle,Little,Left,Brendon Little,TOR,4.5,3.46,20.0,96.0,90.0,93.0,0.743,7.65,2.7,8.55,1.35,4.89,0.098,0.492,0.262,0.311,0.408,,,,,,,87.0,95.0,92.0,,,,89.0,86.0,87.0,,,,0.582,,0.092,,,,,-2.98,,-0.79,,,,93.7,,94.6,,,0.342,0.526,0.13,0.286,0.857,0.375,,,,,,,,,,0.125,0.125,0.415,,,,,,,,,,,,,95.0,100.0,97.0,0.326,3.15,86.7
