,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFS,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
30,2024-09-24,745441,Flyout,field_out,True,686217,663559,Sal Frelick,Bailey Falter,1,c8947095-0e74-4561-815f-9c0c78144a26,663559.0,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.9,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,100.0,99.0,98.0,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,43.0,95.0,70.0,0.142,0.484,0.006,0.216,0.152,0.38,-7.04,1.23,0.27,-1.24,91.8,86.9,92.0,86.1,77.7,0.257,0.415,0.165,0.245,0.304,0.287,0.253,0.432,0.161,0.305,0.61,0.207,0.333,1.333,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2024-09-24,745441,Fielders Choice,fielders_choice,False,687401,663559,Joey Ortiz,Bailey Falter,1,0a9d2cc5-07c6-4d43-bb5b-948c48e72367,663559.0,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.9,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,100.0,99.0,98.0,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,43.0,95.0,70.0,0.142,0.484,0.006,0.216,0.152,0.38,-7.04,1.23,0.27,-1.24,91.8,86.9,92.0,86.1,77.7,0.257,0.415,0.165,0.245,0.304,0.287,0.253,0.432,0.161,0.305,0.61,0.207,0.333,1.333,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2024-09-24,745441,Flyout,field_out,True,668930,663559,Brice Turang,Bailey Falter,0,9795aa4d-bfab-4373-9947-dca4ca4c3f86,663559.0,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.9,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,100.0,99.0,98.0,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,43.0,95.0,70.0,0.142,0.484,0.006,0.216,0.152,0.38,-7.04,1.23,0.27,-1.24,91.8,86.9,92.0,86.1,77.7,0.257,0.415,0.165,0.245,0.304,0.287,0.253,0.432,0.161,0.305,0.61,0.207,0.333,1.333,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2024-09-24,745441,Single,single,False,694192,663559,Jackson Chourio,Bailey Falter,1,10adecb2-4a02-45fe-ab7c-e645bf418523,663559.0,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.9,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,100.0,99.0,98.0,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,43.0,95.0,70.0,0.142,0.484,0.006,0.216,0.152,0.38,-7.04,1.23,0.27,-1.24,91.8,86.9,92.0,86.1,77.7,0.257,0.415,0.165,0.245,0.304,0.287,0.253,0.432,0.161,0.305,0.61,0.207,0.333,1.333,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2024-09-24,745441,Pop Out,field_out,True,663368,663559,Blake Perkins,Bailey Falter,0,c74ad98f-e35c-4981-acf5-c17f39f0dc20,663559.0,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.9,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,100.0,99.0,98.0,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,43.0,95.0,70.0,0.142,0.484,0.006,0.216,0.152,0.38,-7.04,1.23,0.27,-1.24,91.8,86.9,92.0,86.1,77.7,0.257,0.415,0.165,0.245,0.304,0.287,0.253,0.432,0.161,0.305,0.61,0.207,0.333,1.333,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2024-09-24,745441,Flyout,field_out,True,669707,668964,Jared Triolo,Tobias Myers,0,1f089150-51fd-44be-a081-9f91fb97fb67,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.11,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,73.0,99.0,104.0,87.0,105.0,100.0,71.0,92.0,74.0,92.0,106.0,103.0,,,,0.005,0.401,,0.21,0.041,0.58,,11.28,1.43,-3.19,92.9,,91.5,85.5,77.8,0.239,0.436,0.192,0.198,0.255,0.248,0.0,0.0,0.0,0.421,0.579,0.194,,,,109.0,86.0,90.0,96.0,100.0,91.0,0.23,0.114,-0.75,1.18,89.2,81.1,0.33,0.495,0.119,0.083,0.083,0.444,,,,,,,,,
36,2024-09-24,745441,Strikeout,strikeout,True,694377,668964,Nick Yorke,Tobias Myers,0,58c37e26-7dfa-44c7-9c3c-be1ab2bb600e,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.11,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,73.0,99.0,104.0,87.0,105.0,100.0,71.0,92.0,74.0,92.0,106.0,103.0,,,,0.005,0.401,,0.21,0.041,0.58,,11.28,1.43,-3.19,92.9,,91.5,85.5,77.8,0.239,0.436,0.192,0.198,0.255,0.248,0.0,0.0,0.0,0.421,0.579,0.194,,,,109.0,86.0,90.0,96.0,100.0,91.0,0.23,0.114,-0.75,1.18,89.2,81.1,0.33,0.495,0.119,0.083,0.083,0.444,,,,,,,,,
37,2024-09-24,745441,Groundout,field_out,True,695257,668964,Billy Cook,Tobias Myers,0,d0324c0d-dd3f-4406-a7c1-34384ba9dec2,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.11,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,73.0,99.0,104.0,87.0,105.0,100.0,71.0,92.0,74.0,92.0,106.0,103.0,,,,0.005,0.401,,0.21,0.041,0.58,,11.28,1.43,-3.19,92.9,,91.5,85.5,77.8,0.239,0.436,0.192,0.198,0.255,0.248,0.0,0.0,0.0,0.421,0.579,0.194,,,,109.0,86.0,90.0,96.0,100.0,91.0,0.23,0.114,-0.75,1.18,89.2,81.1,0.33,0.495,0.119,0.083,0.083,0.444,,,,,,,,,
38,2024-09-24,745441,Strikeout,strikeout,True,661388,663559,William Contreras,Bailey Falter,0,b450e504-d96b-4b3f-81d5-e75c487305e9,663559.0,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.9,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,100.0,99.0,98.0,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,43.0,95.0,70.0,0.142,0.484,0.006,0.216,0.152,0.38,-7.04,1.23,0.27,-1.24,91.8,86.9,92.0,86.1,77.7,0.257,0.415,0.165,0.245,0.304,0.287,0.253,0.432,0.161,0.305,0.61,0.207,0.333,1.333,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2024-09-24,745441,Strikeout,strikeout,True,596142,663559,Gary Sánchez,Bailey Falter,0,d5dd1007-94c8-4f0b-a34c-d5f37ad2d116,663559.0,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.9,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,100.0,99.0,98.0,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,43.0,95.0,70.0,0.142,0.484,0.006,0.216,0.152,0.38,-7.04,1.23,0.27,-1.24,91.8,86.9,92.0,86.1,77.7,0.257,0.415,0.165,0.245,0.304,0.287,0.253,0.432,0.161,0.305,0.61,0.207,0.333,1.333,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
