,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
52,2024-09-13,745855,Single,single,False,467793,687924,Carlos Santana,Julian Aguiar,1,26c6b374-81f9-4df0-824d-0b79d645cc99,687924.0,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,4.88,4.76,27.2,97.0,86.0,98.0,0.83,4.88,3.25,7.81,1.95,0.77,0.209,0.44,0.209,0.231,0.453,97.0,90.0,94.0,94.0,92.0,100.0,,,,93.0,100.0,105.0,,,,,,0.18,0.095,0.198,,,0.86,-3.04,-1.7,,,84.0,80.2,78.1,,,,0.217,0.391,0.277,,,,0.143,0.357,0.229,0.2,0.5,0.176,79.0,101.0,97.0,0.527,0.5,94.2,0.254,0.475,0.151,,,,,,,,,,,,
53,2024-09-13,745855,Forceout,force_out,True,621439,687924,Byron Buxton,Julian Aguiar,1,e6807e03-4d9e-420a-a372-86d6061b7764,687924.0,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,4.88,4.76,27.2,97.0,86.0,98.0,0.83,4.88,3.25,7.81,1.95,0.77,0.209,0.44,0.209,0.231,0.453,97.0,90.0,94.0,94.0,92.0,100.0,,,,93.0,100.0,105.0,,,,,,0.18,0.095,0.198,,,0.86,-3.04,-1.7,,,84.0,80.2,78.1,,,,0.217,0.391,0.277,,,,0.143,0.357,0.229,0.2,0.5,0.176,79.0,101.0,97.0,0.527,0.5,94.2,0.254,0.475,0.151,,,,,,,,,,,,
54,2024-09-13,745855,Single,single,False,650489,571656,Willi Castro,Buck Farmer,1,efed97a6-9373-40cb-98fa-278cf0860680,571656.0,buckfarmer,"Farmer, B",Right,Buck Farmer,CIN,3.17,4.33,65.1,99.0,93.0,100.0,0.763,8.82,3.72,7.3,0.96,0.84,0.233,0.428,0.189,0.283,0.395,110.0,104.0,108.0,,,,52.0,93.0,81.0,120.0,102.0,111.0,,,,0.211,,0.342,,0.214,0.46,,1.36,,-0.92,92.7,,86.8,82.2,,0.2,0.378,0.155,0.281,0.386,0.336,,,,0.137,0.315,0.364,,,,75.0,93.0,91.0,0.234,0.81,92.5,0.277,0.446,0.165,,,,,,,,,,,,
55,2024-09-13,745855,Groundout,field_out,True,680777,571656,Ryan Jeffers,Buck Farmer,1,3992ba8f-3912-43c0-b96f-51bad6a216e1,571656.0,buckfarmer,"Farmer, B",Right,Buck Farmer,CIN,3.17,4.33,65.1,99.0,93.0,100.0,0.763,8.82,3.72,7.3,0.96,0.84,0.233,0.428,0.189,0.283,0.395,110.0,104.0,108.0,,,,52.0,93.0,81.0,120.0,102.0,111.0,,,,0.211,,0.342,,0.214,0.46,,1.36,,-0.92,92.7,,86.8,82.2,,0.2,0.378,0.155,0.281,0.386,0.336,,,,0.137,0.315,0.364,,,,75.0,93.0,91.0,0.234,0.81,92.5,0.277,0.446,0.165,,,,,,,,,,,,
56,2024-09-13,745855,Single,single,False,686797,571656,Brooks Lee,Buck Farmer,1,880889cf-3f5b-4efd-9e11-31a124c216f7,571656.0,buckfarmer,"Farmer, B",Right,Buck Farmer,CIN,3.17,4.33,65.1,99.0,93.0,100.0,0.763,8.82,3.72,7.3,0.96,0.84,0.233,0.428,0.189,0.283,0.395,110.0,104.0,108.0,,,,52.0,93.0,81.0,120.0,102.0,111.0,,,,0.211,,0.342,,0.214,0.46,,1.36,,-0.92,92.7,,86.8,82.2,,0.2,0.378,0.155,0.281,0.386,0.336,,,,0.137,0.315,0.364,,,,75.0,93.0,91.0,0.234,0.81,92.5,0.277,0.446,0.165,,,,,,,,,,,,
57,2024-09-13,745855,Lineout,field_out,True,666397,663574,Edouard Julien,Tony Santillan,1,1ad169bc-3cea-4f56-b71c-f06746d356a9,663574.0,tonysantillan,Santillan,Right,Tony Santillan,CIN,2.52,2.27,25.0,109.0,111.0,108.0,0.721,14.04,2.88,5.4,1.08,1.05,0.352,0.259,0.093,0.278,0.473,72.0,104.0,100.0,,,,103.0,113.0,107.0,125.0,103.0,110.0,,,,0.607,,0.381,,0.012,2.21,,0.67,,2.55,97.2,,92.0,86.9,,0.143,0.304,0.322,,,,,,,0.194,0.222,0.279,,,,,,,,,,,,,,,,,,,,,,,,
58,2024-09-13,745855,Double,double,False,668715,543859,Spencer Steer,Michael Tonkin,0,cef10e01-0d52-4d4a-b7d3-749257794dcf,543859.0,michaeltonkin,Tonkin,Right,Michael Tonkin,- - -,3.75,4.42,74.1,98.0,103.0,99.0,0.787,9.44,3.39,7.75,0.73,1.14,0.167,0.429,0.158,0.291,0.406,,,,,,,111.0,103.0,102.0,106.0,94.0,98.0,,,,0.38,,0.443,,,0.41,,-0.37,,,93.2,,,83.1,,0.214,0.368,0.238,,,,,,,0.204,0.296,0.267,,,,84.0,99.0,97.0,0.177,1.07,92.5,0.31,0.429,0.165,0.444,0.556,0.25,,,,,,,,,
59,2024-09-13,745855,Single,single,False,670770,543859,TJ Friedl,Michael Tonkin,1,05079124-25a4-4a67-9860-565468b4a606,543859.0,michaeltonkin,Tonkin,Right,Michael Tonkin,- - -,3.75,4.42,74.1,98.0,103.0,99.0,0.787,9.44,3.39,7.75,0.73,1.14,0.167,0.429,0.158,0.291,0.406,,,,,,,111.0,103.0,102.0,106.0,94.0,98.0,,,,0.38,,0.443,,,0.41,,-0.37,,,93.2,,,83.1,,0.214,0.368,0.238,,,,,,,0.204,0.296,0.267,,,,84.0,99.0,97.0,0.177,1.07,92.5,0.31,0.429,0.165,0.444,0.556,0.25,,,,,,,,,
60,2024-09-13,745855,Double Play,double_play,True,664034,543859,Ty France,Michael Tonkin,1,ce88c420-4c67-4b99-b38b-ea1dc73ac701,543859.0,michaeltonkin,Tonkin,Right,Michael Tonkin,- - -,3.75,4.42,74.1,98.0,103.0,99.0,0.787,9.44,3.39,7.75,0.73,1.14,0.167,0.429,0.158,0.291,0.406,,,,,,,111.0,103.0,102.0,106.0,94.0,98.0,,,,0.38,,0.443,,,0.41,,-0.37,,,93.2,,,83.1,,0.214,0.368,0.238,,,,,,,0.204,0.296,0.267,,,,84.0,99.0,97.0,0.177,1.07,92.5,0.31,0.429,0.165,0.444,0.556,0.25,,,,,,,,,
61,2024-09-13,745855,Flyout,field_out,True,669289,543859,Santiago Espinal,Michael Tonkin,0,7e5a5ec4-5640-47e4-8448-8eb229ea9faf,543859.0,michaeltonkin,Tonkin,Right,Michael Tonkin,- - -,3.75,4.42,74.1,98.0,103.0,99.0,0.787,9.44,3.39,7.75,0.73,1.14,0.167,0.429,0.158,0.291,0.406,,,,,,,111.0,103.0,102.0,106.0,94.0,98.0,,,,0.38,,0.443,,,0.41,,-0.37,,,93.2,,,83.1,,0.214,0.368,0.238,,,,,,,0.204,0.296,0.267,,,,84.0,99.0,97.0,0.177,1.07,92.5,0.31,0.429,0.165,0.444,0.556,0.25,,,,,,,,,
