,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
46,2024-05-08,746879,Single,single,False,673490,669713,Ha-Seong Kim,Hayden Wesneski,0,e46e9a54-8743-442e-b026-87bcc0e72079,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.94,4.36,61.2,100.0,91.0,98.0,0.764,8.46,3.06,7.74,1.61,1.11,0.275,0.418,0.214,0.269,0.402,94.0,101.0,101.0,50.0,100.0,85.0,91.0,100.0,95.0,132.0,100.0,111.0,76.0,97.0,98.0,0.121,0.368,0.085,0.399,0.027,-0.5,2.33,-0.74,0.19,1.36,94.5,88.1,86.9,93.5,82.2,0.25,0.444,0.132,0.185,0.383,0.428,0.273,0.545,0.123,0.182,0.182,0.209,0.143,0.143,0.214,,,,,,,,,,,,,,,
47,2024-05-08,746879,Strikeout,strikeout,True,650333,663992,Luis Arraez,Richard Lovelady,1,b2a03461-13f8-4b71-a464-862249a3b51a,663992.0,richardlovelady,Lovelady,Left,Richard Lovelady,- - -,7.62,3.19,13.0,101.0,99.0,102.0,0.766,8.31,2.08,12.46,0.69,0.84,0.333,0.289,0.267,0.289,0.481,,,,54.0,108.0,106.0,95.0,100.0,95.0,116.0,98.0,105.0,,,,0.313,0.154,,0.533,,-5.92,,-2.76,1.89,,92.1,,,91.9,85.1,0.571,1.0,0.214,0.194,0.258,0.274,0.471,0.588,0.156,,,,,,,,,,,,,,,,,,,,,
48,2024-05-08,746879,Strikeout,strikeout,True,665487,663992,Fernando Tatis Jr.,Richard Lovelady,0,c0a5dccd-d1aa-4e80-b421-d00f3a66e976,663992.0,richardlovelady,Lovelady,Left,Richard Lovelady,- - -,7.62,3.19,13.0,101.0,99.0,102.0,0.766,8.31,2.08,12.46,0.69,0.84,0.333,0.289,0.267,0.289,0.481,,,,54.0,108.0,106.0,95.0,100.0,95.0,116.0,98.0,105.0,,,,0.313,0.154,,0.533,,-5.92,,-2.76,1.89,,92.1,,,91.9,85.1,0.571,1.0,0.214,0.194,0.258,0.274,0.471,0.588,0.156,,,,,,,,,,,,,,,,,,,,,
49,2024-05-08,746879,Walk,walk,False,630105,663992,Jake Cronenworth,Richard Lovelady,0,b4b9e98e-24ee-417e-84f7-74aeb55c60ed,663992.0,richardlovelady,Lovelady,Left,Richard Lovelady,- - -,7.62,3.19,13.0,101.0,99.0,102.0,0.766,8.31,2.08,12.46,0.69,0.84,0.333,0.289,0.267,0.289,0.481,,,,54.0,108.0,106.0,95.0,100.0,95.0,116.0,98.0,105.0,,,,0.313,0.154,,0.533,,-5.92,,-2.76,1.89,,92.1,,,91.9,85.1,0.571,1.0,0.214,0.194,0.258,0.274,0.471,0.588,0.156,,,,,,,,,,,,,,,,,,,,,
50,2024-05-08,746879,Forceout,force_out,True,592518,640470,Manny Machado,Adbert Alzolay,1,18d1921e-34d7-45ac-bfd3-7b9984af806f,640470.0,adbertalzolay,Alzolay,Right,Adbert Alzolay,CHC,4.67,6.79,17.1,98.0,112.0,98.0,0.792,6.75,3.12,9.87,3.12,1.0,0.236,0.545,0.073,0.291,0.392,77.0,77.0,74.0,93.0,106.0,99.0,94.0,84.0,78.0,126.0,109.0,116.0,101.0,96.0,93.0,0.237,0.204,0.076,0.477,0.006,0.4,-1.03,-1.82,-2.17,1.69,94.7,90.7,87.1,94.3,87.2,0.273,0.364,0.214,0.273,0.545,0.275,0.313,0.688,0.098,0.143,0.571,0.385,,,,,,,,,,,,,,,,,,
51,2024-05-08,746879,Strikeout,strikeout,True,641355,656302,Cody Bellinger,Dylan Cease,0,7522a78d-1ff7-4ddd-83a5-2f1fa78dd749,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,55.0,72.0,68.0,124.0,97.0,104.0,,,,113.0,101.0,105.0,113.0,89.0,90.0,,0.435,0.01,0.462,0.013,-0.1,-5.15,,1.62,-4.3,96.8,91.8,69.5,,87.1,0.244,0.445,0.225,0.182,0.273,0.379,,,,0.25,1.0,0.0,0.25,1.0,0.2,108.0,99.0,104.0,0.081,-0.64,82.7,0.242,0.455,0.333,,,,,,
52,2024-05-08,746879,Strikeout,strikeout,True,666624,656302,Christopher Morel,Dylan Cease,0,68f78144-1072-4a6c-9788-300654fa6d47,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,55.0,72.0,68.0,124.0,97.0,104.0,,,,113.0,101.0,105.0,113.0,89.0,90.0,,0.435,0.01,0.462,0.013,-0.1,-5.15,,1.62,-4.3,96.8,91.8,69.5,,87.1,0.244,0.445,0.225,0.182,0.273,0.379,,,,0.25,1.0,0.0,0.25,1.0,0.2,108.0,99.0,104.0,0.081,-0.64,82.7,0.242,0.455,0.333,,,,,,
53,2024-05-08,746879,Walk,walk,False,664023,656302,Ian Happ,Dylan Cease,0,fb5b6b7d-b5f2-40e9-beb4-40b3b921ad04,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,55.0,72.0,68.0,124.0,97.0,104.0,,,,113.0,101.0,105.0,113.0,89.0,90.0,,0.435,0.01,0.462,0.013,-0.1,-5.15,,1.62,-4.3,96.8,91.8,69.5,,87.1,0.244,0.445,0.225,0.182,0.273,0.379,,,,0.25,1.0,0.0,0.25,1.0,0.2,108.0,99.0,104.0,0.081,-0.64,82.7,0.242,0.455,0.333,,,,,,
54,2024-05-08,746879,Strikeout,strikeout,True,683737,656302,Michael Busch,Dylan Cease,0,2e99a211-cabe-4c00-bde8-e161e67e20c0,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,55.0,72.0,68.0,124.0,97.0,104.0,,,,113.0,101.0,105.0,113.0,89.0,90.0,,0.435,0.01,0.462,0.013,-0.1,-5.15,,1.62,-4.3,96.8,91.8,69.5,,87.1,0.244,0.445,0.225,0.182,0.273,0.379,,,,0.25,1.0,0.0,0.25,1.0,0.2,108.0,99.0,104.0,0.081,-0.64,82.7,0.242,0.455,0.333,,,,,,
55,2024-05-08,746879,Flyout,field_out,True,595777,640470,Jurickson Profar,Adbert Alzolay,0,b650fb00-0916-4c9d-ac8a-71b4a1b9457f,640470.0,adbertalzolay,Alzolay,Right,Adbert Alzolay,CHC,4.67,6.79,17.1,98.0,112.0,98.0,0.792,6.75,3.12,9.87,3.12,1.0,0.236,0.545,0.073,0.291,0.392,77.0,77.0,74.0,93.0,106.0,99.0,94.0,84.0,78.0,126.0,109.0,116.0,101.0,96.0,93.0,0.237,0.204,0.076,0.477,0.006,0.4,-1.03,-1.82,-2.17,1.69,94.7,90.7,87.1,94.3,87.2,0.273,0.364,0.214,0.273,0.545,0.275,0.313,0.688,0.098,0.143,0.571,0.385,,,,,,,,,,,,,,,,,,
56,2024-05-08,746879,Flyout,field_out,True,593428,640470,Xander Bogaerts,Adbert Alzolay,0,9359c55f-d2e8-4e3e-a9c9-d66525c49dd7,640470.0,adbertalzolay,Alzolay,Right,Adbert Alzolay,CHC,4.67,6.79,17.1,98.0,112.0,98.0,0.792,6.75,3.12,9.87,3.12,1.0,0.236,0.545,0.073,0.291,0.392,77.0,77.0,74.0,93.0,106.0,99.0,94.0,84.0,78.0,126.0,109.0,116.0,101.0,96.0,93.0,0.237,0.204,0.076,0.477,0.006,0.4,-1.03,-1.82,-2.17,1.69,94.7,90.7,87.1,94.3,87.2,0.273,0.364,0.214,0.273,0.545,0.275,0.313,0.688,0.098,0.143,0.571,0.385,,,,,,,,,,,,,,,,,,
57,2024-05-08,746879,Lineout,field_out,True,701538,640470,Jackson Merrill,Adbert Alzolay,0,ec228e38-f436-4976-ba2b-870f1cd6efe6,640470.0,adbertalzolay,Alzolay,Right,Adbert Alzolay,CHC,4.67,6.79,17.1,98.0,112.0,98.0,0.792,6.75,3.12,9.87,3.12,1.0,0.236,0.545,0.073,0.291,0.392,77.0,77.0,74.0,93.0,106.0,99.0,94.0,84.0,78.0,126.0,109.0,116.0,101.0,96.0,93.0,0.237,0.204,0.076,0.477,0.006,0.4,-1.03,-1.82,-2.17,1.69,94.7,90.7,87.1,94.3,87.2,0.273,0.364,0.214,0.273,0.545,0.275,0.313,0.688,0.098,0.143,0.571,0.385,,,,,,,,,,,,,,,,,,
