,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
22,2024-09-25,745442,Groundout,field_out,True,642715,682847,Willy Adames,Luis L. Ortiz,1,d080709d-0075-4745-bac1-b49bfba20bce,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.28,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.291,0.443,66.0,87.0,88.0,97.0,104.0,97.0,105.0,97.0,95.0,121.0,102.0,109.0,90.0,100.0,94.0,0.258,0.268,0.197,0.268,0.009,1.02,0.71,1.13,-0.41,0.21,95.9,91.0,90.6,94.9,85.8,0.237,0.374,0.129,0.187,0.331,0.208,0.203,0.392,0.307,0.273,0.416,0.168,,,,,,,,,,,,,,,,,,,,,
23,2024-09-25,745442,Groundout,field_out,True,641343,682847,Jake Bauers,Luis L. Ortiz,0,711599e5-7254-4dc1-ae8b-03633261dda7,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.28,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.291,0.443,66.0,87.0,88.0,97.0,104.0,97.0,105.0,97.0,95.0,121.0,102.0,109.0,90.0,100.0,94.0,0.258,0.268,0.197,0.268,0.009,1.02,0.71,1.13,-0.41,0.21,95.9,91.0,90.6,94.9,85.8,0.237,0.374,0.129,0.187,0.331,0.208,0.203,0.392,0.307,0.273,0.416,0.168,,,,,,,,,,,,,,,,,,,,,
24,2024-09-25,745442,Single,single,False,643396,642547,Isiah Kiner-Falefa,Freddy Peralta,0,74eba5ec-7903-49c2-96d6-740124aa9e24,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.68,3.88,173.2,98.0,103.0,100.0,0.719,10.36,3.52,7.41,1.35,0.82,0.262,0.376,0.201,0.318,0.373,84.0,92.0,88.0,112.0,99.0,101.0,,,,98.0,99.0,105.0,,,,,0.539,,0.217,0.175,0.05,,,-0.09,0.84,94.3,,87.7,,81.4,,,,0.239,0.424,0.25,0.201,0.381,0.407,,,,104.0,106.0,110.0,0.07,0.36,78.1,0.218,0.291,0.369,0.186,0.349,0.381,,,,,,,,,
25,2024-09-25,745442,Strikeout,strikeout,True,668804,642547,Bryan Reynolds,Freddy Peralta,1,88a67f90-b254-4e74-8f9f-7f7ed8d0a059,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.68,3.88,173.2,98.0,103.0,100.0,0.719,10.36,3.52,7.41,1.35,0.82,0.262,0.376,0.201,0.318,0.373,84.0,92.0,88.0,112.0,99.0,101.0,,,,98.0,99.0,105.0,,,,,0.539,,0.217,0.175,0.05,,,-0.09,0.84,94.3,,87.7,,81.4,,,,0.239,0.424,0.25,0.201,0.381,0.407,,,,104.0,106.0,110.0,0.07,0.36,78.1,0.218,0.291,0.369,0.186,0.349,0.381,,,,,,,,,
26,2024-09-25,745442,Groundout,field_out,True,665833,642547,Oneil Cruz,Freddy Peralta,1,82fb8b30-ed25-4b5e-a12e-78677efe7c64,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.68,3.88,173.2,98.0,103.0,100.0,0.719,10.36,3.52,7.41,1.35,0.82,0.262,0.376,0.201,0.318,0.373,84.0,92.0,88.0,112.0,99.0,101.0,,,,98.0,99.0,105.0,,,,,0.539,,0.217,0.175,0.05,,,-0.09,0.84,94.3,,87.7,,81.4,,,,0.239,0.424,0.25,0.201,0.381,0.407,,,,104.0,106.0,110.0,0.07,0.36,78.1,0.218,0.291,0.369,0.186,0.349,0.381,,,,,,,,,
27,2024-09-25,745442,Strikeout,strikeout,True,457705,642547,Andrew McCutchen,Freddy Peralta,0,bf491aa4-5eb6-497f-a9b2-fbaaabbe9631,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.68,3.88,173.2,98.0,103.0,100.0,0.719,10.36,3.52,7.41,1.35,0.82,0.262,0.376,0.201,0.318,0.373,84.0,92.0,88.0,112.0,99.0,101.0,,,,98.0,99.0,105.0,,,,,0.539,,0.217,0.175,0.05,,,-0.09,0.84,94.3,,87.7,,81.4,,,,0.239,0.424,0.25,0.201,0.381,0.407,,,,104.0,106.0,110.0,0.07,0.36,78.1,0.218,0.291,0.369,0.186,0.349,0.381,,,,,,,,,
28,2024-09-25,745442,Strikeout,strikeout,True,656555,682847,Rhys Hoskins,Luis L. Ortiz,0,3afeb409-a969-464c-940e-17b24ec43729,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.28,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.291,0.443,66.0,87.0,88.0,97.0,104.0,97.0,105.0,97.0,95.0,121.0,102.0,109.0,90.0,100.0,94.0,0.258,0.268,0.197,0.268,0.009,1.02,0.71,1.13,-0.41,0.21,95.9,91.0,90.6,94.9,85.8,0.237,0.374,0.129,0.187,0.331,0.208,0.203,0.392,0.307,0.273,0.416,0.168,,,,,,,,,,,,,,,,,,,,,
29,2024-09-25,745442,Single,single,False,686217,682847,Sal Frelick,Luis L. Ortiz,0,e8444de4-429f-41b6-ab98-ed5b84738bc9,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.28,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.291,0.443,66.0,87.0,88.0,97.0,104.0,97.0,105.0,97.0,95.0,121.0,102.0,109.0,90.0,100.0,94.0,0.258,0.268,0.197,0.268,0.009,1.02,0.71,1.13,-0.41,0.21,95.9,91.0,90.6,94.9,85.8,0.237,0.374,0.129,0.187,0.331,0.208,0.203,0.392,0.307,0.273,0.416,0.168,,,,,,,,,,,,,,,,,,,,,
30,2024-09-25,745442,Strikeout,strikeout,True,687401,682847,Joey Ortiz,Luis L. Ortiz,0,03e056ec-4140-43a9-9c58-3d366857b8c5,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.28,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.291,0.443,66.0,87.0,88.0,97.0,104.0,97.0,105.0,97.0,95.0,121.0,102.0,109.0,90.0,100.0,94.0,0.258,0.268,0.197,0.268,0.009,1.02,0.71,1.13,-0.41,0.21,95.9,91.0,90.6,94.9,85.8,0.237,0.374,0.129,0.187,0.331,0.208,0.203,0.392,0.307,0.273,0.416,0.168,,,,,,,,,,,,,,,,,,,,,
31,2024-09-25,745442,Groundout,field_out,True,668930,682847,Brice Turang,Luis L. Ortiz,0,954bf854-2a66-4aa2-bbfb-a7bdf5ae2033,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.28,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.291,0.443,66.0,87.0,88.0,97.0,104.0,97.0,105.0,97.0,95.0,121.0,102.0,109.0,90.0,100.0,94.0,0.258,0.268,0.197,0.268,0.009,1.02,0.71,1.13,-0.41,0.21,95.9,91.0,90.6,94.9,85.8,0.237,0.374,0.129,0.187,0.331,0.208,0.203,0.392,0.307,0.273,0.416,0.168,,,,,,,,,,,,,,,,,,,,,
