,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff
71,2024-09-10,744807,Strikeout,strikeout,True,696285,592426,Jacob Young,Luke Jackson,0,d793073f-f9e6-4276-86e7-f4ac69a2a075,592426.0,lukejackson,Jackson,Right,Luke Jackson,- - -,5.12,4.3,51.0,94.0,128.0,106.0,0.722,9.53,4.41,8.65,1.24,1.67,0.181,0.41,0.125,0.333,0.389,,,,136.0,107.0,119.0,98.0,96.0,96.0,144.0,91.0,110.0,0.32,0.526,0.145,,-0.46,-0.1,0.45,,94.7,,87.3,84.5,0.245,0.367,0.243,0.25,0.344,0.246,0.254,0.439,0.312,,,,,,,,,,92.0,87.0,73.0,,0.009,-3.28,,90.6,,,,,,,
72,2024-09-10,744807,Walk,walk,False,683083,592426,Nasim Nuñez,Luke Jackson,0,bec32db4-b94e-447a-91f0-ef93fd77980e,592426.0,lukejackson,Jackson,Right,Luke Jackson,- - -,5.12,4.3,51.0,94.0,128.0,106.0,0.722,9.53,4.41,8.65,1.24,1.67,0.181,0.41,0.125,0.333,0.389,,,,136.0,107.0,119.0,98.0,96.0,96.0,144.0,91.0,110.0,0.32,0.526,0.145,,-0.46,-0.1,0.45,,94.7,,87.3,84.5,0.245,0.367,0.243,0.25,0.344,0.246,0.254,0.439,0.312,,,,,,,,,,92.0,87.0,73.0,,0.009,-3.28,,90.6,,,,,,,
73,2024-09-10,744807,Groundout,field_out,True,695578,592426,James Wood,Luke Jackson,1,c2fc8da1-6b85-4fbb-8ccb-a99864469b79,592426.0,lukejackson,Jackson,Right,Luke Jackson,- - -,5.12,4.3,51.0,94.0,128.0,106.0,0.722,9.53,4.41,8.65,1.24,1.67,0.181,0.41,0.125,0.333,0.389,,,,136.0,107.0,119.0,98.0,96.0,96.0,144.0,91.0,110.0,0.32,0.526,0.145,,-0.46,-0.1,0.45,,94.7,,87.3,84.5,0.245,0.367,0.243,0.25,0.344,0.246,0.254,0.439,0.312,,,,,,,,,,92.0,87.0,73.0,,0.009,-3.28,,90.6,,,,,,,
74,2024-09-10,744807,Strikeout,strikeout,True,660688,592426,Keibert Ruiz,Luke Jackson,0,cb2b78b3-76de-4f10-aece-db3364b1fbf2,592426.0,lukejackson,Jackson,Right,Luke Jackson,- - -,5.12,4.3,51.0,94.0,128.0,106.0,0.722,9.53,4.41,8.65,1.24,1.67,0.181,0.41,0.125,0.333,0.389,,,,136.0,107.0,119.0,98.0,96.0,96.0,144.0,91.0,110.0,0.32,0.526,0.145,,-0.46,-0.1,0.45,,94.7,,87.3,84.5,0.245,0.367,0.243,0.25,0.344,0.246,0.254,0.439,0.312,,,,,,,,,,92.0,87.0,73.0,,0.009,-3.28,,90.6,,,,,,,
75,2024-09-10,744807,Home Run,home_run,False,671739,545121,Michael Harris II,Ildemaro Vargas,0,d4dce4cc-899f-426b-99ac-cb997226f604,545121.0,ildemarovargas,"Vargas, I",Right,Ildemaro Vargas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2024-09-10,744807,Lineout,field_out,True,642201,545121,Eli White,Ildemaro Vargas,0,9cc7dea3-45a0-4999-896e-84528260a7f1,545121.0,ildemarovargas,"Vargas, I",Right,Ildemaro Vargas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2024-09-10,744807,Hit By Pitch,hit_by_pitch,False,594807,545121,Adam Duvall,Ildemaro Vargas,0,3b6d03ac-83f6-4aed-9e58-4c41437ff4b7,545121.0,ildemarovargas,"Vargas, I",Right,Ildemaro Vargas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2024-09-10,744807,Grounded Into DP,grounded_into_double_play,True,621566,545121,Matt Olson,Ildemaro Vargas,1,2bfb9a8e-a8d2-40c0-bfc0-c0b0d455b453,545121.0,ildemarovargas,"Vargas, I",Right,Ildemaro Vargas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2024-09-10,744807,Groundout,field_out,True,665953,592426,Andrés Chaparro,Luke Jackson,0,75dd98ff-169e-4ab1-90fe-e126de9fbe7f,592426.0,lukejackson,Jackson,Right,Luke Jackson,- - -,5.12,4.3,51.0,94.0,128.0,106.0,0.722,9.53,4.41,8.65,1.24,1.67,0.181,0.41,0.125,0.333,0.389,,,,136.0,107.0,119.0,98.0,96.0,96.0,144.0,91.0,110.0,0.32,0.526,0.145,,-0.46,-0.1,0.45,,94.7,,87.3,84.5,0.245,0.367,0.243,0.25,0.344,0.246,0.254,0.439,0.312,,,,,,,,,,92.0,87.0,73.0,,0.009,-3.28,,90.6,,,,,,,
80,2024-09-10,744807,Double,double,False,677588,592426,José Tena,Luke Jackson,0,d6061e72-fa8a-45c3-8f82-48fd996d7ef1,592426.0,lukejackson,Jackson,Right,Luke Jackson,- - -,5.12,4.3,51.0,94.0,128.0,106.0,0.722,9.53,4.41,8.65,1.24,1.67,0.181,0.41,0.125,0.333,0.389,,,,136.0,107.0,119.0,98.0,96.0,96.0,144.0,91.0,110.0,0.32,0.526,0.145,,-0.46,-0.1,0.45,,94.7,,87.3,84.5,0.245,0.367,0.243,0.25,0.344,0.246,0.254,0.439,0.312,,,,,,,,,,92.0,87.0,73.0,,0.009,-3.28,,90.6,,,,,,,
81,2024-09-10,744807,Groundout,field_out,True,671117,592426,Darren Baker,Luke Jackson,1,ccd8fdde-d1ca-45ff-bb03-46af62c05751,592426.0,lukejackson,Jackson,Right,Luke Jackson,- - -,5.12,4.3,51.0,94.0,128.0,106.0,0.722,9.53,4.41,8.65,1.24,1.67,0.181,0.41,0.125,0.333,0.389,,,,136.0,107.0,119.0,98.0,96.0,96.0,144.0,91.0,110.0,0.32,0.526,0.145,,-0.46,-0.1,0.45,,94.7,,87.3,84.5,0.245,0.367,0.243,0.25,0.344,0.246,0.254,0.439,0.312,,,,,,,,,,92.0,87.0,73.0,,0.009,-3.28,,90.6,,,,,,,
82,2024-09-10,744807,Strikeout,strikeout,True,686611,592426,Dylan Crews,Luke Jackson,0,5681575b-a94c-45e9-9a93-b7854a907f08,592426.0,lukejackson,Jackson,Right,Luke Jackson,- - -,5.12,4.3,51.0,94.0,128.0,106.0,0.722,9.53,4.41,8.65,1.24,1.67,0.181,0.41,0.125,0.333,0.389,,,,136.0,107.0,119.0,98.0,96.0,96.0,144.0,91.0,110.0,0.32,0.526,0.145,,-0.46,-0.1,0.45,,94.7,,87.3,84.5,0.245,0.367,0.243,0.25,0.344,0.246,0.254,0.439,0.312,,,,,,,,,,92.0,87.0,73.0,,0.009,-3.28,,90.6,,,,,,,
