,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,KC%,wFS/C,wSI/C,wKC/C,vFS,vSI,vKC,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff
39,2024-06-26,745073,Home Run,home_run,False,663728,542888,Cal Raleigh,Shawn Armstrong,1,2614a80f-91c1-400d-bf96-1b418db18573,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,,,,,,,87.0,112.0,107.0,112.0,113.0,111.0,105.0,104.0,102.0,0.358,0.308,0.051,,,0.53,-0.4,-4.27,,,93.2,90.1,,83.3,,0.21,0.387,0.336,,,,0.286,0.571,0.25,,,,0.25,0.5,0.212,96.0,98.0,95.0,,,,,,,0.283,,,,-2.52,,,93.6,,0.424,0.492,0.09,,,
40,2024-06-26,745073,Pop Out,field_out,True,664034,542888,Ty France,Shawn Armstrong,0,c1ce2b0d-6304-4774-9d55-8b77f1184a5f,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,,,,,,,87.0,112.0,107.0,112.0,113.0,111.0,105.0,104.0,102.0,0.358,0.308,0.051,,,0.53,-0.4,-4.27,,,93.2,90.1,,83.3,,0.21,0.387,0.336,,,,0.286,0.571,0.25,,,,0.25,0.5,0.212,96.0,98.0,95.0,,,,,,,0.283,,,,-2.52,,,93.6,,0.424,0.492,0.09,,,
41,2024-06-26,745073,Flyout,field_out,True,650490,669923,Yandy Díaz,George Kirby,0,3f017ac8-bb35-4ca4-804b-b4f51c3f3e90,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.29,3.29,117.2,106.0,107.0,106.0,0.781,8.87,0.99,7.95,0.84,1.0,0.282,0.35,0.208,0.258,0.434,,,,,,,103.0,107.0,102.0,112.0,102.0,109.0,97.0,99.0,93.0,0.36,0.006,0.228,,,1.58,0.82,0.55,,,95.8,92.3,,87.1,,0.196,0.35,0.304,,,,0.253,0.391,0.28,0.333,0.5,0.323,,,,105.0,110.0,108.0,121.0,111.0,115.0,112.0,99.0,109.0,0.225,0.106,0.075,-0.43,1.79,-2.88,85.7,95.8,83.1,0.256,0.35,0.097,0.2,0.32,0.288
42,2024-06-26,745073,Pop Out,field_out,True,666139,669923,Josh Lowe,George Kirby,0,89551c61-aacd-424b-9816-15429fa62183,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.29,3.29,117.2,106.0,107.0,106.0,0.781,8.87,0.99,7.95,0.84,1.0,0.282,0.35,0.208,0.258,0.434,,,,,,,103.0,107.0,102.0,112.0,102.0,109.0,97.0,99.0,93.0,0.36,0.006,0.228,,,1.58,0.82,0.55,,,95.8,92.3,,87.1,,0.196,0.35,0.304,,,,0.253,0.391,0.28,0.333,0.5,0.323,,,,105.0,110.0,108.0,121.0,111.0,115.0,112.0,99.0,109.0,0.225,0.106,0.075,-0.43,1.79,-2.88,85.7,95.8,83.1,0.256,0.35,0.097,0.2,0.32,0.288
43,2024-06-26,745073,Flyout,field_out,True,668227,669923,Randy Arozarena,George Kirby,0,d4787c8d-8cf1-41b8-b269-90c5ad3e1336,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.29,3.29,117.2,106.0,107.0,106.0,0.781,8.87,0.99,7.95,0.84,1.0,0.282,0.35,0.208,0.258,0.434,,,,,,,103.0,107.0,102.0,112.0,102.0,109.0,97.0,99.0,93.0,0.36,0.006,0.228,,,1.58,0.82,0.55,,,95.8,92.3,,87.1,,0.196,0.35,0.304,,,,0.253,0.391,0.28,0.333,0.5,0.323,,,,105.0,110.0,108.0,121.0,111.0,115.0,112.0,99.0,109.0,0.225,0.106,0.075,-0.43,1.79,-2.88,85.7,95.8,83.1,0.256,0.35,0.097,0.2,0.32,0.288
44,2024-06-26,745073,Single,single,False,641598,687330,Mitch Garver,Kevin Kelly,0,50c93cf9-cbd2-475c-9e88-fa174ccd30bf,687330.0,kevinkelly,Kelly,Right,Kevin Kelly,TBR,3.83,3.31,40.0,103.0,116.0,102.0,0.81,8.78,1.13,8.55,1.35,1.94,0.241,0.371,0.207,0.276,0.473,,,,,,,103.0,117.0,121.0,121.0,95.0,100.0,91.0,102.0,102.0,0.003,0.098,0.278,,,-70.48,1.24,0.41,,,90.7,87.7,,77.3,,,,,,,,0.158,0.316,0.347,,,,0.154,0.154,0.185,117.0,107.0,103.0,,,,,,,0.621,,,,0.02,,,90.7,,0.293,0.455,0.123,,,
45,2024-06-26,745073,Single,single,False,686527,687330,Dominic Canzone,Kevin Kelly,1,f2e5f445-062b-4988-bc26-6652c2f10ec7,687330.0,kevinkelly,Kelly,Right,Kevin Kelly,TBR,3.83,3.31,40.0,103.0,116.0,102.0,0.81,8.78,1.13,8.55,1.35,1.94,0.241,0.371,0.207,0.276,0.473,,,,,,,103.0,117.0,121.0,121.0,95.0,100.0,91.0,102.0,102.0,0.003,0.098,0.278,,,-70.48,1.24,0.41,,,90.7,87.7,,77.3,,,,,,,,0.158,0.316,0.347,,,,0.154,0.154,0.185,117.0,107.0,103.0,,,,,,,0.621,,,,0.02,,,90.7,,0.293,0.455,0.123,,,
46,2024-06-26,745073,Sac Bunt,sac_bunt,True,664238,687330,Dylan Moore,Kevin Kelly,1,2f7b07b9-2395-4734-95e4-9b7243077b26,687330.0,kevinkelly,Kelly,Right,Kevin Kelly,TBR,3.83,3.31,40.0,103.0,116.0,102.0,0.81,8.78,1.13,8.55,1.35,1.94,0.241,0.371,0.207,0.276,0.473,,,,,,,103.0,117.0,121.0,121.0,95.0,100.0,91.0,102.0,102.0,0.003,0.098,0.278,,,-70.48,1.24,0.41,,,90.7,87.7,,77.3,,,,,,,,0.158,0.316,0.347,,,,0.154,0.154,0.185,117.0,107.0,103.0,,,,,,,0.621,,,,0.02,,,90.7,,0.293,0.455,0.123,,,
47,2024-06-26,745073,Strikeout,strikeout,True,669208,687330,Ryan Bliss,Kevin Kelly,0,8f3cba3c-cc1f-496b-8c8b-9202b48434cd,687330.0,kevinkelly,Kelly,Right,Kevin Kelly,TBR,3.83,3.31,40.0,103.0,116.0,102.0,0.81,8.78,1.13,8.55,1.35,1.94,0.241,0.371,0.207,0.276,0.473,,,,,,,103.0,117.0,121.0,121.0,95.0,100.0,91.0,102.0,102.0,0.003,0.098,0.278,,,-70.48,1.24,0.41,,,90.7,87.7,,77.3,,,,,,,,0.158,0.316,0.347,,,,0.154,0.154,0.185,117.0,107.0,103.0,,,,,,,0.621,,,,0.02,,,90.7,,0.293,0.455,0.123,,,
48,2024-06-26,745073,Single,single,False,641487,687330,J.P. Crawford,Kevin Kelly,1,a7eb1498-37e0-4807-875a-11cbb8a712e6,687330.0,kevinkelly,Kelly,Right,Kevin Kelly,TBR,3.83,3.31,40.0,103.0,116.0,102.0,0.81,8.78,1.13,8.55,1.35,1.94,0.241,0.371,0.207,0.276,0.473,,,,,,,103.0,117.0,121.0,121.0,95.0,100.0,91.0,102.0,102.0,0.003,0.098,0.278,,,-70.48,1.24,0.41,,,90.7,87.7,,77.3,,,,,,,,0.158,0.316,0.347,,,,0.154,0.154,0.185,117.0,107.0,103.0,,,,,,,0.621,,,,0.02,,,90.7,,0.293,0.455,0.123,,,
