,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FC%,FS%,CU%,CH%,wFC/C,wFS/C,wSI/C,wCU/C,wCH/C,vFC,vFS,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff
66,2024-09-15,746506,Strikeout,strikeout,True,673548,683409,Seiya Suzuki,Angel Chivilli,0,2d7cae58-908a-4218-860d-41386dd1bb67,683409.0,angelchivilli,Chivilli,Right,Angel Chivilli,COL,3.55,4.76,25.1,101.0,86.0,99.0,0.629,7.46,1.42,8.88,2.13,1.64,0.247,0.506,0.143,0.364,0.378,91.0,106.0,106.0,,,,77.0,99.0,90.0,,,,,,,0.435,,,,0.403,,,1.92,,-1.0,,,87.5,95.9,,0.209,0.395,0.129,,,,,,,,,,0.267,0.489,0.525,,,,,,,,,,104.0,100.0,110.0,0.162,-3.63,87.2,0.4,1.0,0.444,,,
67,2024-09-15,746506,Strikeout,strikeout,True,641355,683409,Cody Bellinger,Angel Chivilli,0,8a21946e-fe94-45b3-aacf-4557e78ca079,683409.0,angelchivilli,Chivilli,Right,Angel Chivilli,COL,3.55,4.76,25.1,101.0,86.0,99.0,0.629,7.46,1.42,8.88,2.13,1.64,0.247,0.506,0.143,0.364,0.378,91.0,106.0,106.0,,,,77.0,99.0,90.0,,,,,,,0.435,,,,0.403,,,1.92,,-1.0,,,87.5,95.9,,0.209,0.395,0.129,,,,,,,,,,0.267,0.489,0.525,,,,,,,,,,104.0,100.0,110.0,0.162,-3.63,87.2,0.4,1.0,0.444,,,
68,2024-09-15,746506,Groundout,field_out,True,595909,624522,Jake Cave,Keegan Thompson,0,c947cab7-1c3f-4ee9-850e-96f4f1426659,624522.0,keeganthompson,"Thompson, K",Right,Keegan Thompson,CHC,2.67,4.27,27.0,97.0,100.0,98.0,0.744,11.0,5.33,5.33,0.67,0.96,0.238,0.397,0.095,0.254,0.402,101.0,75.0,78.0,95.0,108.0,108.0,78.0,71.0,40.0,121.0,94.0,94.0,,,,0.017,0.303,,0.144,0.015,2.41,,-3.65,-0.72,-0.45,89.7,,88.1,93.1,82.0,,,,,,,0.16,0.16,0.153,0.176,0.235,0.4,,,,75.0,97.0,96.0,0.376,-0.01,93.6,0.216,0.486,0.267,128.0,103.0,110.0,0.144,2.5,84.3,,,,0.063,0.063,0.469
69,2024-09-15,746506,Lineout,field_out,True,686668,624522,Brenton Doyle,Keegan Thompson,0,b5ff7480-cc21-4d6e-a7b0-a3c6d9fdd2f0,624522.0,keeganthompson,"Thompson, K",Right,Keegan Thompson,CHC,2.67,4.27,27.0,97.0,100.0,98.0,0.744,11.0,5.33,5.33,0.67,0.96,0.238,0.397,0.095,0.254,0.402,101.0,75.0,78.0,95.0,108.0,108.0,78.0,71.0,40.0,121.0,94.0,94.0,,,,0.017,0.303,,0.144,0.015,2.41,,-3.65,-0.72,-0.45,89.7,,88.1,93.1,82.0,,,,,,,0.16,0.16,0.153,0.176,0.235,0.4,,,,75.0,97.0,96.0,0.376,-0.01,93.6,0.216,0.486,0.267,128.0,103.0,110.0,0.144,2.5,84.3,,,,0.063,0.063,0.469
70,2024-09-15,746506,Lineout,field_out,True,641857,624522,Ryan McMahon,Keegan Thompson,0,fb07d2d3-6c56-4dc9-ae02-34d8a4e25976,624522.0,keeganthompson,"Thompson, K",Right,Keegan Thompson,CHC,2.67,4.27,27.0,97.0,100.0,98.0,0.744,11.0,5.33,5.33,0.67,0.96,0.238,0.397,0.095,0.254,0.402,101.0,75.0,78.0,95.0,108.0,108.0,78.0,71.0,40.0,121.0,94.0,94.0,,,,0.017,0.303,,0.144,0.015,2.41,,-3.65,-0.72,-0.45,89.7,,88.1,93.1,82.0,,,,,,,0.16,0.16,0.153,0.176,0.235,0.4,,,,75.0,97.0,96.0,0.376,-0.01,93.6,0.216,0.486,0.267,128.0,103.0,110.0,0.144,2.5,84.3,,,,0.063,0.063,0.469
71,2024-09-15,746506,Pop Out,field_out,True,670623,664875,Isaac Paredes,Justin Lawrence,0,98d2d525-23f4-4e4f-910d-0e5a2f5d05ca,664875.0,justinlawrence,"Lawrence, J",Right,Justin Lawrence,COL,6.04,6.06,56.2,94.0,107.0,101.0,0.8,6.51,4.92,10.48,1.43,1.98,0.23,0.415,0.109,0.317,0.411,,,,,,,78.0,93.0,93.0,,,,,,,0.594,,,,,,,-2.09,,,,,,94.5,,0.375,0.618,0.162,,,,,,,,,,,,,,,,,,,,,,151.0,95.0,114.0,0.406,0.16,83.1,,,,0.183,0.256,0.306
72,2024-09-15,746506,Home Run,home_run,False,683737,664875,Michael Busch,Justin Lawrence,0,a87941a0-c985-4c04-9371-307a022003a6,664875.0,justinlawrence,"Lawrence, J",Right,Justin Lawrence,COL,6.04,6.06,56.2,94.0,107.0,101.0,0.8,6.51,4.92,10.48,1.43,1.98,0.23,0.415,0.109,0.317,0.411,,,,,,,78.0,93.0,93.0,,,,,,,0.594,,,,,,,-2.09,,,,,,94.5,,0.375,0.618,0.162,,,,,,,,,,,,,,,,,,,,,,151.0,95.0,114.0,0.406,0.16,83.1,,,,0.183,0.256,0.306
73,2024-09-15,746506,Double,double,False,663538,664875,Nico Hoerner,Justin Lawrence,0,deac9c9b-88ad-4cb5-92fe-9f6e3fd264a0,664875.0,justinlawrence,"Lawrence, J",Right,Justin Lawrence,COL,6.04,6.06,56.2,94.0,107.0,101.0,0.8,6.51,4.92,10.48,1.43,1.98,0.23,0.415,0.109,0.317,0.411,,,,,,,78.0,93.0,93.0,,,,,,,0.594,,,,,,,-2.09,,,,,,94.5,,0.375,0.618,0.162,,,,,,,,,,,,,,,,,,,,,,151.0,95.0,114.0,0.406,0.16,83.1,,,,0.183,0.256,0.306
74,2024-09-15,746506,Home Run,home_run,False,691718,664875,Pete Crow-Armstrong,Justin Lawrence,1,f9d4ed23-8fa8-4f31-8f58-bea15cd125fd,664875.0,justinlawrence,"Lawrence, J",Right,Justin Lawrence,COL,6.04,6.06,56.2,94.0,107.0,101.0,0.8,6.51,4.92,10.48,1.43,1.98,0.23,0.415,0.109,0.317,0.411,,,,,,,78.0,93.0,93.0,,,,,,,0.594,,,,,,,-2.09,,,,,,94.5,,0.375,0.618,0.162,,,,,,,,,,,,,,,,,,,,,,151.0,95.0,114.0,0.406,0.16,83.1,,,,0.183,0.256,0.306
75,2024-09-15,746506,Strikeout,strikeout,True,542194,664875,Christian Bethancourt,Justin Lawrence,0,585af17b-8783-4099-9993-8f254e496103,664875.0,justinlawrence,"Lawrence, J",Right,Justin Lawrence,COL,6.04,6.06,56.2,94.0,107.0,101.0,0.8,6.51,4.92,10.48,1.43,1.98,0.23,0.415,0.109,0.317,0.411,,,,,,,78.0,93.0,93.0,,,,,,,0.594,,,,,,,-2.09,,,,,,94.5,,0.375,0.618,0.162,,,,,,,,,,,,,,,,,,,,,,151.0,95.0,114.0,0.406,0.16,83.1,,,,0.183,0.256,0.306
76,2024-09-15,746506,Walk,walk,False,664023,664875,Ian Happ,Justin Lawrence,0,bd1dac39-06da-4791-91e4-0cf4f4d84d55,664875.0,justinlawrence,"Lawrence, J",Right,Justin Lawrence,COL,6.04,6.06,56.2,94.0,107.0,101.0,0.8,6.51,4.92,10.48,1.43,1.98,0.23,0.415,0.109,0.317,0.411,,,,,,,78.0,93.0,93.0,,,,,,,0.594,,,,,,,-2.09,,,,,,94.5,,0.375,0.618,0.162,,,,,,,,,,,,,,,,,,,,,,151.0,95.0,114.0,0.406,0.16,83.1,,,,0.183,0.256,0.306
77,2024-09-15,746506,Walk,walk,False,621020,664875,Dansby Swanson,Justin Lawrence,1,0badc109-64e4-41b8-83c7-2c64bd6b6203,664875.0,justinlawrence,"Lawrence, J",Right,Justin Lawrence,COL,6.04,6.06,56.2,94.0,107.0,101.0,0.8,6.51,4.92,10.48,1.43,1.98,0.23,0.415,0.109,0.317,0.411,,,,,,,78.0,93.0,93.0,,,,,,,0.594,,,,,,,-2.09,,,,,,94.5,,0.375,0.618,0.162,,,,,,,,,,,,,,,,,,,,,,151.0,95.0,114.0,0.406,0.16,83.1,,,,0.183,0.256,0.306
78,2024-09-15,746506,Walk,walk,False,673548,664875,Seiya Suzuki,Justin Lawrence,1,853529ce-53fc-4173-ba37-7676947670aa,664875.0,justinlawrence,"Lawrence, J",Right,Justin Lawrence,COL,6.04,6.06,56.2,94.0,107.0,101.0,0.8,6.51,4.92,10.48,1.43,1.98,0.23,0.415,0.109,0.317,0.411,,,,,,,78.0,93.0,93.0,,,,,,,0.594,,,,,,,-2.09,,,,,,94.5,,0.375,0.618,0.162,,,,,,,,,,,,,,,,,,,,,,151.0,95.0,114.0,0.406,0.16,83.1,,,,0.183,0.256,0.306
79,2024-09-15,746506,Strikeout,strikeout,True,641355,664875,Cody Bellinger,Justin Lawrence,0,d6c849b0-bc89-477e-8499-c673ee12ecc8,664875.0,justinlawrence,"Lawrence, J",Right,Justin Lawrence,COL,6.04,6.06,56.2,94.0,107.0,101.0,0.8,6.51,4.92,10.48,1.43,1.98,0.23,0.415,0.109,0.317,0.411,,,,,,,78.0,93.0,93.0,,,,,,,0.594,,,,,,,-2.09,,,,,,94.5,,0.375,0.618,0.162,,,,,,,,,,,,,,,,,,,,,,151.0,95.0,114.0,0.406,0.16,83.1,,,,0.183,0.256,0.306
80,2024-09-15,746506,Walk,walk,False,669911,624522,Michael Toglia,Keegan Thompson,0,59ba3614-5663-40a2-b613-2a16dd4de3af,624522.0,keeganthompson,"Thompson, K",Right,Keegan Thompson,CHC,2.67,4.27,27.0,97.0,100.0,98.0,0.744,11.0,5.33,5.33,0.67,0.96,0.238,0.397,0.095,0.254,0.402,101.0,75.0,78.0,95.0,108.0,108.0,78.0,71.0,40.0,121.0,94.0,94.0,,,,0.017,0.303,,0.144,0.015,2.41,,-3.65,-0.72,-0.45,89.7,,88.1,93.1,82.0,,,,,,,0.16,0.16,0.153,0.176,0.235,0.4,,,,75.0,97.0,96.0,0.376,-0.01,93.6,0.216,0.486,0.267,128.0,103.0,110.0,0.144,2.5,84.3,,,,0.063,0.063,0.469
