,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC
28,2024-09-27,744797,Caught Stealing Home,caught_stealing_home,True,592206,592866,Nick Castellanos,Trevor Williams,1,30f413bf-3613-4e84-a6e8-87fe89cddf82,592866.0,trevorwilliams,Williams,Right,Trevor Williams,WSN,2.03,3.13,66.2,104.0,81.0,94.0,0.796,7.97,2.43,6.89,0.41,1.17,0.279,0.41,0.148,0.311,0.382,70.0,102.0,91.0,63.0,110.0,96.0,90.0,101.0,94.0,100.0,99.0,93.0,0.121,0.364,0.347,0.168,2.46,1.1,0.78,-0.36,88.9,82.8,87.7,78.7,0.196,0.271,0.178,0.25,0.341,0.213,0.135,0.162,0.459,0.296,0.407,0.059,0.261,0.391,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2024-09-27,744797,Lineout,field_out,True,545121,656457,Ildemaro Vargas,Tyler Gilbert,0,cd5dfe79-b9c4-4177-a04f-2f297c70f4a2,656457.0,tylergilbert,"Gilbert, T",Left,Tyler Gilbert,PHI,3.24,5.77,8.1,96.0,89.0,93.0,0.855,4.32,2.16,10.8,1.08,0.77,0.258,0.452,0.065,0.387,0.462,,,,80.0,96.0,88.0,93.0,95.0,96.0,90.0,92.0,86.0,0.366,0.324,0.152,,2.39,1.35,-4.98,,92.0,,91.4,84.3,0.083,0.083,0.167,,,,0.5,0.5,0.0,,,,0.3,0.4,0.152,,,,91.0,94.0,89.0,0.131,,-8.51,,89.8,,,,,0.5,1.0,0.182,122.0,106.0,106.0,122.0,61.0,64.0,0.007,0.021,-8.98,7.56,85.8,82.1
30,2024-09-27,744797,Groundout,field_out,True,696285,656457,Jacob Young,Tyler Gilbert,0,f9ac9fa0-0613-4ba0-bd31-5c1a84aba2ca,656457.0,tylergilbert,"Gilbert, T",Left,Tyler Gilbert,PHI,3.24,5.77,8.1,96.0,89.0,93.0,0.855,4.32,2.16,10.8,1.08,0.77,0.258,0.452,0.065,0.387,0.462,,,,80.0,96.0,88.0,93.0,95.0,96.0,90.0,92.0,86.0,0.366,0.324,0.152,,2.39,1.35,-4.98,,92.0,,91.4,84.3,0.083,0.083,0.167,,,,0.5,0.5,0.0,,,,0.3,0.4,0.152,,,,91.0,94.0,89.0,0.131,,-8.51,,89.8,,,,,0.5,1.0,0.182,122.0,106.0,106.0,122.0,61.0,64.0,0.007,0.021,-8.98,7.56,85.8,82.1
31,2024-09-27,744797,Walk,walk,False,683083,656457,Nasim Nuñez,Tyler Gilbert,0,517ddf57-4f13-4585-8668-2c1b7b10b7d3,656457.0,tylergilbert,"Gilbert, T",Left,Tyler Gilbert,PHI,3.24,5.77,8.1,96.0,89.0,93.0,0.855,4.32,2.16,10.8,1.08,0.77,0.258,0.452,0.065,0.387,0.462,,,,80.0,96.0,88.0,93.0,95.0,96.0,90.0,92.0,86.0,0.366,0.324,0.152,,2.39,1.35,-4.98,,92.0,,91.4,84.3,0.083,0.083,0.167,,,,0.5,0.5,0.0,,,,0.3,0.4,0.152,,,,91.0,94.0,89.0,0.131,,-8.51,,89.8,,,,,0.5,1.0,0.182,122.0,106.0,106.0,122.0,61.0,64.0,0.007,0.021,-8.98,7.56,85.8,82.1
32,2024-09-27,744797,Flyout,field_out,True,686611,656457,Dylan Crews,Tyler Gilbert,1,ee9d07cc-07f9-4f28-b015-98be5388a378,656457.0,tylergilbert,"Gilbert, T",Left,Tyler Gilbert,PHI,3.24,5.77,8.1,96.0,89.0,93.0,0.855,4.32,2.16,10.8,1.08,0.77,0.258,0.452,0.065,0.387,0.462,,,,80.0,96.0,88.0,93.0,95.0,96.0,90.0,92.0,86.0,0.366,0.324,0.152,,2.39,1.35,-4.98,,92.0,,91.4,84.3,0.083,0.083,0.167,,,,0.5,0.5,0.0,,,,0.3,0.4,0.152,,,,91.0,94.0,89.0,0.131,,-8.51,,89.8,,,,,0.5,1.0,0.182,122.0,106.0,106.0,122.0,61.0,64.0,0.007,0.021,-8.98,7.56,85.8,82.1
33,2024-09-27,744797,Flyout,field_out,True,592206,592866,Nick Castellanos,Trevor Williams,0,29653a19-6d36-47e8-ac1f-0996d9ac46f3,592866.0,trevorwilliams,Williams,Right,Trevor Williams,WSN,2.03,3.13,66.2,104.0,81.0,94.0,0.796,7.97,2.43,6.89,0.41,1.17,0.279,0.41,0.148,0.311,0.382,70.0,102.0,91.0,63.0,110.0,96.0,90.0,101.0,94.0,100.0,99.0,93.0,0.121,0.364,0.347,0.168,2.46,1.1,0.78,-0.36,88.9,82.8,87.7,78.7,0.196,0.271,0.178,0.25,0.341,0.213,0.135,0.162,0.459,0.296,0.407,0.059,0.261,0.391,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2024-09-27,744797,Groundout,field_out,True,664761,592866,Alec Bohm,Trevor Williams,0,05eaf4ab-85ca-4b92-ad81-64ca1fc90a0d,592866.0,trevorwilliams,Williams,Right,Trevor Williams,WSN,2.03,3.13,66.2,104.0,81.0,94.0,0.796,7.97,2.43,6.89,0.41,1.17,0.279,0.41,0.148,0.311,0.382,70.0,102.0,91.0,63.0,110.0,96.0,90.0,101.0,94.0,100.0,99.0,93.0,0.121,0.364,0.347,0.168,2.46,1.1,0.78,-0.36,88.9,82.8,87.7,78.7,0.196,0.271,0.178,0.25,0.341,0.213,0.135,0.162,0.459,0.296,0.407,0.059,0.261,0.391,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2024-09-27,744797,Groundout,field_out,True,681082,592866,Bryson Stott,Trevor Williams,0,3aa1cb6c-6ad2-4377-96c0-6c85c5140b1b,592866.0,trevorwilliams,Williams,Right,Trevor Williams,WSN,2.03,3.13,66.2,104.0,81.0,94.0,0.796,7.97,2.43,6.89,0.41,1.17,0.279,0.41,0.148,0.311,0.382,70.0,102.0,91.0,63.0,110.0,96.0,90.0,101.0,94.0,100.0,99.0,93.0,0.121,0.364,0.347,0.168,2.46,1.1,0.78,-0.36,88.9,82.8,87.7,78.7,0.196,0.271,0.178,0.25,0.341,0.213,0.135,0.162,0.459,0.296,0.407,0.059,0.261,0.391,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2024-09-27,744797,Strikeout,strikeout,True,695578,656457,James Wood,Tyler Gilbert,0,072326df-db2e-4007-bd94-9aa60564ff2e,656457.0,tylergilbert,"Gilbert, T",Left,Tyler Gilbert,PHI,3.24,5.77,8.1,96.0,89.0,93.0,0.855,4.32,2.16,10.8,1.08,0.77,0.258,0.452,0.065,0.387,0.462,,,,80.0,96.0,88.0,93.0,95.0,96.0,90.0,92.0,86.0,0.366,0.324,0.152,,2.39,1.35,-4.98,,92.0,,91.4,84.3,0.083,0.083,0.167,,,,0.5,0.5,0.0,,,,0.3,0.4,0.152,,,,91.0,94.0,89.0,0.131,,-8.51,,89.8,,,,,0.5,1.0,0.182,122.0,106.0,106.0,122.0,61.0,64.0,0.007,0.021,-8.98,7.56,85.8,82.1
37,2024-09-27,744797,Single,single,False,660766,656457,Juan Yepez,Tyler Gilbert,0,16d41d35-883f-4157-ab3a-2d5fdbed2006,656457.0,tylergilbert,"Gilbert, T",Left,Tyler Gilbert,PHI,3.24,5.77,8.1,96.0,89.0,93.0,0.855,4.32,2.16,10.8,1.08,0.77,0.258,0.452,0.065,0.387,0.462,,,,80.0,96.0,88.0,93.0,95.0,96.0,90.0,92.0,86.0,0.366,0.324,0.152,,2.39,1.35,-4.98,,92.0,,91.4,84.3,0.083,0.083,0.167,,,,0.5,0.5,0.0,,,,0.3,0.4,0.152,,,,91.0,94.0,89.0,0.131,,-8.51,,89.8,,,,,0.5,1.0,0.182,122.0,106.0,106.0,122.0,61.0,64.0,0.007,0.021,-8.98,7.56,85.8,82.1
38,2024-09-27,744797,Groundout,field_out,True,660688,656457,Keibert Ruiz,Tyler Gilbert,1,cec1b17c-202a-467a-9db2-e68de4204122,656457.0,tylergilbert,"Gilbert, T",Left,Tyler Gilbert,PHI,3.24,5.77,8.1,96.0,89.0,93.0,0.855,4.32,2.16,10.8,1.08,0.77,0.258,0.452,0.065,0.387,0.462,,,,80.0,96.0,88.0,93.0,95.0,96.0,90.0,92.0,86.0,0.366,0.324,0.152,,2.39,1.35,-4.98,,92.0,,91.4,84.3,0.083,0.083,0.167,,,,0.5,0.5,0.0,,,,0.3,0.4,0.152,,,,91.0,94.0,89.0,0.131,,-8.51,,89.8,,,,,0.5,1.0,0.182,122.0,106.0,106.0,122.0,61.0,64.0,0.007,0.021,-8.98,7.56,85.8,82.1
