,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
74,2024-05-11,745505,Pop Out,field_out,True,518735,621016,Yasmani Grandal,Jose Cuas,0,3bf52992-eca0-452a-a9c3-81f41d70e101,621016.0,josecuas,Cuas,Right,Jose Cuas,- - -,8.22,6.67,15.1,90.0,111.0,90.0,0.776,9.39,4.11,11.15,2.35,0.73,0.265,0.49,0.143,0.367,0.39,75.0,86.0,82.0,,,,144.0,105.0,101.0,110.0,66.0,80.0,0.4,0.314,0.248,,0.038,-0.13,-0.59,-6.51,,-5.51,91.5,87.4,92.3,82.6,,0.273,0.455,0.333,0.286,0.464,0.186,0.333,0.833,0.435,,,,,,,88.0,93.0,89.0,,,,,,,,,,,,,,,,,,
75,2024-05-11,745505,Single,single,False,669707,621016,Jared Triolo,Jose Cuas,0,4c316898-c67c-4e5b-9aea-638b12102b4b,621016.0,josecuas,Cuas,Right,Jose Cuas,- - -,8.22,6.67,15.1,90.0,111.0,90.0,0.776,9.39,4.11,11.15,2.35,0.73,0.265,0.49,0.143,0.367,0.39,75.0,86.0,82.0,,,,144.0,105.0,101.0,110.0,66.0,80.0,0.4,0.314,0.248,,0.038,-0.13,-0.59,-6.51,,-5.51,91.5,87.4,92.3,82.6,,0.273,0.455,0.333,0.286,0.464,0.186,0.333,0.833,0.435,,,,,,,88.0,93.0,89.0,,,,,,,,,,,,,,,,,,
76,2024-05-11,745505,Strikeout,strikeout,True,572191,621016,Michael A. Taylor,Jose Cuas,0,c304cd77-a7c6-4845-bbc2-33a93bbc7f63,621016.0,josecuas,Cuas,Right,Jose Cuas,- - -,8.22,6.67,15.1,90.0,111.0,90.0,0.776,9.39,4.11,11.15,2.35,0.73,0.265,0.49,0.143,0.367,0.39,75.0,86.0,82.0,,,,144.0,105.0,101.0,110.0,66.0,80.0,0.4,0.314,0.248,,0.038,-0.13,-0.59,-6.51,,-5.51,91.5,87.4,92.3,82.6,,0.273,0.455,0.333,0.286,0.464,0.186,0.333,0.833,0.435,,,,,,,88.0,93.0,89.0,,,,,,,,,,,,,,,,,,
77,2024-05-11,745505,Flyout,field_out,True,664023,676702,Ian Happ,Hunter Stratton,0,2c4d0567-e821-42ec-89fa-41f72af1bbda,676702.0,hunterstratton,"Stratton, H",Right,Hunter Stratton,PIT,4.26,2.75,31.2,101.0,111.0,102.0,0.739,8.53,1.42,8.53,0.85,0.87,0.287,0.372,0.191,0.287,0.437,,,,,,,102.0,100.0,104.0,123.0,101.0,105.0,0.037,0.346,0.236,,,-0.41,0.82,2.53,,,95.4,,95.6,84.3,,0.267,0.4,0.25,0.167,0.333,0.1,0.095,0.143,0.474,,,,,,,96.0,113.0,105.0,114.0,101.0,99.0,0.381,-0.28,92.0,0.3,0.48,0.243,,,,,,,,,
78,2024-05-11,745505,Pop Out,field_out,True,663538,676702,Nico Hoerner,Hunter Stratton,0,a71b42f6-629c-4ba8-97f1-6dcb19ddac52,676702.0,hunterstratton,"Stratton, H",Right,Hunter Stratton,PIT,4.26,2.75,31.2,101.0,111.0,102.0,0.739,8.53,1.42,8.53,0.85,0.87,0.287,0.372,0.191,0.287,0.437,,,,,,,102.0,100.0,104.0,123.0,101.0,105.0,0.037,0.346,0.236,,,-0.41,0.82,2.53,,,95.4,,95.6,84.3,,0.267,0.4,0.25,0.167,0.333,0.1,0.095,0.143,0.474,,,,,,,96.0,113.0,105.0,114.0,101.0,99.0,0.381,-0.28,92.0,0.3,0.48,0.243,,,,,,,,,
79,2024-05-11,745505,Strikeout,strikeout,True,683737,676702,Michael Busch,Hunter Stratton,0,01648e18-846b-4779-8500-0dd1bb781e2a,676702.0,hunterstratton,"Stratton, H",Right,Hunter Stratton,PIT,4.26,2.75,31.2,101.0,111.0,102.0,0.739,8.53,1.42,8.53,0.85,0.87,0.287,0.372,0.191,0.287,0.437,,,,,,,102.0,100.0,104.0,123.0,101.0,105.0,0.037,0.346,0.236,,,-0.41,0.82,2.53,,,95.4,,95.6,84.3,,0.267,0.4,0.25,0.167,0.333,0.1,0.095,0.143,0.474,,,,,,,96.0,113.0,105.0,114.0,101.0,99.0,0.381,-0.28,92.0,0.3,0.48,0.243,,,,,,,,,
80,2024-05-11,745505,Strikeout,strikeout,True,457705,621016,Andrew McCutchen,Jose Cuas,0,ff816699-8e4c-44be-8cdc-c4088a87f833,621016.0,josecuas,Cuas,Right,Jose Cuas,- - -,8.22,6.67,15.1,90.0,111.0,90.0,0.776,9.39,4.11,11.15,2.35,0.73,0.265,0.49,0.143,0.367,0.39,75.0,86.0,82.0,,,,144.0,105.0,101.0,110.0,66.0,80.0,0.4,0.314,0.248,,0.038,-0.13,-0.59,-6.51,,-5.51,91.5,87.4,92.3,82.6,,0.273,0.455,0.333,0.286,0.464,0.186,0.333,0.833,0.435,,,,,,,88.0,93.0,89.0,,,,,,,,,,,,,,,,,,
81,2024-05-11,745505,Walk,walk,False,668804,621016,Bryan Reynolds,Jose Cuas,0,a2ef0150-1330-476f-b34a-5cf90a58cdca,621016.0,josecuas,Cuas,Right,Jose Cuas,- - -,8.22,6.67,15.1,90.0,111.0,90.0,0.776,9.39,4.11,11.15,2.35,0.73,0.265,0.49,0.143,0.367,0.39,75.0,86.0,82.0,,,,144.0,105.0,101.0,110.0,66.0,80.0,0.4,0.314,0.248,,0.038,-0.13,-0.59,-6.51,,-5.51,91.5,87.4,92.3,82.6,,0.273,0.455,0.333,0.286,0.464,0.186,0.333,0.833,0.435,,,,,,,88.0,93.0,89.0,,,,,,,,,,,,,,,,,,
82,2024-05-11,745505,Grounded Into DP,grounded_into_double_play,True,656582,621016,Connor Joe,Jose Cuas,1,b9e6d694-f92b-4aed-8d1a-e9b972d1d56c,621016.0,josecuas,Cuas,Right,Jose Cuas,- - -,8.22,6.67,15.1,90.0,111.0,90.0,0.776,9.39,4.11,11.15,2.35,0.73,0.265,0.49,0.143,0.367,0.39,75.0,86.0,82.0,,,,144.0,105.0,101.0,110.0,66.0,80.0,0.4,0.314,0.248,,0.038,-0.13,-0.59,-6.51,,-5.51,91.5,87.4,92.3,82.6,,0.273,0.455,0.333,0.286,0.464,0.186,0.333,0.833,0.435,,,,,,,88.0,93.0,89.0,,,,,,,,,,,,,,,,,,
83,2024-05-11,745505,Double,double,False,670156,670280,Miles Mastrobuoni,David Bednar,0,46fa4bd8-b62a-4b6d-8d2f-72ff3f4037a5,670280.0,davidbednar,Bednar,Right,David Bednar,PIT,5.01,4.07,32.1,103.0,132.0,111.0,0.756,9.19,1.95,7.79,1.39,0.65,0.245,0.415,0.191,0.287,0.456,,,,97.0,94.0,100.0,146.0,105.0,115.0,,,,,0.597,,0.207,,0.22,,,1.61,,97.0,,,,77.0,0.256,0.439,0.244,,,,,,,0.0,0.0,0.167,,,,,,,,,,,,,,,,125.0,107.0,112.0,0.196,-0.81,92.2,0.233,0.467,0.385
84,2024-05-11,745505,Single,single,False,543228,670280,Yan Gomes,David Bednar,1,70ab6d47-0ab8-4b3a-9836-d4b26f50a09b,670280.0,davidbednar,Bednar,Right,David Bednar,PIT,5.01,4.07,32.1,103.0,132.0,111.0,0.756,9.19,1.95,7.79,1.39,0.65,0.245,0.415,0.191,0.287,0.456,,,,97.0,94.0,100.0,146.0,105.0,115.0,,,,,0.597,,0.207,,0.22,,,1.61,,97.0,,,,77.0,0.256,0.439,0.244,,,,,,,0.0,0.0,0.167,,,,,,,,,,,,,,,,125.0,107.0,112.0,0.196,-0.81,92.2,0.233,0.467,0.385
85,2024-05-11,745505,Sac Fly,sac_fly,True,643565,670280,Mike Tauchman,David Bednar,1,642c6bfa-6c13-42e3-b5b4-7263607b6ec0,670280.0,davidbednar,Bednar,Right,David Bednar,PIT,5.01,4.07,32.1,103.0,132.0,111.0,0.756,9.19,1.95,7.79,1.39,0.65,0.245,0.415,0.191,0.287,0.456,,,,97.0,94.0,100.0,146.0,105.0,115.0,,,,,0.597,,0.207,,0.22,,,1.61,,97.0,,,,77.0,0.256,0.439,0.244,,,,,,,0.0,0.0,0.167,,,,,,,,,,,,,,,,125.0,107.0,112.0,0.196,-0.81,92.2,0.233,0.467,0.385
86,2024-05-11,745505,Groundout,field_out,True,673548,670280,Seiya Suzuki,David Bednar,1,4732b90c-d431-4fb4-8714-193b135350ed,670280.0,davidbednar,Bednar,Right,David Bednar,PIT,5.01,4.07,32.1,103.0,132.0,111.0,0.756,9.19,1.95,7.79,1.39,0.65,0.245,0.415,0.191,0.287,0.456,,,,97.0,94.0,100.0,146.0,105.0,115.0,,,,,0.597,,0.207,,0.22,,,1.61,,97.0,,,,77.0,0.256,0.439,0.244,,,,,,,0.0,0.0,0.167,,,,,,,,,,,,,,,,125.0,107.0,112.0,0.196,-0.81,92.2,0.233,0.467,0.385
87,2024-05-11,745505,Lineout,field_out,True,641355,670280,Cody Bellinger,David Bednar,0,e62b856b-6c26-40ba-8494-f6dd78ed6a00,670280.0,davidbednar,Bednar,Right,David Bednar,PIT,5.01,4.07,32.1,103.0,132.0,111.0,0.756,9.19,1.95,7.79,1.39,0.65,0.245,0.415,0.191,0.287,0.456,,,,97.0,94.0,100.0,146.0,105.0,115.0,,,,,0.597,,0.207,,0.22,,,1.61,,97.0,,,,77.0,0.256,0.439,0.244,,,,,,,0.0,0.0,0.167,,,,,,,,,,,,,,,,125.0,107.0,112.0,0.196,-0.81,92.2,0.233,0.467,0.385
