,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff
52,2024-04-17,746807,Groundout,field_out,True,670032,623433,Nicky Lopez,Nick Anderson,1,1f5fb5a9-a567-46cf-b21d-18b8cf7cb2aa,623433.0,nickanderson,"Anderson, N",Right,Nick Anderson,KCR,4.04,5.06,35.2,100.0,88.0,97.0,0.78,7.32,3.79,8.83,1.51,0.98,0.324,0.361,0.102,0.324,0.478,79.0,80.0,86.0,61.0,96.0,87.0,70.0,102.0,95.0,,,,,,,0.269,0.223,,,0.052,-4.03,,0.61,,-0.82,94.7,,87.9,94.8,,0.245,0.429,0.191,,,,,,,,,,0.4,0.8,0.19,113.0,102.0,105.0,0.455,0.15,81.7,0.204,0.352,0.286
53,2024-04-17,746807,Strikeout,strikeout,True,455117,623433,Martín Maldonado,Nick Anderson,0,71cc837e-f4f4-4f3c-ae98-a3568e0b0adb,623433.0,nickanderson,"Anderson, N",Right,Nick Anderson,KCR,4.04,5.06,35.2,100.0,88.0,97.0,0.78,7.32,3.79,8.83,1.51,0.98,0.324,0.361,0.102,0.324,0.478,79.0,80.0,86.0,61.0,96.0,87.0,70.0,102.0,95.0,,,,,,,0.269,0.223,,,0.052,-4.03,,0.61,,-0.82,94.7,,87.9,94.8,,0.245,0.429,0.191,,,,,,,,,,0.4,0.8,0.19,113.0,102.0,105.0,0.455,0.15,81.7,0.204,0.352,0.286
54,2024-04-17,746807,Groundout,field_out,True,672580,656629,Maikel Garcia,Michael Kopech,0,a2c264bb-aa96-4caf-8b8a-0b66a936c152,656629.0,michaelkopech,Kopech,Right,Michael Kopech,CHW,5.05,3.96,41.0,100.0,143.0,110.0,0.693,12.29,5.05,7.46,1.76,0.93,0.278,0.412,0.134,0.268,0.442,92.0,17.0,15.0,153.0,99.0,111.0,,,,114.0,103.0,108.0,95.0,106.0,98.0,,0.795,0.107,0.096,0.001,0.09,0.67,,-2.76,-3.7,98.6,91.3,73.5,,86.5,,,,0.2,0.2,0.231,0.28,0.4,0.297,,,,0.22,0.422,0.322,,,,,,,,,
55,2024-04-17,746807,Single,single,False,677951,656629,Bobby Witt Jr.,Michael Kopech,0,c42212e1-9863-464a-986b-3fa156f118b6,656629.0,michaelkopech,Kopech,Right,Michael Kopech,CHW,5.05,3.96,41.0,100.0,143.0,110.0,0.693,12.29,5.05,7.46,1.76,0.93,0.278,0.412,0.134,0.268,0.442,92.0,17.0,15.0,153.0,99.0,111.0,,,,114.0,103.0,108.0,95.0,106.0,98.0,,0.795,0.107,0.096,0.001,0.09,0.67,,-2.76,-3.7,98.6,91.3,73.5,,86.5,,,,0.2,0.2,0.231,0.28,0.4,0.297,,,,0.22,0.422,0.322,,,,,,,,,
56,2024-04-17,746807,Flyout,field_out,True,686469,656629,Vinnie Pasquantino,Michael Kopech,1,f4536aa1-5351-4acb-9ff9-368d4923f241,656629.0,michaelkopech,Kopech,Right,Michael Kopech,CHW,5.05,3.96,41.0,100.0,143.0,110.0,0.693,12.29,5.05,7.46,1.76,0.93,0.278,0.412,0.134,0.268,0.442,92.0,17.0,15.0,153.0,99.0,111.0,,,,114.0,103.0,108.0,95.0,106.0,98.0,,0.795,0.107,0.096,0.001,0.09,0.67,,-2.76,-3.7,98.6,91.3,73.5,,86.5,,,,0.2,0.2,0.231,0.28,0.4,0.297,,,,0.22,0.422,0.322,,,,,,,,,
57,2024-04-17,746807,Home Run,home_run,False,521692,656629,Salvador Perez,Michael Kopech,1,0be53888-0c96-4349-93b4-14887753680c,656629.0,michaelkopech,Kopech,Right,Michael Kopech,CHW,5.05,3.96,41.0,100.0,143.0,110.0,0.693,12.29,5.05,7.46,1.76,0.93,0.278,0.412,0.134,0.268,0.442,92.0,17.0,15.0,153.0,99.0,111.0,,,,114.0,103.0,108.0,95.0,106.0,98.0,,0.795,0.107,0.096,0.001,0.09,0.67,,-2.76,-3.7,98.6,91.3,73.5,,86.5,,,,0.2,0.2,0.231,0.28,0.4,0.297,,,,0.22,0.422,0.322,,,,,,,,,
58,2024-04-17,746807,Strikeout,strikeout,True,669004,656629,MJ Melendez,Michael Kopech,0,9dd09bec-64f1-4df5-ba18-2d37b3eeb9b4,656629.0,michaelkopech,Kopech,Right,Michael Kopech,CHW,5.05,3.96,41.0,100.0,143.0,110.0,0.693,12.29,5.05,7.46,1.76,0.93,0.278,0.412,0.134,0.268,0.442,92.0,17.0,15.0,153.0,99.0,111.0,,,,114.0,103.0,108.0,95.0,106.0,98.0,,0.795,0.107,0.096,0.001,0.09,0.67,,-2.76,-3.7,98.6,91.3,73.5,,86.5,,,,0.2,0.2,0.231,0.28,0.4,0.297,,,,0.22,0.422,0.322,,,,,,,,,
59,2024-04-17,746807,Strikeout,strikeout,True,666150,670167,Dominic Fletcher,John Schreiber,0,0877a3ee-faa2-40e6-8a0a-ed700fc94328,670167.0,johnschreiber,Schreiber,Right,John Schreiber,KCR,4.29,3.72,35.2,100.0,98.0,96.0,0.826,7.32,3.28,9.84,0.25,1.88,0.278,0.374,0.191,0.304,0.417,73.0,110.0,100.0,79.0,99.0,86.0,114.0,98.0,102.0,110.0,98.0,103.0,91.0,101.0,90.0,0.264,0.24,0.152,0.264,0.079,-1.64,1.36,1.15,-0.04,-3.88,92.7,88.7,86.1,91.8,80.9,0.292,0.354,0.113,0.273,0.364,0.25,0.121,0.212,0.273,0.429,0.5,0.214,0.346,0.538,0.193,,,,,,,,,
60,2024-04-17,746807,Strikeout,strikeout,True,683734,670167,Andrew Vaughn,John Schreiber,0,2ec2fced-a547-461b-93ea-68f6aa37d46f,670167.0,johnschreiber,Schreiber,Right,John Schreiber,KCR,4.29,3.72,35.2,100.0,98.0,96.0,0.826,7.32,3.28,9.84,0.25,1.88,0.278,0.374,0.191,0.304,0.417,73.0,110.0,100.0,79.0,99.0,86.0,114.0,98.0,102.0,110.0,98.0,103.0,91.0,101.0,90.0,0.264,0.24,0.152,0.264,0.079,-1.64,1.36,1.15,-0.04,-3.88,92.7,88.7,86.1,91.8,80.9,0.292,0.354,0.113,0.273,0.364,0.25,0.121,0.212,0.273,0.429,0.5,0.214,0.346,0.538,0.193,,,,,,,,,
61,2024-04-17,746807,Lineout,field_out,True,657757,670167,Gavin Sheets,John Schreiber,0,44945eef-2d69-48d4-9863-218a9f23abd9,670167.0,johnschreiber,Schreiber,Right,John Schreiber,KCR,4.29,3.72,35.2,100.0,98.0,96.0,0.826,7.32,3.28,9.84,0.25,1.88,0.278,0.374,0.191,0.304,0.417,73.0,110.0,100.0,79.0,99.0,86.0,114.0,98.0,102.0,110.0,98.0,103.0,91.0,101.0,90.0,0.264,0.24,0.152,0.264,0.079,-1.64,1.36,1.15,-0.04,-3.88,92.7,88.7,86.1,91.8,80.9,0.292,0.354,0.113,0.273,0.364,0.25,0.121,0.212,0.273,0.429,0.5,0.214,0.346,0.538,0.193,,,,,,,,,
