,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFS,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
77,2024-04-18,746485,Walk,walk,False,592192,600917,Mark Canha,José Leclerc,1,4f211848-c06f-436a-a494-77cd5ac8ea2b,600917.0,joseleclerc,Leclerc,Right,José Leclerc,TEX,3.95,3.8,41.0,95.0,110.0,98.0,0.628,11.85,5.27,5.49,0.88,0.85,0.217,0.457,0.152,0.348,0.368,,,,107.0,89.0,97.0,78.0,88.0,81.0,119.0,103.0,104.0,,,,0.046,0.352,,0.33,,0.85,,2.9,1.16,,95.1,,94.8,81.9,,0.193,0.298,0.504,,,,0.128,0.277,0.311,0.2,0.2,0.143,,,,66.0,99.0,89.0,134.0,94.0,99.0,0.167,0.105,-0.6,-0.04,90.0,88.1,0.111,0.111,0.556,0.227,0.364,0.259,,,,,,
78,2024-04-18,746485,Strikeout,strikeout,True,681481,600917,Kerry Carpenter,José Leclerc,0,97b90a8f-0474-4ba8-8a6d-5b7148c1ddd2,600917.0,joseleclerc,Leclerc,Right,José Leclerc,TEX,3.95,3.8,41.0,95.0,110.0,98.0,0.628,11.85,5.27,5.49,0.88,0.85,0.217,0.457,0.152,0.348,0.368,,,,107.0,89.0,97.0,78.0,88.0,81.0,119.0,103.0,104.0,,,,0.046,0.352,,0.33,,0.85,,2.9,1.16,,95.1,,94.8,81.9,,0.193,0.298,0.504,,,,0.128,0.277,0.311,0.2,0.2,0.143,,,,66.0,99.0,89.0,134.0,94.0,99.0,0.167,0.105,-0.6,-0.04,90.0,88.1,0.111,0.111,0.556,0.227,0.364,0.259,,,,,,
79,2024-04-18,746485,Strikeout,strikeout,True,679529,489446,Spencer Torkelson,Kirby Yates,0,06de240b-8b51-450a-81cd-61c320cd64ef,489446.0,kirbyyates,Yates,Right,Kirby Yates,TEX,1.05,1.8,34.1,101.0,95.0,102.0,0.695,12.06,4.19,3.93,0.0,1.32,0.243,0.4,0.157,0.243,0.406,,,,86.0,103.0,101.0,,,,93.0,96.0,103.0,108.0,100.0,104.0,,0.597,0.393,0.011,,2.73,1.29,,0.4,,93.1,86.4,,85.8,,,,,0.122,0.171,0.34,0.137,0.178,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2024-04-18,746485,Single,single,False,669701,605177,Josh Smith,Andrew Chafin,0,2aa475bc-afca-4f13-9058-d88e8933c520,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,DET,3.55,3.03,33.0,93.0,85.0,95.0,0.677,11.45,4.09,9.27,0.55,0.8,0.275,0.308,0.11,0.264,0.316,,,,72.0,95.0,84.0,77.0,95.0,87.0,98.0,89.0,105.0,,,,0.388,0.156,,0.456,,4.95,,-2.43,1.36,,91.9,,92.0,82.1,,0.131,0.164,0.52,,,,0.125,0.125,0.244,0.5,0.674,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2024-04-18,746485,Flyout,field_out,True,694671,605177,Wyatt Langford,Andrew Chafin,1,082f55ae-9bae-4a93-928b-49013bd07377,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,DET,3.55,3.03,33.0,93.0,85.0,95.0,0.677,11.45,4.09,9.27,0.55,0.8,0.275,0.308,0.11,0.264,0.316,,,,72.0,95.0,84.0,77.0,95.0,87.0,98.0,89.0,105.0,,,,0.388,0.156,,0.456,,4.95,,-2.43,1.36,,91.9,,92.0,82.1,,0.131,0.164,0.52,,,,0.125,0.125,0.244,0.5,0.674,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2024-04-18,746485,Strikeout,strikeout,True,641680,605177,Jonah Heim,Andrew Chafin,0,5e70c5a6-4323-4549-b7c9-da1c37096dcc,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,DET,3.55,3.03,33.0,93.0,85.0,95.0,0.677,11.45,4.09,9.27,0.55,0.8,0.275,0.308,0.11,0.264,0.316,,,,72.0,95.0,84.0,77.0,95.0,87.0,98.0,89.0,105.0,,,,0.388,0.156,,0.456,,4.95,,-2.43,1.36,,91.9,,92.0,82.1,,0.131,0.164,0.52,,,,0.125,0.125,0.244,0.5,0.674,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2024-04-18,746485,Walk,walk,False,677649,605177,Ezequiel Duran,Andrew Chafin,0,37664927-31f8-4bc1-aea9-561976b5ca25,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,DET,3.55,3.03,33.0,93.0,85.0,95.0,0.677,11.45,4.09,9.27,0.55,0.8,0.275,0.308,0.11,0.264,0.316,,,,72.0,95.0,84.0,77.0,95.0,87.0,98.0,89.0,105.0,,,,0.388,0.156,,0.456,,4.95,,-2.43,1.36,,91.9,,92.0,82.1,,0.131,0.164,0.52,,,,0.125,0.125,0.244,0.5,0.674,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2024-04-18,746485,Single,single,False,665750,605177,Leody Taveras,Andrew Chafin,1,40a09adc-4ba4-48f5-9f1f-c73462fe7a86,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,DET,3.55,3.03,33.0,93.0,85.0,95.0,0.677,11.45,4.09,9.27,0.55,0.8,0.275,0.308,0.11,0.264,0.316,,,,72.0,95.0,84.0,77.0,95.0,87.0,98.0,89.0,105.0,,,,0.388,0.156,,0.456,,4.95,,-2.43,1.36,,91.9,,92.0,82.1,,0.131,0.164,0.52,,,,0.125,0.125,0.244,0.5,0.674,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2024-04-18,746485,Lineout,field_out,True,543760,605177,Marcus Semien,Andrew Chafin,1,4c6bd908-7fa1-4480-a81b-00e7f8657a52,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,DET,3.55,3.03,33.0,93.0,85.0,95.0,0.677,11.45,4.09,9.27,0.55,0.8,0.275,0.308,0.11,0.264,0.316,,,,72.0,95.0,84.0,77.0,95.0,87.0,98.0,89.0,105.0,,,,0.388,0.156,,0.456,,4.95,,-2.43,1.36,,91.9,,92.0,82.1,,0.131,0.164,0.52,,,,0.125,0.125,0.244,0.5,0.674,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2024-04-18,746485,Lineout,field_out,True,663837,489446,Matt Vierling,Kirby Yates,0,9bd9c266-a9c7-424c-a03c-f297c33b3f61,489446.0,kirbyyates,Yates,Right,Kirby Yates,TEX,1.05,1.8,34.1,101.0,95.0,102.0,0.695,12.06,4.19,3.93,0.0,1.32,0.243,0.4,0.157,0.243,0.406,,,,86.0,103.0,101.0,,,,93.0,96.0,103.0,108.0,100.0,104.0,,0.597,0.393,0.011,,2.73,1.29,,0.4,,93.1,86.4,,85.8,,,,,0.122,0.171,0.34,0.137,0.178,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2024-04-18,746485,Flyout,field_out,True,690993,489446,Colt Keith,Kirby Yates,0,290e5f0e-03ad-478b-be04-55743dcb872f,489446.0,kirbyyates,Yates,Right,Kirby Yates,TEX,1.05,1.8,34.1,101.0,95.0,102.0,0.695,12.06,4.19,3.93,0.0,1.32,0.243,0.4,0.157,0.243,0.406,,,,86.0,103.0,101.0,,,,93.0,96.0,103.0,108.0,100.0,104.0,,0.597,0.393,0.011,,2.73,1.29,,0.4,,93.1,86.4,,85.8,,,,,0.122,0.171,0.34,0.137,0.178,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2024-04-18,746485,Single,single,False,570482,489446,Gio Urshela,Kirby Yates,0,e972468e-073e-4763-8ffb-cd8c9748dafb,489446.0,kirbyyates,Yates,Right,Kirby Yates,TEX,1.05,1.8,34.1,101.0,95.0,102.0,0.695,12.06,4.19,3.93,0.0,1.32,0.243,0.4,0.157,0.243,0.406,,,,86.0,103.0,101.0,,,,93.0,96.0,103.0,108.0,100.0,104.0,,0.597,0.393,0.011,,2.73,1.29,,0.4,,93.1,86.4,,85.8,,,,,0.122,0.171,0.34,0.137,0.178,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2024-04-18,746485,Flyout,field_out,True,595879,489446,Javier Báez,Kirby Yates,0,feb1a4ef-93a1-46be-a9e3-9ce52ecee37e,489446.0,kirbyyates,Yates,Right,Kirby Yates,TEX,1.05,1.8,34.1,101.0,95.0,102.0,0.695,12.06,4.19,3.93,0.0,1.32,0.243,0.4,0.157,0.243,0.406,,,,86.0,103.0,101.0,,,,93.0,96.0,103.0,108.0,100.0,104.0,,0.597,0.393,0.011,,2.73,1.29,,0.4,,93.1,86.4,,85.8,,,,,0.122,0.171,0.34,0.137,0.178,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
