,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC
12,2024-09-03,746264,Walk,walk,False,666310,663903,Bo Naylor,Brady Singer,1,79ec50c8-c31d-421e-b297-99ed7549dff3,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.42,4.49,163.1,99.0,84.0,94.0,0.772,8.43,2.53,8.71,0.94,1.65,0.201,0.408,0.163,0.316,0.414,80.0,77.0,69.0,63.0,96.0,86.0,71.0,102.0,93.0,106.0,99.0,102.0,0.41,0.115,0.454,0.021,-1.89,0.96,0.15,-5.71,91.7,88.1,92.2,82.9,0.266,0.378,0.12,0.208,0.362,0.352,0.341,0.585,0.185,0.324,0.486,0.364,0.429,0.5,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2024-09-03,746264,Sac Fly,sac_fly,True,677587,663903,Brayan Rocchio,Brady Singer,1,11b56a66-c1e8-4e5a-98aa-313538d9ff66,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.42,4.49,163.1,99.0,84.0,94.0,0.772,8.43,2.53,8.71,0.94,1.65,0.201,0.408,0.163,0.316,0.414,80.0,77.0,69.0,63.0,96.0,86.0,71.0,102.0,93.0,106.0,99.0,102.0,0.41,0.115,0.454,0.021,-1.89,0.96,0.15,-5.71,91.7,88.1,92.2,82.9,0.266,0.378,0.12,0.208,0.362,0.352,0.341,0.585,0.185,0.324,0.486,0.364,0.429,0.5,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2024-09-03,746264,Flyout,field_out,True,680757,663903,Steven Kwan,Brady Singer,0,ea70a3aa-1efc-46b2-87fb-7bf10b003177,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.42,4.49,163.1,99.0,84.0,94.0,0.772,8.43,2.53,8.71,0.94,1.65,0.201,0.408,0.163,0.316,0.414,80.0,77.0,69.0,63.0,96.0,86.0,71.0,102.0,93.0,106.0,99.0,102.0,0.41,0.115,0.454,0.021,-1.89,0.96,0.15,-5.71,91.7,88.1,92.2,82.9,0.266,0.378,0.12,0.208,0.362,0.352,0.341,0.585,0.185,0.324,0.486,0.364,0.429,0.5,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2024-09-03,746264,Groundout,field_out,True,669004,676440,MJ Melendez,Tanner Bibee,0,61fcf5c9-d62b-4fd4-939d-f34a9a2ead9c,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.56,3.88,154.0,103.0,100.0,105.0,0.769,9.7,2.4,7.77,1.17,0.77,0.282,0.415,0.141,0.301,0.451,83.0,100.0,109.0,93.0,103.0,99.0,,,,114.0,103.0,111.0,0.0,0.441,0.27,0.181,-0.72,-3.47,1.59,0.13,94.6,82.5,92.5,86.1,,,,0.156,0.255,0.347,0.279,0.48,0.212,,,,0.239,0.419,0.27,121.0,110.0,113.0,0.107,-0.82,81.4,0.197,0.434,0.232,,,,,,,,,,,,,,,,,,,,,
16,2024-09-03,746264,Walk,walk,False,666023,676440,Freddy Fermin,Tanner Bibee,0,9ae7560e-5002-4a32-84e0-be7dd7e57636,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.56,3.88,154.0,103.0,100.0,105.0,0.769,9.7,2.4,7.77,1.17,0.77,0.282,0.415,0.141,0.301,0.451,83.0,100.0,109.0,93.0,103.0,99.0,,,,114.0,103.0,111.0,0.0,0.441,0.27,0.181,-0.72,-3.47,1.59,0.13,94.6,82.5,92.5,86.1,,,,0.156,0.255,0.347,0.279,0.48,0.212,,,,0.239,0.419,0.27,121.0,110.0,113.0,0.107,-0.82,81.4,0.197,0.434,0.232,,,,,,,,,,,,,,,,,,,,,
17,2024-09-03,746264,Strikeout,strikeout,True,672580,676440,Maikel Garcia,Tanner Bibee,0,54361dc4-03b9-4c95-8b45-660c50194fdc,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.56,3.88,154.0,103.0,100.0,105.0,0.769,9.7,2.4,7.77,1.17,0.77,0.282,0.415,0.141,0.301,0.451,83.0,100.0,109.0,93.0,103.0,99.0,,,,114.0,103.0,111.0,0.0,0.441,0.27,0.181,-0.72,-3.47,1.59,0.13,94.6,82.5,92.5,86.1,,,,0.156,0.255,0.347,0.279,0.48,0.212,,,,0.239,0.419,0.27,121.0,110.0,113.0,0.107,-0.82,81.4,0.197,0.434,0.232,,,,,,,,,,,,,,,,,,,,,
18,2024-09-03,746264,Pop Out,field_out,True,664728,676440,Kyle Isbel,Tanner Bibee,0,d62197a9-d301-4020-9970-952fb32dbee0,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.56,3.88,154.0,103.0,100.0,105.0,0.769,9.7,2.4,7.77,1.17,0.77,0.282,0.415,0.141,0.301,0.451,83.0,100.0,109.0,93.0,103.0,99.0,,,,114.0,103.0,111.0,0.0,0.441,0.27,0.181,-0.72,-3.47,1.59,0.13,94.6,82.5,92.5,86.1,,,,0.156,0.255,0.347,0.279,0.48,0.212,,,,0.239,0.419,0.27,121.0,110.0,113.0,0.107,-0.82,81.4,0.197,0.434,0.232,,,,,,,,,,,,,,,,,,,,,
19,2024-09-03,746264,Pop Out,field_out,True,665926,663903,Andrés Giménez,Brady Singer,0,52cdc281-a08a-4c73-804c-7d2899f4c199,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.42,4.49,163.1,99.0,84.0,94.0,0.772,8.43,2.53,8.71,0.94,1.65,0.201,0.408,0.163,0.316,0.414,80.0,77.0,69.0,63.0,96.0,86.0,71.0,102.0,93.0,106.0,99.0,102.0,0.41,0.115,0.454,0.021,-1.89,0.96,0.15,-5.71,91.7,88.1,92.2,82.9,0.266,0.378,0.12,0.208,0.362,0.352,0.341,0.585,0.185,0.324,0.486,0.364,0.429,0.5,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2024-09-03,746264,Pop Out,field_out,True,608070,663903,José Ramírez,Brady Singer,0,c06e73a2-72c7-4dbc-b338-80b3adb9d842,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.42,4.49,163.1,99.0,84.0,94.0,0.772,8.43,2.53,8.71,0.94,1.65,0.201,0.408,0.163,0.316,0.414,80.0,77.0,69.0,63.0,96.0,86.0,71.0,102.0,93.0,106.0,99.0,102.0,0.41,0.115,0.454,0.021,-1.89,0.96,0.15,-5.71,91.7,88.1,92.2,82.9,0.266,0.378,0.12,0.208,0.362,0.352,0.341,0.585,0.185,0.324,0.486,0.364,0.429,0.5,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2024-09-03,746264,Groundout,field_out,True,647304,663903,Josh Naylor,Brady Singer,0,d1f33c76-87b8-4342-bbdb-28ec9deaab71,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.42,4.49,163.1,99.0,84.0,94.0,0.772,8.43,2.53,8.71,0.94,1.65,0.201,0.408,0.163,0.316,0.414,80.0,77.0,69.0,63.0,96.0,86.0,71.0,102.0,93.0,106.0,99.0,102.0,0.41,0.115,0.454,0.021,-1.89,0.96,0.15,-5.71,91.7,88.1,92.2,82.9,0.266,0.378,0.12,0.208,0.362,0.352,0.341,0.585,0.185,0.324,0.486,0.364,0.429,0.5,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
