,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FC%,FS%,wFC/C,wFS/C,wSI/C,vFC,vFS,vSI,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff
51,2024-04-10,744950,Flyout,field_out,True,641487,554340,J.P. Crawford,Yimi García,0,ea336024-14f6-4a1b-b108-a218170c3453,554340.0,yimigarcia,"García, Y",Right,Yimi García,TOR,2.57,2.32,28.0,105.0,119.0,112.0,0.726,11.89,2.25,4.82,0.96,0.41,0.361,0.311,0.164,0.279,0.407,107.0,84.0,80.0,111.0,104.0,109.0,111.0,115.0,123.0,174.0,107.0,124.0,0.335,0.175,0.21,0.09,2.91,2.46,0.28,0.7,96.7,88.7,86.7,84.2,0.116,0.279,0.356,0.308,0.538,0.25,0.0,0.0,0.0,0.143,0.286,0.529,94.0,97.0,97.0,,,,,,,0.191,,,,,2.05,,,95.9,,,,,,,0.188,0.25,0.2
52,2024-04-10,744950,Strikeout,strikeout,True,677594,554340,Julio Rodríguez,Yimi García,0,5e49582a-2345-483b-9c14-b3f6209adbd3,554340.0,yimigarcia,"García, Y",Right,Yimi García,TOR,2.57,2.32,28.0,105.0,119.0,112.0,0.726,11.89,2.25,4.82,0.96,0.41,0.361,0.311,0.164,0.279,0.407,107.0,84.0,80.0,111.0,104.0,109.0,111.0,115.0,123.0,174.0,107.0,124.0,0.335,0.175,0.21,0.09,2.91,2.46,0.28,0.7,96.7,88.7,86.7,84.2,0.116,0.279,0.356,0.308,0.538,0.25,0.0,0.0,0.0,0.143,0.286,0.529,94.0,97.0,97.0,,,,,,,0.191,,,,,2.05,,,95.9,,,,,,,0.188,0.25,0.2
53,2024-04-10,744950,Lineout,field_out,True,664034,554340,Ty France,Yimi García,0,2852f845-6fcc-4a91-8e06-a50b184f9c66,554340.0,yimigarcia,"García, Y",Right,Yimi García,TOR,2.57,2.32,28.0,105.0,119.0,112.0,0.726,11.89,2.25,4.82,0.96,0.41,0.361,0.311,0.164,0.279,0.407,107.0,84.0,80.0,111.0,104.0,109.0,111.0,115.0,123.0,174.0,107.0,124.0,0.335,0.175,0.21,0.09,2.91,2.46,0.28,0.7,96.7,88.7,86.7,84.2,0.116,0.279,0.356,0.308,0.538,0.25,0.0,0.0,0.0,0.143,0.286,0.529,94.0,97.0,97.0,,,,,,,0.191,,,,,2.05,,,95.9,,,,,,,0.188,0.25,0.2
54,2024-04-10,744950,Strikeout,strikeout,True,595281,669302,Kevin Kiermaier,Logan Gilbert,0,2bac70b3-e8e1-43d1-b163-8b75583e08c6,669302.0,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,2.79,3.12,132.1,102.0,118.0,104.0,0.722,8.43,1.7,6.12,1.02,1.09,0.252,0.41,0.138,0.327,0.433,,,,111.0,101.0,105.0,95.0,103.0,96.0,147.0,103.0,116.0,0.313,0.308,0.085,,1.7,1.89,1.7,,96.2,,88.2,83.0,0.208,0.369,0.19,0.154,0.282,0.324,0.205,0.358,0.35,,,,67.0,103.0,86.0,119.0,102.0,101.0,109.0,96.0,100.0,0.009,0.149,0.136,0.97,1.26,-0.93,92.2,84.1,94.9,0.232,0.435,0.255,0.082,0.164,0.468,,,
55,2024-04-10,744950,Groundout,field_out,True,676391,669302,Ernie Clement,Logan Gilbert,0,da4f12c7-855d-4cec-a68f-b095d6b47fe4,669302.0,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,2.79,3.12,132.1,102.0,118.0,104.0,0.722,8.43,1.7,6.12,1.02,1.09,0.252,0.41,0.138,0.327,0.433,,,,111.0,101.0,105.0,95.0,103.0,96.0,147.0,103.0,116.0,0.313,0.308,0.085,,1.7,1.89,1.7,,96.2,,88.2,83.0,0.208,0.369,0.19,0.154,0.282,0.324,0.205,0.358,0.35,,,,67.0,103.0,86.0,119.0,102.0,101.0,109.0,96.0,100.0,0.009,0.149,0.136,0.97,1.26,-0.93,92.2,84.1,94.9,0.232,0.435,0.255,0.082,0.164,0.468,,,
56,2024-04-10,744950,Single,single,False,662139,669302,Daulton Varsho,Logan Gilbert,0,e23f6499-db65-4d2d-97cb-5bef87ccf4fa,669302.0,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,2.79,3.12,132.1,102.0,118.0,104.0,0.722,8.43,1.7,6.12,1.02,1.09,0.252,0.41,0.138,0.327,0.433,,,,111.0,101.0,105.0,95.0,103.0,96.0,147.0,103.0,116.0,0.313,0.308,0.085,,1.7,1.89,1.7,,96.2,,88.2,83.0,0.208,0.369,0.19,0.154,0.282,0.324,0.205,0.358,0.35,,,,67.0,103.0,86.0,119.0,102.0,101.0,109.0,96.0,100.0,0.009,0.149,0.136,0.97,1.26,-0.93,92.2,84.1,94.9,0.232,0.435,0.255,0.082,0.164,0.468,,,
57,2024-04-10,744950,Walk,walk,False,543807,669302,George Springer,Logan Gilbert,1,fc2395ef-c220-4659-83d4-bb1dcef02c88,669302.0,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,2.79,3.12,132.1,102.0,118.0,104.0,0.722,8.43,1.7,6.12,1.02,1.09,0.252,0.41,0.138,0.327,0.433,,,,111.0,101.0,105.0,95.0,103.0,96.0,147.0,103.0,116.0,0.313,0.308,0.085,,1.7,1.89,1.7,,96.2,,88.2,83.0,0.208,0.369,0.19,0.154,0.282,0.324,0.205,0.358,0.35,,,,67.0,103.0,86.0,119.0,102.0,101.0,109.0,96.0,100.0,0.009,0.149,0.136,0.97,1.26,-0.93,92.2,84.1,94.9,0.232,0.435,0.255,0.082,0.164,0.468,,,
58,2024-04-10,744950,Flyout,field_out,True,665489,662253,Vladimir Guerrero Jr.,Andrés Muñoz,0,7346024a-3903-4d3e-93d7-196e11fc58ff,662253.0,andresmunoz,"Muñoz, A",Right,Andrés Muñoz,SEA,1.41,2.68,38.1,96.0,118.0,100.0,0.646,10.8,4.23,5.17,0.47,1.96,0.326,0.314,0.198,0.267,0.323,,,,,,,95.0,96.0,94.0,136.0,98.0,107.0,0.276,0.485,,,1.8,1.77,,,98.4,,87.6,,0.167,0.278,0.203,,,,0.159,0.217,0.437,,,,107.0,90.0,93.0,,,,,,,0.239,,,,,1.38,,,97.5,,,,,,,0.185,0.185,0.438
59,2024-04-10,744950,Strikeout,strikeout,True,571745,554340,Mitch Haniger,Yimi García,0,5778e50c-3f0b-4419-93bb-796b24c33de1,554340.0,yimigarcia,"García, Y",Right,Yimi García,TOR,2.57,2.32,28.0,105.0,119.0,112.0,0.726,11.89,2.25,4.82,0.96,0.41,0.361,0.311,0.164,0.279,0.407,107.0,84.0,80.0,111.0,104.0,109.0,111.0,115.0,123.0,174.0,107.0,124.0,0.335,0.175,0.21,0.09,2.91,2.46,0.28,0.7,96.7,88.7,86.7,84.2,0.116,0.279,0.356,0.308,0.538,0.25,0.0,0.0,0.0,0.143,0.286,0.529,94.0,97.0,97.0,,,,,,,0.191,,,,,2.05,,,95.9,,,,,,,0.188,0.25,0.2
60,2024-04-10,744950,Strikeout,strikeout,True,593871,554340,Jorge Polanco,Yimi García,0,966fac93-797d-40e1-90c3-1562eff5e4ba,554340.0,yimigarcia,"García, Y",Right,Yimi García,TOR,2.57,2.32,28.0,105.0,119.0,112.0,0.726,11.89,2.25,4.82,0.96,0.41,0.361,0.311,0.164,0.279,0.407,107.0,84.0,80.0,111.0,104.0,109.0,111.0,115.0,123.0,174.0,107.0,124.0,0.335,0.175,0.21,0.09,2.91,2.46,0.28,0.7,96.7,88.7,86.7,84.2,0.116,0.279,0.356,0.308,0.538,0.25,0.0,0.0,0.0,0.143,0.286,0.529,94.0,97.0,97.0,,,,,,,0.191,,,,,2.05,,,95.9,,,,,,,0.188,0.25,0.2
61,2024-04-10,744950,Strikeout,strikeout,True,641598,554340,Mitch Garver,Yimi García,0,c52fa809-1eac-438f-81ee-280b5e5a27b7,554340.0,yimigarcia,"García, Y",Right,Yimi García,TOR,2.57,2.32,28.0,105.0,119.0,112.0,0.726,11.89,2.25,4.82,0.96,0.41,0.361,0.311,0.164,0.279,0.407,107.0,84.0,80.0,111.0,104.0,109.0,111.0,115.0,123.0,174.0,107.0,124.0,0.335,0.175,0.21,0.09,2.91,2.46,0.28,0.7,96.7,88.7,86.7,84.2,0.116,0.279,0.356,0.308,0.538,0.25,0.0,0.0,0.0,0.143,0.286,0.529,94.0,97.0,97.0,,,,,,,0.191,,,,,2.05,,,95.9,,,,,,,0.188,0.25,0.2
62,2024-04-10,744950,Groundout,field_out,True,666182,662253,Bo Bichette,Andrés Muñoz,0,bcae46ed-24a4-4217-a5ff-89718dfefe35,662253.0,andresmunoz,"Muñoz, A",Right,Andrés Muñoz,SEA,1.41,2.68,38.1,96.0,118.0,100.0,0.646,10.8,4.23,5.17,0.47,1.96,0.326,0.314,0.198,0.267,0.323,,,,,,,95.0,96.0,94.0,136.0,98.0,107.0,0.276,0.485,,,1.8,1.77,,,98.4,,87.6,,0.167,0.278,0.203,,,,0.159,0.217,0.437,,,,107.0,90.0,93.0,,,,,,,0.239,,,,,1.38,,,97.5,,,,,,,0.185,0.185,0.438
