,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,FS%,wFS/C,vFS
44,2024-08-26,745458,Single,single,False,691718,593334,Pete Crow-Armstrong,Domingo Germán,1,166b7fb3-9627-4e5e-af94-357d14a808ae,593334.0,domingogerman,Germán,Right,Domingo Germán,PIT,6.14,5.24,14.2,95.0,93.0,94.0,0.829,6.75,6.75,6.75,1.23,0.59,0.167,0.476,0.19,0.262,0.389,121.0,102.0,105.0,101.0,99.0,99.0,67.0,89.0,86.0,52.0,93.0,84.0,,,,,,,0.023,0.431,,,0.321,0.225,-2.15,,22.12,,0.87,1.02,90.7,,84.1,90.3,,81.7,0.238,0.524,0.077,0.0,0.0,0.2,,,,,,,,,,0.211,0.263,0.186,0.2,0.2,0.281,,,
45,2024-08-26,745458,Double,double,False,665804,593334,Miguel Amaya,Domingo Germán,1,2816431a-358b-431d-8b40-6a061b4e75cc,593334.0,domingogerman,Germán,Right,Domingo Germán,PIT,6.14,5.24,14.2,95.0,93.0,94.0,0.829,6.75,6.75,6.75,1.23,0.59,0.167,0.476,0.19,0.262,0.389,121.0,102.0,105.0,101.0,99.0,99.0,67.0,89.0,86.0,52.0,93.0,84.0,,,,,,,0.023,0.431,,,0.321,0.225,-2.15,,22.12,,0.87,1.02,90.7,,84.1,90.3,,81.7,0.238,0.524,0.077,0.0,0.0,0.2,,,,,,,,,,0.211,0.263,0.186,0.2,0.2,0.281,,,
46,2024-08-26,745458,Strikeout,strikeout,True,664023,593334,Ian Happ,Domingo Germán,1,505da90c-24e8-453f-9fde-310bc6c3a1bb,593334.0,domingogerman,Germán,Right,Domingo Germán,PIT,6.14,5.24,14.2,95.0,93.0,94.0,0.829,6.75,6.75,6.75,1.23,0.59,0.167,0.476,0.19,0.262,0.389,121.0,102.0,105.0,101.0,99.0,99.0,67.0,89.0,86.0,52.0,93.0,84.0,,,,,,,0.023,0.431,,,0.321,0.225,-2.15,,22.12,,0.87,1.02,90.7,,84.1,90.3,,81.7,0.238,0.524,0.077,0.0,0.0,0.2,,,,,,,,,,0.211,0.263,0.186,0.2,0.2,0.281,,,
47,2024-08-26,745458,Strikeout,strikeout,True,683737,593334,Michael Busch,Domingo Germán,0,129d27e7-d0b2-4a0b-8b70-670194f29c02,593334.0,domingogerman,Germán,Right,Domingo Germán,PIT,6.14,5.24,14.2,95.0,93.0,94.0,0.829,6.75,6.75,6.75,1.23,0.59,0.167,0.476,0.19,0.262,0.389,121.0,102.0,105.0,101.0,99.0,99.0,67.0,89.0,86.0,52.0,93.0,84.0,,,,,,,0.023,0.431,,,0.321,0.225,-2.15,,22.12,,0.87,1.02,90.7,,84.1,90.3,,81.7,0.238,0.524,0.077,0.0,0.0,0.2,,,,,,,,,,0.211,0.263,0.186,0.2,0.2,0.281,,,
48,2024-08-26,745458,Single,single,False,673548,593334,Seiya Suzuki,Domingo Germán,1,f0ee9ca8-cb7c-41c8-a4db-4de412f3c129,593334.0,domingogerman,Germán,Right,Domingo Germán,PIT,6.14,5.24,14.2,95.0,93.0,94.0,0.829,6.75,6.75,6.75,1.23,0.59,0.167,0.476,0.19,0.262,0.389,121.0,102.0,105.0,101.0,99.0,99.0,67.0,89.0,86.0,52.0,93.0,84.0,,,,,,,0.023,0.431,,,0.321,0.225,-2.15,,22.12,,0.87,1.02,90.7,,84.1,90.3,,81.7,0.238,0.524,0.077,0.0,0.0,0.2,,,,,,,,,,0.211,0.263,0.186,0.2,0.2,0.281,,,
49,2024-08-26,745458,Intent Walk,intent_walk,False,641355,593334,Cody Bellinger,Domingo Germán,1,07454586-0506-1003-000c-f08cd117d70a,593334.0,domingogerman,Germán,Right,Domingo Germán,PIT,6.14,5.24,14.2,95.0,93.0,94.0,0.829,6.75,6.75,6.75,1.23,0.59,0.167,0.476,0.19,0.262,0.389,121.0,102.0,105.0,101.0,99.0,99.0,67.0,89.0,86.0,52.0,93.0,84.0,,,,,,,0.023,0.431,,,0.321,0.225,-2.15,,22.12,,0.87,1.02,90.7,,84.1,90.3,,81.7,0.238,0.524,0.077,0.0,0.0,0.2,,,,,,,,,,0.211,0.263,0.186,0.2,0.2,0.281,,,
50,2024-08-26,745458,Walk,walk,False,670623,593334,Isaac Paredes,Domingo Germán,1,a0dc8585-6c54-40ed-b939-dc7ca2dc255c,593334.0,domingogerman,Germán,Right,Domingo Germán,PIT,6.14,5.24,14.2,95.0,93.0,94.0,0.829,6.75,6.75,6.75,1.23,0.59,0.167,0.476,0.19,0.262,0.389,121.0,102.0,105.0,101.0,99.0,99.0,67.0,89.0,86.0,52.0,93.0,84.0,,,,,,,0.023,0.431,,,0.321,0.225,-2.15,,22.12,,0.87,1.02,90.7,,84.1,90.3,,81.7,0.238,0.524,0.077,0.0,0.0,0.2,,,,,,,,,,0.211,0.263,0.186,0.2,0.2,0.281,,,
51,2024-08-26,745458,Walk,walk,False,663538,593334,Nico Hoerner,Domingo Germán,1,6d6e0b52-af92-4d0a-8a78-313c64b6eb2f,593334.0,domingogerman,Germán,Right,Domingo Germán,PIT,6.14,5.24,14.2,95.0,93.0,94.0,0.829,6.75,6.75,6.75,1.23,0.59,0.167,0.476,0.19,0.262,0.389,121.0,102.0,105.0,101.0,99.0,99.0,67.0,89.0,86.0,52.0,93.0,84.0,,,,,,,0.023,0.431,,,0.321,0.225,-2.15,,22.12,,0.87,1.02,90.7,,84.1,90.3,,81.7,0.238,0.524,0.077,0.0,0.0,0.2,,,,,,,,,,0.211,0.263,0.186,0.2,0.2,0.281,,,
52,2024-08-26,745458,Home Run,home_run,False,621020,593334,Dansby Swanson,Domingo Germán,1,1043837e-a028-4fb2-923d-2f024df3068c,593334.0,domingogerman,Germán,Right,Domingo Germán,PIT,6.14,5.24,14.2,95.0,93.0,94.0,0.829,6.75,6.75,6.75,1.23,0.59,0.167,0.476,0.19,0.262,0.389,121.0,102.0,105.0,101.0,99.0,99.0,67.0,89.0,86.0,52.0,93.0,84.0,,,,,,,0.023,0.431,,,0.321,0.225,-2.15,,22.12,,0.87,1.02,90.7,,84.1,90.3,,81.7,0.238,0.524,0.077,0.0,0.0,0.2,,,,,,,,,,0.211,0.263,0.186,0.2,0.2,0.281,,,
53,2024-08-26,745458,Pop Out,field_out,True,691718,593334,Pete Crow-Armstrong,Domingo Germán,0,f513cf06-57c2-4b44-b6ad-661d4050e92a,593334.0,domingogerman,Germán,Right,Domingo Germán,PIT,6.14,5.24,14.2,95.0,93.0,94.0,0.829,6.75,6.75,6.75,1.23,0.59,0.167,0.476,0.19,0.262,0.389,121.0,102.0,105.0,101.0,99.0,99.0,67.0,89.0,86.0,52.0,93.0,84.0,,,,,,,0.023,0.431,,,0.321,0.225,-2.15,,22.12,,0.87,1.02,90.7,,84.1,90.3,,81.7,0.238,0.524,0.077,0.0,0.0,0.2,,,,,,,,,,0.211,0.263,0.186,0.2,0.2,0.281,,,
54,2024-08-26,745458,Lineout,field_out,True,668804,592791,Bryan Reynolds,Jameson Taillon,0,2d565f5a-b694-4e3a-98f5-ddd8a6532974,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.85,4.0,133.1,108.0,86.0,103.0,0.82,7.02,1.76,9.05,1.35,0.94,0.221,0.437,0.14,0.33,0.462,77.0,100.0,99.0,106.0,112.0,113.0,67.0,106.0,96.0,74.0,102.0,91.0,103.0,117.0,121.0,94.0,104.0,99.0,0.093,0.304,0.239,0.162,0.158,0.043,-0.42,2.08,0.74,0.75,-1.53,-4.08,92.4,86.6,86.1,92.7,80.6,79.7,0.292,0.518,0.139,0.268,0.39,0.093,0.186,0.314,0.34,0.266,0.323,0.186,,,,0.253,0.462,0.229,0.32,0.68,0.116,,,
55,2024-08-26,745458,Groundout,field_out,True,665833,592791,Oneil Cruz,Jameson Taillon,0,5c6119fb-d21c-4434-8268-d02d8655f791,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.85,4.0,133.1,108.0,86.0,103.0,0.82,7.02,1.76,9.05,1.35,0.94,0.221,0.437,0.14,0.33,0.462,77.0,100.0,99.0,106.0,112.0,113.0,67.0,106.0,96.0,74.0,102.0,91.0,103.0,117.0,121.0,94.0,104.0,99.0,0.093,0.304,0.239,0.162,0.158,0.043,-0.42,2.08,0.74,0.75,-1.53,-4.08,92.4,86.6,86.1,92.7,80.6,79.7,0.292,0.518,0.139,0.268,0.39,0.093,0.186,0.314,0.34,0.266,0.323,0.186,,,,0.253,0.462,0.229,0.32,0.68,0.116,,,
