,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
22,2024-05-24,745905,Groundout,field_out,True,666397,570632,Edouard Julien,José Ureña,1,5e774de5-f2d3-4026-92d4-4d3b50a5a699,570632.0,joseurena,Ureña,Right,José Ureña,TEX,3.13,3.67,69.0,98.0,88.0,96.0,0.775,6.13,2.87,7.96,1.04,1.66,0.237,0.437,0.144,0.298,0.382,75.0,96.0,89.0,,,,87.0,97.0,93.0,87.0,99.0,98.0,,,,0.067,,0.365,,0.174,-2.63,,-0.1,,-0.43,96.2,,88.7,86.7,,0.429,1.0,0.229,0.238,0.548,0.336,,,,0.226,0.333,0.363,93.0,99.0,97.0,0.394,1.6,95.9,0.234,0.298,0.101,,,,,,,,,,,,
23,2024-05-24,745905,Groundout,field_out,True,621043,570632,Carlos Correa,José Ureña,0,09a0fc94-03bf-4c7c-bc8c-0f9d64d356f5,570632.0,joseurena,Ureña,Right,José Ureña,TEX,3.13,3.67,69.0,98.0,88.0,96.0,0.775,6.13,2.87,7.96,1.04,1.66,0.237,0.437,0.144,0.298,0.382,75.0,96.0,89.0,,,,87.0,97.0,93.0,87.0,99.0,98.0,,,,0.067,,0.365,,0.174,-2.63,,-0.1,,-0.43,96.2,,88.7,86.7,,0.429,1.0,0.229,0.238,0.548,0.336,,,,0.226,0.333,0.363,93.0,99.0,97.0,0.394,1.6,95.9,0.234,0.298,0.101,,,,,,,,,,,,
24,2024-05-24,745905,Pop Out,field_out,True,665750,641927,Leody Taveras,Bailey Ober,0,0fd18fcc-4ed3-4cdb-a063-357cfd62f9f2,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,74.0,103.0,101.0,85.0,107.0,103.0,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,1.95,4.25,1.52,91.9,86.5,83.4,80.5,76.0,0.307,0.606,0.247,0.173,0.337,0.37,0.256,0.43,0.224,0.098,0.196,0.319,,,,,,,,,,,,,,,,,,,,,
25,2024-05-24,745905,Strikeout,strikeout,True,663993,641927,Nathaniel Lowe,Bailey Ober,0,88d205bb-4161-4dab-a1ee-e0a8d649dd2c,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,74.0,103.0,101.0,85.0,107.0,103.0,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,1.95,4.25,1.52,91.9,86.5,83.4,80.5,76.0,0.307,0.606,0.247,0.173,0.337,0.37,0.256,0.43,0.224,0.098,0.196,0.319,,,,,,,,,,,,,,,,,,,,,
26,2024-05-24,745905,Flyout,field_out,True,641680,641927,Jonah Heim,Bailey Ober,0,4597cd23-93dc-4e7a-a943-cbd0b41f003c,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,74.0,103.0,101.0,85.0,107.0,103.0,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,1.95,4.25,1.52,91.9,86.5,83.4,80.5,76.0,0.307,0.606,0.247,0.173,0.337,0.37,0.256,0.43,0.224,0.098,0.196,0.319,,,,,,,,,,,,,,,,,,,,,
27,2024-05-24,745905,Strikeout,strikeout,True,663616,570632,Trevor Larnach,José Ureña,0,c6bb8e98-ac6e-483f-8225-3a62d7857240,570632.0,joseurena,Ureña,Right,José Ureña,TEX,3.13,3.67,69.0,98.0,88.0,96.0,0.775,6.13,2.87,7.96,1.04,1.66,0.237,0.437,0.144,0.298,0.382,75.0,96.0,89.0,,,,87.0,97.0,93.0,87.0,99.0,98.0,,,,0.067,,0.365,,0.174,-2.63,,-0.1,,-0.43,96.2,,88.7,86.7,,0.429,1.0,0.229,0.238,0.548,0.336,,,,0.226,0.333,0.363,93.0,99.0,97.0,0.394,1.6,95.9,0.234,0.298,0.101,,,,,,,,,,,,
28,2024-05-24,745905,Strikeout,strikeout,True,596146,570632,Max Kepler,José Ureña,0,4228611e-f233-48d9-a575-46d8e898eb70,570632.0,joseurena,Ureña,Right,José Ureña,TEX,3.13,3.67,69.0,98.0,88.0,96.0,0.775,6.13,2.87,7.96,1.04,1.66,0.237,0.437,0.144,0.298,0.382,75.0,96.0,89.0,,,,87.0,97.0,93.0,87.0,99.0,98.0,,,,0.067,,0.365,,0.174,-2.63,,-0.1,,-0.43,96.2,,88.7,86.7,,0.429,1.0,0.229,0.238,0.548,0.336,,,,0.226,0.333,0.363,93.0,99.0,97.0,0.394,1.6,95.9,0.234,0.298,0.101,,,,,,,,,,,,
29,2024-05-24,745905,Groundout,field_out,True,621439,570632,Byron Buxton,José Ureña,0,faa03e05-3b97-40e4-aaa7-b5f86163caf9,570632.0,joseurena,Ureña,Right,José Ureña,TEX,3.13,3.67,69.0,98.0,88.0,96.0,0.775,6.13,2.87,7.96,1.04,1.66,0.237,0.437,0.144,0.298,0.382,75.0,96.0,89.0,,,,87.0,97.0,93.0,87.0,99.0,98.0,,,,0.067,,0.365,,0.174,-2.63,,-0.1,,-0.43,96.2,,88.7,86.7,,0.429,1.0,0.229,0.238,0.548,0.336,,,,0.226,0.333,0.363,93.0,99.0,97.0,0.394,1.6,95.9,0.234,0.298,0.101,,,,,,,,,,,,
30,2024-05-24,745905,Strikeout,strikeout,True,694497,641927,Evan Carter,Bailey Ober,0,5aeaab4f-6a8e-4bd5-a07d-019c3f427762,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,74.0,103.0,101.0,85.0,107.0,103.0,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,1.95,4.25,1.52,91.9,86.5,83.4,80.5,76.0,0.307,0.606,0.247,0.173,0.337,0.37,0.256,0.43,0.224,0.098,0.196,0.319,,,,,,,,,,,,,,,,,,,,,
31,2024-05-24,745905,Hit By Pitch,hit_by_pitch,False,608671,641927,Travis Jankowski,Bailey Ober,0,06db34d1-c0bb-4def-adfa-ebfb56aca8ff,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,74.0,103.0,101.0,85.0,107.0,103.0,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,1.95,4.25,1.52,91.9,86.5,83.4,80.5,76.0,0.307,0.606,0.247,0.173,0.337,0.37,0.256,0.43,0.224,0.098,0.196,0.319,,,,,,,,,,,,,,,,,,,,,
